tensor(15.9040, grad_fn=<MeanBackward1>)
tensor(15.6707, grad_fn=<MeanBackward1>)
tensor(16.7621, grad_fn=<MeanBackward1>)
tensor(16.1676, grad_fn=<MeanBackward1>)
tensor(16.6318, grad_fn=<MeanBackward1>)
tensor(15.5889, grad_fn=<MeanBackward1>)
tensor(15.6579, grad_fn=<MeanBackward1>)
tensor(15.4433, grad_fn=<MeanBackward1>)
tensor(15.4323, grad_fn=<MeanBackward1>)
tensor(14.7584, grad_fn=<MeanBackward1>)
tensor(15.8028, grad_fn=<MeanBackward1>)
tensor(14.9054, grad_fn=<MeanBackward1>)
tensor(15.5762, grad_fn=<MeanBackward1>)
tensor(15.0578, grad_fn=<MeanBackward1>)
tensor(14.8107, grad_fn=<MeanBackward1>)
tensor(15.0726, grad_fn=<MeanBackward1>)
tensor(15.1812, grad_fn=<MeanBackward1>)
tensor(15.0479, grad_fn=<MeanBackward1>)
tensor(15.2507, grad_fn=<MeanBackward1>)
tensor(14.6666, grad_fn=<MeanBackward1>)
tensor(15.0395, grad_fn=<MeanBackward1>)
tensor(14.1575, grad_fn=<MeanBackward1>)
tensor(14.7110, grad_fn=<MeanBackward1>)
tensor(14.4300, grad_fn=<MeanBackward1>)
tensor(13.7976, grad_fn=<MeanBackward1>)
tensor(13.9627, grad_fn=<MeanBackward1>)
tensor(14.0033, grad_fn=<MeanBackward1>)
tensor(14.3453, grad_fn=<MeanBackward1>)
tensor(13.4118, grad_fn=<MeanBackward1>)
tensor(13.2341, grad_fn=<MeanBackward1>)
tensor(13.8693, grad_fn=<MeanBackward1>)
tensor(14.5149, grad_fn=<MeanBackward1>)
tensor(13.4665, grad_fn=<MeanBackward1>)
tensor(13.1603, grad_fn=<MeanBackward1>)
tensor(13.1550, grad_fn=<MeanBackward1>)
tensor(13.2660, grad_fn=<MeanBackward1>)
tensor(12.7026, grad_fn=<MeanBackward1>)
tensor(13.0888, grad_fn=<MeanBackward1>)
tensor(12.6851, grad_fn=<MeanBackward1>)
tensor(12.9187, grad_fn=<MeanBackward1>)
tensor(12.0851, grad_fn=<MeanBackward1>)
tensor(12.7066, grad_fn=<MeanBackward1>)
tensor(12.5901, grad_fn=<MeanBackward1>)
tensor(12.4478, grad_fn=<MeanBackward1>)
tensor(12.7463, grad_fn=<MeanBackward1>)
tensor(12.7180, grad_fn=<MeanBackward1>)
tensor(12.3101, grad_fn=<MeanBackward1>)
tensor(12.1828, grad_fn=<MeanBackward1>)
tensor(12.1799, grad_fn=<MeanBackward1>)
tensor(12.3676, grad_fn=<MeanBackward1>)
tensor(12.5011, grad_fn=<MeanBackward1>)
tensor(11.7469, grad_fn=<MeanBackward1>)
tensor(12.2770, grad_fn=<MeanBackward1>)
tensor(11.5752, grad_fn=<MeanBackward1>)
tensor(11.5214, grad_fn=<MeanBackward1>)
tensor(11.1726, grad_fn=<MeanBackward1>)
tensor(11.2328, grad_fn=<MeanBackward1>)
tensor(11.5020, grad_fn=<MeanBackward1>)
tensor(10.8023, grad_fn=<MeanBackward1>)
tensor(11.0268, grad_fn=<MeanBackward1>)
tensor(11.3182, grad_fn=<MeanBackward1>)
tensor(11.3201, grad_fn=<MeanBackward1>)
tensor(10.6258, grad_fn=<MeanBackward1>)
tensor(10.8257, grad_fn=<MeanBackward1>)
tensor(10.6654, grad_fn=<MeanBackward1>)
tensor(10.7156, grad_fn=<MeanBackward1>)
tensor(9.9943, grad_fn=<MeanBackward1>)
