tensor(10.3629, grad_fn=<MeanBackward1>)
tensor(10.1415, grad_fn=<MeanBackward1>)
tensor(9.4599, grad_fn=<MeanBackward1>)
tensor(10.2107, grad_fn=<MeanBackward1>)
tensor(9.8254, grad_fn=<MeanBackward1>)
tensor(10.0477, grad_fn=<MeanBackward1>)
tensor(10.0562, grad_fn=<MeanBackward1>)
tensor(9.7227, grad_fn=<MeanBackward1>)
tensor(9.9033, grad_fn=<MeanBackward1>)
tensor(9.8079, grad_fn=<MeanBackward1>)
tensor(9.5616, grad_fn=<MeanBackward1>)
tensor(9.5539, grad_fn=<MeanBackward1>)
tensor(9.1752, grad_fn=<MeanBackward1>)
tensor(9.4827, grad_fn=<MeanBackward1>)
tensor(9.7595, grad_fn=<MeanBackward1>)
tensor(9.1212, grad_fn=<MeanBackward1>)
tensor(9.7868, grad_fn=<MeanBackward1>)
tensor(9.4581, grad_fn=<MeanBackward1>)
tensor(9.1147, grad_fn=<MeanBackward1>)
tensor(9.7450, grad_fn=<MeanBackward1>)
tensor(9.6623, grad_fn=<MeanBackward1>)
tensor(9.3744, grad_fn=<MeanBackward1>)
tensor(8.8523, grad_fn=<MeanBackward1>)
tensor(9.3549, grad_fn=<MeanBackward1>)
tensor(9.0128, grad_fn=<MeanBackward1>)
tensor(8.9859, grad_fn=<MeanBackward1>)
tensor(9.4424, grad_fn=<MeanBackward1>)
tensor(9.0884, grad_fn=<MeanBackward1>)
tensor(9.0651, grad_fn=<MeanBackward1>)
tensor(9.1322, grad_fn=<MeanBackward1>)
tensor(8.8622, grad_fn=<MeanBackward1>)
tensor(9.0310, grad_fn=<MeanBackward1>)
tensor(8.3266, grad_fn=<MeanBackward1>)
tensor(8.8504, grad_fn=<MeanBackward1>)
tensor(8.6126, grad_fn=<MeanBackward1>)
tensor(8.5957, grad_fn=<MeanBackward1>)
tensor(8.8052, grad_fn=<MeanBackward1>)
tensor(8.5696, grad_fn=<MeanBackward1>)
tensor(8.6797, grad_fn=<MeanBackward1>)
tensor(8.8104, grad_fn=<MeanBackward1>)
tensor(8.8552, grad_fn=<MeanBackward1>)
tensor(8.4276, grad_fn=<MeanBackward1>)
tensor(8.0139, grad_fn=<MeanBackward1>)
tensor(8.4639, grad_fn=<MeanBackward1>)
tensor(8.3873, grad_fn=<MeanBackward1>)
tensor(8.3111, grad_fn=<MeanBackward1>)
tensor(8.3778, grad_fn=<MeanBackward1>)
tensor(8.2038, grad_fn=<MeanBackward1>)
tensor(8.2226, grad_fn=<MeanBackward1>)
tensor(8.2037, grad_fn=<MeanBackward1>)
tensor(8.5654, grad_fn=<MeanBackward1>)
tensor(7.8900, grad_fn=<MeanBackward1>)
tensor(7.5375, grad_fn=<MeanBackward1>)
tensor(8.0018, grad_fn=<MeanBackward1>)
tensor(7.9757, grad_fn=<MeanBackward1>)
tensor(7.9629, grad_fn=<MeanBackward1>)
tensor(8.0689, grad_fn=<MeanBackward1>)
tensor(7.8390, grad_fn=<MeanBackward1>)
tensor(7.8158, grad_fn=<MeanBackward1>)
tensor(7.6595, grad_fn=<MeanBackward1>)
tensor(8.0843, grad_fn=<MeanBackward1>)
tensor(7.8130, grad_fn=<MeanBackward1>)
tensor(7.4638, grad_fn=<MeanBackward1>)
tensor(7.8618, grad_fn=<MeanBackward1>)
tensor(7.5653, grad_fn=<MeanBackward1>)
tensor(7.5548, grad_fn=<MeanBackward1>)
tensor(7.6790, grad_fn=<MeanBackward1>)
tensor(7.2915, grad_fn=<MeanBackward1>)
tensor(7.4587, grad_fn=<MeanBackward1>)
tensor(7.5297, grad_fn=<MeanBackward1>)
tensor(7.7399, grad_fn=<MeanBackward1>)
tensor(7.2199, grad_fn=<MeanBackward1>)
tensor(6.9830, grad_fn=<MeanBackward1>)
tensor(7.4176, grad_fn=<MeanBackward1>)
tensor(7.3035, grad_fn=<MeanBackward1>)
tensor(7.3289, grad_fn=<MeanBackward1>)
tensor(7.2817, grad_fn=<MeanBackward1>)
tensor(7.0715, grad_fn=<MeanBackward1>)
tensor(7.2915, grad_fn=<MeanBackward1>)
tensor(7.1441, grad_fn=<MeanBackward1>)
tensor(7.3942, grad_fn=<MeanBackward1>)
tensor(6.9929, grad_fn=<MeanBackward1>)
tensor(6.6943, grad_fn=<MeanBackward1>)
tensor(7.0152, grad_fn=<MeanBackward1>)
tensor(6.9683, grad_fn=<MeanBackward1>)
tensor(6.9135, grad_fn=<MeanBackward1>)
tensor(7.2264, grad_fn=<MeanBackward1>)
tensor(6.6985, grad_fn=<MeanBackward1>)
tensor(7.0903, grad_fn=<MeanBackward1>)
tensor(6.8148, grad_fn=<MeanBackward1>)
tensor(7.0216, grad_fn=<MeanBackward1>)
tensor(6.7618, grad_fn=<MeanBackward1>)
tensor(6.4442, grad_fn=<MeanBackward1>)
tensor(6.7309, grad_fn=<MeanBackward1>)
tensor(6.6929, grad_fn=<MeanBackward1>)
