(454s) Epoch=0, Group=0loss: 87125.522734,  ess_sis: 1.000000,  density: -62140.114160
(469s) Epoch=0, Group=1loss: 96045.068945,  ess_sis: 1.000899,  density: -63381.612871
(469s) Epoch=0, Group=2loss: 98298.771523,  ess_sis: 1.000003,  density: -63125.469395
(468s) Epoch=0, Group=3loss: 96695.176641,  ess_sis: 1.000941,  density: -61723.649414
(469s) Epoch=0, Group=4loss: 93430.352617,  ess_sis: 1.000002,  density: -59560.240352
(468s) Epoch=0, Group=5loss: 92061.804883,  ess_sis: 1.000002,  density: -58894.969121
(469s) Epoch=0, Group=6loss: 89609.784766,  ess_sis: 1.000000,  density: -57576.033594
(469s) Epoch=0, Group=7loss: 85452.673320,  ess_sis: 1.000011,  density: -55499.859160
(468s) Epoch=0, Group=8loss: 82771.211758,  ess_sis: 1.000000,  density: -54413.299609
(469s) Epoch=0, Group=9loss: 75640.258184,  ess_sis: 1.000702,  density: -51214.368145
(468s) Epoch=0, Group=10loss: 68551.070762,  ess_sis: 1.000004,  density: -47693.661719
(468s) Epoch=0, Group=11loss: 61776.831328,  ess_sis: 1.000000,  density: -44527.427500
(469s) Epoch=0, Group=12loss: 59918.315527,  ess_sis: 1.000011,  density: -43700.977695
(469s) Epoch=0, Group=13loss: 57302.736602,  ess_sis: 1.000000,  density: -42731.501895
(469s) Epoch=0, Group=14loss: 56816.836426,  ess_sis: 1.000314,  density: -42336.490098
(469s) Epoch=0, Group=15loss: 55937.901621,  ess_sis: 1.000987,  density: -42016.730918
(468s) Epoch=0, Group=16loss: 55256.067910,  ess_sis: 1.000133,  density: -41393.286592
(469s) Epoch=0, Group=17loss: 54956.225430,  ess_sis: 1.000219,  density: -41192.761299
(469s) Epoch=0, Group=18loss: 53986.766523,  ess_sis: 1.000853,  density: -40603.609346
(469s) Epoch=0, Group=19loss: 53888.100605,  ess_sis: 1.000297,  density: -40386.941836
(469s) Epoch=0, Group=20loss: 54017.774648,  ess_sis: 1.000002,  density: -40691.421172
(469s) Epoch=0, Group=21loss: 53561.360742,  ess_sis: 1.000121,  density: -40527.303623
(469s) Epoch=0, Group=22loss: 54053.047793,  ess_sis: 1.000000,  density: -41072.212754
(469s) Epoch=0, Group=23loss: 53402.099687,  ess_sis: 1.000411,  density: -40433.381787
(469s) Epoch=0, Group=24loss: 52719.462773,  ess_sis: 1.000162,  density: -39953.179189
(468s) Epoch=0, Group=25loss: 53549.434902,  ess_sis: 1.000000,  density: -40522.833662
(469s) Epoch=0, Group=26loss: 53479.780020,  ess_sis: 1.001090,  density: -40787.484434
(469s) Epoch=0, Group=27loss: 53489.197148,  ess_sis: 1.000841,  density: -40776.067373
(469s) Epoch=0, Group=28loss: 53328.370137,  ess_sis: 1.000076,  density: -40444.316572
(469s) Epoch=0, Group=29loss: 53453.479258,  ess_sis: 1.000482,  density: -40603.956182
(469s) Epoch=0, Group=30loss: 53231.501973,  ess_sis: 1.000677,  density: -40655.802871
(470s) Epoch=0, Group=31loss: 53172.389062,  ess_sis: 1.000003,  density: -40599.749004
(469s) Epoch=0, Group=32loss: 53175.046777,  ess_sis: 1.001841,  density: -40525.265859
