(278s) Epoch=0, Group=0, loss_phi: -173.691835,  loss_theta: 5463.985324,  ess_rws: 1.022629,  density: -2838.096028
(279s) Epoch=0, Group=1, loss_phi: -171.643765,  loss_theta: 5350.722078,  ess_rws: 1.021325,  density: -2762.981731
(280s) Epoch=0, Group=2, loss_phi: -172.756723,  loss_theta: 5606.605392,  ess_rws: 1.025811,  density: -2904.255831
(281s) Epoch=0, Group=3, loss_phi: -173.924815,  loss_theta: 5387.956991,  ess_rws: 1.025338,  density: -2791.656890
(280s) Epoch=0, Group=4, loss_phi: -173.074344,  loss_theta: 5369.243823,  ess_rws: 1.029602,  density: -2786.694137
(283s) Epoch=0, Group=5, loss_phi: -171.819074,  loss_theta: 5384.175503,  ess_rws: 1.029589,  density: -2783.030802
(279s) Epoch=0, Group=6, loss_phi: -172.434854,  loss_theta: 5474.490577,  ess_rws: 1.026178,  density: -2816.176040
(282s) Epoch=0, Group=0, loss_phi: -172.977562,  loss_theta: 5271.159319,  ess_rws: 1.025606,  density: -2715.492218
(283s) Epoch=0, Group=1, loss_phi: -173.625591,  loss_theta: 5245.670686,  ess_rws: 1.024239,  density: -2698.666313
(281s) Epoch=0, Group=2, loss_phi: -175.568945,  loss_theta: 5227.578555,  ess_rws: 1.029189,  density: -2715.339187
(281s) Epoch=0, Group=3, loss_phi: -178.460353,  loss_theta: 5194.834183,  ess_rws: 1.026303,  density: -2748.924123
(281s) Epoch=0, Group=4, loss_phi: -174.079773,  loss_theta: 5222.169647,  ess_rws: 1.030933,  density: -2758.418167
(281s) Epoch=0, Group=5, loss_phi: -175.186832,  loss_theta: 5236.885554,  ess_rws: 1.023395,  density: -2734.020315
(280s) Epoch=0, Group=6, loss_phi: -174.672300,  loss_theta: 5166.540860,  ess_rws: 1.025784,  density: -2697.053569
(282s) Epoch=0, Group=7, loss_phi: -176.705264,  loss_theta: 5139.525980,  ess_rws: 1.027503,  density: -2669.108083
(281s) Epoch=0, Group=8, loss_phi: -175.433007,  loss_theta: 5223.146054,  ess_rws: 1.023985,  density: -2710.780346
(280s) Epoch=0, Group=9, loss_phi: -177.008521,  loss_theta: 5147.937132,  ess_rws: 1.026794,  density: -2681.753933
(280s) Epoch=0, Group=10, loss_phi: -173.379184,  loss_theta: 5140.285013,  ess_rws: 1.029804,  density: -2667.451075
(280s) Epoch=0, Group=11, loss_phi: -174.302512,  loss_theta: 5239.537200,  ess_rws: 1.026532,  density: -2715.144910
(280s) Epoch=0, Group=12, loss_phi: -171.951747,  loss_theta: 5190.512890,  ess_rws: 1.025390,  density: -2679.650985
(281s) Epoch=0, Group=13, loss_phi: -173.784356,  loss_theta: 5190.390067,  ess_rws: 1.031347,  density: -2667.959386
(281s) Epoch=0, Group=14, loss_phi: -174.882063,  loss_theta: 5152.949489,  ess_rws: 1.024686,  density: -2659.884139
(281s) Epoch=0, Group=15, loss_phi: -175.601603,  loss_theta: 5153.993441,  ess_rws: 1.030244,  density: -2649.706375
(280s) Epoch=0, Group=16, loss_phi: -174.312251,  loss_theta: 5142.581729,  ess_rws: 1.025132,  density: -2647.116676
(280s) Epoch=0, Group=17, loss_phi: -172.353918,  loss_theta: 5154.537556,  ess_rws: 1.028654,  density: -2643.671106
(280s) Epoch=0, Group=18, loss_phi: -172.717525,  loss_theta: 5120.099223,  ess_rws: 1.027118,  density: -2615.900839
(281s) Epoch=0, Group=19, loss_phi: -173.661843,  loss_theta: 5188.676268,  ess_rws: 1.027374,  density: -2643.979608
(281s) Epoch=0, Group=20, loss_phi: -173.143288,  loss_theta: 5253.264425,  ess_rws: 1.022645,  density: -2677.270821
(281s) Epoch=0, Group=21, loss_phi: -175.874446,  loss_theta: 5098.972355,  ess_rws: 1.027638,  density: -2595.609253
(281s) Epoch=0, Group=22, loss_phi: -175.322064,  loss_theta: 5209.600122,  ess_rws: 1.026988,  density: -2651.659717
(281s) Epoch=0, Group=23, loss_phi: -176.158544,  loss_theta: 5158.572612,  ess_rws: 1.025693,  density: -2649.223948
(280s) Epoch=0, Group=24, loss_phi: -175.184751,  loss_theta: 5267.737719,  ess_rws: 1.025755,  density: -2704.254121
(281s) Epoch=0, Group=25, loss_phi: -174.349334,  loss_theta: 5147.873521,  ess_rws: 1.021920,  density: -2647.572587
(281s) Epoch=0, Group=26, loss_phi: -174.678013,  loss_theta: 5084.073778,  ess_rws: 1.027293,  density: -2611.717736
(280s) Epoch=0, Group=27, loss_phi: -174.089763,  loss_theta: 5136.178134,  ess_rws: 1.021225,  density: -2631.475544
(280s) Epoch=0, Group=28, loss_phi: -174.365458,  loss_theta: 5117.770540,  ess_rws: 1.020540,  density: -2631.546262
(280s) Epoch=0, Group=29, loss_phi: -175.360115,  loss_theta: 5058.010764,  ess_rws: 1.026511,  density: -2608.807084
(281s) Epoch=0, Group=30, loss_phi: -174.532410,  loss_theta: 5162.716185,  ess_rws: 1.027621,  density: -2650.721460
(281s) Epoch=0, Group=31, loss_phi: -175.920934,  loss_theta: 5059.852310,  ess_rws: 1.024345,  density: -2592.765266
