(421s) Epoch=0, Group=0loss: 62519.010977,  ess_sis: 1.000001,  density: -62619.222637
(418s) Epoch=0, Group=1loss: 47933.416738,  ess_sis: 1.000549,  density: -48005.190645
(418s) Epoch=0, Group=2loss: 46549.392695,  ess_sis: 1.000006,  density: -46616.879043
(418s) Epoch=0, Group=3loss: 46160.393594,  ess_sis: 1.000571,  density: -46221.555684
(418s) Epoch=0, Group=4loss: 45823.894863,  ess_sis: 1.000436,  density: -45874.393828
(419s) Epoch=0, Group=5loss: 45702.006055,  ess_sis: 1.001941,  density: -45737.937402
(418s) Epoch=0, Group=6loss: 45523.386445,  ess_sis: 1.002347,  density: -45552.965801
(418s) Epoch=0, Group=7loss: 45691.487012,  ess_sis: 1.003029,  density: -45719.437070
(419s) Epoch=0, Group=8loss: 46275.783633,  ess_sis: 1.000054,  density: -46295.586738
(418s) Epoch=0, Group=9loss: 46444.569297,  ess_sis: 1.000105,  density: -46439.001602
(417s) Epoch=0, Group=10loss: 46117.098623,  ess_sis: 1.000251,  density: -46048.845791
(419s) Epoch=0, Group=11loss: 46423.337637,  ess_sis: 1.000290,  density: -46229.141973
(419s) Epoch=0, Group=12loss: 47167.053437,  ess_sis: 1.000027,  density: -46759.168926
(418s) Epoch=0, Group=13loss: 47326.190742,  ess_sis: 1.001039,  density: -46610.869180
(418s) Epoch=0, Group=14loss: 47577.597441,  ess_sis: 1.001242,  density: -46514.212324
(417s) Epoch=0, Group=15loss: 48387.452285,  ess_sis: 1.000054,  density: -47037.675742
(418s) Epoch=0, Group=16loss: 48558.327129,  ess_sis: 1.000190,  density: -47210.898926
(418s) Epoch=0, Group=17loss: 48156.430371,  ess_sis: 1.000233,  density: -46783.373926
(418s) Epoch=0, Group=18loss: 48067.170410,  ess_sis: 1.002442,  density: -46547.578320
(419s) Epoch=0, Group=19loss: 47833.124434,  ess_sis: 1.002268,  density: -46095.943867
(419s) Epoch=0, Group=20loss: 48511.478301,  ess_sis: 1.002000,  density: -46558.123145
(418s) Epoch=0, Group=21loss: 48801.910801,  ess_sis: 1.000449,  density: -46757.386680
(416s) Epoch=0, Group=22loss: 48599.086836,  ess_sis: 1.000016,  density: -46441.167793
(416s) Epoch=0, Group=23loss: 48816.487578,  ess_sis: 1.000379,  density: -46658.752334
(416s) Epoch=0, Group=24loss: 48272.088945,  ess_sis: 1.001436,  density: -46257.973047
(416s) Epoch=0, Group=25loss: 47741.608184,  ess_sis: 1.002965,  density: -45837.441289
(417s) Epoch=0, Group=26loss: 48224.699902,  ess_sis: 1.000835,  density: -46295.210371
(416s) Epoch=0, Group=27loss: 48412.220371,  ess_sis: 1.000574,  density: -46373.984648
(416s) Epoch=0, Group=28loss: 47823.327891,  ess_sis: 1.000519,  density: -45723.118359
(417s) Epoch=0, Group=29loss: 48272.936621,  ess_sis: 1.003602,  density: -46229.241543
(417s) Epoch=0, Group=30loss: 48320.364277,  ess_sis: 1.000253,  density: -46155.175039
(416s) Epoch=0, Group=31loss: 48541.223125,  ess_sis: 1.002476,  density: -46406.715391
(416s) Epoch=0, Group=32loss: 48595.119961,  ess_sis: 1.001684,  density: -46426.043809
(415s) Epoch=0, Group=33loss: 48358.575742,  ess_sis: 1.000257,  density: -46163.995430
(415s) Epoch=0, Group=34loss: 48965.419961,  ess_sis: 1.001106,  density: -46709.585508
(415s) Epoch=0, Group=35loss: 48030.363496,  ess_sis: 1.000002,  density: -45735.268574
(416s) Epoch=0, Group=36loss: 48799.856074,  ess_sis: 1.000109,  density: -46643.850586
(417s) Epoch=0, Group=37loss: 48683.064766,  ess_sis: 1.000401,  density: -46480.074590
(416s) Epoch=0, Group=38loss: 49126.238828,  ess_sis: 1.000047,  density: -46883.420020
(416s) Epoch=0, Group=39loss: 48976.658887,  ess_sis: 1.000417,  density: -46768.942266
(416s) Epoch=0, Group=40loss: 48854.739102,  ess_sis: 1.001627,  density: -46534.924297
(416s) Epoch=0, Group=41loss: 48389.275684,  ess_sis: 1.000188,  density: -46274.541445
(416s) Epoch=0, Group=42loss: 48816.588496,  ess_sis: 1.001100,  density: -46528.607520
(416s) Epoch=0, Group=43loss: 48222.020703,  ess_sis: 1.001340,  density: -45964.409434
(416s) Epoch=0, Group=44loss: 48754.802695,  ess_sis: 1.000085,  density: -46536.136816
(416s) Epoch=0, Group=45loss: 49007.500000,  ess_sis: 1.001767,  density: -46807.081348
(416s) Epoch=0, Group=46loss: 48861.114727,  ess_sis: 1.000270,  density: -46644.679238
(416s) Epoch=0, Group=47loss: 48395.888184,  ess_sis: 1.001074,  density: -46112.744785
(416s) Epoch=0, Group=48loss: 49027.025000,  ess_sis: 1.001842,  density: -46665.415410
(415s) Epoch=0, Group=49loss: 48849.964707,  ess_sis: 1.000086,  density: -46597.668203
(416s) Epoch=0, Group=50loss: 48683.677773,  ess_sis: 1.002092,  density: -46310.704375
(416s) Epoch=0, Group=51loss: 48776.883867,  ess_sis: 1.002961,  density: -46544.524961
(416s) Epoch=0, Group=52loss: 48547.739434,  ess_sis: 1.000506,  density: -46200.325527
(416s) Epoch=0, Group=53loss: 48666.554395,  ess_sis: 1.002095,  density: -46330.080391
(416s) Epoch=0, Group=54loss: 49362.974844,  ess_sis: 1.002193,  density: -47015.625449
(416s) Epoch=0, Group=55loss: 48568.179648,  ess_sis: 1.000795,  density: -46368.653965
(416s) Epoch=0, Group=56loss: 48850.745195,  ess_sis: 1.001045,  density: -46416.086348
(416s) Epoch=0, Group=57loss: 48488.486563,  ess_sis: 1.002184,  density: -46186.196582
(416s) Epoch=0, Group=58loss: 48785.621074,  ess_sis: 1.001047,  density: -46370.301562
