(182s) phi_loss: -187.109,  theta_loss: 21330.917,  ess: 1.015
(180s) phi_loss: -39.917,  theta_loss: 8854.157,  ess: 1.171
(182s) phi_loss: -64.790,  theta_loss: 8072.424,  ess: 1.233
(183s) phi_loss: -74.050,  theta_loss: 7485.335,  ess: 1.258
(183s) phi_loss: -83.478,  theta_loss: 6892.317,  ess: 1.274
(183s) phi_loss: -88.359,  theta_loss: 6578.039,  ess: 1.294
(184s) phi_loss: -89.394,  theta_loss: 6325.491,  ess: 1.299
(184s) phi_loss: -91.171,  theta_loss: 6079.563,  ess: 1.307
(183s) phi_loss: -94.362,  theta_loss: 5930.403,  ess: 1.321
(183s) phi_loss: -94.573,  theta_loss: 5799.444,  ess: 1.325
(183s) phi_loss: -95.071,  theta_loss: 5743.382,  ess: 1.331
(183s) phi_loss: -96.078,  theta_loss: 5698.203,  ess: 1.342
(183s) phi_loss: -96.850,  theta_loss: 5639.383,  ess: 1.351
(183s) phi_loss: -98.015,  theta_loss: 5573.243,  ess: 1.358
(182s) phi_loss: -98.345,  theta_loss: 5554.740,  ess: 1.361
(183s) phi_loss: -99.217,  theta_loss: 5495.909,  ess: 1.369
(183s) phi_loss: -99.975,  theta_loss: 5441.894,  ess: 1.380
(183s) phi_loss: -100.787,  theta_loss: 5355.338,  ess: 1.386
(183s) phi_loss: -101.167,  theta_loss: 5317.615,  ess: 1.390
(183s) phi_loss: -101.533,  theta_loss: 5282.413,  ess: 1.398
(183s) phi_loss: -101.606,  theta_loss: 5258.850,  ess: 1.403
(186s) phi_loss: -102.829,  theta_loss: 5185.861,  ess: 1.410
(183s) phi_loss: -102.693,  theta_loss: 5118.275,  ess: 1.412
(186s) phi_loss: -103.524,  theta_loss: 5114.047,  ess: 1.417
(183s) phi_loss: -103.510,  theta_loss: 5102.993,  ess: 1.416
(183s) phi_loss: -104.565,  theta_loss: 5016.866,  ess: 1.436
(183s) phi_loss: -105.724,  theta_loss: 5026.153,  ess: 1.442
(184s) phi_loss: -106.844,  theta_loss: 5003.011,  ess: 1.440
(183s) phi_loss: -108.228,  theta_loss: 4976.060,  ess: 1.451
(184s) phi_loss: -107.967,  theta_loss: 4936.478,  ess: 1.448
(184s) phi_loss: -108.124,  theta_loss: 4933.318,  ess: 1.456
(184s) phi_loss: -108.275,  theta_loss: 4876.106,  ess: 1.457
(183s) phi_loss: -108.302,  theta_loss: 4910.586,  ess: 1.463
