(182s) phi_loss: -187.109,  theta_loss: 21330.917,  ess: 1.015
(180s) phi_loss: -39.917,  theta_loss: 8854.157,  ess: 1.171
(182s) phi_loss: -64.790,  theta_loss: 8072.424,  ess: 1.233
(183s) phi_loss: -74.050,  theta_loss: 7485.335,  ess: 1.258
(183s) phi_loss: -83.478,  theta_loss: 6892.317,  ess: 1.274
(183s) phi_loss: -88.359,  theta_loss: 6578.039,  ess: 1.294
(184s) phi_loss: -89.394,  theta_loss: 6325.491,  ess: 1.299
(184s) phi_loss: -91.171,  theta_loss: 6079.563,  ess: 1.307
(183s) phi_loss: -94.362,  theta_loss: 5930.403,  ess: 1.321
(183s) phi_loss: -94.573,  theta_loss: 5799.444,  ess: 1.325
(183s) phi_loss: -95.071,  theta_loss: 5743.382,  ess: 1.331
(183s) phi_loss: -96.078,  theta_loss: 5698.203,  ess: 1.342
(183s) phi_loss: -96.850,  theta_loss: 5639.383,  ess: 1.351
(183s) phi_loss: -98.015,  theta_loss: 5573.243,  ess: 1.358
(182s) phi_loss: -98.345,  theta_loss: 5554.740,  ess: 1.361
(183s) phi_loss: -99.217,  theta_loss: 5495.909,  ess: 1.369
(183s) phi_loss: -99.975,  theta_loss: 5441.894,  ess: 1.380
(183s) phi_loss: -100.787,  theta_loss: 5355.338,  ess: 1.386
(183s) phi_loss: -101.167,  theta_loss: 5317.615,  ess: 1.390
(183s) phi_loss: -101.533,  theta_loss: 5282.413,  ess: 1.398
(183s) phi_loss: -101.606,  theta_loss: 5258.850,  ess: 1.403
(186s) phi_loss: -102.829,  theta_loss: 5185.861,  ess: 1.410
(183s) phi_loss: -102.693,  theta_loss: 5118.275,  ess: 1.412
(186s) phi_loss: -103.524,  theta_loss: 5114.047,  ess: 1.417
(183s) phi_loss: -103.510,  theta_loss: 5102.993,  ess: 1.416
(183s) phi_loss: -104.565,  theta_loss: 5016.866,  ess: 1.436
(183s) phi_loss: -105.724,  theta_loss: 5026.153,  ess: 1.442
(184s) phi_loss: -106.844,  theta_loss: 5003.011,  ess: 1.440
(183s) phi_loss: -108.228,  theta_loss: 4976.060,  ess: 1.451
(184s) phi_loss: -107.967,  theta_loss: 4936.478,  ess: 1.448
(184s) phi_loss: -108.124,  theta_loss: 4933.318,  ess: 1.456
(184s) phi_loss: -108.275,  theta_loss: 4876.106,  ess: 1.457
(183s) phi_loss: -108.302,  theta_loss: 4910.586,  ess: 1.463
(188s) phi_loss: -109.224,  theta_loss: 4854.037,  ess: 1.459
(186s) phi_loss: -109.323,  theta_loss: 4878.807,  ess: 1.457
(187s) phi_loss: -109.213,  theta_loss: 4851.049,  ess: 1.465
(191s) phi_loss: -109.157,  theta_loss: 4822.095,  ess: 1.468
(197s) phi_loss: -109.380,  theta_loss: 4824.567,  ess: 1.470
(190s) phi_loss: -109.698,  theta_loss: 4798.711,  ess: 1.477
(183s) phi_loss: -109.686,  theta_loss: 4771.863,  ess: 1.471
(183s) phi_loss: -110.357,  theta_loss: 4733.896,  ess: 1.478
(184s) phi_loss: -111.275,  theta_loss: 4727.092,  ess: 1.484
(183s) phi_loss: -111.568,  theta_loss: 4729.787,  ess: 1.486
(184s) phi_loss: -111.991,  theta_loss: 4727.129,  ess: 1.494
(182s) phi_loss: -112.453,  theta_loss: 4684.729,  ess: 1.493
(181s) phi_loss: -112.814,  theta_loss: 4688.679,  ess: 1.500
(183s) phi_loss: -112.865,  theta_loss: 4645.434,  ess: 1.498
(182s) phi_loss: -113.528,  theta_loss: 4691.447,  ess: 1.501
(181s) phi_loss: -113.998,  theta_loss: 4662.579,  ess: 1.507
(182s) phi_loss: -113.846,  theta_loss: 4666.259,  ess: 1.504
(182s) phi_loss: -113.942,  theta_loss: 4660.159,  ess: 1.501
(182s) phi_loss: -114.455,  theta_loss: 4598.856,  ess: 1.510
(182s) phi_loss: -114.509,  theta_loss: 4657.909,  ess: 1.513
(183s) phi_loss: -115.191,  theta_loss: 4591.226,  ess: 1.515
(183s) phi_loss: -114.837,  theta_loss: 4605.699,  ess: 1.520
(183s) phi_loss: -115.184,  theta_loss: 4616.035,  ess: 1.518
(184s) phi_loss: -115.441,  theta_loss: 4592.017,  ess: 1.515
(183s) phi_loss: -115.684,  theta_loss: 4600.002,  ess: 1.521
(184s) phi_loss: -116.397,  theta_loss: 4620.660,  ess: 1.524
(184s) phi_loss: -115.875,  theta_loss: 4571.403,  ess: 1.526
(183s) phi_loss: -115.932,  theta_loss: 4601.816,  ess: 1.521
(183s) phi_loss: -116.405,  theta_loss: 4569.621,  ess: 1.527
(184s) phi_loss: -115.979,  theta_loss: 4538.693,  ess: 1.524
(184s) phi_loss: -116.099,  theta_loss: 4559.467,  ess: 1.525
(183s) phi_loss: -116.829,  theta_loss: 4541.040,  ess: 1.528
(184s) phi_loss: -117.018,  theta_loss: 4540.269,  ess: 1.532
(183s) phi_loss: -117.802,  theta_loss: 4534.820,  ess: 1.536
(183s) phi_loss: -117.816,  theta_loss: 4525.929,  ess: 1.533
(183s) phi_loss: -117.301,  theta_loss: 4535.539,  ess: 1.522
(183s) phi_loss: -117.408,  theta_loss: 4547.663,  ess: 1.528
(183s) phi_loss: -117.929,  theta_loss: 4511.124,  ess: 1.536
(183s) phi_loss: -117.876,  theta_loss: 4522.011,  ess: 1.534
(182s) phi_loss: -118.116,  theta_loss: 4478.427,  ess: 1.536
(182s) phi_loss: -118.216,  theta_loss: 4496.391,  ess: 1.539
(183s) phi_loss: -118.174,  theta_loss: 4530.084,  ess: 1.543
(183s) phi_loss: -118.668,  theta_loss: 4485.670,  ess: 1.541
(183s) phi_loss: -118.672,  theta_loss: 4504.235,  ess: 1.544
(183s) phi_loss: -118.532,  theta_loss: 4464.445,  ess: 1.545
(183s) phi_loss: -119.147,  theta_loss: 4462.668,  ess: 1.550
