(147s) loss_phi: -24.050393,  loss_theta: 6652.005618,  ess_rws: 1.000671,  ess_mu: 1.016436,  ess_local: 2.291504,  density: -14711.092828
(145s) loss_phi: -238.781054,  loss_theta: 1105.988193,  ess_rws: 1.003433,  ess_mu: 1.221359,  ess_local: 3.519821,  density: -2861.570405
(144s) loss_phi: -305.006749,  loss_theta: 534.647924,  ess_rws: 1.006251,  ess_mu: 1.342092,  ess_local: 4.281858,  density: -1877.781371
(144s) loss_phi: -332.498250,  loss_theta: 371.317176,  ess_rws: 1.007173,  ess_mu: 1.356584,  ess_local: 4.476154,  density: -1682.620612
(146s) loss_phi: -338.942087,  loss_theta: 314.066224,  ess_rws: 1.008708,  ess_mu: 1.354657,  ess_local: 4.436298,  density: -1645.588891
(145s) loss_phi: -342.834069,  loss_theta: 225.624010,  ess_rws: 1.007781,  ess_mu: 1.411378,  ess_local: 4.481865,  density: -1628.057480
(146s) loss_phi: -358.124875,  loss_theta: 184.634878,  ess_rws: 1.008487,  ess_mu: 1.451783,  ess_local: 4.676319,  density: -1533.364830
(144s) loss_phi: -373.556699,  loss_theta: 167.614016,  ess_rws: 1.010019,  ess_mu: 1.466049,  ess_local: 4.915906,  density: -1430.942196
(145s) loss_phi: -384.466844,  loss_theta: 158.783246,  ess_rws: 1.010157,  ess_mu: 1.483043,  ess_local: 5.111405,  density: -1359.585015
(145s) loss_phi: -393.406731,  loss_theta: 147.737991,  ess_rws: 1.009112,  ess_mu: 1.497538,  ess_local: 5.358591,  density: -1293.378130
(146s) loss_phi: -400.202107,  loss_theta: 141.306144,  ess_rws: 1.010832,  ess_mu: 1.512419,  ess_local: 5.487949,  density: -1255.295878
(148s) loss_phi: -406.097797,  loss_theta: 133.640132,  ess_rws: 1.010477,  ess_mu: 1.525609,  ess_local: 5.658309,  density: -1216.970467
(147s) loss_phi: -410.348795,  loss_theta: 133.680582,  ess_rws: 1.010585,  ess_mu: 1.523919,  ess_local: 5.741103,  density: -1193.726907
(149s) loss_phi: -414.468863,  loss_theta: 128.110663,  ess_rws: 1.012787,  ess_mu: 1.535405,  ess_local: 5.858680,  density: -1166.742565
(150s) loss_phi: -417.933866,  loss_theta: 125.474919,  ess_rws: 1.011821,  ess_mu: 1.549147,  ess_local: 5.926583,  density: -1146.609596
(148s) loss_phi: -420.578153,  loss_theta: 121.972487,  ess_rws: 1.011282,  ess_mu: 1.544649,  ess_local: 6.022804,  density: -1126.914834
(150s) loss_phi: -422.475462,  loss_theta: 117.684703,  ess_rws: 1.013163,  ess_mu: 1.558351,  ess_local: 6.093402,  density: -1105.572912
(147s) loss_phi: -425.098780,  loss_theta: 118.142609,  ess_rws: 1.012760,  ess_mu: 1.558838,  ess_local: 6.153561,  density: -1092.398935
(145s) loss_phi: -425.761513,  loss_theta: 116.973082,  ess_rws: 1.013142,  ess_mu: 1.558166,  ess_local: 6.197517,  density: -1079.309955
(145s) loss_phi: -427.163711,  loss_theta: 114.228907,  ess_rws: 1.014533,  ess_mu: 1.564206,  ess_local: 6.237401,  density: -1063.952352
(145s) loss_phi: -427.478715,  loss_theta: 115.057022,  ess_rws: 1.011416,  ess_mu: 1.569375,  ess_local: 6.276986,  density: -1056.319398
(145s) loss_phi: -427.589702,  loss_theta: 113.452709,  ess_rws: 1.013339,  ess_mu: 1.570296,  ess_local: 6.292241,  density: -1045.392629
(146s) loss_phi: -428.629003,  loss_theta: 115.976800,  ess_rws: 1.013040,  ess_mu: 1.566512,  ess_local: 6.313278,  density: -1038.503623
(145s) loss_phi: -428.640303,  loss_theta: 113.358088,  ess_rws: 1.012031,  ess_mu: 1.569787,  ess_local: 6.374807,  density: -1027.585004
(146s) loss_phi: -428.718689,  loss_theta: 110.566568,  ess_rws: 1.014483,  ess_mu: 1.571674,  ess_local: 6.379547,  density: -1015.682163
(144s) loss_phi: -428.409316,  loss_theta: 110.178190,  ess_rws: 1.014136,  ess_mu: 1.577070,  ess_local: 6.378876,  density: -1008.859608
(145s) loss_phi: -427.895730,  loss_theta: 110.502312,  ess_rws: 1.012001,  ess_mu: 1.571340,  ess_local: 6.405924,  density: -1004.159007
(145s) loss_phi: -428.020891,  loss_theta: 114.436459,  ess_rws: 1.013064,  ess_mu: 1.573821,  ess_local: 6.458398,  density: -998.387164
(148s) loss_phi: -427.265158,  loss_theta: 112.914135,  ess_rws: 1.013862,  ess_mu: 1.570418,  ess_local: 6.454438,  density: -992.718052
(145s) loss_phi: -426.914895,  loss_theta: 113.450218,  ess_rws: 1.012818,  ess_mu: 1.575371,  ess_local: 6.471995,  density: -987.280642
(144s) loss_phi: -427.333051,  loss_theta: 111.607732,  ess_rws: 1.013990,  ess_mu: 1.566546,  ess_local: 6.492782,  density: -977.834894
(143s) loss_phi: -427.794197,  loss_theta: 113.026140,  ess_rws: 1.014848,  ess_mu: 1.573129,  ess_local: 6.509795,  density: -972.062274
(143s) loss_phi: -428.174095,  loss_theta: 109.904677,  ess_rws: 1.012890,  ess_mu: 1.570872,  ess_local: 6.581085,  density: -959.749728
(144s) loss_phi: -426.632208,  loss_theta: 108.316822,  ess_rws: 1.013809,  ess_mu: 1.581308,  ess_local: 6.555501,  density: -954.386741
(144s) loss_phi: -426.076400,  loss_theta: 110.741859,  ess_rws: 1.013955,  ess_mu: 1.571615,  ess_local: 6.600449,  density: -949.372304
(144s) loss_phi: -426.192404,  loss_theta: 108.489848,  ess_rws: 1.016101,  ess_mu: 1.567610,  ess_local: 6.631835,  density: -941.454298
(144s) loss_phi: -425.547661,  loss_theta: 110.141773,  ess_rws: 1.016175,  ess_mu: 1.566699,  ess_local: 6.623298,  density: -936.248495
(144s) loss_phi: -424.999449,  loss_theta: 109.323573,  ess_rws: 1.016238,  ess_mu: 1.578300,  ess_local: 6.676724,  density: -930.328614
(144s) loss_phi: -425.198327,  loss_theta: 109.862582,  ess_rws: 1.014387,  ess_mu: 1.574080,  ess_local: 6.690307,  density: -923.183943
(143s) loss_phi: -425.806323,  loss_theta: 112.162140,  ess_rws: 1.014934,  ess_mu: 1.566203,  ess_local: 6.689568,  density: -917.735315
(144s) loss_phi: -424.395365,  loss_theta: 108.601306,  ess_rws: 1.014734,  ess_mu: 1.573969,  ess_local: 6.740964,  density: -910.739456
(144s) loss_phi: -423.954975,  loss_theta: 107.234862,  ess_rws: 1.015275,  ess_mu: 1.572797,  ess_local: 6.742679,  density: -901.786698
(144s) loss_phi: -423.919260,  loss_theta: 105.964344,  ess_rws: 1.016288,  ess_mu: 1.573356,  ess_local: 6.779350,  density: -894.335060
(144s) loss_phi: -423.413758,  loss_theta: 108.068833,  ess_rws: 1.015112,  ess_mu: 1.566279,  ess_local: 6.798865,  density: -890.745968
(144s) loss_phi: -422.855722,  loss_theta: 105.577911,  ess_rws: 1.015534,  ess_mu: 1.567311,  ess_local: 6.817590,  density: -881.207419
(144s) loss_phi: -422.941586,  loss_theta: 107.905692,  ess_rws: 1.014291,  ess_mu: 1.564005,  ess_local: 6.845802,  density: -876.126254
(144s) loss_phi: -422.734058,  loss_theta: 106.226141,  ess_rws: 1.014940,  ess_mu: 1.577296,  ess_local: 6.869705,  density: -867.764707
(144s) loss_phi: -423.064098,  loss_theta: 106.557469,  ess_rws: 1.015481,  ess_mu: 1.569038,  ess_local: 6.891255,  density: -860.837131
(142s) loss_phi: -423.088365,  loss_theta: 106.338353,  ess_rws: 1.016344,  ess_mu: 1.573464,  ess_local: 6.908625,  density: -854.098424
(144s) loss_phi: -422.833078,  loss_theta: 105.244762,  ess_rws: 1.016000,  ess_mu: 1.571489,  ess_local: 6.923577,  density: -846.498902
(145s) loss_phi: -422.417016,  loss_theta: 108.183292,  ess_rws: 1.015710,  ess_mu: 1.562787,  ess_local: 6.938730,  density: -843.085555
(146s) loss_phi: -422.689229,  loss_theta: 107.816577,  ess_rws: 1.015101,  ess_mu: 1.569564,  ess_local: 6.950954,  density: -836.866119
(147s) loss_phi: -422.485065,  loss_theta: 105.023771,  ess_rws: 1.016190,  ess_mu: 1.568299,  ess_local: 6.999162,  density: -827.468232
(144s) loss_phi: -422.971995,  loss_theta: 105.387657,  ess_rws: 1.015939,  ess_mu: 1.571797,  ess_local: 7.021302,  density: -820.437828
(144s) loss_phi: -423.099324,  loss_theta: 106.773998,  ess_rws: 1.019593,  ess_mu: 1.569341,  ess_local: 7.032314,  density: -815.112221
(144s) loss_phi: -422.687063,  loss_theta: 103.109495,  ess_rws: 1.017243,  ess_mu: 1.572468,  ess_local: 7.066381,  density: -804.785367
(144s) loss_phi: -422.691989,  loss_theta: 106.042678,  ess_rws: 1.014655,  ess_mu: 1.564815,  ess_local: 7.081071,  density: -801.630515
(144s) loss_phi: -422.588477,  loss_theta: 105.637212,  ess_rws: 1.017529,  ess_mu: 1.567906,  ess_local: 7.138053,  density: -794.757236
(144s) loss_phi: -422.141364,  loss_theta: 103.812061,  ess_rws: 1.016140,  ess_mu: 1.559411,  ess_local: 7.119089,  density: -785.912422
(145s) loss_phi: -422.863163,  loss_theta: 102.732963,  ess_rws: 1.017337,  ess_mu: 1.556696,  ess_local: 7.149657,  density: -776.303379
(145s) loss_phi: -423.143727,  loss_theta: 103.908175,  ess_rws: 1.017990,  ess_mu: 1.565466,  ess_local: 7.156950,  density: -772.354307
(146s) loss_phi: -423.363770,  loss_theta: 106.831853,  ess_rws: 1.017888,  ess_mu: 1.556659,  ess_local: 7.178272,  density: -769.896130
(144s) loss_phi: -423.082466,  loss_theta: 105.083913,  ess_rws: 1.015924,  ess_mu: 1.560130,  ess_local: 7.170981,  density: -762.068443
(144s) loss_phi: -423.569452,  loss_theta: 106.035486,  ess_rws: 1.016557,  ess_mu: 1.569185,  ess_local: 7.229435,  density: -755.758563
(145s) loss_phi: -423.719237,  loss_theta: 103.517840,  ess_rws: 1.017532,  ess_mu: 1.563566,  ess_local: 7.222291,  density: -748.155070
(145s) loss_phi: -423.091449,  loss_theta: 101.140555,  ess_rws: 1.019192,  ess_mu: 1.560985,  ess_local: 7.260754,  density: -741.814930
(146s) loss_phi: -422.912789,  loss_theta: 102.829673,  ess_rws: 1.018443,  ess_mu: 1.556690,  ess_local: 7.273126,  density: -737.880726
(146s) loss_phi: -423.225024,  loss_theta: 103.810591,  ess_rws: 1.017830,  ess_mu: 1.560312,  ess_local: 7.294637,  density: -732.835496
