(387s) loss_phi: -32.782161,  loss_theta: 18900.953260,  ess_rws: 1.001165,  ess_mu: 1.008532,  ess_local: 1.007985,  density: -11723.099829
(387s) loss_phi: -265.596764,  loss_theta: 3635.155743,  ess_rws: 1.004941,  ess_mu: 1.037233,  ess_local: 1.017203,  density: -2813.709553
(381s) loss_phi: -328.401779,  loss_theta: 2497.546648,  ess_rws: 1.008270,  ess_mu: 1.058185,  ess_local: 1.019095,  density: -2122.237802
(387s) loss_phi: -363.238396,  loss_theta: 1845.538566,  ess_rws: 1.010855,  ess_mu: 1.093679,  ess_local: 1.020675,  density: -1756.551057
(387s) loss_phi: -383.942961,  loss_theta: 1616.955645,  ess_rws: 1.012125,  ess_mu: 1.113939,  ess_local: 1.019446,  density: -1602.674975
(386s) loss_phi: -397.876553,  loss_theta: 1490.455460,  ess_rws: 1.011081,  ess_mu: 1.132237,  ess_local: 1.020600,  density: -1520.560442
(387s) loss_phi: -409.810495,  loss_theta: 1411.598965,  ess_rws: 1.012501,  ess_mu: 1.135421,  ess_local: 1.020509,  density: -1464.334721
(387s) loss_phi: -419.044752,  loss_theta: 1357.648828,  ess_rws: 1.011136,  ess_mu: 1.143360,  ess_local: 1.021432,  density: -1427.363500
(387s) loss_phi: -424.595536,  loss_theta: 1316.454716,  ess_rws: 1.012001,  ess_mu: 1.153157,  ess_local: 1.021205,  density: -1401.919945
(387s) loss_phi: -426.514143,  loss_theta: 1280.779393,  ess_rws: 1.012320,  ess_mu: 1.157227,  ess_local: 1.020795,  density: -1389.304493
(387s) loss_phi: -423.817869,  loss_theta: 1217.475016,  ess_rws: 1.011477,  ess_mu: 1.159178,  ess_local: 1.019987,  density: -1394.668968
(387s) loss_phi: -432.128586,  loss_theta: 1104.714265,  ess_rws: 1.011589,  ess_mu: 1.172212,  ess_local: 1.020189,  density: -1341.512530
(387s) loss_phi: -443.378181,  loss_theta: 1011.813805,  ess_rws: 1.012106,  ess_mu: 1.182572,  ess_local: 1.020750,  density: -1272.265143
(386s) loss_phi: -453.277678,  loss_theta: 932.847127,  ess_rws: 1.013025,  ess_mu: 1.190096,  ess_local: 1.020981,  density: -1221.378177
