(779s) loss_phi: 86.475881,  loss_theta: 2834.484810,  ess_rws: 1.017804,  ess_mu: 1.062754,  ess_local: 1.110646,  density: -1892.841792
(776s) loss_phi: -46.192802,  loss_theta: 1345.616191,  ess_rws: 1.074184,  ess_mu: 1.218235,  ess_local: 1.280300,  density: -1016.922132
(776s) loss_phi: -67.743413,  loss_theta: 1169.885744,  ess_rws: 1.135537,  ess_mu: 1.582803,  ess_local: 1.372484,  density: -917.809312
(779s) loss_phi: -80.033106,  loss_theta: 1112.460330,  ess_rws: 1.160389,  ess_mu: 1.881745,  ess_local: 1.404009,  density: -884.699170
(775s) loss_phi: -84.718037,  loss_theta: 1092.718544,  ess_rws: 1.178859,  ess_mu: 2.032790,  ess_local: 1.409166,  density: -872.328280
(775s) loss_phi: -86.661083,  loss_theta: 1085.929738,  ess_rws: 1.186033,  ess_mu: 2.113393,  ess_local: 1.414236,  density: -867.497611
(778s) loss_phi: -87.938215,  loss_theta: 1081.911572,  ess_rws: 1.194846,  ess_mu: 2.140654,  ess_local: 1.436752,  density: -864.735191
(777s) loss_phi: -88.973505,  loss_theta: 1079.061748,  ess_rws: 1.199077,  ess_mu: 2.166842,  ess_local: 1.432990,  density: -862.728591
(776s) loss_phi: -89.960580,  loss_theta: 1076.495887,  ess_rws: 1.204815,  ess_mu: 2.185813,  ess_local: 1.439150,  density: -860.698703
(776s) loss_phi: -90.848625,  loss_theta: 1074.179943,  ess_rws: 1.203665,  ess_mu: 2.184606,  ess_local: 1.454531,  density: -859.039980
(776s) loss_phi: -91.706687,  loss_theta: 1071.962223,  ess_rws: 1.210745,  ess_mu: 2.185742,  ess_local: 1.454073,  density: -857.382663
(777s) loss_phi: -92.277962,  loss_theta: 1070.970977,  ess_rws: 1.209040,  ess_mu: 2.207035,  ess_local: 1.457151,  density: -856.168935
(774s) loss_phi: -92.884375,  loss_theta: 1069.286871,  ess_rws: 1.214741,  ess_mu: 2.211986,  ess_local: 1.454383,  density: -855.054510
(572s) loss_phi: -93.463032,  loss_theta: 1067.992679,  ess_rws: 1.218883,  ess_mu: 2.208815,  ess_local: 1.471959,  density: -854.016483
(391s) loss_phi: -93.853421,  loss_theta: 1067.283080,  ess_rws: 1.223631,  ess_mu: 2.214459,  ess_local: 1.471852,  density: -853.347885
(392s) loss_phi: -94.093501,  loss_theta: 1066.650982,  ess_rws: 1.221720,  ess_mu: 2.216528,  ess_local: 1.479198,  density: -852.741492
(401s) loss_phi: -94.454673,  loss_theta: 1066.053819,  ess_rws: 1.228165,  ess_mu: 2.231034,  ess_local: 1.478781,  density: -852.223347
(390s) loss_phi: -94.729015,  loss_theta: 1065.576442,  ess_rws: 1.230970,  ess_mu: 2.228289,  ess_local: 1.491650,  density: -851.753500
(383s) loss_phi: -94.876902,  loss_theta: 1065.245611,  ess_rws: 1.227905,  ess_mu: 2.210996,  ess_local: 1.484758,  density: -851.382273
(392s) loss_phi: -95.253276,  loss_theta: 1064.687688,  ess_rws: 1.231672,  ess_mu: 2.219910,  ess_local: 1.481087,  density: -850.990799
(590s) loss_phi: -95.452680,  loss_theta: 1064.402098,  ess_rws: 1.232718,  ess_mu: 2.210682,  ess_local: 1.487632,  density: -850.622111
(831s) loss_phi: -95.848089,  loss_theta: 1063.400774,  ess_rws: 1.240334,  ess_mu: 2.221011,  ess_local: 1.488912,  density: -849.980064
(845s) loss_phi: -95.948637,  loss_theta: 1063.065621,  ess_rws: 1.246496,  ess_mu: 2.219529,  ess_local: 1.495178,  density: -849.756813
(873s) loss_phi: -96.166586,  loss_theta: 1063.178482,  ess_rws: 1.246389,  ess_mu: 2.220865,  ess_local: 1.492175,  density: -849.663282
