(284s) loss_phi: 57.620166,  loss_theta: 4267.185257,  ess_rws: inf,  ess_mu: 1.013188,  ess_local: 1.498641,  density: -12536.885080
(280s) loss_phi: -107.383514,  loss_theta: 2088.618516,  ess_rws: inf,  ess_mu: 1.028613,  ess_local: 1.750948,  density: -7022.030461
(279s) loss_phi: -365.324230,  loss_theta: 1283.722461,  ess_rws: inf,  ess_mu: 1.060373,  ess_local: 2.541128,  density: -3632.599596
(279s) loss_phi: -318.060453,  loss_theta: 986.121916,  ess_rws: inf,  ess_mu: 1.165855,  ess_local: 4.267817,  density: -1651.969684
(281s) loss_phi: -276.224151,  loss_theta: 929.821602,  ess_rws: inf,  ess_mu: 1.276706,  ess_local: 4.874585,  density: -1312.294607
(281s) loss_phi: -279.845277,  loss_theta: 871.174013,  ess_rws: inf,  ess_mu: 1.385860,  ess_local: 5.026034,  density: -1193.247901
(280s) loss_phi: -311.072423,  loss_theta: 810.733921,  ess_rws: inf,  ess_mu: 1.520128,  ess_local: 5.150432,  density: -1104.662239
(281s) loss_phi: -425.175527,  loss_theta: 752.049171,  ess_rws: inf,  ess_mu: 1.691633,  ess_local: 4.673643,  density: -1101.503832
(281s) loss_phi: -429.508379,  loss_theta: 715.130003,  ess_rws: inf,  ess_mu: 1.864643,  ess_local: 4.859776,  density: -997.866936
(279s) loss_phi: -332.363954,  loss_theta: 685.122346,  ess_rws: inf,  ess_mu: 2.010667,  ess_local: 5.272815,  density: -885.695620
(281s) loss_phi: -316.521421,  loss_theta: 664.762133,  ess_rws: inf,  ess_mu: 2.099781,  ess_local: 5.146106,  density: -874.176191
(280s) loss_phi: -300.235322,  loss_theta: 652.971315,  ess_rws: inf,  ess_mu: 2.142496,  ess_local: 4.926318,  density: -883.992330
(282s) loss_phi: -281.825448,  loss_theta: 647.697696,  ess_rws: inf,  ess_mu: 2.134698,  ess_local: 4.687007,  density: -911.227789
(284s) loss_phi: -258.281166,  loss_theta: 653.003499,  ess_rws: inf,  ess_mu: 2.037782,  ess_local: 4.331554,  density: -977.079580
(281s) loss_phi: -237.719200,  loss_theta: 684.587029,  ess_rws: inf,  ess_mu: 1.875758,  ess_local: 3.869201,  density: -1132.500973
(283s) loss_phi: -235.258523,  loss_theta: 3140.053290,  ess_rws: inf,  ess_mu: 1.110235,  ess_local: 2.284335,  density: -8820.862204
(283s) loss_phi: -251.780871,  loss_theta: 2149.782032,  ess_rws: inf,  ess_mu: 1.053640,  ess_local: 1.848064,  density: -17555.001391
(283s) loss_phi: -395.240539,  loss_theta: 1599.282698,  ess_rws: inf,  ess_mu: 1.108076,  ess_local: 1.789517,  density: -12218.663672
(280s) loss_phi: -355.252451,  loss_theta: 1209.136688,  ess_rws: inf,  ess_mu: 1.157987,  ess_local: 1.957568,  density: -8467.310894
(281s) loss_phi: -300.360228,  loss_theta: 999.997030,  ess_rws: inf,  ess_mu: 1.215765,  ess_local: 2.278407,  density: -5008.835193
(282s) loss_phi: -238.599688,  loss_theta: 907.852415,  ess_rws: inf,  ess_mu: 1.312825,  ess_local: 2.439173,  density: -3727.607838
(280s) loss_phi: -207.662055,  loss_theta: 879.459569,  ess_rws: inf,  ess_mu: 1.414634,  ess_local: 2.492231,  density: -3339.290722
(280s) loss_phi: -219.886033,  loss_theta: 912.396479,  ess_rws: inf,  ess_mu: 1.437516,  ess_local: 2.435456,  density: -3653.429955
(282s) loss_phi: -277.752065,  loss_theta: 992.421183,  ess_rws: inf,  ess_mu: 1.382333,  ess_local: 2.328106,  density: -4570.139725
