symKL_DB_eta: 179.645,  symKL_DB_z: 35.853,  loss: -1009.319,  ess: 4.998,  kl_eta_ex: 374.048,  kl_eta_in: 209.968,  kl_z_ex: 19.381,  kl_z_in: 15.653
symKL_DB_eta: 65.594,  symKL_DB_z: 14.145,  loss: -765.767,  ess: 5.323,  kl_eta_ex: 136.377,  kl_eta_in: 245.705,  kl_z_ex: 5.913,  kl_z_in: 2.949
symKL_DB_eta: 60.599,  symKL_DB_z: 12.783,  loss: -740.802,  ess: 5.384,  kl_eta_ex: 123.533,  kl_eta_in: 263.938,  kl_z_ex: 5.530,  kl_z_in: 2.826
symKL_DB_eta: 68.629,  symKL_DB_z: 14.616,  loss: -732.824,  ess: 5.377,  kl_eta_ex: 134.069,  kl_eta_in: 272.153,  kl_z_ex: 6.525,  kl_z_in: 3.219
symKL_DB_eta: 76.898,  symKL_DB_z: 16.216,  loss: -728.072,  ess: 5.355,  kl_eta_ex: 142.925,  kl_eta_in: 271.558,  kl_z_ex: 7.623,  kl_z_in: 3.629
symKL_DB_eta: 83.732,  symKL_DB_z: 17.853,  loss: -725.321,  ess: 5.360,  kl_eta_ex: 150.657,  kl_eta_in: 270.346,  kl_z_ex: 8.468,  kl_z_in: 3.689
symKL_DB_eta: 89.174,  symKL_DB_z: 18.372,  loss: -722.165,  ess: 5.376,  kl_eta_ex: 154.394,  kl_eta_in: 266.203,  kl_z_ex: 8.937,  kl_z_in: 3.550
symKL_DB_eta: 90.432,  symKL_DB_z: 18.070,  loss: -716.810,  ess: 5.404,  kl_eta_ex: 153.357,  kl_eta_in: 261.561,  kl_z_ex: 8.634,  kl_z_in: 3.238
symKL_DB_eta: 88.473,  symKL_DB_z: 17.405,  loss: -708.651,  ess: 5.445,  kl_eta_ex: 150.097,  kl_eta_in: 252.162,  kl_z_ex: 7.943,  kl_z_in: 2.923
symKL_DB_eta: 86.644,  symKL_DB_z: 16.111,  loss: -701.429,  ess: 5.479,  kl_eta_ex: 144.719,  kl_eta_in: 239.756,  kl_z_ex: 7.296,  kl_z_in: 2.667
symKL_DB_eta: 82.828,  symKL_DB_z: 14.768,  loss: -691.355,  ess: 5.504,  kl_eta_ex: 137.130,  kl_eta_in: 231.751,  kl_z_ex: 6.432,  kl_z_in: 2.407
symKL_DB_eta: 80.265,  symKL_DB_z: 13.757,  loss: -683.634,  ess: 5.528,  kl_eta_ex: 131.420,  kl_eta_in: 222.014,  kl_z_ex: 5.933,  kl_z_in: 2.197
symKL_DB_eta: 74.965,  symKL_DB_z: 12.400,  loss: -674.112,  ess: 5.550,  kl_eta_ex: 123.354,  kl_eta_in: 219.161,  kl_z_ex: 5.317,  kl_z_in: 1.993
symKL_DB_eta: 72.050,  symKL_DB_z: 10.611,  loss: -667.648,  ess: 5.569,  kl_eta_ex: 117.730,  kl_eta_in: 213.529,  kl_z_ex: 4.754,  kl_z_in: 1.814
symKL_DB_eta: 70.774,  symKL_DB_z: 10.121,  loss: -661.285,  ess: 5.582,  kl_eta_ex: 114.328,  kl_eta_in: 205.705,  kl_z_ex: 4.442,  kl_z_in: 1.669
symKL_DB_eta: 68.797,  symKL_DB_z: 9.444,  loss: -657.054,  ess: 5.595,  kl_eta_ex: 109.923,  kl_eta_in: 203.367,  kl_z_ex: 4.147,  kl_z_in: 1.539
symKL_DB_eta: 66.327,  symKL_DB_z: 8.641,  loss: -654.578,  ess: 5.611,  kl_eta_ex: 108.169,  kl_eta_in: 206.872,  kl_z_ex: 4.048,  kl_z_in: 1.421
symKL_DB_eta: 63.079,  symKL_DB_z: 8.287,  loss: -650.242,  ess: 5.619,  kl_eta_ex: 102.588,  kl_eta_in: 204.385,  kl_z_ex: 3.359,  kl_z_in: 1.300
symKL_DB_eta: 60.302,  symKL_DB_z: 7.541,  loss: -646.415,  ess: 5.629,  kl_eta_ex: 99.548,  kl_eta_in: 197.006,  kl_z_ex: 3.209,  kl_z_in: 1.204
symKL_DB_eta: 54.469,  symKL_DB_z: 6.911,  loss: -639.337,  ess: 5.675,  kl_eta_ex: 94.021,  kl_eta_in: 190.456,  kl_z_ex: 2.974,  kl_z_in: 1.079
symKL_DB_eta: 46.440,  symKL_DB_z: 5.681,  loss: -609.915,  ess: 5.759,  kl_eta_ex: 76.462,  kl_eta_in: 163.943,  kl_z_ex: 2.180,  kl_z_in: 1.161
symKL_DB_eta: 23.588,  symKL_DB_z: 3.105,  loss: -555.295,  ess: 5.858,  kl_eta_ex: 43.683,  kl_eta_in: 151.615,  kl_z_ex: 1.048,  kl_z_in: 0.652
symKL_DB_eta: 16.576,  symKL_DB_z: 3.950,  loss: -531.424,  ess: 6.106,  kl_eta_ex: 31.210,  kl_eta_in: 161.958,  kl_z_ex: 1.027,  kl_z_in: 0.631
