symKL_DB_eta: 217.541,  symKL_DB_z: 54.191,  loss: -1183.892,  ess: 4.825,  kl_eta_ex: 493.871,  kl_eta_in: 190.964,  kl_z_ex: 37.923,  kl_z_in: 10.479
symKL_DB_eta: 68.638,  symKL_DB_z: 16.475,  loss: -788.627,  ess: 5.289,  kl_eta_ex: 140.725,  kl_eta_in: 202.674,  kl_z_ex: 6.931,  kl_z_in: 3.236
symKL_DB_eta: 58.147,  symKL_DB_z: 13.566,  loss: -735.953,  ess: 5.389,  kl_eta_ex: 112.316,  kl_eta_in: 204.222,  kl_z_ex: 5.711,  kl_z_in: 2.824
symKL_DB_eta: 62.785,  symKL_DB_z: 14.514,  loss: -720.785,  ess: 5.392,  kl_eta_ex: 118.298,  kl_eta_in: 217.651,  kl_z_ex: 6.357,  kl_z_in: 3.015
symKL_DB_eta: 70.230,  symKL_DB_z: 15.725,  loss: -710.124,  ess: 5.381,  kl_eta_ex: 124.863,  kl_eta_in: 221.739,  kl_z_ex: 7.035,  kl_z_in: 3.248
symKL_DB_eta: 72.335,  symKL_DB_z: 15.910,  loss: -692.738,  ess: 5.389,  kl_eta_ex: 125.643,  kl_eta_in: 233.789,  kl_z_ex: 7.254,  kl_z_in: 3.252
symKL_DB_eta: 73.275,  symKL_DB_z: 15.965,  loss: -677.962,  ess: 5.418,  kl_eta_ex: 120.149,  kl_eta_in: 241.273,  kl_z_ex: 6.759,  kl_z_in: 2.887
symKL_DB_eta: 73.840,  symKL_DB_z: 15.845,  loss: -668.213,  ess: 5.440,  kl_eta_ex: 116.416,  kl_eta_in: 238.166,  kl_z_ex: 6.324,  kl_z_in: 2.556
symKL_DB_eta: 72.857,  symKL_DB_z: 15.058,  loss: -659.551,  ess: 5.472,  kl_eta_ex: 112.500,  kl_eta_in: 241.117,  kl_z_ex: 5.697,  kl_z_in: 2.240
symKL_DB_eta: 71.852,  symKL_DB_z: 13.643,  loss: -653.694,  ess: 5.495,  kl_eta_ex: 109.577,  kl_eta_in: 237.980,  kl_z_ex: 5.524,  kl_z_in: 2.063
symKL_DB_eta: 69.807,  symKL_DB_z: 12.359,  loss: -647.827,  ess: 5.517,  kl_eta_ex: 104.950,  kl_eta_in: 232.943,  kl_z_ex: 4.959,  kl_z_in: 1.837
symKL_DB_eta: 67.151,  symKL_DB_z: 11.168,  loss: -644.195,  ess: 5.537,  kl_eta_ex: 100.732,  kl_eta_in: 229.766,  kl_z_ex: 4.512,  kl_z_in: 1.674
symKL_DB_eta: 65.320,  symKL_DB_z: 9.861,  loss: -640.917,  ess: 5.556,  kl_eta_ex: 97.120,  kl_eta_in: 219.236,  kl_z_ex: 3.969,  kl_z_in: 1.499
symKL_DB_eta: 61.652,  symKL_DB_z: 8.865,  loss: -637.408,  ess: 5.572,  kl_eta_ex: 93.837,  kl_eta_in: 207.028,  kl_z_ex: 3.517,  kl_z_in: 1.336
symKL_DB_eta: 62.670,  symKL_DB_z: 9.148,  loss: -640.854,  ess: 5.628,  kl_eta_ex: 100.288,  kl_eta_in: 187.557,  kl_z_ex: 3.662,  kl_z_in: 1.240
