DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
364.659,  101.828,  -1335.800,  4.755,  774.362,  172.731,  72.281,  16.786
75.313,  17.524,  -765.564,  5.282,  145.671,  197.313,  7.351,  3.146
60.434,  14.847,  -731.542,  5.377,  119.288,  230.390,  6.064,  2.748
64.420,  15.212,  -719.826,  5.376,  120.778,  216.895,  6.399,  2.875
69.278,  15.560,  -707.565,  5.388,  123.195,  223.423,  6.647,  2.952
70.632,  15.390,  -691.487,  5.411,  120.169,  237.796,  6.017,  2.717
71.736,  15.165,  -677.759,  5.448,  116.349,  244.270,  5.838,  2.425
72.545,  14.914,  -668.083,  5.482,  112.640,  241.890,  5.614,  2.164
71.884,  13.820,  -660.086,  5.508,  108.157,  239.277,  5.278,  1.956
68.888,  12.729,  -652.645,  5.529,  104.367,  236.759,  4.859,  1.784
65.530,  11.696,  -647.286,  5.552,  100.235,  236.096,  4.381,  1.625
63.966,  10.207,  -642.736,  5.564,  97.490,  231.814,  4.071,  1.480
61.104,  9.298,  -639.305,  5.584,  94.024,  226.675,  3.635,  1.325
57.539,  8.533,  -635.554,  5.595,  91.412,  215.718,  3.188,  1.178
60.486,  8.499,  -637.806,  5.633,  93.952,  195.969,  2.988,  1.039
60.948,  10.618,  -621.732,  5.727,  102.622,  180.357,  3.800,  0.913
27.991,  4.106,  -567.706,  5.806,  51.527,  156.497,  1.377,  0.536
21.760,  3.378,  -549.534,  5.879,  41.486,  142.692,  0.921,  0.471
17.432,  3.741,  -539.014,  6.005,  35.062,  138.887,  0.966,  0.493
15.294,  3.992,  -526.769,  6.153,  29.704,  125.482,  1.057,  0.482
12.276,  3.887,  -514.535,  6.443,  22.891,  109.227,  1.060,  0.439
10.175,  3.996,  -509.438,  6.898,  19.802,  92.247,  0.963,  0.407
9.694,  3.693,  -504.025,  7.104,  18.176,  69.082,  0.889,  0.366
9.468,  3.275,  -493.699,  7.222,  15.600,  44.486,  0.775,  0.311
8.377,  2.631,  -477.638,  7.289,  9.851,  18.497,  0.600,  0.241
4.374,  2.429,  -464.064,  7.664,  1.796,  2.402,  0.483,  0.195
2.492,  2.560,  -462.307,  8.233,  0.056,  0.068,  0.445,  0.181
2.429,  2.432,  -462.825,  8.288,  0.015,  0.014,  0.423,  0.172
2.380,  2.295,  -462.946,  8.307,  0.010,  0.008,  0.405,  0.166
2.380,  2.185,  -462.880,  8.325,  0.008,  0.006,  0.390,  0.157
2.379,  2.210,  -463.472,  8.325,  0.009,  0.006,  0.380,  0.152
2.353,  2.254,  -463.433,  8.330,  0.008,  0.006,  0.368,  0.146
2.397,  2.165,  -463.436,  8.328,  0.007,  0.005,  0.367,  0.144
2.426,  2.328,  -463.178,  8.326,  0.007,  0.005,  0.356,  0.140
2.344,  1.875,  -463.526,  8.330,  0.007,  0.005,  0.347,  0.136
2.388,  1.974,  -463.337,  8.334,  0.007,  0.005,  0.350,  0.137
2.336,  1.982,  -463.052,  8.339,  0.008,  0.005,  0.340,  0.131
2.355,  2.474,  -463.360,  8.333,  0.008,  0.006,  0.343,  0.131
2.432,  1.847,  -462.915,  8.328,  0.008,  0.006,  0.337,  0.131
2.361,  2.144,  -463.501,  8.334,  0.007,  0.005,  0.324,  0.126
2.393,  2.165,  -463.562,  8.338,  0.008,  0.005,  0.319,  0.128
2.340,  1.997,  -463.423,  8.337,  0.007,  0.005,  0.308,  0.123
2.415,  2.094,  -463.346,  8.336,  0.008,  0.006,  0.301,  0.120
2.393,  1.886,  -463.512,  8.335,  0.008,  0.005,  0.316,  0.121
2.413,  2.299,  -463.594,  8.335,  0.009,  0.006,  0.296,  0.117
2.396,  1.876,  -463.948,  8.337,  0.008,  0.005,  0.292,  0.119
2.443,  1.959,  -463.311,  8.337,  0.007,  0.005,  0.283,  0.118
2.336,  1.987,  -464.010,  8.340,  0.008,  0.006,  0.285,  0.116
2.390,  2.102,  -463.637,  8.338,  0.009,  0.006,  0.276,  0.113
2.439,  1.949,  -463.539,  8.335,  0.008,  0.006,  0.271,  0.112
2.394,  1.883,  -463.611,  8.339,  0.008,  0.006,  0.270,  0.112
2.374,  1.858,  -463.477,  8.337,  0.010,  0.006,  0.261,  0.111
2.368,  1.639,  -463.363,  8.338,  0.010,  0.007,  0.266,  0.111
2.443,  1.714,  -463.727,  8.341,  0.008,  0.006,  0.265,  0.108
2.373,  1.583,  -463.462,  8.347,  0.008,  0.006,  0.258,  0.106
2.367,  2.092,  -463.875,  8.344,  0.008,  0.005,  0.261,  0.107
2.395,  1.624,  -463.474,  8.339,  0.008,  0.005,  0.249,  0.106
2.403,  1.988,  -463.755,  8.343,  0.008,  0.006,  0.245,  0.105
2.402,  2.024,  -463.379,  8.338,  0.008,  0.005,  0.246,  0.105
2.363,  1.915,  -463.115,  8.342,  0.009,  0.006,  0.245,  0.101
2.415,  1.761,  -463.505,  8.341,  0.007,  0.005,  0.242,  0.103
2.364,  1.904,  -463.422,  8.343,  0.008,  0.006,  0.241,  0.102
2.386,  1.643,  -463.165,  8.339,  0.008,  0.006,  0.226,  0.098
2.413,  1.727,  -463.539,  8.344,  0.009,  0.006,  0.233,  0.098
2.401,  1.943,  -463.394,  8.345,  0.008,  0.006,  0.226,  0.098
2.377,  1.657,  -463.605,  8.334,  0.009,  0.006,  0.220,  0.099
2.431,  1.549,  -463.978,  8.346,  0.007,  0.005,  0.223,  0.098
2.385,  1.674,  -463.727,  8.348,  0.009,  0.006,  0.219,  0.095
2.465,  1.841,  -463.309,  8.351,  0.009,  0.006,  0.222,  0.095
2.355,  1.580,  -463.470,  8.348,  0.008,  0.006,  0.223,  0.097
2.377,  1.719,  -463.454,  8.349,  0.008,  0.006,  0.222,  0.094
2.460,  1.910,  -463.672,  8.342,  0.008,  0.005,  0.221,  0.096
2.369,  1.816,  -463.753,  8.342,  0.008,  0.006,  0.224,  0.094
2.392,  1.525,  -463.457,  8.343,  0.007,  0.005,  0.207,  0.093
2.342,  2.026,  -463.228,  8.347,  0.008,  0.006,  0.205,  0.091
2.409,  1.931,  -463.490,  8.345,  0.008,  0.006,  0.209,  0.093
2.445,  1.854,  -463.965,  8.349,  0.008,  0.006,  0.208,  0.092
2.355,  1.851,  -463.962,  8.351,  0.008,  0.006,  0.206,  0.091
2.355,  1.843,  -463.526,  8.350,  0.008,  0.006,  0.205,  0.092
2.346,  1.504,  -463.789,  8.347,  0.008,  0.006,  0.205,  0.091
2.381,  1.520,  -463.636,  8.348,  0.008,  0.006,  0.207,  0.091
2.381,  1.846,  -463.805,  8.348,  0.008,  0.006,  0.203,  0.090
2.406,  1.702,  -463.959,  8.349,  0.009,  0.006,  0.200,  0.089
2.395,  1.546,  -463.413,  8.351,  0.009,  0.006,  0.202,  0.089
2.414,  1.873,  -463.555,  8.345,  0.008,  0.006,  0.198,  0.087
2.364,  1.554,  -463.533,  8.344,  0.008,  0.006,  0.195,  0.088
2.376,  1.645,  -463.462,  8.344,  0.008,  0.006,  0.203,  0.088
2.434,  1.524,  -463.383,  8.338,  0.008,  0.006,  0.197,  0.088
2.367,  1.579,  -463.276,  8.347,  0.008,  0.006,  0.194,  0.084
2.456,  1.742,  -463.707,  8.344,  0.008,  0.006,  0.194,  0.087
2.379,  1.606,  -463.915,  8.348,  0.008,  0.006,  0.196,  0.087
2.459,  1.701,  -463.663,  8.352,  0.009,  0.006,  0.187,  0.086
2.371,  1.467,  -463.400,  8.345,  0.009,  0.006,  0.190,  0.085
2.449,  1.761,  -462.959,  8.348,  0.007,  0.005,  0.180,  0.084
