eubo: -687.133,  elbo: -870.251,  ess: 1.083
eubo: -450.549,  elbo: -504.381,  ess: 1.253
eubo: -395.489,  elbo: -427.721,  ess: 1.324
eubo: -349.518,  elbo: -376.134,  ess: 1.346
eubo: -314.672,  elbo: -338.085,  ess: 1.464
eubo: -296.469,  elbo: -319.481,  ess: 1.566
eubo: -292.969,  elbo: -311.651,  ess: 1.607
eubo: -291.743,  elbo: -308.618,  ess: 1.634
eubo: -290.764,  elbo: -306.202,  ess: 1.663
eubo: -290.958,  elbo: -305.306,  ess: 1.685
eubo: -290.478,  elbo: -304.329,  ess: 1.702
eubo: -290.247,  elbo: -303.857,  ess: 1.708
eubo: -290.022,  elbo: -302.973,  ess: 1.712
eubo: -289.694,  elbo: -302.531,  ess: 1.735
eubo: -289.773,  elbo: -302.010,  ess: 1.730
eubo: -289.502,  elbo: -301.300,  ess: 1.747
eubo: -289.714,  elbo: -302.056,  ess: 1.755
eubo: -289.435,  elbo: -300.737,  ess: 1.755
eubo: -289.450,  elbo: -301.098,  ess: 1.766
eubo: -289.324,  elbo: -300.926,  ess: 1.763
eubo: -289.247,  elbo: -300.519,  ess: 1.763
eubo: -289.283,  elbo: -300.551,  ess: 1.759
eubo: -289.200,  elbo: -300.013,  ess: 1.765
eubo: -289.302,  elbo: -300.299,  ess: 1.767
eubo: -289.147,  elbo: -299.790,  ess: 1.778
eubo: -289.161,  elbo: -300.176,  ess: 1.778
eubo: -289.320,  elbo: -299.840,  ess: 1.790
eubo: -289.062,  elbo: -299.834,  ess: 1.794
eubo: -289.292,  elbo: -300.149,  ess: 1.790
eubo: -289.162,  elbo: -299.768,  ess: 1.786
eubo: -289.089,  elbo: -299.656,  ess: 1.799
eubo: -289.040,  elbo: -299.528,  ess: 1.790
eubo: -288.986,  elbo: -299.291,  ess: 1.784
eubo: -288.990,  elbo: -299.309,  ess: 1.796
eubo: -288.986,  elbo: -299.015,  ess: 1.793
eubo: -288.992,  elbo: -299.712,  ess: 1.805
eubo: -288.949,  elbo: -299.289,  ess: 1.802
eubo: -288.953,  elbo: -299.257,  ess: 1.793
eubo: -288.938,  elbo: -299.008,  ess: 1.799
eubo: -288.975,  elbo: -298.877,  ess: 1.798
eubo: -289.002,  elbo: -298.756,  ess: 1.804
eubo: -288.847,  elbo: -298.857,  ess: 1.793
eubo: -288.891,  elbo: -298.632,  ess: 1.796
eubo: -288.855,  elbo: -298.702,  ess: 1.797
eubo: -288.901,  elbo: -298.888,  ess: 1.801
eubo: -288.943,  elbo: -299.071,  ess: 1.815
eubo: -288.926,  elbo: -298.871,  ess: 1.797
eubo: -288.790,  elbo: -298.742,  ess: 1.805
eubo: -288.844,  elbo: -298.659,  ess: 1.811
eubo: -288.882,  elbo: -298.501,  ess: 1.818
eubo: -288.792,  elbo: -298.587,  ess: 1.799
eubo: -288.786,  elbo: -298.558,  ess: 1.809
eubo: -288.861,  elbo: -298.545,  ess: 1.813
eubo: -288.846,  elbo: -298.706,  ess: 1.806
eubo: -288.873,  elbo: -298.447,  ess: 1.806
eubo: -288.787,  elbo: -298.605,  ess: 1.811
eubo: -288.810,  elbo: -298.507,  ess: 1.796
eubo: -288.804,  elbo: -298.402,  ess: 1.811
eubo: -288.821,  elbo: -298.480,  ess: 1.819
eubo: -288.815,  elbo: -298.410,  ess: 1.802
eubo: -288.811,  elbo: -298.372,  ess: 1.819
eubo: -288.856,  elbo: -298.775,  ess: 1.813
eubo: -288.769,  elbo: -298.245,  ess: 1.813
eubo: -288.817,  elbo: -298.953,  ess: 1.815
eubo: -288.778,  elbo: -298.334,  ess: 1.820
eubo: -288.741,  elbo: -298.399,  ess: 1.803
eubo: -288.782,  elbo: -298.422,  ess: 1.816
eubo: -288.755,  elbo: -298.304,  ess: 1.824
eubo: -288.743,  elbo: -298.333,  ess: 1.815
eubo: -288.784,  elbo: -298.155,  ess: 1.827
eubo: -288.732,  elbo: -297.990,  ess: 1.820
eubo: -288.695,  elbo: -298.311,  ess: 1.827
eubo: -288.743,  elbo: -298.263,  ess: 1.818
eubo: -288.700,  elbo: -298.185,  ess: 1.811
eubo: -288.667,  elbo: -298.421,  ess: 1.807
eubo: -288.665,  elbo: -298.056,  ess: 1.823
eubo: -288.686,  elbo: -298.068,  ess: 1.827
eubo: -288.687,  elbo: -297.945,  ess: 1.824
eubo: -288.700,  elbo: -297.985,  ess: 1.820
eubo: -288.654,  elbo: -298.002,  ess: 1.826
eubo: -288.625,  elbo: -297.963,  ess: 1.824
eubo: -288.638,  elbo: -298.017,  ess: 1.818
eubo: -288.666,  elbo: -298.177,  ess: 1.827
eubo: -288.666,  elbo: -298.029,  ess: 1.841
eubo: -288.624,  elbo: -297.869,  ess: 1.818
eubo: -288.598,  elbo: -297.828,  ess: 1.840
eubo: -288.659,  elbo: -298.018,  ess: 1.825
eubo: -288.641,  elbo: -297.909,  ess: 1.818
eubo: -288.600,  elbo: -297.704,  ess: 1.830
eubo: -288.633,  elbo: -297.771,  ess: 1.832
eubo: -288.650,  elbo: -298.011,  ess: 1.837
eubo: -288.644,  elbo: -297.803,  ess: 1.841
eubo: -288.583,  elbo: -297.847,  ess: 1.820
eubo: -288.629,  elbo: -297.821,  ess: 1.831
eubo: -288.612,  elbo: -297.736,  ess: 1.824
eubo: -288.502,  elbo: -297.928,  ess: 1.825
eubo: -288.672,  elbo: -298.006,  ess: 1.827
eubo: -288.672,  elbo: -297.903,  ess: 1.834
eubo: -288.605,  elbo: -298.162,  ess: 1.835
eubo: -288.594,  elbo: -297.808,  ess: 1.831
