EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-808.204	-1082.963	4.097	812.584	191.212	372.916	782.833
-700.281	-936.523	4.172	658.051	197.678	318.054	844.651
-623.470	-829.431	4.240	543.862	205.929	273.325	867.459
-560.092	-739.800	4.291	452.925	214.987	234.330	895.634
-506.363	-663.293	4.342	373.408	221.832	198.016	905.053
-455.591	-597.150	4.388	313.420	225.856	171.851	885.497
-424.919	-548.381	4.459	268.785	228.675	161.128	874.971
-399.779	-506.557	4.521	237.032	225.626	153.470	837.237
-373.250	-466.862	4.602	206.021	223.315	142.749	792.637
-365.429	-450.488	4.680	195.157	219.393	153.457	755.208
-356.935	-435.426	4.748	184.210	210.700	154.998	687.671
-351.237	-427.517	4.797	183.345	199.779	160.593	624.187
-353.677	-429.895	4.838	189.031	188.467	167.775	566.134
-356.215	-435.179	4.865	195.929	185.770	176.340	536.819
-344.812	-424.407	4.892	185.943	171.695	163.898	493.078
-343.481	-425.645	4.906	193.725	175.682	170.050	481.568
-341.164	-424.792	4.924	193.892	163.184	168.963	454.186
-337.551	-419.285	4.935	187.799	155.689	163.974	435.323
-329.734	-411.158	4.942	184.092	151.617	160.014	414.315
-326.383	-407.674	4.942	176.834	150.167	159.192	401.617
-319.011	-396.023	4.954	163.966	146.192	149.246	386.487
-312.068	-387.211	4.957	161.277	139.582	145.053	376.341
-302.657	-377.833	4.956	146.916	134.954	133.611	355.935
-295.189	-364.133	4.961	133.650	122.002	123.231	340.467
-291.374	-358.676	4.958	136.562	121.295	121.458	340.562
-287.468	-352.704	4.954	125.629	115.045	114.500	330.020
-278.563	-338.073	4.950	110.527	109.855	104.191	321.350
-275.742	-335.110	4.936	111.272	112.543	104.927	327.209
-269.936	-324.615	4.939	100.464	111.104	94.908	312.761
-266.126	-319.487	4.930	93.290	110.550	91.330	311.116
-260.012	-312.485	4.918	89.789	111.457	86.020	309.341
-257.079	-309.012	4.900	83.568	108.197	79.534	312.636
-255.025	-305.817	4.885	82.745	110.371	83.447	311.390
-250.559	-300.273	4.879	74.258	105.818	75.135	301.968
-247.391	-295.840	4.869	71.360	104.880	71.300	303.560
-247.153	-297.682	4.871	75.015	109.383	72.848	298.248
-245.804	-293.145	4.856	70.429	107.758	69.859	291.952
-247.117	-296.532	4.843	71.253	115.688	72.734	300.435
-242.675	-291.259	4.830	68.740	107.506	69.247	291.329
-240.981	-286.352	4.822	61.298	107.640	64.063	290.394
-239.088	-286.010	4.808	61.647	109.785	63.705	285.026
-239.482	-285.510	4.792	58.628	114.665	60.894	294.184
-239.743	-286.762	4.770	63.027	131.370	65.614	303.079
-239.058	-287.647	4.759	64.550	129.971	68.493	305.535
-241.553	-291.111	4.734	66.729	133.526	70.167	315.074
-239.572	-288.881	4.725	65.017	126.039	68.654	309.551
-239.270	-289.999	4.727	68.147	130.141	72.188	310.825
-243.503	-295.895	4.711	71.900	145.068	78.846	330.733
-243.996	-295.900	4.716	74.206	138.956	80.015	317.843
-247.825	-302.912	4.698	80.349	159.411	86.678	338.790
-246.134	-303.912	4.671	81.180	161.744	87.037	337.691
-245.057	-301.617	4.680	80.284	159.850	84.824	327.494
-249.926	-307.240	4.666	86.751	163.995	93.413	347.222
-253.379	-314.558	4.643	94.435	165.550	102.345	358.033
-250.630	-309.386	4.654	88.458	167.958	95.072	331.615
-256.039	-323.722	4.639	105.391	181.937	114.173	357.556
-255.479	-322.386	4.647	108.692	173.650	116.619	365.367
-257.723	-326.790	4.640	108.945	165.123	116.339	352.416
-254.126	-323.415	4.636	108.190	182.886	114.716	363.863
-256.148	-327.015	4.637	110.673	185.288	117.812	361.247
-264.016	-339.858	4.647	127.376	204.165	134.019	374.315
-268.767	-344.463	4.633	135.574	207.125	140.998	384.682
-270.941	-353.503	4.626	143.200	212.250	147.953	395.899
-263.182	-342.254	4.653	128.448	193.345	133.362	363.722
-273.403	-357.664	4.632	146.558	207.427	150.316	395.325
-276.240	-361.088	4.640	149.201	215.204	151.897	390.697
-276.666	-362.210	4.634	157.093	219.010	157.268	399.779
-271.248	-357.574	4.654	151.033	205.754	151.571	396.205
-270.854	-361.448	4.655	158.044	213.583	157.785	396.745
-281.524	-377.427	4.646	167.704	213.631	163.444	404.135
-282.757	-380.642	4.654	173.930	231.650	171.250	414.891
-280.842	-375.032	4.656	171.421	219.209	166.501	399.038
-281.862	-378.373	4.671	170.395	219.341	166.553	400.257
-285.719	-380.961	4.687	178.780	226.484	171.348	402.813
-283.077	-379.411	4.677	180.046	221.472	175.495	416.676
-290.637	-393.917	4.671	192.635	239.448	182.361	408.282
-285.256	-386.678	4.687	193.345	232.963	183.731	412.101
