SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
8054.228	-786.931	-9248.591	1.371	844.922	207.579	114.780	100.303
6574.941	-535.640	-7521.896	1.374	682.991	209.529	100.962	83.655
5571.085	-338.409	-6317.689	1.378	566.558	211.840	87.898	74.516
4884.519	-160.443	-5451.876	1.381	478.883	209.305	79.774	67.310
4346.281	-40.729	-4791.914	1.389	415.681	205.783	70.686	58.067
3966.742	57.637	-4314.769	1.398	364.492	208.767	62.907	53.506
3659.525	141.139	-3927.898	1.413	323.729	209.200	56.385	47.152
3406.594	193.731	-3623.007	1.436	289.961	211.530	52.275	42.726
3191.082	205.565	-3391.501	1.453	262.494	213.017	46.832	37.759
3027.821	248.448	-3190.458	1.475	240.876	221.284	41.525	34.429
2846.411	235.252	-3020.399	1.500	222.451	229.607	39.207	31.598
2694.303	216.811	-2884.300	1.523	205.893	236.441	35.156	29.709
2597.193	222.453	-2784.346	1.541	193.511	243.665	32.353	27.428
2492.094	207.799	-2694.728	1.554	179.957	246.169	29.899	24.532
2402.280	191.337	-2617.804	1.571	169.635	256.198	27.330	24.027
2317.758	181.794	-2544.853	1.581	160.477	264.361	26.036	22.438
2246.023	165.077	-2491.281	1.590	153.064	269.085	24.004	20.679
2159.929	116.621	-2448.180	1.602	146.641	279.185	22.889	19.953
2092.019	98.094	-2400.656	1.603	139.646	286.258	21.200	18.779
2042.267	76.894	-2369.491	1.613	134.296	297.785	20.082	18.210
1996.081	51.282	-2353.724	1.614	130.240	308.969	19.333	17.336
1953.422	23.307	-2340.295	1.619	126.668	318.575	18.477	17.531
1896.279	-30.793	-2335.956	1.617	123.630	333.486	17.958	16.316
1870.497	-52.666	-2335.882	1.622	121.337	344.189	17.332	15.802
1841.670	-80.313	-2328.006	1.625	119.574	369.964	16.663	15.132
1820.587	-101.754	-2331.063	1.621	117.770	381.186	16.136	14.785
1811.797	-115.897	-2337.662	1.622	116.166	386.144	16.028	15.299
1798.656	-127.428	-2333.571	1.623	115.693	402.069	15.594	15.047
1779.139	-140.146	-2329.189	1.621	115.049	422.450	15.624	14.124
1775.861	-138.800	-2322.886	1.624	113.843	431.302	15.258	14.028
1775.232	-137.791	-2323.372	1.625	113.743	447.682	15.385	13.843
1768.265	-148.097	-2325.810	1.625	113.038	451.245	14.848	14.192
1762.554	-144.924	-2318.650	1.627	113.052	471.904	15.307	14.122
1764.034	-151.320	-2325.843	1.624	112.957	474.582	14.627	14.177
1753.932	-163.451	-2323.123	1.626	112.676	481.177	14.946	13.655
1745.584	-156.982	-2311.584	1.626	112.904	498.854	14.989	14.649
1738.897	-168.456	-2316.308	1.624	112.443	497.720	14.753	14.422
1740.996	-172.872	-2321.053	1.626	112.162	509.151	14.560	14.302
1740.480	-176.498	-2323.278	1.625	112.519	506.069	14.576	14.370
1729.227	-176.589	-2316.434	1.627	112.909	520.629	14.735	13.857
1733.420	-176.454	-2317.715	1.627	111.461	514.927	14.434	13.662
1734.939	-181.369	-2322.689	1.622	112.143	509.084	14.795	14.112
1725.124	-185.631	-2318.871	1.625	111.818	520.470	13.981	14.055
1725.951	-178.431	-2314.171	1.622	111.211	522.003	14.056	13.029
1715.502	-188.548	-2312.883	1.622	110.698	520.029	13.802	13.204
1718.922	-190.369	-2317.845	1.627	110.786	527.488	13.984	13.823
