SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
791.424	-13101.371	-21807.031	1.213	1255.868	223.467	168.994	151.441
490.024	-10693.399	-16083.660	1.223	804.962	233.962	136.187	114.123
339.578	-9499.909	-13235.269	1.237	561.170	242.116	100.905	81.674
258.607	-8847.775	-11692.450	1.282	423.727	261.328	75.967	62.998
206.936	-8454.682	-10730.974	1.327	338.841	291.681	58.503	48.895
174.788	-8234.794	-10157.459	1.367	286.991	329.945	45.943	38.975
152.936	-8101.444	-9783.745	1.392	253.485	374.660	38.301	33.228
136.540	-8053.713	-9555.655	1.407	232.781	426.389	32.116	28.014
125.913	-8024.183	-9409.223	1.414	218.953	481.738	28.553	24.285
117.487	-8027.054	-9319.417	1.424	210.661	544.323	24.806	21.902
111.618	-8032.430	-9260.227	1.422	205.088	610.485	22.978	19.726
107.028	-8060.068	-9237.371	1.426	202.385	673.152	20.639	18.558
103.869	-8080.258	-9222.822	1.431	200.377	734.794	19.420	16.984
100.340	-8121.075	-9224.817	1.429	199.596	797.229	18.278	16.110
97.435	-8157.896	-9229.684	1.429	199.235	858.222	17.252	14.677
96.776	-8182.652	-9247.193	1.430	199.663	916.994	16.555	14.868
94.832	-8222.589	-9265.739	1.429	199.584	981.671	15.751	13.406
93.072	-8265.043	-9288.830	1.431	200.107	1028.208	15.034	13.428
91.782	-8299.815	-9309.415	1.433	200.718	1075.644	14.627	12.725
90.913	-8333.380	-9333.419	1.431	201.254	1128.655	13.827	12.151
89.593	-8371.501	-9357.023	1.432	200.699	1184.459	13.651	11.967
88.734	-8405.212	-9381.286	1.432	201.807	1237.937	13.376	11.523
87.865	-8440.219	-9406.734	1.434	202.265	1276.170	12.882	11.328
87.139	-8474.369	-9432.899	1.432	202.406	1315.666	12.875	10.806
86.240	-8506.417	-9455.060	1.431	202.192	1367.244	12.162	11.379
85.521	-8537.814	-9478.542	1.435	203.015	1395.818	12.156	10.580
84.618	-8572.822	-9503.617	1.434	202.791	1440.031	11.767	10.367
84.437	-8599.119	-9527.923	1.434	203.181	1478.730	11.626	10.536
83.437	-8636.392	-9554.203	1.436	203.886	1513.879	11.338	10.147
83.092	-8658.574	-9572.591	1.438	203.751	1565.511	11.289	9.765
82.599	-8678.330	-9586.922	1.437	203.731	1599.307	10.694	9.416
82.039	-8704.886	-9607.315	1.436	203.684	1628.461	10.635	9.298
81.394	-8728.662	-9623.998	1.436	204.295	1662.332	10.364	9.480
81.193	-8752.552	-9645.678	1.436	204.070	1697.041	10.313	9.330
80.592	-8774.745	-9661.260	1.438	203.907	1726.983	10.216	8.667
80.158	-8795.588	-9677.326	1.436	204.469	1757.009	10.041	8.577
79.414	-8811.768	-9685.319	1.438	204.603	1783.804	10.109	8.997
