SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
6068.922	-522.964	-6996.337	1.385	616.769	183.874	97.492	86.598
5521.233	-388.177	-6314.168	1.385	551.830	183.918	88.394	78.987
5051.075	-254.115	-5710.090	1.389	495.661	182.794	80.357	72.494
4643.481	-144.379	-5193.337	1.390	447.757	181.903	74.329	65.895
4308.768	-50.763	-4764.581	1.397	405.253	182.486	67.055	60.037
4023.451	47.775	-4380.592	1.401	371.436	182.226	62.745	56.349
3779.967	122.889	-4062.507	1.407	338.212	179.868	58.035	52.028
3577.216	200.134	-3783.496	1.416	311.306	179.038	53.298	47.321
3389.409	239.983	-3554.579	1.424	288.267	176.846	50.224	43.795
3242.703	289.412	-3358.202	1.435	268.741	174.730	47.587	42.064
3120.756	326.557	-3199.336	1.444	251.006	176.042	44.900	38.592
2992.089	343.879	-3053.780	1.459	236.125	173.016	42.574	37.215
2891.653	365.731	-2929.671	1.472	222.119	172.276	40.017	33.769
2796.525	379.470	-2821.371	1.488	209.843	172.397	37.494	31.936
2711.919	384.943	-2731.423	1.501	198.392	172.997	35.150	30.530
2644.183	396.986	-2652.098	1.519	188.573	174.201	34.046	28.262
2575.270	399.336	-2580.953	1.534	179.569	175.347	32.267	27.355
2525.410	419.035	-2512.622	1.553	171.616	176.176	30.189	25.446
2457.302	404.935	-2456.734	1.568	164.307	180.051	28.773	24.158
2404.396	399.453	-2408.671	1.583	157.504	182.832	26.974	23.265
2361.913	397.716	-2369.684	1.599	152.064	183.735	26.083	22.735
2322.358	394.995	-2334.832	1.614	146.766	187.235	24.933	21.428
2270.842	376.283	-2298.346	1.627	142.375	190.130	24.497	21.199
2235.186	364.588	-2274.125	1.639	137.804	192.597	23.698	20.644
2211.559	357.366	-2257.400	1.651	134.078	194.844	22.627	19.610
2172.981	337.142	-2237.612	1.663	131.218	201.893	22.284	19.078
2138.524	316.447	-2227.889	1.671	128.431	205.014	21.636	18.550
2106.887	298.728	-2212.840	1.680	125.913	208.699	20.666	18.225
2076.366	273.967	-2206.009	1.686	123.650	212.669	20.644	17.546
2060.297	264.244	-2201.734	1.690	121.854	219.039	19.695	17.328
2034.592	236.746	-2202.246	1.698	120.194	223.301	19.388	16.867
2012.802	223.746	-2195.509	1.697	118.567	229.014	18.786	16.199
1977.991	178.770	-2201.805	1.698	117.936	235.718	18.720	16.931
1978.131	177.753	-2206.867	1.698	116.538	239.823	18.820	16.558
1942.636	134.343	-2210.970	1.694	115.849	246.868	17.880	14.976
1923.752	112.346	-2217.449	1.695	115.251	253.098	17.953	15.850
1908.619	88.795	-2223.105	1.688	114.595	260.007	17.786	16.011
1889.944	65.851	-2228.950	1.687	114.211	267.789	17.421	15.694
1876.417	42.933	-2237.289	1.686	113.772	271.589	17.218	15.362
1861.116	18.023	-2247.053	1.677	113.350	282.131	16.975	14.738
1846.854	0.373	-2253.149	1.672	113.516	289.531	17.439	14.724
1824.914	-32.980	-2262.176	1.672	113.107	293.825	16.646	15.418
1825.161	-39.256	-2268.982	1.665	113.202	304.528	17.040	15.424
1805.324	-64.591	-2274.456	1.660	113.327	311.439	16.723	15.336
1795.563	-85.449	-2285.361	1.657	112.848	318.691	16.463	14.592
1783.416	-99.457	-2289.377	1.652	112.697	326.524	15.997	14.112
1786.284	-109.022	-2302.243	1.647	113.019	332.071	16.248	14.070
1768.940	-136.131	-2309.938	1.647	112.776	340.303	16.122	14.426
1767.024	-147.238	-2318.997	1.641	112.991	347.495	15.896	14.645
1750.042	-174.028	-2325.203	1.637	113.323	356.872	16.087	14.538
1751.859	-170.881	-2330.555	1.634	113.662	361.951	16.040	14.559
1738.593	-192.875	-2336.325	1.632	113.607	373.396	15.867	14.115
1743.839	-193.375	-2342.591	1.625	113.479	378.555	15.973	13.913
1734.413	-213.318	-2350.901	1.626	113.662	383.075	15.719	14.288
1731.905	-219.246	-2356.242	1.625	113.902	391.473	15.579	14.239
1728.223	-228.428	-2360.814	1.623	113.990	395.313	15.594	14.095
1725.233	-235.140	-2366.686	1.620	114.163	400.479	15.907	14.309
1726.362	-238.213	-2370.098	1.620	114.122	406.551	15.732	14.616
1723.372	-243.757	-2373.143	1.617	114.415	417.453	15.758	13.900
1716.641	-255.386	-2378.001	1.617	114.332	413.643	15.451	13.671
1718.719	-255.470	-2381.629	1.617	114.197	423.595	15.278	13.863
1713.892	-267.742	-2385.802	1.616	114.121	426.143	15.476	13.591
1712.005	-266.680	-2386.979	1.614	114.391	428.308	15.348	13.539
1716.335	-270.568	-2394.384	1.613	114.420	429.336	15.619	14.129
1709.852	-274.310	-2389.772	1.612	114.482	436.369	15.680	13.498
1711.073	-276.776	-2393.565	1.609	114.495	439.944	15.438	14.439
1715.860	-273.040	-2394.265	1.610	114.300	440.274	15.210	14.321
1715.022	-274.248	-2394.769	1.608	114.081	442.953	15.243	14.173
1709.210	-285.111	-2398.463	1.609	114.601	446.269	15.312	13.993
1713.912	-283.583	-2405.866	1.606	114.580	447.400	15.399	14.444
1701.015	-294.340	-2399.807	1.605	114.398	448.526	15.150	13.728
1711.151	-284.725	-2400.791	1.608	114.099	449.284	15.157	13.919
1702.642	-296.618	-2404.116	1.607	114.014	449.108	14.972	13.862
1705.587	-290.734	-2399.964	1.606	114.100	448.541	15.241	13.869
1710.262	-285.841	-2402.747	1.606	113.936	451.104	15.004	13.705
1701.211	-298.025	-2402.254	1.606	113.757	447.877	14.903	13.640
1698.128	-301.283	-2401.128	1.603	114.070	452.608	14.856	13.924
1700.418	-296.115	-2400.579	1.605	113.698	449.875	14.758	13.985
1698.439	-293.598	-2396.745	1.605	113.486	459.872	14.880	13.617
1699.319	-294.951	-2398.832	1.607	113.544	448.327	15.089	13.649
1703.391	-290.909	-2399.732	1.603	113.556	455.855	14.777	14.051
1715.221	-276.386	-2396.241	1.603	113.581	451.702	14.932	14.459
