SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
14546.320	8888.335	-6064.286	1.216	766.701	171.964	0.000	-0.000
13720.262	8356.130	-5775.828	1.218	722.628	169.763	0.000	-0.000
12937.248	7866.007	-5477.348	1.224	678.752	168.120	0.000	-0.000
12171.418	7369.246	-5207.691	1.228	638.848	166.896	0.000	-0.000
11515.248	6980.770	-4942.053	1.231	601.800	165.078	0.000	-0.000
10915.682	6594.056	-4728.748	1.235	568.201	163.241	0.000	-0.000
10321.764	6220.244	-4512.874	1.238	538.173	163.098	0.000	-0.000
9717.752	5823.228	-4300.867	1.238	507.448	160.076	0.000	-0.000
9260.290	5563.946	-4104.553	1.243	480.623	158.958	0.000	-0.000
8805.078	5277.970	-3938.333	1.246	454.697	157.115	0.000	-0.000
8357.444	4998.325	-3769.040	1.247	431.869	157.505	0.000	-0.000
7974.455	4775.805	-3607.491	1.248	409.230	154.544	0.000	-0.000
7598.911	4532.178	-3474.992	1.252	388.496	153.165	0.000	-0.000
7281.407	4343.947	-3346.967	1.254	370.549	151.999	0.000	-0.000
6978.398	4171.309	-3215.876	1.256	353.128	150.449	0.000	-0.000
6680.600	3980.749	-3109.845	1.262	336.906	149.190	0.000	-0.000
6412.602	3822.440	-2998.197	1.266	322.710	148.336	0.000	-0.000
6170.479	3673.912	-2904.228	1.268	308.024	146.153	0.000	-0.000
5953.832	3549.981	-2812.100	1.274	294.809	143.495	0.000	-0.000
5721.879	3392.281	-2736.651	1.280	282.737	142.243	0.000	-0.000
5538.826	3294.713	-2656.086	1.285	271.015	140.245	0.000	-0.000
5352.143	3178.145	-2585.902	1.291	260.058	137.672	0.000	-0.000
5181.422	3073.844	-2515.155	1.298	249.699	135.932	0.000	-0.000
5027.154	2986.312	-2449.017	1.307	240.891	134.699	0.000	-0.000
4867.635	2876.176	-2396.325	1.312	231.594	133.012	0.000	-0.000
4724.367	2788.830	-2342.517	1.320	223.617	132.286	0.000	-0.000
4595.774	2715.814	-2287.695	1.329	215.506	131.526	0.000	-0.000
4452.453	2627.728	-2231.712	1.336	208.210	129.278	0.000	-0.000
4365.861	2588.204	-2187.321	1.343	200.931	128.915	0.000	-0.000
4244.464	2514.998	-2136.958	1.356	194.374	128.388	0.000	-0.000
4131.372	2448.461	-2090.594	1.363	188.360	128.837	0.000	-0.000
4023.868	2388.401	-2047.468	1.372	182.148	127.810	0.000	-0.000
3935.903	2340.959	-2004.335	1.380	176.371	127.705	0.000	-0.000
3852.550	2299.886	-1961.765	1.392	171.341	128.696	0.000	-0.000
3773.185	2260.461	-1921.757	1.401	166.068	129.312	0.000	-0.000
3664.015	2178.659	-1890.082	1.407	161.284	130.148	0.000	-0.000
3605.155	2161.404	-1852.880	1.417	156.435	130.670	0.000	-0.000
