SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
4162.819	-320.075	-4889.854	1.512	760.013	216.624	105.545	96.289
3584.374	-170.746	-4161.756	1.508	644.002	226.997	97.368	87.527
3172.655	-64.301	-3645.254	1.506	547.963	235.232	85.763	77.091
2860.528	49.996	-3215.875	1.501	475.927	240.569	76.407	69.669
2597.980	114.636	-2889.773	1.503	420.266	244.444	70.134	61.676
2410.201	185.718	-2630.664	1.504	370.616	252.409	62.090	55.088
2271.201	252.386	-2427.567	1.500	333.041	254.255	56.207	50.999
2128.146	276.680	-2256.705	1.508	299.846	255.725	51.766	44.715
2003.351	274.660	-2136.987	1.517	271.899	263.127	46.920	41.477
1929.317	278.816	-2056.569	1.527	250.226	263.726	42.694	37.447
1856.769	262.402	-1999.833	1.532	231.926	271.741	38.959	34.884
1799.165	254.212	-1954.851	1.540	214.977	280.079	35.944	31.090
1737.725	226.329	-1920.863	1.554	201.951	293.597	32.806	29.022
1671.233	177.720	-1898.157	1.563	190.769	304.817	29.783	26.030
1622.244	133.702	-1895.193	1.562	183.421	322.137	29.116	25.996
1594.268	118.847	-1884.313	1.576	175.609	337.484	26.993	23.098
1559.916	81.492	-1886.134	1.580	169.121	361.543	25.586	22.480
1529.577	46.011	-1889.607	1.585	164.351	376.092	24.487	21.203
1504.894	25.414	-1887.126	1.585	157.882	392.147	23.113	20.169
1482.861	1.057	-1889.887	1.591	153.815	410.093	21.875	19.637
1456.026	-18.703	-1884.804	1.593	149.941	420.459	20.424	18.552
1437.839	-33.198	-1875.954	1.599	146.093	425.733	20.150	18.147
1417.404	-48.513	-1875.257	1.599	141.725	432.472	19.665	18.500
1398.578	-61.482	-1866.145	1.605	138.685	442.097	18.528	17.277
1391.553	-61.866	-1862.568	1.606	135.445	449.696	18.275	16.538
1375.150	-65.999	-1848.776	1.607	132.491	460.262	17.131	16.211
1377.614	-65.626	-1851.477	1.613	130.069	456.980	17.519	16.266
1364.779	-63.001	-1836.448	1.620	127.997	465.236	17.359	15.677
1364.594	-63.998	-1834.817	1.619	126.033	466.839	16.836	15.036
1358.470	-56.436	-1825.630	1.627	122.927	464.375	15.894	15.081
1343.765	-60.802	-1809.977	1.630	122.475	464.098	16.086	15.052
1353.051	-36.572	-1797.976	1.625	120.175	464.672	15.852	14.492
1349.318	-31.804	-1789.604	1.633	118.934	460.701	16.087	14.562
1333.116	-38.725	-1777.569	1.636	117.343	463.525	15.387	14.649
1338.024	-19.488	-1766.089	1.643	116.911	467.652	15.965	15.113
1318.363	-30.539	-1754.740	1.642	115.084	461.424	15.132	13.978
1335.183	-0.385	-1745.693	1.639	114.150	455.516	15.320	14.102
1326.904	3.181	-1732.906	1.650	113.322	464.682	15.012	14.320
1325.301	19.743	-1716.747	1.652	112.215	461.122	15.054	14.589
1320.743	21.618	-1709.776	1.662	110.946	467.266	15.113	14.121
1321.117	25.356	-1705.495	1.657	110.008	462.324	15.023	14.010
1318.649	34.594	-1692.693	1.660	108.998	459.787	15.169	14.915
1319.890	39.286	-1694.411	1.664	108.429	469.754	14.850	14.284
1304.236	32.750	-1679.273	1.673	107.244	467.688	14.464	13.914
1314.121	42.639	-1679.135	1.674	107.418	468.003	14.562	13.985
1307.862	47.102	-1670.375	1.674	107.636	467.305	15.135	14.049
1310.144	52.481	-1666.507	1.677	107.457	465.196	14.865	14.327
1306.166	47.779	-1665.614	1.678	106.973	467.837	14.707	14.199
1297.348	45.849	-1658.763	1.677	106.850	469.793	14.943	14.514
1298.937	53.228	-1655.322	1.677	107.504	482.052	15.226	14.429
1296.733	45.320	-1656.286	1.676	107.970	470.176	14.707	14.298
1293.906	47.668	-1654.680	1.680	107.322	467.730	14.868	14.509
1305.298	55.623	-1658.278	1.668	106.800	477.220	14.343	14.112
1300.647	49.542	-1659.338	1.672	107.472	471.455	14.734	14.114
1290.116	38.777	-1658.280	1.671	108.098	487.214	14.749	14.033
1305.993	54.730	-1661.002	1.669	107.534	478.167	14.426	14.922
1288.542	34.961	-1660.534	1.669	107.712	473.767	14.431	14.639
1287.527	29.615	-1664.189	1.669	107.567	485.338	14.438	14.081
1292.502	29.097	-1669.012	1.664	107.403	484.066	14.489	13.997
1287.859	25.575	-1670.856	1.660	107.921	484.673	14.357	14.291
1285.267	25.597	-1668.919	1.662	107.305	478.366	14.532	14.097
1298.036	37.723	-1669.174	1.661	106.643	473.030	14.175	14.771
1289.616	33.107	-1663.321	1.657	107.463	470.132	14.710	14.867
1296.444	45.118	-1662.663	1.658	106.758	455.762	14.386	14.543
1265.061	16.703	-1653.001	1.660	105.850	483.522	13.994	13.878
1275.814	28.748	-1654.168	1.658	106.685	463.304	14.319	14.234
1282.952	48.235	-1643.851	1.666	103.677	465.519	13.278	13.579
1271.978	41.455	-1641.322	1.655	103.457	468.281	13.095	13.696
1259.689	28.936	-1637.244	1.666	103.163	448.460	13.256	13.051
1263.941	51.163	-1617.935	1.661	103.064	446.985	13.421	13.596
1264.689	52.464	-1619.105	1.664	101.907	440.750	13.721	13.635
1256.146	51.373	-1610.204	1.666	101.527	438.771	13.394	13.599
1257.962	68.777	-1600.141	1.670	100.827	442.039	12.759	13.395
1251.831	76.050	-1587.362	1.669	99.430	434.764	12.234	13.246
1235.174	62.687	-1578.922	1.672	99.261	425.429	12.921	13.382
1252.696	96.503	-1566.621	1.673	97.929	425.484	12.588	13.291
1226.630	85.603	-1545.820	1.675	95.283	421.443	11.956	12.618
1225.766	102.055	-1534.509	1.674	94.981	410.790	12.051	12.938
1220.097	121.139	-1507.218	1.679	93.075	385.140	11.773	12.472
1212.825	133.620	-1489.354	1.686	91.207	387.880	11.205	11.834
1196.331	136.509	-1469.257	1.685	90.895	376.607	11.017	11.830
1186.415	153.148	-1443.470	1.695	88.319	367.033	10.676	11.517
1167.083	155.818	-1416.612	1.698	85.089	347.294	9.928	10.986
1160.036	178.506	-1393.296	1.704	83.484	336.724	9.605	10.600
1140.258	184.173	-1361.984	1.706	81.210	328.395	9.102	10.148
1122.337	198.450	-1331.606	1.717	78.428	323.481	8.706	9.507
1111.857	214.868	-1305.170	1.720	76.951	301.423	8.498	9.461
1099.434	224.736	-1283.578	1.728	73.678	289.587	7.725	8.595
1075.040	227.256	-1257.074	1.733	71.892	282.050	7.222	8.209
1058.954	233.287	-1232.954	1.742	69.038	270.656	6.738	7.669
1042.668	238.978	-1213.029	1.748	67.863	261.705	6.572	7.390
1019.482	232.157	-1194.053	1.753	65.872	250.704	6.401	7.090
1020.958	253.317	-1176.911	1.751	64.663	243.498	6.085	6.818
1000.168	251.947	-1156.830	1.758	63.151	229.834	5.865	6.717
979.529	243.075	-1145.562	1.765	62.650	229.832	5.722	6.468
979.425	250.768	-1137.207	1.761	61.765	223.500	5.442	6.230
949.529	231.602	-1124.326	1.764	60.570	216.204	5.448	6.276
944.713	236.145	-1118.297	1.762	60.257	210.296	5.431	6.147
939.870	241.941	-1109.551	1.769	60.561	210.427	5.307	6.182
908.632	206.941	-1105.919	1.769	59.856	204.345	5.330	6.160
921.466	230.582	-1102.064	1.766	59.635	199.675	5.217	6.077
895.718	205.877	-1097.374	1.767	59.321	196.544	5.278	6.089
885.659	199.843	-1094.153	1.763	59.229	191.741	5.150	5.883
890.046	201.654	-1098.873	1.765	59.387	191.737	5.168	5.919
874.700	184.749	-1099.028	1.768	58.270	185.418	4.993	5.748
874.210	190.196	-1090.794	1.766	57.711	182.384	4.957	5.751
851.411	166.217	-1091.336	1.765	57.877	180.122	5.066	5.830
874.319	201.648	-1082.829	1.774	57.133	177.124	5.037	5.723
844.511	176.977	-1075.810	1.780	56.254	171.660	5.017	5.793
854.657	183.705	-1077.067	1.774	55.889	168.536	4.932	5.612
844.280	177.837	-1077.591	1.778	55.720	166.432	4.910	5.572
848.770	189.206	-1070.064	1.781	54.984	162.437	4.936	5.626
845.666	197.822	-1057.383	1.786	53.623	154.594	4.940	5.761
835.497	187.198	-1057.964	1.787	53.128	151.557	4.846	5.439
828.841	192.193	-1044.701	1.797	52.555	148.287	5.161	5.752
835.046	210.186	-1033.133	1.800	51.460	141.930	4.958	5.607
836.299	220.252	-1021.670	1.804	50.260	136.367	4.953	5.555
836.351	232.492	-1014.050	1.814	49.732	132.686	4.864	5.596
824.181	227.732	-1004.915	1.817	48.568	127.226	4.793	5.517
816.406	227.383	-995.093	1.830	47.695	122.521	4.947	5.635
837.547	267.020	-982.422	1.840	46.678	118.307	4.797	5.475
815.878	248.963	-974.582	1.849	45.114	111.665	4.801	5.489
818.124	261.251	-964.662	1.858	44.250	107.073	4.981	5.604
813.859	271.958	-952.801	1.870	43.054	103.205	4.683	5.374
799.280	262.779	-947.074	1.871	42.002	97.950	4.664	5.386
805.185	271.983	-941.302	1.872	41.775	96.456	4.630	5.387
807.101	278.809	-935.918	1.881	40.644	91.267	4.706	5.348
798.770	283.794	-925.521	1.901	39.188	86.233	4.652	5.226
790.314	280.056	-921.026	1.909	38.632	83.420	4.581	5.342
793.642	298.115	-904.720	1.917	36.751	77.143	4.623	5.178
785.297	298.659	-896.688	1.944	35.457	72.958	4.576	5.142
792.639	318.394	-883.843	1.964	34.227	69.569	4.572	5.298
784.479	317.393	-876.415	1.972	33.065	65.090	4.658	5.127
784.427	327.236	-867.986	1.998	31.646	60.828	4.430	5.136
790.845	348.693	-852.829	2.027	29.857	56.281	4.455	5.203
785.842	352.641	-843.534	2.052	28.705	53.106	4.485	5.197
774.475	352.664	-830.430	2.069	27.092	48.872	4.511	5.140
770.717	360.015	-819.389	2.113	25.857	45.194	4.462	5.042
778.967	384.663	-804.841	2.159	23.390	39.850	4.273	5.012
777.891	409.692	-776.494	2.236	21.191	35.552	4.432	5.363
780.324	419.463	-768.065	2.288	20.011	32.473	4.647	5.087
766.568	417.770	-755.425	2.367	17.935	28.211	4.528	5.107
757.828	425.016	-738.259	2.488	16.017	24.109	4.742	5.238
762.935	451.876	-721.931	2.599	14.275	21.628	4.682	5.555
758.577	463.620	-702.502	2.763	12.527	18.234	4.971	5.739
762.777	473.577	-697.783	2.899	12.110	17.336	5.487	6.237
758.143	481.889	-683.361	3.083	11.135	16.430	5.662	6.704
756.508	500.243	-667.081	3.348	10.709	15.347	6.562	7.417
759.481	505.943	-661.683	3.507	10.694	14.877	7.290	8.457
765.122	517.409	-657.693	3.673	10.154	14.214	7.072	7.924
759.259	518.894	-648.417	3.857	10.018	13.684	7.438	8.439
765.380	520.009	-652.256	3.898	10.334	14.128	7.830	8.721
753.996	514.953	-648.149	3.972	11.199	14.184	8.879	9.547
754.425	507.202	-650.820	3.957	10.163	13.309	8.136	8.572
738.752	496.895	-647.891	3.987	11.226	14.771	8.931	9.628
755.173	509.755	-654.497	3.999	11.451	15.548	9.376	10.554
762.695	525.706	-649.509	4.083	10.982	14.354	9.119	9.556
771.663	530.269	-650.571	4.081	11.240	14.860	9.081	10.129
754.497	511.594	-649.873	4.083	10.934	14.477	8.907	9.790
764.709	521.611	-654.520	4.121	11.685	14.758	9.766	9.959
751.166	508.763	-652.846	4.142	11.455	15.405	9.427	10.351
759.842	512.308	-655.999	4.069	11.462	15.001	9.348	9.867
752.651	502.321	-655.926	4.091	10.919	14.209	8.932	9.624
755.769	514.688	-649.584	4.185	11.095	14.400	9.214	9.736
751.961	504.236	-654.382	4.163	11.135	14.629	9.285	10.168
