(220s) loss: 68.709,  ess: 3.079,  kl_eta_ex: 35.827,  kl_eta_in: 5.393,  kl_z_ex: 3.114,  kl_z_in: 0.544
(238s) loss: 62.077,  ess: 3.310,  kl_eta_ex: 22.309,  kl_eta_in: 4.397,  kl_z_ex: 1.847,  kl_z_in: 0.423
(237s) loss: 56.182,  ess: 3.653,  kl_eta_ex: 25.545,  kl_eta_in: 4.502,  kl_z_ex: 1.745,  kl_z_in: 0.363
(230s) loss: 49.706,  ess: 4.076,  kl_eta_ex: 29.341,  kl_eta_in: 4.702,  kl_z_ex: 1.653,  kl_z_in: 0.307
(238s) loss: 44.109,  ess: 4.440,  kl_eta_ex: 30.741,  kl_eta_in: 4.723,  kl_z_ex: 1.439,  kl_z_in: 0.255
(240s) loss: 40.215,  ess: 4.711,  kl_eta_ex: 28.375,  kl_eta_in: 4.642,  kl_z_ex: 1.152,  kl_z_in: 0.210
(234s) loss: 37.521,  ess: 4.909,  kl_eta_ex: 22.665,  kl_eta_in: 4.610,  kl_z_ex: 0.876,  kl_z_in: 0.170
(238s) loss: 33.017,  ess: 5.228,  kl_eta_ex: 14.740,  kl_eta_in: 3.929,  kl_z_ex: 0.640,  kl_z_in: 0.121
(231s) loss: 29.287,  ess: 5.527,  kl_eta_ex: 9.624,  kl_eta_in: 3.093,  kl_z_ex: 0.476,  kl_z_in: 0.082
(232s) loss: 27.462,  ess: 5.716,  kl_eta_ex: 7.320,  kl_eta_in: 2.547,  kl_z_ex: 0.380,  kl_z_in: 0.063
(232s) loss: 26.095,  ess: 5.874,  kl_eta_ex: 5.666,  kl_eta_in: 2.126,  kl_z_ex: 0.303,  kl_z_in: 0.050
(238s) loss: 25.264,  ess: 5.989,  kl_eta_ex: 4.538,  kl_eta_in: 1.826,  kl_z_ex: 0.247,  kl_z_in: 0.042
(239s) loss: 24.609,  ess: 6.086,  kl_eta_ex: 3.754,  kl_eta_in: 1.592,  kl_z_ex: 0.207,  kl_z_in: 0.036
(234s) loss: 24.130,  ess: 6.174,  kl_eta_ex: 3.172,  kl_eta_in: 1.396,  kl_z_ex: 0.175,  kl_z_in: 0.031
(236s) loss: 23.671,  ess: 6.259,  kl_eta_ex: 2.696,  kl_eta_in: 1.242,  kl_z_ex: 0.153,  kl_z_in: 0.028
(238s) loss: 23.273,  ess: 6.334,  kl_eta_ex: 2.363,  kl_eta_in: 1.106,  kl_z_ex: 0.135,  kl_z_in: 0.025
(232s) loss: 22.972,  ess: 6.401,  kl_eta_ex: 2.039,  kl_eta_in: 0.984,  kl_z_ex: 0.115,  kl_z_in: 0.022
(234s) loss: 22.723,  ess: 6.473,  kl_eta_ex: 1.834,  kl_eta_in: 0.896,  kl_z_ex: 0.100,  kl_z_in: 0.020
(234s) loss: 22.542,  ess: 6.522,  kl_eta_ex: 1.663,  kl_eta_in: 0.821,  kl_z_ex: 0.090,  kl_z_in: 0.018
(233s) loss: 22.408,  ess: 6.578,  kl_eta_ex: 1.505,  kl_eta_in: 0.756,  kl_z_ex: 0.081,  kl_z_in: 0.016
(241s) loss: 22.225,  ess: 6.638,  kl_eta_ex: 1.372,  kl_eta_in: 0.698,  kl_z_ex: 0.071,  kl_z_in: 0.015
(231s) loss: 22.114,  ess: 6.673,  kl_eta_ex: 1.281,  kl_eta_in: 0.654,  kl_z_ex: 0.064,  kl_z_in: 0.013
(234s) loss: 22.031,  ess: 6.707,  kl_eta_ex: 1.193,  kl_eta_in: 0.619,  kl_z_ex: 0.059,  kl_z_in: 0.012
(242s) loss: 21.938,  ess: 6.750,  kl_eta_ex: 1.125,  kl_eta_in: 0.586,  kl_z_ex: 0.052,  kl_z_in: 0.011
(236s) loss: 21.932,  ess: 6.769,  kl_eta_ex: 1.066,  kl_eta_in: 0.561,  kl_z_ex: 0.050,  kl_z_in: 0.011
(232s) loss: 21.893,  ess: 6.797,  kl_eta_ex: 1.019,  kl_eta_in: 0.537,  kl_z_ex: 0.046,  kl_z_in: 0.010
(231s) loss: 21.819,  ess: 6.828,  kl_eta_ex: 0.975,  kl_eta_in: 0.515,  kl_z_ex: 0.041,  kl_z_in: 0.009
(232s) loss: 21.721,  ess: 6.847,  kl_eta_ex: 0.929,  kl_eta_in: 0.497,  kl_z_ex: 0.039,  kl_z_in: 0.009
(233s) loss: 21.718,  ess: 6.866,  kl_eta_ex: 0.891,  kl_eta_in: 0.480,  kl_z_ex: 0.037,  kl_z_in: 0.008
(232s) loss: 21.686,  ess: 6.883,  kl_eta_ex: 0.853,  kl_eta_in: 0.462,  kl_z_ex: 0.032,  kl_z_in: 0.008
(234s) loss: 21.622,  ess: 6.906,  kl_eta_ex: 0.824,  kl_eta_in: 0.451,  kl_z_ex: 0.032,  kl_z_in: 0.008
(240s) loss: 21.656,  ess: 6.926,  kl_eta_ex: 0.808,  kl_eta_in: 0.439,  kl_z_ex: 0.030,  kl_z_in: 0.007
(244s) loss: 21.558,  ess: 6.946,  kl_eta_ex: 0.783,  kl_eta_in: 0.427,  kl_z_ex: 0.028,  kl_z_in: 0.007
(240s) loss: 21.570,  ess: 6.952,  kl_eta_ex: 0.759,  kl_eta_in: 0.416,  kl_z_ex: 0.027,  kl_z_in: 0.007
(232s) loss: 21.579,  ess: 6.970,  kl_eta_ex: 0.738,  kl_eta_in: 0.407,  kl_z_ex: 0.025,  kl_z_in: 0.007
(234s) loss: 21.555,  ess: 6.981,  kl_eta_ex: 0.721,  kl_eta_in: 0.399,  kl_z_ex: 0.023,  kl_z_in: 0.007
(231s) loss: 21.543,  ess: 6.982,  kl_eta_ex: 0.708,  kl_eta_in: 0.393,  kl_z_ex: 0.023,  kl_z_in: 0.006
(231s) loss: 21.516,  ess: 6.998,  kl_eta_ex: 0.686,  kl_eta_in: 0.384,  kl_z_ex: 0.022,  kl_z_in: 0.006
(231s) loss: 21.456,  ess: 7.009,  kl_eta_ex: 0.680,  kl_eta_in: 0.382,  kl_z_ex: 0.021,  kl_z_in: 0.006
(234s) loss: 21.452,  ess: 7.021,  kl_eta_ex: 0.665,  kl_eta_in: 0.372,  kl_z_ex: 0.021,  kl_z_in: 0.006
(239s) loss: 21.460,  ess: 7.033,  kl_eta_ex: 0.658,  kl_eta_in: 0.368,  kl_z_ex: 0.019,  kl_z_in: 0.006
(245s) loss: 21.477,  ess: 7.040,  kl_eta_ex: 0.650,  kl_eta_in: 0.363,  kl_z_ex: 0.018,  kl_z_in: 0.006
(233s) loss: 21.436,  ess: 7.046,  kl_eta_ex: 0.638,  kl_eta_in: 0.356,  kl_z_ex: 0.019,  kl_z_in: 0.006
(232s) loss: 21.394,  ess: 7.062,  kl_eta_ex: 0.620,  kl_eta_in: 0.352,  kl_z_ex: 0.017,  kl_z_in: 0.005
(234s) loss: 21.368,  ess: 7.069,  kl_eta_ex: 0.610,  kl_eta_in: 0.346,  kl_z_ex: 0.017,  kl_z_in: 0.005
(239s) loss: 21.404,  ess: 7.071,  kl_eta_ex: 0.609,  kl_eta_in: 0.342,  kl_z_ex: 0.016,  kl_z_in: 0.005
(241s) loss: 21.459,  ess: 7.076,  kl_eta_ex: 0.603,  kl_eta_in: 0.340,  kl_z_ex: 0.016,  kl_z_in: 0.005
(236s) loss: 21.314,  ess: 7.089,  kl_eta_ex: 0.588,  kl_eta_in: 0.334,  kl_z_ex: 0.015,  kl_z_in: 0.005
(236s) loss: 21.420,  ess: 7.094,  kl_eta_ex: 0.587,  kl_eta_in: 0.330,  kl_z_ex: 0.015,  kl_z_in: 0.005
(230s) loss: 21.397,  ess: 7.103,  kl_eta_ex: 0.582,  kl_eta_in: 0.328,  kl_z_ex: 0.015,  kl_z_in: 0.005
(232s) loss: 21.360,  ess: 7.104,  kl_eta_ex: 0.567,  kl_eta_in: 0.324,  kl_z_ex: 0.014,  kl_z_in: 0.005
(242s) loss: 21.360,  ess: 7.119,  kl_eta_ex: 0.562,  kl_eta_in: 0.320,  kl_z_ex: 0.015,  kl_z_in: 0.005
(240s) loss: 21.373,  ess: 7.122,  kl_eta_ex: 0.557,  kl_eta_in: 0.318,  kl_z_ex: 0.014,  kl_z_in: 0.005
(250s) loss: 21.322,  ess: 7.130,  kl_eta_ex: 0.547,  kl_eta_in: 0.314,  kl_z_ex: 0.014,  kl_z_in: 0.004
(237s) loss: 21.383,  ess: 7.129,  kl_eta_ex: 0.544,  kl_eta_in: 0.312,  kl_z_ex: 0.013,  kl_z_in: 0.004
(231s) loss: 21.351,  ess: 7.124,  kl_eta_ex: 0.545,  kl_eta_in: 0.310,  kl_z_ex: 0.014,  kl_z_in: 0.004
(232s) loss: 21.277,  ess: 7.140,  kl_eta_ex: 0.529,  kl_eta_in: 0.306,  kl_z_ex: 0.013,  kl_z_in: 0.004
(232s) loss: 21.321,  ess: 7.147,  kl_eta_ex: 0.524,  kl_eta_in: 0.304,  kl_z_ex: 0.013,  kl_z_in: 0.004
(231s) loss: 21.329,  ess: 7.147,  kl_eta_ex: 0.517,  kl_eta_in: 0.301,  kl_z_ex: 0.012,  kl_z_in: 0.004
