DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
463.467,  508.143,  -1726.485,  3.036,  1366.089,  229.879,  366.283,  38.474
329.347,  290.235,  -1372.047,  3.377,  876.080,  227.244,  203.559,  30.608
240.840,  186.489,  -1161.583,  3.583,  604.285,  226.997,  124.453,  25.634
183.300,  135.300,  -1026.757,  3.754,  446.365,  231.074,  83.220,  21.350
149.022,  101.532,  -944.318,  3.953,  352.893,  244.535,  58.065,  17.374
128.644,  78.634,  -893.210,  4.159,  297.952,  267.341,  42.561,  14.338
117.459,  65.169,  -863.533,  4.315,  268.267,  297.977,  34.243,  12.533
111.493,  58.427,  -839.989,  4.399,  252.427,  336.485,  31.189,  11.895
108.374,  56.550,  -825.204,  4.448,  245.556,  376.620,  31.486,  11.784
106.204,  54.239,  -814.934,  4.505,  240.520,  404.820,  31.036,  11.402
104.611,  51.779,  -809.219,  4.541,  236.199,  424.613,  29.778,  10.938
104.044,  49.770,  -803.362,  4.578,  232.934,  438.720,  29.010,  10.624
102.748,  48.489,  -798.542,  4.596,  229.614,  452.360,  28.011,  10.306
101.774,  48.106,  -795.914,  4.612,  227.550,  461.542,  27.496,  10.030
102.187,  46.685,  -792.706,  4.636,  225.365,  468.546,  26.764,  9.749
101.408,  45.356,  -790.217,  4.657,  222.324,  473.753,  25.515,  9.371
101.976,  43.945,  -789.280,  4.687,  220.289,  478.215,  24.656,  9.063
101.867,  42.918,  -787.070,  4.699,  218.688,  482.068,  23.845,  8.760
102.479,  41.991,  -783.642,  4.724,  216.777,  485.284,  22.923,  8.471
102.331,  40.755,  -781.510,  4.745,  214.841,  486.822,  22.154,  8.187
101.810,  39.499,  -780.716,  4.770,  212.864,  487.076,  21.236,  7.877
102.060,  38.444,  -777.426,  4.794,  211.872,  490.632,  20.468,  7.602
102.095,  37.666,  -777.707,  4.818,  210.380,  491.198,  19.678,  7.301
103.842,  35.852,  -775.640,  4.850,  208.988,  492.623,  18.818,  6.966
103.262,  34.514,  -772.514,  4.883,  207.324,  492.019,  17.879,  6.647
103.842,  33.141,  -769.570,  4.919,  206.162,  490.405,  17.017,  6.334
104.416,  32.264,  -767.838,  4.945,  204.926,  489.439,  16.132,  6.013
104.112,  30.665,  -765.327,  4.983,  203.821,  490.394,  15.424,  5.736
103.582,  29.084,  -762.534,  5.014,  202.329,  488.960,  14.547,  5.440
103.655,  28.058,  -760.662,  5.043,  200.734,  489.629,  13.857,  5.206
104.935,  26.843,  -755.259,  5.067,  198.748,  488.927,  13.197,  4.989
103.622,  25.559,  -752.033,  5.099,  196.996,  490.190,  12.550,  4.776
102.331,  24.395,  -746.187,  5.125,  193.203,  487.015,  11.811,  4.547
103.404,  23.159,  -739.823,  5.149,  191.092,  488.049,  11.147,  4.344
101.334,  21.940,  -734.998,  5.172,  186.401,  478.707,  10.602,  4.162
99.375,  21.000,  -729.623,  5.188,  182.335,  470.466,  10.063,  3.994
97.653,  20.030,  -723.105,  5.203,  177.123,  465.017,  9.417,  3.822
94.346,  19.340,  -715.681,  5.224,  171.684,  453.232,  8.786,  3.638
91.501,  18.103,  -707.797,  5.243,  164.326,  443.024,  8.172,  3.473
89.094,  16.973,  -701.537,  5.265,  158.442,  427.163,  7.700,  3.303
86.394,  16.554,  -695.673,  5.273,  153.187,  414.550,  7.176,  3.140
83.349,  15.732,  -688.821,  5.284,  146.652,  397.629,  6.532,  2.964
80.724,  14.856,  -682.687,  5.302,  140.510,  379.503,  6.097,  2.816
77.479,  14.186,  -676.787,  5.321,  134.727,  359.996,  5.659,  2.666
74.015,  13.646,  -672.448,  5.336,  128.867,  340.743,  5.292,  2.541
71.797,  12.988,  -667.229,  5.350,  124.120,  320.276,  4.990,  2.429
68.849,  12.399,  -662.502,  5.366,  118.435,  299.363,  4.617,  2.274
66.707,  11.931,  -658.536,  5.383,  114.498,  280.937,  4.307,  2.160
64.250,  11.022,  -654.918,  5.398,  111.295,  266.143,  4.005,  2.035
63.196,  10.695,  -651.583,  5.414,  108.048,  252.427,  3.803,  1.934
61.488,  10.144,  -647.287,  5.436,  105.448,  240.476,  3.557,  1.830
60.643,  9.493,  -643.776,  5.447,  103.154,  230.464,  3.366,  1.730
58.507,  9.090,  -641.914,  5.467,  101.669,  223.648,  3.140,  1.634
58.098,  8.839,  -639.199,  5.485,  99.986,  218.943,  2.933,  1.536
56.929,  8.397,  -636.165,  5.500,  98.778,  213.489,  2.857,  1.465
56.091,  7.857,  -633.640,  5.522,  98.639,  211.442,  2.853,  1.395
55.293,  7.434,  -630.689,  5.539,  98.034,  208.731,  2.694,  1.333
55.158,  7.032,  -628.336,  5.559,  97.561,  205.895,  2.689,  1.256
55.538,  6.515,  -625.681,  5.579,  98.411,  203.414,  2.731,  1.209
55.788,  6.433,  -621.458,  5.595,  96.894,  198.622,  2.865,  1.160
53.825,  5.965,  -616.477,  5.613,  94.781,  190.504,  2.805,  1.109
51.276,  5.649,  -609.183,  5.631,  91.795,  179.193,  2.899,  1.067
