snr: 2.583973, var: 1.815626, inckl_gen:264.880768, inckl_eta:72.127579, inckl_z:0.527704
snr: 2.679978, var: 1.864335, inckl_gen:273.677338, inckl_eta:68.668839, inckl_z:0.482308
snr: 2.465684, var: 1.629515, inckl_gen:233.110214, inckl_eta:62.299099, inckl_z:0.457857
snr: 2.297646, var: 1.507605, inckl_gen:207.097443, inckl_eta:52.572853, inckl_z:0.372243
snr: 2.197073, var: 1.429496, inckl_gen:350.606171, inckl_eta:96.129158, inckl_z:0.342577
snr: 2.077147, var: 1.323624, inckl_gen:277.665710, inckl_eta:51.303539, inckl_z:0.267513
snr: 1.937433, var: 1.213153, inckl_gen:251.978302, inckl_eta:39.273129, inckl_z:0.171989
snr: 1.816521, var: 1.110789, inckl_gen:366.553314, inckl_eta:37.530418, inckl_z:0.148495
snr: 1.785102, var: 1.103299, inckl_gen:516.718689, inckl_eta:84.618553, inckl_z:0.231536
snr: 1.779086, var: 1.111097, inckl_gen:345.750610, inckl_eta:64.959435, inckl_z:0.186696
snr: 1.778525, var: 1.098615, inckl_gen:263.423553, inckl_eta:27.623768, inckl_z:0.090737
snr: 1.687433, var: 1.040469, inckl_gen:267.694794, inckl_eta:32.681118, inckl_z:0.148550
snr: 1.702457, var: 1.075573, inckl_gen:270.378143, inckl_eta:115.048683, inckl_z:0.232966
snr: 1.683074, var: 1.079979, inckl_gen:291.688385, inckl_eta:34.427876, inckl_z:0.091383
snr: 1.669222, var: 1.088392, inckl_gen:336.758209, inckl_eta:76.541557, inckl_z:0.151007
snr: 1.593228, var: 1.035098, inckl_gen:371.933929, inckl_eta:93.414055, inckl_z:0.195938
snr: 1.580226, var: 1.065863, inckl_gen:412.925598, inckl_eta:42.063000, inckl_z:0.092364
snr: 1.709464, var: 1.307787, inckl_gen:365.391083, inckl_eta:91.367386, inckl_z:0.158543
snr: 1.645989, var: 1.285799, inckl_gen:407.774811, inckl_eta:73.898369, inckl_z:0.155265
snr: 1.659456, var: 1.334435, inckl_gen:238.328445, inckl_eta:36.934982, inckl_z:0.120203
snr: 1.578981, var: 1.250419, inckl_gen:296.853027, inckl_eta:73.838844, inckl_z:0.147793
snr: 1.602007, var: 1.337465, inckl_gen:382.594299, inckl_eta:90.406158, inckl_z:0.149131
snr: 1.588683, var: 1.409130, inckl_gen:413.991272, inckl_eta:108.168678, inckl_z:0.209387
snr: 1.521181, var: 1.289006, inckl_gen:324.723145, inckl_eta:55.985847, inckl_z:0.082989
snr: 1.537607, var: 1.371870, inckl_gen:289.976654, inckl_eta:31.894531, inckl_z:0.091130
snr: 1.534218, var: 1.422820, inckl_gen:410.043182, inckl_eta:69.945572, inckl_z:0.165795
snr: 1.535728, var: 1.517468, inckl_gen:437.418182, inckl_eta:105.530373, inckl_z:0.188385
snr: 1.480012, var: 1.514460, inckl_gen:390.023651, inckl_eta:68.881676, inckl_z:0.142691
snr: 1.493412, var: 1.480163, inckl_gen:488.014618, inckl_eta:76.759468, inckl_z:0.174196
snr: 1.488423, var: 1.513349, inckl_gen:356.446960, inckl_eta:84.026741, inckl_z:0.143524
snr: 1.568693, var: 1.615077, inckl_gen:354.396759, inckl_eta:38.707256, inckl_z:0.114051
snr: 1.510623, var: 1.574262, inckl_gen:434.790680, inckl_eta:94.136543, inckl_z:0.217093
snr: 1.445440, var: 1.525260, inckl_gen:324.291077, inckl_eta:50.378784, inckl_z:0.223547
snr: 1.423514, var: 1.574899, inckl_gen:519.240906, inckl_eta:57.411831, inckl_z:0.131888
snr: 1.428377, var: 1.536725, inckl_gen:269.212006, inckl_eta:75.201279, inckl_z:0.109528
snr: 1.429838, var: 1.592887, inckl_gen:387.966614, inckl_eta:114.612160, inckl_z:0.261407
snr: 1.452881, var: 1.669618, inckl_gen:339.677185, inckl_eta:77.432693, inckl_z:0.117453
snr: 1.433653, var: 1.600716, inckl_gen:325.858673, inckl_eta:87.659599, inckl_z:0.154925
snr: 1.430791, var: 1.556134, inckl_gen:264.672516, inckl_eta:24.129068, inckl_z:0.091489
snr: 1.410963, var: 1.452319, inckl_gen:457.126465, inckl_eta:44.833729, inckl_z:0.118139
snr: 1.389566, var: 1.459080, inckl_gen:385.123108, inckl_eta:96.789452, inckl_z:0.154536
snr: 1.392899, var: 1.537327, inckl_gen:376.146088, inckl_eta:34.989204, inckl_z:0.093487
snr: 1.412910, var: 1.551336, inckl_gen:253.688828, inckl_eta:43.007687, inckl_z:0.090151
snr: 1.391810, var: 1.701965, inckl_gen:366.867889, inckl_eta:70.871445, inckl_z:0.130360
snr: 1.369473, var: 1.552396, inckl_gen:586.817261, inckl_eta:190.063553, inckl_z:0.184815
snr: 1.404039, var: 1.627582, inckl_gen:414.115234, inckl_eta:97.578873, inckl_z:0.169762
snr: 1.385094, var: 1.478624, inckl_gen:314.518555, inckl_eta:91.000938, inckl_z:0.119800
snr: 1.389571, var: 1.623862, inckl_gen:374.886566, inckl_eta:35.734413, inckl_z:0.122188
snr: 1.411669, var: 1.601284, inckl_gen:373.935364, inckl_eta:110.043480, inckl_z:0.122080
snr: 1.367246, var: 1.473824, inckl_gen:248.504013, inckl_eta:22.876711, inckl_z:0.069659
snr: 1.382602, var: 1.510817, inckl_gen:342.024261, inckl_eta:31.703114, inckl_z:0.064809
snr: 1.339120, var: 1.554022, inckl_gen:370.816162, inckl_eta:62.918507, inckl_z:0.102119
snr: 1.303138, var: 1.487501, inckl_gen:340.915985, inckl_eta:57.667751, inckl_z:0.087876
snr: 1.338087, var: 1.581183, inckl_gen:364.855957, inckl_eta:92.524414, inckl_z:0.134961
snr: 1.379026, var: 1.571292, inckl_gen:333.765228, inckl_eta:30.363880, inckl_z:0.086038
snr: 1.318995, var: 1.440734, inckl_gen:355.350464, inckl_eta:112.455154, inckl_z:0.116284
snr: 1.346606, var: 1.545660, inckl_gen:578.890320, inckl_eta:61.808216, inckl_z:0.754569
snr: 1.346907, var: 1.621812, inckl_gen:257.931122, inckl_eta:49.694866, inckl_z:0.077155
