(528s) inckl_eta: 60.537916,  inckl_z: 0.249578,  loss: 60.771508,  ess_rws: 1.141781,  ess_eta: 1.396642,  ess_z: 7.170967,  density: -576.578475
(528s) inckl_eta: 74.032968,  inckl_z: 0.163222,  loss: 46.762744,  ess_rws: 1.351832,  ess_eta: 1.595249,  ess_z: 7.977536,  density: -443.035255
(529s) inckl_eta: 65.006112,  inckl_z: 0.128703,  loss: 41.922173,  ess_rws: 1.466655,  ess_eta: 1.617250,  ess_z: 8.366509,  density: -426.713329
(529s) inckl_eta: 52.005932,  inckl_z: 0.085757,  loss: 41.086078,  ess_rws: 1.538273,  ess_eta: 1.561029,  ess_z: 8.916476,  density: -407.488493
(529s) inckl_eta: 37.538930,  inckl_z: 0.070845,  loss: 36.859869,  ess_rws: 1.604282,  ess_eta: 1.617729,  ess_z: 9.307090,  density: -384.823415
(531s) inckl_eta: 21.515182,  inckl_z: 0.143225,  loss: 23.746353,  ess_rws: 1.721026,  ess_eta: 1.941595,  ess_z: 9.592997,  density: -314.647794
(528s) inckl_eta: 12.801244,  inckl_z: 0.237916,  loss: 17.958264,  ess_rws: 1.786408,  ess_eta: 2.339339,  ess_z: 9.706259,  density: -293.007863
(527s) inckl_eta: 5.332407,  inckl_z: 0.329872,  loss: 14.811136,  ess_rws: 1.813592,  ess_eta: 3.487448,  ess_z: 9.756691,  density: -280.754432
(526s) inckl_eta: 0.579826,  inckl_z: 0.422470,  loss: 12.408128,  ess_rws: 1.828589,  ess_eta: 7.720535,  ess_z: 9.762334,  density: -274.799220
(524s) inckl_eta: 0.044550,  inckl_z: 0.487487,  loss: 12.214286,  ess_rws: 1.844245,  ess_eta: 9.371767,  ess_z: 9.776244,  density: -274.710400
(526s) inckl_eta: 0.006846,  inckl_z: 0.527192,  loss: 12.254668,  ess_rws: 1.857236,  ess_eta: 9.751112,  ess_z: 9.794768,  density: -274.914464
(524s) inckl_eta: 0.002308,  inckl_z: 0.539667,  loss: 12.230754,  ess_rws: 1.862955,  ess_eta: 9.834501,  ess_z: 9.806657,  density: -274.903418
(525s) inckl_eta: 0.001327,  inckl_z: 0.552969,  loss: 12.240171,  ess_rws: 1.853951,  ess_eta: 9.856464,  ess_z: 9.821677,  density: -274.919298
(526s) inckl_eta: 0.001151,  inckl_z: 0.560597,  loss: 12.256216,  ess_rws: 1.862103,  ess_eta: 9.866161,  ess_z: 9.831824,  density: -274.905099
(524s) inckl_eta: 0.001105,  inckl_z: 0.568753,  loss: 12.177104,  ess_rws: 1.871151,  ess_eta: 9.867387,  ess_z: 9.839125,  density: -274.685040
(526s) inckl_eta: 0.001058,  inckl_z: 0.582938,  loss: 12.195717,  ess_rws: 1.864472,  ess_eta: 9.869233,  ess_z: 9.848914,  density: -274.825310
(527s) inckl_eta: 0.001032,  inckl_z: 0.584982,  loss: 12.217014,  ess_rws: 1.880539,  ess_eta: 9.869295,  ess_z: 9.853557,  density: -274.746528
(525s) inckl_eta: 0.000940,  inckl_z: 0.597448,  loss: 12.150699,  ess_rws: 1.883634,  ess_eta: 9.871228,  ess_z: 9.862153,  density: -274.631489
(524s) inckl_eta: 0.000947,  inckl_z: 0.609554,  loss: 12.178772,  ess_rws: 1.873757,  ess_eta: 9.871263,  ess_z: 9.866862,  density: -274.672290
(523s) inckl_eta: 0.000942,  inckl_z: 0.614981,  loss: 12.218946,  ess_rws: 1.872476,  ess_eta: 9.869841,  ess_z: 9.871172,  density: -274.713906
(525s) inckl_eta: 0.000975,  inckl_z: 0.624563,  loss: 12.158767,  ess_rws: 1.876196,  ess_eta: 9.870871,  ess_z: 9.872760,  density: -274.623613
(525s) inckl_eta: 0.001026,  inckl_z: 0.625607,  loss: 12.200968,  ess_rws: 1.880864,  ess_eta: 9.869420,  ess_z: 9.875256,  density: -274.733080
(526s) inckl_eta: 0.000942,  inckl_z: 0.636874,  loss: 12.225807,  ess_rws: 1.874177,  ess_eta: 9.871638,  ess_z: 9.879411,  density: -274.770703
(525s) inckl_eta: 0.001079,  inckl_z: 0.646412,  loss: 12.158498,  ess_rws: 1.891591,  ess_eta: 9.871013,  ess_z: 9.882013,  density: -274.580912
(525s) inckl_eta: 0.000987,  inckl_z: 0.645151,  loss: 12.171069,  ess_rws: 1.888276,  ess_eta: 9.871360,  ess_z: 9.883651,  density: -274.576829
(527s) inckl_eta: 0.000998,  inckl_z: 0.655383,  loss: 12.192723,  ess_rws: 1.876736,  ess_eta: 9.870497,  ess_z: 9.884473,  density: -274.634181
(526s) inckl_eta: 0.000994,  inckl_z: 0.663236,  loss: 12.141971,  ess_rws: 1.875928,  ess_eta: 9.870383,  ess_z: 9.887585,  density: -274.531014
(524s) inckl_eta: 0.000967,  inckl_z: 0.661472,  loss: 12.161022,  ess_rws: 1.879393,  ess_eta: 9.870695,  ess_z: 9.891604,  density: -274.502455
