(54s) loss: 56.060695,  ess_rws: 1.156259,  density: -853.252150
(56s) loss: 53.018434,  ess_rws: 1.393041,  density: -543.112374
(59s) loss: 56.839527,  ess_rws: 1.549763,  density: -502.344542
(60s) loss: 56.907756,  ess_rws: 1.507263,  density: -503.624964
(63s) loss: 53.802601,  ess_rws: 1.372618,  density: -510.922967
(62s) loss: 50.089278,  ess_rws: 1.296643,  density: -517.320852
(64s) loss: 47.155885,  ess_rws: 1.255105,  density: -522.057086
(60s) loss: 45.067100,  ess_rws: 1.227394,  density: -524.500444
(61s) loss: 43.141753,  ess_rws: 1.204613,  density: -526.050484
(62s) loss: 41.526255,  ess_rws: 1.191679,  density: -526.325497
(60s) loss: 40.123723,  ess_rws: 1.179476,  density: -521.490546
(60s) loss: 38.251707,  ess_rws: 1.164862,  density: -511.204892
(61s) loss: 35.841275,  ess_rws: 1.160379,  density: -501.731688
(60s) loss: 34.196159,  ess_rws: 1.158457,  density: -491.348358
(60s) loss: 33.140511,  ess_rws: 1.156298,  density: -483.617568
(59s) loss: 32.021244,  ess_rws: 1.162187,  density: -476.167193
(61s) loss: 31.398867,  ess_rws: 1.167518,  density: -470.573551
(60s) loss: 30.429111,  ess_rws: 1.168601,  density: -466.844514
(61s) loss: 30.387412,  ess_rws: 1.163447,  density: -464.288106
(61s) loss: 30.124078,  ess_rws: 1.173067,  density: -462.319900
(62s) loss: 30.098966,  ess_rws: 1.171751,  density: -460.519948
(65s) loss: 29.631073,  ess_rws: 1.170769,  density: -459.090648
(60s) loss: 30.097441,  ess_rws: 1.170865,  density: -456.714745
(61s) loss: 29.731904,  ess_rws: 1.174985,  density: -456.231011
(59s) loss: 30.052664,  ess_rws: 1.169284,  density: -455.768527
(62s) loss: 30.192430,  ess_rws: 1.174625,  density: -455.397487
(60s) loss: 30.163878,  ess_rws: 1.177018,  density: -454.705419
(66s) loss: 30.241226,  ess_rws: 1.175328,  density: -453.666581
(60s) loss: 30.321686,  ess_rws: 1.175753,  density: -453.370299
(61s) loss: 30.250293,  ess_rws: 1.177770,  density: -451.925321
