snr: 2.037503, var: 1.311799, inckl_gen:200.640121, inckl_eta:42.914124, inckl_z:0.429047
snr: 2.178515, var: 1.402894, inckl_gen:155.690674, inckl_eta:42.216442, inckl_z:0.384038
snr: 2.060103, var: 1.274327, inckl_gen:161.455551, inckl_eta:41.132122, inckl_z:0.365830
snr: 2.015500, var: 1.243574, inckl_gen:187.226349, inckl_eta:37.948254, inckl_z:0.261629
snr: 1.981268, var: 1.214318, inckl_gen:217.367111, inckl_eta:48.358246, inckl_z:0.213807
snr: 1.867684, var: 1.116713, inckl_gen:185.173859, inckl_eta:24.210455, inckl_z:0.182952
snr: 1.826368, var: 1.111624, inckl_gen:271.415070, inckl_eta:29.925739, inckl_z:0.156704
snr: 1.803663, var: 1.130576, inckl_gen:132.414627, inckl_eta:11.666183, inckl_z:0.119335
snr: 1.817763, var: 1.199293, inckl_gen:243.911118, inckl_eta:53.426556, inckl_z:0.160041
snr: 1.866225, var: 1.249904, inckl_gen:255.087204, inckl_eta:42.263538, inckl_z:0.123141
snr: 1.755009, var: 1.175729, inckl_gen:191.858170, inckl_eta:39.156250, inckl_z:0.095068
snr: 1.711697, var: 1.153861, inckl_gen:210.316895, inckl_eta:41.405315, inckl_z:0.105745
snr: 1.686325, var: 1.145435, inckl_gen:168.765976, inckl_eta:20.891050, inckl_z:0.094031
snr: 1.657500, var: 1.090105, inckl_gen:299.209076, inckl_eta:32.197357, inckl_z:0.099220
snr: 1.589900, var: 1.026562, inckl_gen:356.252197, inckl_eta:30.078705, inckl_z:0.114593
snr: 1.532306, var: 0.980909, inckl_gen:133.681793, inckl_eta:14.084948, inckl_z:0.055011
snr: 1.487755, var: 0.923877, inckl_gen:172.119537, inckl_eta:19.611378, inckl_z:0.081623
snr: 1.490850, var: 0.929628, inckl_gen:225.642929, inckl_eta:15.837024, inckl_z:0.079811
snr: 1.544204, var: 0.953966, inckl_gen:244.449173, inckl_eta:13.672846, inckl_z:0.347347
snr: 1.513475, var: 0.922352, inckl_gen:112.538872, inckl_eta:8.922736, inckl_z:0.046537
snr: 1.517748, var: 0.942098, inckl_gen:141.409744, inckl_eta:10.275264, inckl_z:0.250000
snr: 1.530209, var: 0.950523, inckl_gen:203.601151, inckl_eta:14.503474, inckl_z:0.053192
snr: 1.474475, var: 0.874010, inckl_gen:169.634521, inckl_eta:11.844151, inckl_z:0.257672
snr: 1.468037, var: 0.864267, inckl_gen:206.008621, inckl_eta:7.114803, inckl_z:0.073337
snr: 1.485383, var: 0.895116, inckl_gen:123.087029, inckl_eta:9.691405, inckl_z:0.043390
snr: 1.444206, var: 0.844052, inckl_gen:140.025986, inckl_eta:8.386716, inckl_z:0.027426
snr: 1.386279, var: 0.794231, inckl_gen:107.064354, inckl_eta:5.821398, inckl_z:0.043873
snr: 1.414116, var: 0.813109, inckl_gen:322.538574, inckl_eta:18.117750, inckl_z:0.290742
snr: 1.399783, var: 0.790137, inckl_gen:107.811157, inckl_eta:13.411926, inckl_z:0.083627
snr: 1.414775, var: 0.796329, inckl_gen:302.581879, inckl_eta:10.775113, inckl_z:0.359555
snr: 1.444387, var: 0.813035, inckl_gen:80.165977, inckl_eta:4.846454, inckl_z:0.042576
snr: 1.467096, var: 0.834979, inckl_gen:53.308746, inckl_eta:10.705942, inckl_z:0.046085
snr: 1.511827, var: 0.884918, inckl_gen:73.491821, inckl_eta:11.220752, inckl_z:0.051546
snr: 1.618231, var: 0.970452, inckl_gen:74.293976, inckl_eta:13.920003, inckl_z:0.047616
snr: 1.741231, var: 1.084898, inckl_gen:60.180065, inckl_eta:11.266118, inckl_z:0.026863
snr: 1.816643, var: 1.166992, inckl_gen:18.197861, inckl_eta:8.739665, inckl_z:0.038511
snr: 1.950329, var: 1.302811, inckl_gen:23.288265, inckl_eta:13.949454, inckl_z:0.038715
snr: 2.045655, var: 1.385880, inckl_gen:23.309839, inckl_eta:10.218228, inckl_z:0.029867
snr: 2.095268, var: 1.423847, inckl_gen:19.572077, inckl_eta:15.721698, inckl_z:0.023154
snr: 2.136134, var: 1.451921, inckl_gen:12.268958, inckl_eta:9.460628, inckl_z:0.022946
snr: 2.123524, var: 1.433443, inckl_gen:11.790050, inckl_eta:6.506166, inckl_z:0.029183
snr: 2.179670, var: 1.472723, inckl_gen:8.822762, inckl_eta:6.714031, inckl_z:0.024826
snr: 2.126643, var: 1.420261, inckl_gen:9.371213, inckl_eta:5.230196, inckl_z:0.024218
snr: 2.048364, var: 1.355400, inckl_gen:6.626533, inckl_eta:5.145047, inckl_z:0.022382
snr: 2.040347, var: 1.330638, inckl_gen:7.263581, inckl_eta:5.427098, inckl_z:0.020167
snr: 1.928268, var: 1.220602, inckl_gen:5.107986, inckl_eta:3.844350, inckl_z:0.019510
snr: 1.859797, var: 1.159210, inckl_gen:5.560468, inckl_eta:2.556161, inckl_z:0.017654
snr: 2.029794, var: 1.325153, inckl_gen:3.709618, inckl_eta:2.815172, inckl_z:0.022436
snr: 1.876225, var: 1.182344, inckl_gen:3.036562, inckl_eta:2.461957, inckl_z:0.028362
snr: 1.725342, var: 1.029022, inckl_gen:2.457694, inckl_eta:1.702301, inckl_z:0.029192
snr: 1.736797, var: 1.062138, inckl_gen:3.490033, inckl_eta:2.913331, inckl_z:0.026899
snr: 1.724648, var: 1.039349, inckl_gen:3.100845, inckl_eta:3.044966, inckl_z:0.017043
snr: 1.596258, var: 0.931393, inckl_gen:2.596584, inckl_eta:1.116085, inckl_z:0.018847
snr: 1.585217, var: 0.931344, inckl_gen:1.106960, inckl_eta:0.683190, inckl_z:0.020733
snr: 1.476936, var: 0.825288, inckl_gen:1.055469, inckl_eta:1.208638, inckl_z:0.030273
snr: 1.500082, var: 0.850317, inckl_gen:1.424568, inckl_eta:1.388594, inckl_z:0.019695
snr: 1.423548, var: 0.767939, inckl_gen:1.359474, inckl_eta:1.719311, inckl_z:0.012977
snr: 1.454413, var: 0.802333, inckl_gen:0.790371, inckl_eta:0.654714, inckl_z:0.015637
snr: 1.370754, var: 0.727426, inckl_gen:0.749839, inckl_eta:0.641197, inckl_z:0.025067
