snr: 0.987186, var: 1.111910
snr: 1.193461, var: 1.339775
snr: 1.071703, var: 1.247107
snr: 1.118140, var: 1.301097
snr: 1.113791, var: 1.321450
snr: 1.089921, var: 1.321306
snr: 0.958748, var: 1.193012
snr: 0.980477, var: 1.164514
snr: 0.916509, var: 1.096642
snr: 0.970281, var: 1.173583
snr: 0.907051, var: 1.116077
snr: 0.936874, var: 1.170040
snr: 0.920512, var: 1.151507
snr: 0.901300, var: 1.124347
snr: 0.892993, var: 1.141200
snr: 0.857855, var: 1.105365
snr: 0.813046, var: 1.024710
snr: 0.824691, var: 1.100802
snr: 0.797281, var: 1.048554
snr: 0.819794, var: 1.108023
snr: 0.792362, var: 1.083391
snr: 0.730964, var: 1.008331
snr: 0.694334, var: 0.982635
snr: 0.699431, var: 1.005524
snr: 0.717489, var: 1.024217
snr: 0.685615, var: 1.016332
snr: 0.682294, var: 1.003258
snr: 0.687910, var: 1.015815
snr: 0.628024, var: 0.934459
snr: 0.659663, var: 1.012135
snr: 0.672293, var: 1.001500
snr: 0.635930, var: 0.982552
snr: 0.645512, var: 1.025035
snr: 0.655967, var: 1.027831
snr: 0.646548, var: 1.069756
snr: 0.631937, var: 1.057817
snr: 0.586334, var: 0.998982
snr: 0.583346, var: 0.995314
snr: 0.561902, var: 1.035582
snr: 0.573198, var: 1.023052
snr: 0.545640, var: 0.994823
snr: 0.592079, var: 0.964797
snr: 0.578380, var: 1.041101
snr: 0.588171, var: 1.043966
snr: 0.544260, var: 1.038794
snr: 0.489015, var: 1.054100
snr: 0.504985, var: 1.067432
snr: 0.523920, var: 1.081244
snr: 0.462809, var: 0.983400
snr: 0.475562, var: 1.012295
snr: 0.487862, var: 1.087782
snr: 0.484971, var: 1.065169
snr: 0.454694, var: 1.029246
snr: 0.459028, var: 1.076720
snr: 0.477131, var: 1.129201
snr: 0.481016, var: 1.099924
snr: 0.491517, var: 1.092607
snr: 0.474757, var: 1.037418
snr: 0.514446, var: 1.177271
snr: 0.476713, var: 1.230729
snr: 0.459942, var: 1.141010
snr: 0.439943, var: 1.140366
snr: 0.433334, var: 1.010594
snr: 0.447502, var: 1.013460
snr: 0.427226, var: 1.018122
snr: 0.447663, var: 1.074629
snr: 0.454098, var: 1.053042
snr: 0.460577, var: 1.101764
snr: 0.420729, var: 1.051576
snr: 0.408815, var: 1.031341
snr: 0.420008, var: 1.087351
snr: 0.370141, var: 1.006228
snr: 0.396852, var: 1.097181
snr: 0.398986, var: 1.086730
snr: 0.415151, var: 1.052213
snr: 0.419012, var: 1.031522
snr: 0.412758, var: 1.117778
snr: 0.408098, var: 1.163882
snr: 0.439444, var: 1.123945
snr: 0.402808, var: 1.028098
snr: 0.381735, var: 1.079753
snr: 0.400477, var: 1.053122
snr: 0.400003, var: 1.115154
snr: 0.390983, var: 1.080054
snr: 0.396552, var: 1.106729
snr: 0.385291, var: 1.071833
snr: 0.394369, var: 1.125248
snr: 0.423657, var: 1.115534
snr: 0.394074, var: 1.129344
snr: 0.399976, var: 1.148679
snr: 0.385851, var: 1.085880
snr: 0.380329, var: 1.141552
snr: 0.378014, var: 1.041083
snr: 0.397102, var: 1.045370
snr: 0.415256, var: 1.043747
snr: 0.449550, var: 1.146246
snr: 0.406044, var: 1.059818
snr: 0.407393, var: 1.041977
snr: 0.412700, var: 1.022720
snr: 0.410356, var: 1.055316
snr: 0.425759, var: 1.008990
snr: 0.411437, var: 1.018640
snr: 0.394886, var: 1.011979
snr: 0.415972, var: 1.109800
snr: 0.434145, var: 1.102273
snr: 0.376819, var: 1.012947
snr: 0.398018, var: 1.070974
snr: 0.377692, var: 1.108567
snr: 0.396717, var: 1.021403
snr: 0.438755, var: 1.141690
snr: 0.402425, var: 1.101958
snr: 0.398817, var: 1.042290
snr: 0.401304, var: 1.088326
snr: 0.431319, var: 1.147202
snr: 0.429799, var: 1.154678
snr: 0.412574, var: 1.105216
snr: 0.385648, var: 1.005107
snr: 0.377506, var: 0.978728
