snr: 1.598197, var: 1.639530
snr: 1.901716, var: 1.990256
snr: 1.792706, var: 1.934756
snr: 1.521309, var: 1.709043
snr: 1.237548, var: 1.478251
snr: 1.069004, var: 1.375201
snr: 0.958438, var: 1.298912
snr: 0.854013, var: 1.232527
snr: 0.765166, var: 1.173783
snr: 0.691665, var: 1.200174
snr: 0.615559, var: 1.227098
snr: 0.620372, var: 1.249305
snr: 0.556848, var: 1.247641
snr: 0.523047, var: 1.276835
snr: 0.488556, var: 1.188504
snr: 0.559085, var: 1.258924
snr: 0.540498, var: 1.188017
snr: 0.500028, var: 1.144003
snr: 0.526750, var: 1.132079
snr: 0.540005, var: 1.124066
snr: 0.581748, var: 1.141228
snr: 0.535959, var: 1.138698
snr: 0.552361, var: 1.129748
snr: 0.581940, var: 1.072343
snr: 0.582690, var: 1.045067
snr: 0.548656, var: 0.984252
snr: 0.586784, var: 0.991384
snr: 0.575377, var: 0.943828
snr: 0.591050, var: 0.908986
snr: 0.588590, var: 0.893843
snr: 0.564214, var: 0.871064
snr: 0.631619, var: 0.887384
snr: 0.605668, var: 0.838197
snr: 0.609085, var: 0.839425
snr: 0.597409, var: 0.834438
snr: 0.606905, var: 0.814523
snr: 0.648780, var: 0.868811
snr: 0.611601, var: 0.834110
snr: 0.691076, var: 0.900691
snr: 0.671863, var: 0.872793
snr: 0.659651, var: 0.883677
snr: 0.648487, var: 0.847292
snr: 0.679880, var: 0.854314
snr: 0.644730, var: 0.819041
snr: 0.618822, var: 0.763090
snr: 0.657688, var: 0.816394
snr: 0.696493, var: 0.841714
snr: 0.670624, var: 0.832744
snr: 0.682015, var: 0.820010
snr: 0.720990, var: 0.864760
snr: 0.682876, var: 0.821401
snr: 0.675767, var: 0.839369
snr: 0.605063, var: 0.772773
snr: 0.678941, var: 0.838748
snr: 0.679323, var: 0.820304
snr: 0.676569, var: 0.819274
snr: 0.717335, var: 0.860064
snr: 0.712045, var: 0.843859
snr: 0.719909, var: 0.866458
snr: 0.700426, var: 0.829810
snr: 0.701963, var: 0.829345
snr: 0.758686, var: 0.878065
snr: 0.735834, var: 0.880537
snr: 0.707835, var: 0.846486
snr: 0.689427, var: 0.819658
snr: 0.691532, var: 0.797030
snr: 0.650451, var: 0.759584
snr: 0.656246, var: 0.784332
snr: 0.730035, var: 0.863630
snr: 0.754150, var: 0.892322
snr: 0.757267, var: 0.885102
snr: 0.713414, var: 0.831666
snr: 0.661806, var: 0.776274
snr: 0.690931, var: 0.805216
snr: 0.694251, var: 0.801188
snr: 0.713603, var: 0.848518
snr: 0.698493, var: 0.826787
snr: 0.688482, var: 0.805011
snr: 0.710893, var: 0.839256
snr: 0.724183, var: 0.837900
snr: 0.673202, var: 0.780506
snr: 0.683213, var: 0.807285
snr: 0.727654, var: 0.831298
snr: 0.695939, var: 0.795347
snr: 0.758344, var: 0.858788
snr: 0.759446, var: 0.845771
snr: 0.797969, var: 0.891297
snr: 0.744656, var: 0.858480
snr: 0.712149, var: 0.837476
snr: 0.723592, var: 0.837311
snr: 0.709237, var: 0.822507
snr: 0.718405, var: 0.822139
snr: 0.791285, var: 0.881126
snr: 0.735107, var: 0.826162
snr: 0.765042, var: 0.859439
snr: 0.762876, var: 0.863996
snr: 0.750603, var: 0.836594
snr: 0.703332, var: 0.784152
snr: 0.731180, var: 0.826660
snr: 0.725224, var: 0.815565
snr: 0.712638, var: 0.819036
snr: 0.751078, var: 0.852832
snr: 0.769547, var: 0.875214
snr: 0.744596, var: 0.833669
snr: 0.728197, var: 0.815682
snr: 0.749089, var: 0.838961
snr: 0.715797, var: 0.822443
snr: 0.746792, var: 0.826770
snr: 0.786030, var: 0.872611
snr: 0.797836, var: 0.899253
snr: 0.793451, var: 0.889070
snr: 0.779742, var: 0.868528
snr: 0.717081, var: 0.812534
snr: 0.740157, var: 0.830912
