(109s) loss: 59.742969,  ess_rws: 1.062636,  ess_eta: 1.296263,  ess_z: 5.825417,  density: -613.115425,  inckl_eta: 37.995767,  inckl_z: 0.407449
(108s) loss: 36.418649,  ess_rws: 1.157693,  ess_eta: 1.700701,  ess_z: 7.757320,  density: -395.555863,  inckl_eta: 23.354112,  inckl_z: 0.178681
(106s) loss: 22.425354,  ess_rws: 1.252728,  ess_eta: 2.140794,  ess_z: 8.871699,  density: -323.604019,  inckl_eta: 13.176325,  inckl_z: 0.155430
(107s) loss: 18.825977,  ess_rws: 1.303906,  ess_eta: 2.494483,  ess_z: 9.150539,  density: -302.593978,  inckl_eta: 10.485407,  inckl_z: 0.158563
(106s) loss: 18.467948,  ess_rws: 1.325199,  ess_eta: 2.831638,  ess_z: 9.222607,  density: -296.854657,  inckl_eta: 9.122194,  inckl_z: 0.137442
(107s) loss: 20.404072,  ess_rws: 1.339304,  ess_eta: 2.660207,  ess_z: 9.224491,  density: -300.089628,  inckl_eta: 11.629933,  inckl_z: 0.090822
(106s) loss: 19.532116,  ess_rws: 1.356171,  ess_eta: 2.427740,  ess_z: 9.351242,  density: -299.092361,  inckl_eta: 14.927644,  inckl_z: 0.027625
(108s) loss: 16.383960,  ess_rws: 1.355414,  ess_eta: 2.814159,  ess_z: 9.482638,  density: -288.429833,  inckl_eta: 8.830300,  inckl_z: 0.016696
(107s) loss: 14.731127,  ess_rws: 1.349459,  ess_eta: 3.393790,  ess_z: 9.545677,  density: -281.775827,  inckl_eta: 4.792938,  inckl_z: 0.014230
(105s) loss: 13.984176,  ess_rws: 1.349170,  ess_eta: 4.175172,  ess_z: 9.570600,  density: -278.326791,  inckl_eta: 2.459534,  inckl_z: 0.017168
(104s) loss: 13.803710,  ess_rws: 1.340793,  ess_eta: 5.135096,  ess_z: 9.586616,  density: -277.098398,  inckl_eta: 1.219441,  inckl_z: 0.035882
(105s) loss: 13.793942,  ess_rws: 1.330111,  ess_eta: 6.181193,  ess_z: 9.604928,  density: -276.577994,  inckl_eta: 0.581568,  inckl_z: 0.077268
(103s) loss: 13.779212,  ess_rws: 1.312471,  ess_eta: 7.198319,  ess_z: 9.620960,  density: -276.260204,  inckl_eta: 0.276765,  inckl_z: 0.140684
(104s) loss: 13.876419,  ess_rws: 1.302569,  ess_eta: 8.107198,  ess_z: 9.640249,  density: -276.241787,  inckl_eta: 0.127831,  inckl_z: 0.218326
(104s) loss: 13.879383,  ess_rws: 1.288718,  ess_eta: 8.780602,  ess_z: 9.662252,  density: -276.093443,  inckl_eta: 0.059037,  inckl_z: 0.292448
(103s) loss: 13.959694,  ess_rws: 1.277342,  ess_eta: 9.244951,  ess_z: 9.677958,  density: -276.131606,  inckl_eta: 0.027175,  inckl_z: 0.357363
(106s) loss: 13.880536,  ess_rws: 1.263737,  ess_eta: 9.523926,  ess_z: 9.703709,  density: -275.786698,  inckl_eta: 0.013008,  inckl_z: 0.417985
