(1497s) inckl_eta: 26.888051,  inckl_z: 0.187137,  loss: 45.128228,  ess_rws: 1.107388,  ess_eta: 1.418358,  ess_z: 4.107442,  density: -463.100520
(1041s) inckl_eta: 6.916568,  inckl_z: 0.184634,  loss: 15.258732,  ess_rws: 1.371353,  ess_eta: 2.329697,  ess_z: 4.770555,  density: -288.840832
(766s) inckl_eta: 1.506411,  inckl_z: 0.264598,  loss: 11.710994,  ess_rws: 1.459447,  ess_eta: 3.485279,  ess_z: 4.868509,  density: -274.993748
(745s) inckl_eta: 0.137297,  inckl_z: 0.375685,  loss: 11.021658,  ess_rws: 1.495877,  ess_eta: 4.479977,  ess_z: 4.907500,  density: -272.388205
(766s) inckl_eta: 0.016385,  inckl_z: 0.460593,  loss: 10.910710,  ess_rws: 1.515320,  ess_eta: 4.856034,  ess_z: 4.924462,  density: -272.112663
(779s) inckl_eta: 0.002455,  inckl_z: 0.512524,  loss: 10.940610,  ess_rws: 1.525602,  ess_eta: 4.926547,  ess_z: 4.933784,  density: -272.066855
(754s) inckl_eta: 0.001785,  inckl_z: 0.550220,  loss: 10.925074,  ess_rws: 1.537281,  ess_eta: 4.938435,  ess_z: 4.940797,  density: -272.035339
(757s) inckl_eta: 0.001116,  inckl_z: 0.567113,  loss: 10.918123,  ess_rws: 1.540556,  ess_eta: 4.942426,  ess_z: 4.948520,  density: -271.862695
(743s) inckl_eta: 0.001020,  inckl_z: 0.592718,  loss: 10.919313,  ess_rws: 1.542017,  ess_eta: 4.942845,  ess_z: 4.954700,  density: -271.826052
(769s) inckl_eta: 0.001040,  inckl_z: 0.602258,  loss: 10.920703,  ess_rws: 1.545949,  ess_eta: 4.943390,  ess_z: 4.960161,  density: -271.732188
(768s) inckl_eta: 0.001040,  inckl_z: 0.611888,  loss: 10.972121,  ess_rws: 1.554681,  ess_eta: 4.943147,  ess_z: 4.963695,  density: -271.812782
(785s) inckl_eta: 0.000964,  inckl_z: 0.624371,  loss: 10.936211,  ess_rws: 1.559049,  ess_eta: 4.943770,  ess_z: 4.966912,  density: -271.691508
(772s) inckl_eta: 0.000914,  inckl_z: 0.636910,  loss: 10.970306,  ess_rws: 1.560948,  ess_eta: 4.943374,  ess_z: 4.969114,  density: -271.684760
(762s) inckl_eta: 0.000979,  inckl_z: 0.642635,  loss: 10.976005,  ess_rws: 1.561670,  ess_eta: 4.943723,  ess_z: 4.970420,  density: -271.623730
(734s) inckl_eta: 0.001002,  inckl_z: 0.637589,  loss: 10.965171,  ess_rws: 1.562673,  ess_eta: 4.943861,  ess_z: 4.971607,  density: -271.635524
(945s) inckl_eta: 0.000980,  inckl_z: 0.641408,  loss: 10.986110,  ess_rws: 1.563743,  ess_eta: 4.943891,  ess_z: 4.972684,  density: -271.639840
(1039s) inckl_eta: 0.000949,  inckl_z: 0.639102,  loss: 10.975851,  ess_rws: 1.560808,  ess_eta: 4.943870,  ess_z: 4.973482,  density: -271.538450
(1034s) inckl_eta: 0.000943,  inckl_z: 0.649415,  loss: 10.936114,  ess_rws: 1.557916,  ess_eta: 4.944072,  ess_z: 4.974731,  density: -271.485761
(1035s) inckl_eta: 0.001073,  inckl_z: 0.649960,  loss: 10.984764,  ess_rws: 1.575456,  ess_eta: 4.942916,  ess_z: 4.975735,  density: -271.508593
(1040s) inckl_eta: 0.000885,  inckl_z: 0.662867,  loss: 11.007230,  ess_rws: 1.573021,  ess_eta: 4.943946,  ess_z: 4.976427,  density: -271.576235
(1035s) inckl_eta: 0.001009,  inckl_z: 0.664977,  loss: 10.956464,  ess_rws: 1.566700,  ess_eta: 4.942905,  ess_z: 4.977060,  density: -271.482201
(1029s) inckl_eta: 0.000993,  inckl_z: 0.670295,  loss: 10.966049,  ess_rws: 1.575507,  ess_eta: 4.943532,  ess_z: 4.977459,  density: -271.514126
(1031s) inckl_eta: 0.000928,  inckl_z: 0.676366,  loss: 10.970099,  ess_rws: 1.563889,  ess_eta: 4.943096,  ess_z: 4.978558,  density: -271.506022
(1029s) inckl_eta: 0.000991,  inckl_z: 0.680122,  loss: 10.947826,  ess_rws: 1.573740,  ess_eta: 4.943340,  ess_z: 4.978895,  density: -271.470532
(1029s) inckl_eta: 0.000913,  inckl_z: 0.686501,  loss: 10.954178,  ess_rws: 1.573860,  ess_eta: 4.943835,  ess_z: 4.980144,  density: -271.434839
(1029s) inckl_eta: 0.000926,  inckl_z: 0.689134,  loss: 10.963272,  ess_rws: 1.575566,  ess_eta: 4.944742,  ess_z: 4.980501,  density: -271.478056
(1027s) inckl_eta: 0.000883,  inckl_z: 0.697990,  loss: 11.006798,  ess_rws: 1.566868,  ess_eta: 4.943257,  ess_z: 4.981234,  density: -271.549182
(1024s) inckl_eta: 0.000973,  inckl_z: 0.699534,  loss: 10.930807,  ess_rws: 1.576365,  ess_eta: 4.944067,  ess_z: 4.981737,  density: -271.439841
(1028s) inckl_eta: 0.000905,  inckl_z: 0.717800,  loss: 10.957239,  ess_rws: 1.567361,  ess_eta: 4.944020,  ess_z: 4.982191,  density: -271.422111
(1027s) inckl_eta: 0.000911,  inckl_z: 0.720383,  loss: 10.984442,  ess_rws: 1.582037,  ess_eta: 4.943600,  ess_z: 4.982546,  density: -271.464982
