(77s) loss: 65.994756,  ess_rws: 1.098162,  density: -909.608321
(79s) loss: 64.378336,  ess_rws: 1.242659,  density: -661.870499
(78s) loss: 62.576170,  ess_rws: 1.465152,  density: -551.312822
(80s) loss: 61.738234,  ess_rws: 1.638526,  density: -512.354216
(79s) loss: 61.319467,  ess_rws: 1.666582,  density: -506.573616
(81s) loss: 60.618436,  ess_rws: 1.652994,  density: -506.078760
(82s) loss: 59.801267,  ess_rws: 1.643134,  density: -506.476784
(82s) loss: 58.950917,  ess_rws: 1.599368,  density: -507.074917
(79s) loss: 58.056939,  ess_rws: 1.574467,  density: -507.844758
(76s) loss: 56.912931,  ess_rws: 1.530637,  density: -509.114121
(77s) loss: 55.952337,  ess_rws: 1.497566,  density: -510.730343
(75s) loss: 54.921452,  ess_rws: 1.464501,  density: -511.988267
(76s) loss: 53.787875,  ess_rws: 1.443441,  density: -513.437822
(76s) loss: 52.586792,  ess_rws: 1.393670,  density: -515.379303
(77s) loss: 51.572160,  ess_rws: 1.364828,  density: -517.254891
(79s) loss: 50.524043,  ess_rws: 1.338147,  density: -519.867422
(76s) loss: 49.347628,  ess_rws: 1.324612,  density: -521.827481
(77s) loss: 47.927835,  ess_rws: 1.302072,  density: -524.097686
(77s) loss: 46.888531,  ess_rws: 1.284009,  density: -525.890000
(77s) loss: 46.077224,  ess_rws: 1.269262,  density: -527.620832
(77s) loss: 45.127436,  ess_rws: 1.258089,  density: -529.787468
(78s) loss: 44.317331,  ess_rws: 1.247826,  density: -530.291899
(77s) loss: 43.438617,  ess_rws: 1.245647,  density: -531.792712
(78s) loss: 43.074792,  ess_rws: 1.234660,  density: -531.336625
(82s) loss: 42.562021,  ess_rws: 1.224577,  density: -532.475527
(82s) loss: 41.920506,  ess_rws: 1.218249,  density: -532.691042
(86s) loss: 41.221820,  ess_rws: 1.218883,  density: -533.003211
(90s) loss: 40.937674,  ess_rws: 1.214263,  density: -532.285826
(78s) loss: 40.659156,  ess_rws: 1.210151,  density: -531.026724
(79s) loss: 40.188860,  ess_rws: 1.213800,  density: -529.599224
(77s) loss: 39.707906,  ess_rws: 1.206445,  density: -528.698143
(87s) loss: 39.577288,  ess_rws: 1.206123,  density: -527.200997
(87s) loss: 39.225007,  ess_rws: 1.206842,  density: -525.367809
(90s) loss: 39.128812,  ess_rws: 1.200626,  density: -524.577814
(87s) loss: 38.704262,  ess_rws: 1.201376,  density: -522.890418
(90s) loss: 38.518015,  ess_rws: 1.201350,  density: -520.584677
(90s) loss: 38.278499,  ess_rws: 1.199420,  density: -519.054363
(92s) loss: 37.811935,  ess_rws: 1.196971,  density: -517.456543
