(61s) loss: 59.021340,  ess_rws: 1.389005,  density: -613.982940
(61s) loss: 29.427032,  ess_rws: 2.000050,  density: -338.005716
(62s) loss: 20.327555,  ess_rws: 2.289977,  density: -310.941186
(62s) loss: 19.292407,  ess_rws: 2.455731,  density: -306.810522
(62s) loss: 18.948816,  ess_rws: 2.534181,  density: -305.030468
(60s) loss: 18.763480,  ess_rws: 2.603664,  density: -303.986841
(62s) loss: 18.844086,  ess_rws: 2.656309,  density: -303.535639
(61s) loss: 18.817734,  ess_rws: 2.702614,  density: -303.025086
(64s) loss: 18.802097,  ess_rws: 2.744560,  density: -302.598010
(55s) loss: 18.696367,  ess_rws: 2.768916,  density: -302.108417
(60s) loss: 18.805180,  ess_rws: 2.788770,  density: -301.897625
(60s) loss: 18.829991,  ess_rws: 2.827581,  density: -301.681652
(64s) loss: 18.670049,  ess_rws: 2.848735,  density: -301.358537
(59s) loss: 18.705828,  ess_rws: 2.854203,  density: -301.318868
(59s) loss: 18.768338,  ess_rws: 2.857889,  density: -301.216670
(62s) loss: 18.631983,  ess_rws: 2.877487,  density: -301.035282
(62s) loss: 18.632487,  ess_rws: 2.896648,  density: -301.058300
(61s) loss: 18.631101,  ess_rws: 2.923403,  density: -301.002434
(59s) loss: 18.683823,  ess_rws: 2.905731,  density: -300.798878
(61s) loss: 18.587413,  ess_rws: 2.917288,  density: -300.745504
(63s) loss: 18.626241,  ess_rws: 2.934942,  density: -300.769147
(64s) loss: 18.653676,  ess_rws: 2.924317,  density: -300.801957
(58s) loss: 18.623798,  ess_rws: 2.949895,  density: -300.740216
(61s) loss: 18.643039,  ess_rws: 2.944222,  density: -300.610134
(56s) loss: 18.661812,  ess_rws: 2.936521,  density: -300.598432
(60s) loss: 18.684347,  ess_rws: 2.918141,  density: -300.623369
(60s) loss: 18.632465,  ess_rws: 2.962914,  density: -300.610367
(63s) loss: 18.662186,  ess_rws: 2.952686,  density: -300.457386
(62s) loss: 18.654259,  ess_rws: 2.979292,  density: -300.388444
(55s) loss: 18.599356,  ess_rws: 2.989158,  density: -300.511749
