time:51, inckl:186.159617
time:102, inckl:419.436464
time:152, inckl:478.852773
time:203, inckl:522.963954
time:254, inckl:511.482931
time:306, inckl:479.233394
time:357, inckl:410.840383
time:408, inckl:373.709189
time:459, inckl:360.046043
time:511, inckl:354.414106
time:562, inckl:322.419655
time:613, inckl:362.671661
time:665, inckl:344.862555
time:717, inckl:334.115525
time:769, inckl:324.077505
time:820, inckl:304.198250
time:873, inckl:265.918833
time:925, inckl:238.248652
time:977, inckl:201.649244
time:1029, inckl:160.223261
time:1081, inckl:140.437850
time:1133, inckl:117.185135
time:1186, inckl:88.221979
time:1238, inckl:78.066475
time:1291, inckl:64.493879
time:1341, inckl:54.215265
time:1391, inckl:49.298801
time:1440, inckl:43.836507
time:1493, inckl:32.582873
time:1546, inckl:33.226542
time:1599, inckl:29.013883
time:52, inckl:28.537314
time:104, inckl:21.690297
time:157, inckl:21.403511
time:209, inckl:22.460336
time:261, inckl:18.527564
time:313, inckl:17.863742
time:363, inckl:16.329353
time:414, inckl:18.521037
time:467, inckl:14.366638
time:519, inckl:15.075548
time:570, inckl:15.265779
time:623, inckl:12.889570
time:674, inckl:13.526725
time:726, inckl:11.858658
time:777, inckl:11.624049
time:826, inckl:11.463670
time:874, inckl:11.100844
time:921, inckl:11.174031
time:971, inckl:10.237707
time:1018, inckl:10.736663
time:1068, inckl:10.807668
time:1119, inckl:9.881462
time:1170, inckl:9.085960
time:1221, inckl:10.318428
time:1271, inckl:8.369581
time:1322, inckl:8.031710
time:1372, inckl:8.582053
time:1424, inckl:9.035588
time:1475, inckl:8.819958
time:1525, inckl:8.289435
time:1576, inckl:9.472647
time:1627, inckl:6.963779
time:1678, inckl:8.018496
time:1730, inckl:8.248671
time:1779, inckl:7.091197
time:1827, inckl:7.777059
time:1875, inckl:6.741226
time:1924, inckl:6.176443
time:1974, inckl:6.440249
time:2026, inckl:7.603537
time:2078, inckl:7.031628
time:2127, inckl:6.580628
time:2176, inckl:6.586813
time:2228, inckl:6.287940
time:2279, inckl:6.148104
time:2329, inckl:5.997903
time:2380, inckl:7.085543
time:2432, inckl:5.717113
time:2483, inckl:4.975279
time:2533, inckl:5.221612
time:2586, inckl:5.840861
time:2639, inckl:5.467475
time:2695, inckl:5.063213
time:2746, inckl:5.488891
time:2797, inckl:4.905140
time:2849, inckl:4.993203
time:2901, inckl:4.617334
time:2952, inckl:5.110191
time:3004, inckl:3.603753
time:3055, inckl:3.484978
time:3106, inckl:5.192329
time:3156, inckl:4.614581
time:3207, inckl:3.749868
time:3259, inckl:3.774451
time:3310, inckl:4.112761
time:3363, inckl:3.040601
time:3413, inckl:4.284327
time:3463, inckl:3.750781
time:3512, inckl:3.714633
time:3565, inckl:3.100785
time:3619, inckl:2.983417
time:3674, inckl:2.817434
time:3728, inckl:3.271031
time:3780, inckl:3.349232
time:3832, inckl:3.002030
time:3883, inckl:2.524947
time:3934, inckl:3.362528
