time:50, inckl:147.350064
time:99, inckl:369.411737
time:148, inckl:430.042039
time:197, inckl:499.483560
time:245, inckl:507.267854
time:294, inckl:492.476786
time:343, inckl:464.900235
time:393, inckl:405.538889
time:442, inckl:374.004124
time:491, inckl:371.706788
time:540, inckl:378.955332
time:590, inckl:364.293581
time:639, inckl:351.595393
time:688, inckl:337.124039
time:737, inckl:313.536514
time:787, inckl:281.713475
time:836, inckl:252.443314
time:885, inckl:230.699140
time:934, inckl:189.487466
time:983, inckl:156.718954
time:1032, inckl:135.908957
time:1081, inckl:117.414184
time:1130, inckl:95.352084
time:1179, inckl:81.104129
time:1228, inckl:74.748288
time:1277, inckl:59.656640
time:1326, inckl:51.244298
time:1375, inckl:46.337415
time:1424, inckl:37.965954
time:1474, inckl:38.716477
time:1523, inckl:34.345056
time:1572, inckl:24.025056
time:1621, inckl:28.181023
time:1669, inckl:23.182310
time:1718, inckl:18.599394
time:1768, inckl:18.889962
time:1818, inckl:17.559447
time:1870, inckl:15.037541
time:1922, inckl:13.996192
time:1974, inckl:13.677467
time:2027, inckl:12.001516
time:2079, inckl:12.051866
time:2132, inckl:10.636778
time:2184, inckl:11.726767
time:2237, inckl:11.436005
time:2289, inckl:9.995396
time:2342, inckl:8.971352
time:2394, inckl:8.529562
time:2445, inckl:7.909928
time:2496, inckl:8.604737
time:2546, inckl:7.519966
time:2597, inckl:7.948362
time:2646, inckl:7.275538
time:2696, inckl:5.570799
time:2748, inckl:6.802797
time:2801, inckl:6.921520
time:2852, inckl:7.540358
time:2905, inckl:5.608743
time:2957, inckl:5.508359
time:3010, inckl:5.869611
time:3062, inckl:5.142131
time:3113, inckl:5.778847
time:3166, inckl:5.700659
time:3216, inckl:5.076699
time:3265, inckl:5.409437
time:3314, inckl:5.329263
time:3363, inckl:5.320267
time:3416, inckl:3.961422
time:3468, inckl:4.477444
time:3521, inckl:5.060703
time:3573, inckl:4.240998
time:3625, inckl:4.210163
time:3678, inckl:4.953559
time:3730, inckl:4.098917
time:3783, inckl:3.683197
time:3834, inckl:3.796452
time:3886, inckl:3.854551
time:3937, inckl:4.025175
time:3988, inckl:3.388404
time:4038, inckl:4.236340
time:4090, inckl:3.994239
time:4142, inckl:3.846927
time:4195, inckl:3.852860
time:4247, inckl:3.301256
time:4299, inckl:2.877364
time:4351, inckl:4.056679
time:4403, inckl:3.276349
time:4455, inckl:3.102141
time:4508, inckl:3.204236
time:4560, inckl:2.945649
time:4612, inckl:3.558940
time:4665, inckl:3.342479
time:4717, inckl:2.825475
time:4770, inckl:3.718745
time:4822, inckl:3.231459
time:4875, inckl:2.700580
time:4927, inckl:3.460323
time:4980, inckl:2.969596
time:5032, inckl:2.564511
time:5084, inckl:3.071559
time:5136, inckl:3.006077
time:5188, inckl:2.841961
time:5241, inckl:3.227992
time:5293, inckl:3.055630
time:5346, inckl:2.842356
time:5399, inckl:3.124837
time:5451, inckl:2.440469
time:5503, inckl:2.476831
time:5554, inckl:2.673348
time:5607, inckl:2.598064
time:5659, inckl:2.988879
time:5711, inckl:2.652473
time:5764, inckl:2.786031
time:5816, inckl:1.926750
time:5869, inckl:2.046270
time:5922, inckl:2.282532
time:5973, inckl:2.726540
time:6026, inckl:2.585610
time:6078, inckl:2.196127
time:6130, inckl:2.008409
time:6183, inckl:1.852015
time:6232, inckl:2.188637
time:6281, inckl:2.476674
time:6331, inckl:2.266506
time:6380, inckl:2.783946
time:6429, inckl:2.155412
time:6478, inckl:2.790856
time:6527, inckl:1.683907
time:6576, inckl:1.931997
time:6625, inckl:1.779053
time:6674, inckl:1.881089
time:6723, inckl:1.650950
time:6772, inckl:1.524627
time:6819, inckl:1.984795
time:6867, inckl:1.601605
time:6916, inckl:1.643700
time:6967, inckl:1.672308
time:7019, inckl:1.670192
time:7071, inckl:2.076900
time:7121, inckl:1.961780
time:7170, inckl:1.988850
time:7219, inckl:1.781915
time:7268, inckl:1.820577
time:7317, inckl:2.255540
time:7366, inckl:1.635970
time:7415, inckl:1.624465
time:7464, inckl:1.672357
time:7513, inckl:1.484495
time:7562, inckl:2.505206
time:7611, inckl:2.071505
time:7653, inckl:2.832421
time:7705, inckl:1.634121
time:7758, inckl:1.905805
time:7810, inckl:1.898037
time:7862, inckl:1.855381
time:7914, inckl:2.243719
time:7966, inckl:1.868780
time:8018, inckl:1.504371
time:8070, inckl:2.104490
time:8122, inckl:1.918746
time:8174, inckl:1.349144
time:8225, inckl:2.056369
time:8277, inckl:1.914721
time:8329, inckl:2.075928
time:8381, inckl:1.785504
time:8433, inckl:2.079152
time:8483, inckl:1.542875
time:8533, inckl:1.714101
time:8582, inckl:1.597209
time:8632, inckl:1.743822
time:8681, inckl:1.822924
time:8731, inckl:1.854309
time:8780, inckl:1.489261
time:8828, inckl:1.695174
time:8877, inckl:1.579646
time:8925, inckl:1.376289
time:8973, inckl:1.333776
time:9022, inckl:1.583570
time:9070, inckl:1.649460
time:9118, inckl:2.040947
time:9167, inckl:1.296895
time:9215, inckl:1.552528
time:9263, inckl:1.738379
time:9311, inckl:1.506421
time:9360, inckl:1.345493
time:9408, inckl:1.086097
time:9456, inckl:1.293900
time:9505, inckl:1.382229
time:9553, inckl:1.189385
time:9602, inckl:1.855560
time:9650, inckl:1.317895
time:9698, inckl:1.245775
time:9747, inckl:1.253704
time:9800, inckl:1.324845
time:9851, inckl:1.560391
time:9903, inckl:1.292968
time:9955, inckl:1.677078
time:10008, inckl:1.191938
time:10059, inckl:1.089968
time:10112, inckl:1.486827
