(323s) loss: 50.913660,  ess_rws: 1.156830,  ess_eta: 1.324672,  ess_z: 4.004842
(309s) loss: 19.913712,  ess_rws: 1.388842,  ess_eta: 1.881414,  ess_z: 4.718889
(316s) loss: 12.130637,  ess_rws: 1.474168,  ess_eta: 3.213989,  ess_z: 4.884568
(310s) loss: 11.002705,  ess_rws: 1.508556,  ess_eta: 4.383605,  ess_z: 4.923621
(323s) loss: 10.920644,  ess_rws: 1.536447,  ess_eta: 4.834849,  ess_z: 4.934654
(324s) loss: 10.902131,  ess_rws: 1.536817,  ess_eta: 4.922070,  ess_z: 4.942801
(317s) loss: 10.965340,  ess_rws: 1.538248,  ess_eta: 4.937537,  ess_z: 4.949198
(315s) loss: 10.941130,  ess_rws: 1.545223,  ess_eta: 4.940256,  ess_z: 4.954533
(327s) loss: 10.962227,  ess_rws: 1.545817,  ess_eta: 4.942657,  ess_z: 4.959990
(328s) loss: 10.933641,  ess_rws: 1.556463,  ess_eta: 4.943057,  ess_z: 4.962805
(324s) loss: 10.948202,  ess_rws: 1.553897,  ess_eta: 4.943432,  ess_z: 4.965262
(326s) loss: 10.969888,  ess_rws: 1.558453,  ess_eta: 4.943288,  ess_z: 4.966802
(320s) loss: 10.976372,  ess_rws: 1.562961,  ess_eta: 4.943354,  ess_z: 4.967653
(316s) loss: 10.914949,  ess_rws: 1.565289,  ess_eta: 4.943627,  ess_z: 4.969789
(325s) loss: 10.991997,  ess_rws: 1.564026,  ess_eta: 4.944154,  ess_z: 4.970302
(328s) loss: 10.957425,  ess_rws: 1.565487,  ess_eta: 4.943790,  ess_z: 4.971792
(319s) loss: 10.933152,  ess_rws: 1.569997,  ess_eta: 4.944190,  ess_z: 4.972666
(322s) loss: 11.012688,  ess_rws: 1.567950,  ess_eta: 4.943166,  ess_z: 4.973142
(326s) loss: 10.926781,  ess_rws: 1.568705,  ess_eta: 4.943216,  ess_z: 4.973745
(327s) loss: 10.949342,  ess_rws: 1.566108,  ess_eta: 4.943376,  ess_z: 4.974938
(323s) loss: 10.985731,  ess_rws: 1.573136,  ess_eta: 4.943513,  ess_z: 4.975109
(328s) loss: 10.997870,  ess_rws: 1.567143,  ess_eta: 4.943816,  ess_z: 4.975577
(321s) loss: 10.942047,  ess_rws: 1.561889,  ess_eta: 4.944270,  ess_z: 4.976765
(326s) loss: 10.985180,  ess_rws: 1.569998,  ess_eta: 4.943776,  ess_z: 4.977225
(327s) loss: 11.009489,  ess_rws: 1.574208,  ess_eta: 4.943166,  ess_z: 4.977511
(328s) loss: 10.959166,  ess_rws: 1.573010,  ess_eta: 4.944172,  ess_z: 4.978172
(326s) loss: 10.994553,  ess_rws: 1.573480,  ess_eta: 4.943027,  ess_z: 4.978453
(327s) loss: 11.036986,  ess_rws: 1.573625,  ess_eta: 4.943827,  ess_z: 4.979405
(328s) loss: 11.010656,  ess_rws: 1.579851,  ess_eta: 4.943863,  ess_z: 4.979865
