snr: 4.423170, var: 3.646395, inckl_gen:419.216888, inckl_eta:127.964745, inckl_z:0.594163
snr: 2.983162, var: 2.189576, inckl_gen:305.811951, inckl_eta:108.962578, inckl_z:0.411582
snr: 2.463988, var: 1.728462, inckl_gen:263.344086, inckl_eta:60.885303, inckl_z:0.225323
snr: 2.170191, var: 1.477868, inckl_gen:404.496033, inckl_eta:136.882614, inckl_z:0.277865
snr: 1.997684, var: 1.379234, inckl_gen:223.917679, inckl_eta:64.235374, inckl_z:0.198879
snr: 1.921911, var: 1.338898, inckl_gen:407.617462, inckl_eta:118.181908, inckl_z:0.283339
snr: 1.918641, var: 1.440351, inckl_gen:662.330383, inckl_eta:125.027298, inckl_z:0.199103
snr: 1.880891, var: 1.452141, inckl_gen:562.162720, inckl_eta:135.868042, inckl_z:0.238322
snr: 1.771426, var: 1.360107, inckl_gen:606.167542, inckl_eta:108.838921, inckl_z:0.163131
snr: 1.848353, var: 1.479473, inckl_gen:400.170685, inckl_eta:85.175346, inckl_z:0.109926
snr: 1.758097, var: 1.346356, inckl_gen:502.406586, inckl_eta:91.770775, inckl_z:0.158147
snr: 1.680132, var: 1.245426, inckl_gen:541.682678, inckl_eta:231.202377, inckl_z:0.271255
snr: 1.713932, var: 1.291244, inckl_gen:536.549072, inckl_eta:108.423393, inckl_z:0.161732
snr: 1.773699, var: 1.426271, inckl_gen:677.292297, inckl_eta:241.104416, inckl_z:0.212510
snr: 1.669910, var: 1.293672, inckl_gen:941.462219, inckl_eta:204.187988, inckl_z:0.249939
snr: 1.686622, var: 1.330903, inckl_gen:587.043884, inckl_eta:108.111221, inckl_z:0.119277
snr: 1.722273, var: 1.370565, inckl_gen:805.990845, inckl_eta:241.481400, inckl_z:0.288961
snr: 1.741203, var: 1.368494, inckl_gen:962.932800, inckl_eta:208.427689, inckl_z:0.189665
snr: 1.681144, var: 1.380285, inckl_gen:420.367737, inckl_eta:109.048637, inckl_z:0.085231
snr: 1.742975, var: 1.367817, inckl_gen:533.804626, inckl_eta:194.604630, inckl_z:0.212731
snr: 1.757718, var: 1.407023, inckl_gen:404.076843, inckl_eta:74.130646, inckl_z:0.102910
snr: 1.735636, var: 1.364497, inckl_gen:415.075104, inckl_eta:112.402237, inckl_z:0.181730
snr: 1.621891, var: 1.283401, inckl_gen:370.549286, inckl_eta:116.761864, inckl_z:0.209527
snr: 1.684150, var: 1.312185, inckl_gen:523.808411, inckl_eta:197.879761, inckl_z:0.173634
snr: 1.651309, var: 1.331523, inckl_gen:475.472321, inckl_eta:116.394676, inckl_z:0.094561
snr: 1.654725, var: 1.289785, inckl_gen:496.947235, inckl_eta:76.337723, inckl_z:0.153298
snr: 1.568042, var: 1.182123, inckl_gen:452.347321, inckl_eta:103.564629, inckl_z:0.111420
snr: 1.587957, var: 1.158984, inckl_gen:519.820984, inckl_eta:92.459610, inckl_z:0.122978
