snr: 3.509892, var: 2.784298, inckl_gen:267.885651, inckl_eta:84.558899, inckl_z:0.522205
snr: 2.847236, var: 2.128903, inckl_gen:237.771469, inckl_eta:35.360058, inckl_z:0.341186
snr: 2.213049, var: 1.463756, inckl_gen:323.449036, inckl_eta:35.884182, inckl_z:0.237341
snr: 2.087046, var: 1.326425, inckl_gen:283.803436, inckl_eta:36.314903, inckl_z:0.204013
snr: 2.002301, var: 1.238857, inckl_gen:326.757874, inckl_eta:68.613319, inckl_z:0.205852
snr: 1.928520, var: 1.212525, inckl_gen:246.385498, inckl_eta:16.897566, inckl_z:0.091991
snr: 1.802439, var: 1.123219, inckl_gen:334.951050, inckl_eta:98.242798, inckl_z:0.209273
snr: 1.711359, var: 1.056795, inckl_gen:397.410980, inckl_eta:51.784828, inckl_z:0.185871
snr: 1.649774, var: 1.002291, inckl_gen:377.690369, inckl_eta:89.483528, inckl_z:0.191329
snr: 1.638773, var: 1.004762, inckl_gen:297.962738, inckl_eta:66.869629, inckl_z:0.122047
snr: 1.707843, var: 1.100772, inckl_gen:332.012054, inckl_eta:55.515320, inckl_z:0.120459
snr: 1.659314, var: 1.034574, inckl_gen:320.065826, inckl_eta:27.003763, inckl_z:0.082811
snr: 1.639616, var: 1.027611, inckl_gen:327.570953, inckl_eta:77.467155, inckl_z:0.129500
snr: 1.725985, var: 1.118886, inckl_gen:317.158051, inckl_eta:80.734245, inckl_z:0.186731
snr: 1.643915, var: 1.044211, inckl_gen:294.596161, inckl_eta:19.777557, inckl_z:0.067200
snr: 1.621808, var: 1.025581, inckl_gen:269.047455, inckl_eta:60.646229, inckl_z:0.125055
snr: 1.703959, var: 1.111558, inckl_gen:273.969147, inckl_eta:33.731831, inckl_z:0.111835
snr: 1.659376, var: 1.084048, inckl_gen:230.654373, inckl_eta:32.466938, inckl_z:0.088868
snr: 1.584222, var: 1.003161, inckl_gen:430.734589, inckl_eta:55.840481, inckl_z:0.108039
snr: 1.612905, var: 1.039487, inckl_gen:374.697662, inckl_eta:43.103436, inckl_z:0.141462
snr: 1.540822, var: 0.966027, inckl_gen:395.563568, inckl_eta:41.764919, inckl_z:0.137180
snr: 1.516302, var: 0.964326, inckl_gen:435.109192, inckl_eta:68.703026, inckl_z:0.179741
snr: 1.587811, var: 1.048207, inckl_gen:206.835358, inckl_eta:29.471802, inckl_z:0.070509
snr: 1.550595, var: 0.994026, inckl_gen:403.280609, inckl_eta:77.539566, inckl_z:0.131728
snr: 1.516795, var: 0.992288, inckl_gen:297.416718, inckl_eta:58.533943, inckl_z:0.111256
snr: 1.519424, var: 0.981542, inckl_gen:322.915619, inckl_eta:36.062740, inckl_z:0.091905
snr: 1.475367, var: 0.982045, inckl_gen:361.637421, inckl_eta:48.632099, inckl_z:0.099419
snr: 1.534722, var: 1.036733, inckl_gen:381.023743, inckl_eta:60.470013, inckl_z:0.125642
snr: 1.466703, var: 0.943319, inckl_gen:445.522766, inckl_eta:53.499825, inckl_z:0.114899
snr: 1.495105, var: 0.962412, inckl_gen:351.273651, inckl_eta:59.294281, inckl_z:0.096274
snr: 1.603225, var: 1.072920, inckl_gen:353.568329, inckl_eta:48.476917, inckl_z:0.098789
snr: 1.555287, var: 1.119573, inckl_gen:251.111801, inckl_eta:66.093163, inckl_z:0.118094
snr: 1.512519, var: 1.011196, inckl_gen:211.867111, inckl_eta:25.844807, inckl_z:0.082664
snr: 1.552978, var: 1.057178, inckl_gen:288.845490, inckl_eta:45.344677, inckl_z:0.080187
snr: 1.547936, var: 1.052620, inckl_gen:247.157013, inckl_eta:27.294632, inckl_z:0.052314
snr: 1.494026, var: 0.973094, inckl_gen:452.457672, inckl_eta:62.911877, inckl_z:0.093789
snr: 1.495181, var: 1.042924, inckl_gen:319.073944, inckl_eta:64.094536, inckl_z:0.060256
snr: 1.526501, var: 1.075392, inckl_gen:228.073563, inckl_eta:39.368423, inckl_z:0.080749
snr: 1.559185, var: 1.066079, inckl_gen:317.991425, inckl_eta:53.173988, inckl_z:0.071102
snr: 1.465687, var: 1.023034, inckl_gen:406.128021, inckl_eta:51.280621, inckl_z:0.100124
snr: 1.491610, var: 1.065963, inckl_gen:350.118225, inckl_eta:56.342113, inckl_z:0.101828
snr: 1.500970, var: 1.044063, inckl_gen:251.594284, inckl_eta:35.429878, inckl_z:0.047651
snr: 1.456454, var: 1.003153, inckl_gen:308.739349, inckl_eta:29.981810, inckl_z:0.075103
snr: 1.511105, var: 1.107206, inckl_gen:310.203461, inckl_eta:50.455452, inckl_z:0.048423
snr: 1.488657, var: 1.085259, inckl_gen:326.025726, inckl_eta:48.218079, inckl_z:0.083091
snr: 1.524207, var: 1.131783, inckl_gen:262.410004, inckl_eta:56.909618, inckl_z:0.052048
