snr: 11.660977, var: 83.491524, inckl_gen:158.456589
snr: 11.764987, var: 47.660126, inckl_gen:157.584259
snr: 15.444041, var: 41.746605, inckl_gen:280.192108
snr: 18.753885, var: 38.161781, inckl_gen:184.447952
snr: 25.214937, var: 34.868839, inckl_gen:223.442001
snr: 20.556536, var: 32.058491, inckl_gen:203.047806
snr: 20.898039, var: 35.025604, inckl_gen:246.146805
snr: 21.471760, var: 39.654030, inckl_gen:163.438828
snr: 28.630589, var: 31.093643, inckl_gen:179.564194
snr: 31.494089, var: 29.970053, inckl_gen:246.010651
snr: 35.543232, var: 27.146439, inckl_gen:174.987564
snr: 50.740669, var: 25.250219, inckl_gen:152.858276
snr: 47.958443, var: 25.164042, inckl_gen:172.669632
snr: 52.451035, var: 22.956434, inckl_gen:78.414330
snr: 58.758427, var: 20.919895, inckl_gen:185.460434
snr: 56.448792, var: 23.558468, inckl_gen:85.569542
snr: 64.697464, var: 29.071997, inckl_gen:47.611042
snr: 72.841599, var: 26.474356, inckl_gen:170.967255
snr: 86.266670, var: 23.178434, inckl_gen:108.771217
snr: 96.580818, var: 18.380812, inckl_gen:106.086868
snr: 110.828926, var: 17.351929, inckl_gen:103.774536
snr: 109.317703, var: 15.846214, inckl_gen:25.542768
snr: 100.576393, var: 12.673151, inckl_gen:136.914658
snr: 131.274597, var: 10.764778, inckl_gen:109.452599
snr: 141.088272, var: 10.676118, inckl_gen:89.921928
snr: 132.469818, var: 9.935381, inckl_gen:212.132645
snr: 132.447617, var: 8.668435, inckl_gen:38.605259
snr: 127.373535, var: 8.219987, inckl_gen:26.502777
snr: 138.600327, var: 7.328117, inckl_gen:57.571838
snr: 125.927078, var: 7.836141, inckl_gen:13.723432
snr: 131.182068, var: 6.608326, inckl_gen:20.305151
snr: 150.012222, var: 6.617393, inckl_gen:41.656792
snr: 122.362221, var: 6.002205, inckl_gen:18.784702
snr: 131.773514, var: 5.637694, inckl_gen:11.885951
snr: 149.990784, var: 5.904312, inckl_gen:12.319993
snr: 146.480713, var: 5.378732, inckl_gen:2.519671
snr: 149.980804, var: 5.208016, inckl_gen:1.463353
snr: 139.923096, var: 5.220009, inckl_gen:2.655217
snr: 143.852203, var: 4.868628, inckl_gen:1.017841
snr: 146.462677, var: 5.056850, inckl_gen:2.782404
snr: 140.955612, var: 4.871576, inckl_gen:1.956779
snr: 175.174484, var: 4.705711, inckl_gen:0.980735
snr: 178.512451, var: 4.852671, inckl_gen:30.536146
snr: 150.765167, var: 4.688106, inckl_gen:2.974766
snr: 170.397171, var: 4.695828, inckl_gen:0.059169
snr: 139.902557, var: 4.650145, inckl_gen:0.336689
snr: 132.350098, var: 4.902929, inckl_gen:0.047780
snr: 162.038910, var: 4.772239, inckl_gen:0.112223
snr: 170.386398, var: 4.599451, inckl_gen:0.142352
snr: 154.052902, var: 4.775293, inckl_gen:0.031058
snr: 134.231018, var: 5.173055, inckl_gen:0.017564
snr: 159.736801, var: 4.564898, inckl_gen:0.446303
snr: 159.739471, var: 4.918225, inckl_gen:2.652659
snr: 143.824844, var: 5.045578, inckl_gen:0.262473
snr: 153.211594, var: 4.643271, inckl_gen:0.019553
snr: 149.548019, var: 4.990659, inckl_gen:0.101486
snr: 139.891937, var: 4.941459, inckl_gen:0.028248
snr: 139.200729, var: 4.802470, inckl_gen:0.160807
snr: 148.757309, var: 4.857960, inckl_gen:0.711156
snr: 157.056778, var: 5.237584, inckl_gen:0.155554
snr: 141.649384, var: 4.865304, inckl_gen:0.049183
snr: 144.927719, var: 5.046799, inckl_gen:0.010238
snr: 150.747681, var: 4.777399, inckl_gen:0.089884
snr: 138.512680, var: 4.716019, inckl_gen:0.016967
snr: 140.238464, var: 4.854127, inckl_gen:0.007373
snr: 160.643173, var: 5.104826, inckl_gen:0.212466
snr: 161.561417, var: 4.993852, inckl_gen:0.037746
snr: 175.151978, var: 4.702256, inckl_gen:0.082188
snr: 148.751480, var: 4.798525, inckl_gen:0.030455
snr: 148.751114, var: 4.865286, inckl_gen:0.013828
snr: 151.555389, var: 4.969940, inckl_gen:0.029261
snr: 156.179855, var: 4.746110, inckl_gen:0.104563
snr: 140.935165, var: 5.189146, inckl_gen:0.001840
snr: 162.026093, var: 4.626917, inckl_gen:0.021641
snr: 181.958557, var: 5.212175, inckl_gen:0.056580
snr: 151.554077, var: 4.844162, inckl_gen:0.003803
snr: 134.224747, var: 5.049262, inckl_gen:0.003119
snr: 183.744919, var: 4.808287, inckl_gen:0.089644
snr: 139.886505, var: 4.741537, inckl_gen:0.053179
snr: 162.028351, var: 4.916749, inckl_gen:0.003167
snr: 155.748245, var: 5.216832, inckl_gen:0.008976
snr: 152.374741, var: 5.073125, inckl_gen:0.014822
snr: 145.673279, var: 4.860269, inckl_gen:0.009169
snr: 165.850479, var: 5.044552, inckl_gen:0.034467
snr: 169.345444, var: 5.018080, inckl_gen:0.012363
snr: 164.876556, var: 5.262590, inckl_gen:0.016964
snr: 162.026611, var: 4.825816, inckl_gen:0.114188
snr: 134.866364, var: 5.023835, inckl_gen:0.001789
snr: 128.419113, var: 5.073149, inckl_gen:0.016376
snr: 126.406174, var: 5.128393, inckl_gen:0.003407
snr: 146.431900, var: 5.095667, inckl_gen:0.002653
snr: 149.541977, var: 4.803578, inckl_gen:2.456585
snr: 134.866501, var: 5.182971, inckl_gen:0.010857
snr: 181.957687, var: 4.971641, inckl_gen:0.003521
snr: 183.144318, var: 5.704682, inckl_gen:0.003096
snr: 162.026871, var: 5.259762, inckl_gen:0.002430
snr: 154.889969, var: 5.206236, inckl_gen:0.001141
snr: 147.196487, var: 5.327646, inckl_gen:0.006875
snr: 154.042847, var: 5.081099, inckl_gen:0.002248
snr: 193.228455, var: 5.254499, inckl_gen:0.001049
snr: 145.673508, var: 4.980539, inckl_gen:0.005193
snr: 149.540680, var: 4.842123, inckl_gen:0.003523
snr: 151.551926, var: 5.018285, inckl_gen:0.014338
snr: 149.539597, var: 4.885425, inckl_gen:0.003259
snr: 162.963852, var: 4.980807, inckl_gen:0.002013
snr: 171.409805, var: 5.120710, inckl_gen:0.895154
snr: 165.848129, var: 5.155585, inckl_gen:0.004082
snr: 157.049789, var: 5.201029, inckl_gen:0.008411
snr: 146.428802, var: 5.461514, inckl_gen:0.003573
snr: 184.953842, var: 5.153824, inckl_gen:0.030403
snr: 153.204025, var: 5.109555, inckl_gen:0.030235
snr: 140.934723, var: 5.159081, inckl_gen:0.006780
snr: 144.923508, var: 5.120120, inckl_gen:0.001620
snr: 156.179459, var: 5.294634, inckl_gen:0.004080
snr: 147.968536, var: 5.334466, inckl_gen:0.007174
snr: 154.889465, var: 5.455910, inckl_gen:0.005604
snr: 156.178879, var: 5.467984, inckl_gen:0.002096
snr: 160.637619, var: 5.331209, inckl_gen:0.003930
snr: 197.304367, var: 5.432285, inckl_gen:0.004079
snr: 165.848862, var: 5.075914, inckl_gen:0.005499
snr: 191.254120, var: 5.437003, inckl_gen:0.002080
snr: 184.954605, var: 5.421825, inckl_gen:0.004324
snr: 129.005661, var: 5.399974, inckl_gen:0.031167
snr: 132.334274, var: 5.883005, inckl_gen:0.004953
snr: 171.413422, var: 5.450491, inckl_gen:0.015289
snr: 129.007217, var: 5.118171, inckl_gen:0.004568
snr: 150.744202, var: 5.536112, inckl_gen:0.005483
snr: 133.592438, var: 5.394204, inckl_gen:0.002150
snr: 158.827759, var: 5.494255, inckl_gen:0.186648
snr: 143.087234, var: 5.275225, inckl_gen:0.001818
snr: 137.841064, var: 5.622561, inckl_gen:0.016740
snr: 159.733963, var: 5.560483, inckl_gen:0.001670
snr: 167.836578, var: 5.340781, inckl_gen:0.002198
snr: 160.648438, var: 5.444588, inckl_gen:0.002823
snr: 160.647110, var: 5.684196, inckl_gen:0.030347
snr: 183.154404, var: 5.821074, inckl_gen:0.055746
snr: 183.161118, var: 5.532089, inckl_gen:0.644704
snr: 144.569443, var: 5.099249, inckl_gen:0.014780
snr: 161.576843, var: 5.196755, inckl_gen:0.001178
snr: 134.234848, var: 5.529596, inckl_gen:0.000959
snr: 159.739029, var: 5.700651, inckl_gen:0.006978
snr: 175.182419, var: 5.895817, inckl_gen:0.003681
snr: 165.885315, var: 5.604926, inckl_gen:0.006545
snr: 134.920410, var: 6.166638, inckl_gen:0.016094
snr: 189.995346, var: 5.770998, inckl_gen:0.003717
snr: 166.878448, var: 5.511433, inckl_gen:0.001242
snr: 131.752991, var: 5.405390, inckl_gen:0.007667
snr: 157.100250, var: 5.401490, inckl_gen:0.000839
snr: 196.004227, var: 5.847787, inckl_gen:0.017138
snr: 170.498947, var: 5.472246, inckl_gen:0.003006
snr: 179.756088, var: 5.926091, inckl_gen:0.406243
snr: 174.703720, var: 5.498924, inckl_gen:0.027558
snr: 143.971832, var: 5.641871, inckl_gen:0.014537
snr: 146.590652, var: 5.486632, inckl_gen:0.047897
snr: 198.938904, var: 5.578214, inckl_gen:0.047397
