snr: 1.504985, var: 35.843021, inckl_gen:246.578278
snr: 1.642410, var: 21.104328, inckl_gen:209.780350
snr: 1.576323, var: 14.957994, inckl_gen:273.061127
snr: 1.538170, var: 11.318622, inckl_gen:338.347656
snr: 1.453855, var: 10.459155, inckl_gen:335.084473
snr: 1.313376, var: 10.517167, inckl_gen:333.506805
snr: 1.191732, var: 10.753715, inckl_gen:413.195465
snr: 1.137410, var: 10.994287, inckl_gen:278.688812
snr: 1.091726, var: 12.594043, inckl_gen:264.622284
snr: 1.067470, var: 13.196007, inckl_gen:448.327148
snr: 1.068602, var: 12.738691, inckl_gen:291.012878
snr: 1.070011, var: 12.825594, inckl_gen:470.004303
snr: 1.064151, var: 15.263965, inckl_gen:447.236725
snr: 1.061591, var: 14.646433, inckl_gen:260.363495
snr: 1.064045, var: 14.883408, inckl_gen:362.500824
snr: 1.062996, var: 15.161409, inckl_gen:448.186920
snr: 1.066169, var: 14.068415, inckl_gen:370.839844
snr: 1.062306, var: 13.609569, inckl_gen:420.010651
snr: 1.059237, var: 14.796172, inckl_gen:363.764496
snr: 1.060856, var: 14.356557, inckl_gen:391.178772
snr: 1.061377, var: 13.242964, inckl_gen:328.086121
snr: 1.052159, var: 13.535670, inckl_gen:373.913452
snr: 1.053656, var: 14.554306, inckl_gen:318.713226
snr: 1.050885, var: 13.137776, inckl_gen:407.898438
snr: 1.049088, var: 12.260299, inckl_gen:375.146454
snr: 1.051841, var: 11.953261, inckl_gen:334.571991
snr: 1.047729, var: 13.473001, inckl_gen:317.550140
snr: 1.043670, var: 12.837501, inckl_gen:226.287521
snr: 1.044247, var: 11.870772, inckl_gen:330.445953
snr: 1.045223, var: 11.934902, inckl_gen:279.378632
snr: 1.041427, var: 11.433464, inckl_gen:280.067383
snr: 1.040951, var: 12.824391, inckl_gen:223.253860
snr: 1.041299, var: 10.524499, inckl_gen:237.090240
snr: 1.042069, var: 10.318509, inckl_gen:167.044006
snr: 1.042826, var: 11.135813, inckl_gen:261.227356
snr: 1.042683, var: 9.925316, inckl_gen:161.146042
snr: 1.041339, var: 10.038296, inckl_gen:167.517471
snr: 1.037078, var: 10.555034, inckl_gen:263.089691
snr: 1.034036, var: 10.450820, inckl_gen:240.596100
snr: 1.037536, var: 8.666758, inckl_gen:216.205078
snr: 1.039547, var: 8.914852, inckl_gen:189.253494
snr: 1.045583, var: 9.289446, inckl_gen:195.029739
snr: 1.059203, var: 8.265854, inckl_gen:225.981186
snr: 1.088829, var: 9.294343, inckl_gen:231.663895
snr: 1.121395, var: 9.638856, inckl_gen:146.199738
snr: 1.160385, var: 7.656190, inckl_gen:217.777252
snr: 1.180579, var: 7.513607, inckl_gen:463.335175
snr: 1.177294, var: 7.821523, inckl_gen:276.508057
snr: 1.169374, var: 8.312386, inckl_gen:367.959198
snr: 1.161131, var: 7.656031, inckl_gen:610.473328
snr: 1.120052, var: 6.920335, inckl_gen:236.615723
snr: 1.119889, var: 7.363081, inckl_gen:335.088531
snr: 1.128213, var: 7.385854, inckl_gen:254.425003
snr: 1.118105, var: 7.001725, inckl_gen:257.975006
snr: 1.127571, var: 6.946578, inckl_gen:205.626709
snr: 1.115762, var: 7.548928, inckl_gen:365.820496
snr: 1.110120, var: 7.843403, inckl_gen:234.835403
snr: 1.115206, var: 7.674449, inckl_gen:251.062653
snr: 1.110828, var: 7.376470, inckl_gen:293.321991
snr: 1.122824, var: 7.198995, inckl_gen:394.595184
snr: 1.138349, var: 7.295608, inckl_gen:229.655319
snr: 1.123127, var: 6.647651, inckl_gen:249.893539
snr: 1.112333, var: 6.998542, inckl_gen:160.006836
snr: 1.123713, var: 7.166341, inckl_gen:159.137451
snr: 1.122975, var: 6.767495, inckl_gen:306.498138
snr: 1.128478, var: 6.114269, inckl_gen:63.851196
snr: 1.117173, var: 5.791906, inckl_gen:210.661423
snr: 1.121384, var: 5.184001, inckl_gen:101.504753
snr: 1.129862, var: 4.832901, inckl_gen:77.904747
snr: 1.117235, var: 4.040185, inckl_gen:20.316504
snr: 1.092522, var: 3.715643, inckl_gen:71.405113
snr: 1.063207, var: 3.557356, inckl_gen:25.894247
snr: 1.057581, var: 3.046000, inckl_gen:24.846010
snr: 1.049370, var: 2.867180, inckl_gen:8.926703
snr: 1.046832, var: 3.038043, inckl_gen:21.458811
snr: 1.044199, var: 3.166338, inckl_gen:12.952497
snr: 1.043346, var: 2.749712, inckl_gen:51.702888
