snr: 2.668806, var: 1.901553, inckl_gen:183.036179, inckl_eta:62.926491, inckl_z:0.628908
snr: 2.820671, var: 1.987205, inckl_gen:247.099609, inckl_eta:62.870800, inckl_z:0.569497
snr: 2.711224, var: 1.861850, inckl_gen:222.612259, inckl_eta:48.394634, inckl_z:0.375329
snr: 2.518926, var: 1.704081, inckl_gen:275.244720, inckl_eta:46.522434, inckl_z:0.403696
snr: 2.279483, var: 1.482928, inckl_gen:265.131805, inckl_eta:45.535183, inckl_z:0.307380
snr: 2.028323, var: 1.308426, inckl_gen:154.235580, inckl_eta:34.089756, inckl_z:0.203361
snr: 2.000393, var: 1.318941, inckl_gen:382.701996, inckl_eta:99.022095, inckl_z:0.325807
snr: 1.974556, var: 1.301739, inckl_gen:167.133301, inckl_eta:41.387867, inckl_z:0.210165
snr: 1.899250, var: 1.245874, inckl_gen:287.301483, inckl_eta:53.101612, inckl_z:0.160149
snr: 1.800787, var: 1.169936, inckl_gen:321.479736, inckl_eta:63.135071, inckl_z:0.142106
snr: 1.756141, var: 1.160242, inckl_gen:388.288239, inckl_eta:97.061157, inckl_z:0.199451
snr: 1.793750, var: 1.223624, inckl_gen:336.861572, inckl_eta:28.722324, inckl_z:0.088229
snr: 1.867449, var: 1.378819, inckl_gen:309.344330, inckl_eta:50.925869, inckl_z:0.127622
snr: 1.802204, var: 1.326085, inckl_gen:352.949921, inckl_eta:77.945351, inckl_z:0.098772
snr: 1.809859, var: 1.314202, inckl_gen:345.087219, inckl_eta:68.175049, inckl_z:0.121427
snr: 1.736349, var: 1.272637, inckl_gen:279.300842, inckl_eta:52.577892, inckl_z:0.135928
snr: 1.640660, var: 1.262937, inckl_gen:298.100952, inckl_eta:72.059753, inckl_z:0.073178
snr: 1.648786, var: 1.311316, inckl_gen:387.965210, inckl_eta:86.121910, inckl_z:0.157216
snr: 1.674663, var: 1.380645, inckl_gen:306.438721, inckl_eta:59.721546, inckl_z:0.130189
snr: 1.688721, var: 1.398553, inckl_gen:301.668671, inckl_eta:63.383450, inckl_z:0.072699
snr: 1.620763, var: 1.363711, inckl_gen:309.335449, inckl_eta:125.299980, inckl_z:0.125700
snr: 1.654995, var: 1.511836, inckl_gen:340.537567, inckl_eta:58.293945, inckl_z:0.145425
snr: 1.612698, var: 1.390816, inckl_gen:312.551331, inckl_eta:77.323280, inckl_z:0.086066
snr: 1.659691, var: 1.422057, inckl_gen:273.188873, inckl_eta:63.332031, inckl_z:0.086336
snr: 1.619705, var: 1.397106, inckl_gen:425.730225, inckl_eta:60.967720, inckl_z:0.152892
snr: 1.620878, var: 1.437564, inckl_gen:416.391510, inckl_eta:57.251003, inckl_z:0.147110
snr: 1.611294, var: 1.429135, inckl_gen:415.167450, inckl_eta:101.542938, inckl_z:0.166974
snr: 1.525546, var: 1.284252, inckl_gen:370.985352, inckl_eta:94.167480, inckl_z:0.082005
snr: 1.473823, var: 1.350275, inckl_gen:239.404892, inckl_eta:70.160759, inckl_z:0.077324
snr: 1.514720, var: 1.405285, inckl_gen:343.493073, inckl_eta:49.126289, inckl_z:0.117072
snr: 1.491523, var: 1.339535, inckl_gen:267.110382, inckl_eta:53.192299, inckl_z:0.112503
snr: 1.568974, var: 1.410967, inckl_gen:345.256317, inckl_eta:131.174301, inckl_z:0.097199
snr: 1.500867, var: 1.390170, inckl_gen:199.441483, inckl_eta:26.864338, inckl_z:0.096025
snr: 1.462366, var: 1.318681, inckl_gen:219.387894, inckl_eta:41.114555, inckl_z:0.077220
snr: 1.461036, var: 1.269110, inckl_gen:316.585693, inckl_eta:62.790565, inckl_z:0.101773
snr: 1.456326, var: 1.288876, inckl_gen:247.988876, inckl_eta:69.465530, inckl_z:0.349252
snr: 1.447402, var: 1.321128, inckl_gen:302.398407, inckl_eta:56.255470, inckl_z:0.061081
snr: 1.460349, var: 1.304854, inckl_gen:245.336945, inckl_eta:38.255981, inckl_z:0.073487
snr: 1.494803, var: 1.377385, inckl_gen:304.786865, inckl_eta:62.678173, inckl_z:0.082916
snr: 1.490927, var: 1.386790, inckl_gen:241.045273, inckl_eta:42.329659, inckl_z:0.086274
snr: 1.522383, var: 1.354063, inckl_gen:353.320160, inckl_eta:111.397606, inckl_z:0.104448
snr: 1.499522, var: 1.296510, inckl_gen:229.456894, inckl_eta:58.171535, inckl_z:0.066274
snr: 1.500634, var: 1.381390, inckl_gen:373.441956, inckl_eta:88.620636, inckl_z:0.118941
snr: 1.496882, var: 1.308583, inckl_gen:162.843094, inckl_eta:49.752819, inckl_z:0.045722
snr: 1.452943, var: 1.225781, inckl_gen:219.994171, inckl_eta:23.430094, inckl_z:0.031689
snr: 1.486855, var: 1.405908, inckl_gen:221.024414, inckl_eta:96.046730, inckl_z:0.057745
snr: 1.498098, var: 1.407193, inckl_gen:227.700958, inckl_eta:30.285370, inckl_z:0.044349
snr: 1.513114, var: 1.478813, inckl_gen:240.330734, inckl_eta:39.668282, inckl_z:0.052091
snr: 1.466147, var: 1.327512, inckl_gen:248.573288, inckl_eta:57.183613, inckl_z:0.124592
snr: 1.412644, var: 1.298637, inckl_gen:179.390121, inckl_eta:33.879696, inckl_z:0.039137
