(758s) inckl_eta: 110.675374,  inckl_z: 0.304838,  loss: 60.067609,  ess_rws: 1.187025,  ess_eta: 1.327971,  ess_z: 6.924940,  density: -618.226668
(714s) inckl_eta: 148.186932,  inckl_z: 0.180907,  loss: 50.054886,  ess_rws: 1.426883,  ess_eta: 1.407412,  ess_z: 7.825036,  density: -523.029098
(464s) inckl_eta: 141.079231,  inckl_z: 0.167894,  loss: 41.322358,  ess_rws: 1.443701,  ess_eta: 1.445289,  ess_z: 8.065138,  density: -523.771836
(454s) inckl_eta: 127.755234,  inckl_z: 0.132075,  loss: 37.029110,  ess_rws: 1.517020,  ess_eta: 1.452772,  ess_z: 8.524858,  density: -515.999665
(435s) inckl_eta: 118.238604,  inckl_z: 0.114354,  loss: 33.397157,  ess_rws: 1.548780,  ess_eta: 1.467364,  ess_z: 8.835102,  density: -510.183539
(441s) inckl_eta: 107.836245,  inckl_z: 0.109683,  loss: 31.222648,  ess_rws: 1.588235,  ess_eta: 1.465398,  ess_z: 9.069351,  density: -507.761288
(427s) inckl_eta: 93.658474,  inckl_z: 0.099399,  loss: 31.455488,  ess_rws: 1.613538,  ess_eta: 1.454774,  ess_z: 9.240222,  density: -491.901249
(445s) inckl_eta: 79.796521,  inckl_z: 0.073787,  loss: 35.247359,  ess_rws: 1.639948,  ess_eta: 1.480115,  ess_z: 9.366373,  density: -452.444763
(446s) inckl_eta: 71.359437,  inckl_z: 0.103860,  loss: 34.810051,  ess_rws: 1.661741,  ess_eta: 1.499121,  ess_z: 9.490275,  density: -434.695414
(440s) inckl_eta: 45.280646,  inckl_z: 0.069334,  loss: 33.912837,  ess_rws: 1.719846,  ess_eta: 1.571592,  ess_z: 9.627910,  density: -369.277268
(435s) inckl_eta: 29.896986,  inckl_z: 0.096127,  loss: 31.542323,  ess_rws: 1.781901,  ess_eta: 1.737328,  ess_z: 9.723862,  density: -334.450118
(437s) inckl_eta: 21.939757,  inckl_z: 0.168790,  loss: 25.750566,  ess_rws: 1.812104,  ess_eta: 1.905372,  ess_z: 9.774348,  density: -315.084082
(439s) inckl_eta: 10.600521,  inckl_z: 0.308271,  loss: 17.699146,  ess_rws: 1.830981,  ess_eta: 2.431204,  ess_z: 9.826229,  density: -289.505251
(439s) inckl_eta: 3.578623,  inckl_z: 0.464670,  loss: 13.751934,  ess_rws: 1.863559,  ess_eta: 4.613690,  ess_z: 9.834557,  density: -277.701535
(444s) inckl_eta: 0.412647,  inckl_z: 0.548513,  loss: 12.282866,  ess_rws: 1.855119,  ess_eta: 8.134515,  ess_z: 9.834091,  density: -274.127937
(422s) inckl_eta: 0.029170,  inckl_z: 0.616896,  loss: 12.163066,  ess_rws: 1.862891,  ess_eta: 9.467727,  ess_z: 9.835892,  density: -274.259933
(441s) inckl_eta: 0.005365,  inckl_z: 0.660216,  loss: 12.176913,  ess_rws: 1.873342,  ess_eta: 9.782971,  ess_z: 9.844660,  density: -274.492817
(442s) inckl_eta: 0.001747,  inckl_z: 0.675392,  loss: 12.180187,  ess_rws: 1.866009,  ess_eta: 9.842612,  ess_z: 9.848763,  density: -274.587993
(440s) inckl_eta: 0.001199,  inckl_z: 0.685988,  loss: 12.205985,  ess_rws: 1.872832,  ess_eta: 9.856256,  ess_z: 9.855377,  density: -274.588904
(448s) inckl_eta: 0.001008,  inckl_z: 0.703356,  loss: 12.169493,  ess_rws: 1.876467,  ess_eta: 9.861941,  ess_z: 9.860911,  density: -274.564109
(436s) inckl_eta: 0.000990,  inckl_z: 0.701719,  loss: 12.169926,  ess_rws: 1.871909,  ess_eta: 9.864096,  ess_z: 9.862442,  density: -274.558880
(450s) inckl_eta: 0.000944,  inckl_z: 0.699133,  loss: 12.195783,  ess_rws: 1.886446,  ess_eta: 9.867189,  ess_z: 9.867129,  density: -274.598373
(449s) inckl_eta: 0.000975,  inckl_z: 0.704893,  loss: 12.154811,  ess_rws: 1.878354,  ess_eta: 9.866744,  ess_z: 9.870569,  density: -274.477197
(440s) inckl_eta: 0.000844,  inckl_z: 0.709176,  loss: 12.184800,  ess_rws: 1.863042,  ess_eta: 9.869284,  ess_z: 9.871130,  density: -274.552268
(444s) inckl_eta: 0.001025,  inckl_z: 0.716574,  loss: 12.151194,  ess_rws: 1.878748,  ess_eta: 9.866790,  ess_z: 9.873949,  density: -274.473981
(445s) inckl_eta: 0.000883,  inckl_z: 0.721036,  loss: 12.183946,  ess_rws: 1.885170,  ess_eta: 9.867469,  ess_z: 9.876731,  density: -274.555358
(527s) inckl_eta: 0.001015,  inckl_z: 0.724645,  loss: 12.139320,  ess_rws: 1.889548,  ess_eta: 9.868823,  ess_z: 9.880320,  density: -274.405601
(528s) inckl_eta: 0.000950,  inckl_z: 0.727761,  loss: 12.190213,  ess_rws: 1.888773,  ess_eta: 9.869841,  ess_z: 9.880438,  density: -274.538131
(528s) inckl_eta: 0.000944,  inckl_z: 0.730061,  loss: 12.147119,  ess_rws: 1.871191,  ess_eta: 9.868837,  ess_z: 9.881786,  density: -274.477951
(531s) inckl_eta: 0.000926,  inckl_z: 0.728930,  loss: 12.204038,  ess_rws: 1.885338,  ess_eta: 9.869023,  ess_z: 9.882946,  density: -274.599810
