TrueKL=1412.722023, loss: 61.676225,  ess_rws: 1.107380,  inckl_eta: 229.265484,  inckl_z: 23.146369
TrueKL=2215.557664, loss: 57.939609,  ess_rws: 1.187746,  inckl_eta: 353.340979,  inckl_z: 10.424259
TrueKL=2372.648703, loss: 52.325104,  ess_rws: 1.171530,  inckl_eta: 486.109000,  inckl_z: 10.301933
TrueKL=2272.721277, loss: 49.388639,  ess_rws: 1.159270,  inckl_eta: 527.123083,  inckl_z: 10.397458
TrueKL=2115.384730, loss: 43.063282,  ess_rws: 1.151457,  inckl_eta: 650.284582,  inckl_z: 11.127103
TrueKL=2168.206229, loss: 39.516156,  ess_rws: 1.140400,  inckl_eta: 771.076135,  inckl_z: 10.734943
TrueKL=2153.357917, loss: 38.302228,  ess_rws: 1.139952,  inckl_eta: 793.623759,  inckl_z: 9.923529
TrueKL=2118.055553, loss: 38.369762,  ess_rws: 1.140147,  inckl_eta: 773.123878,  inckl_z: 8.953436
TrueKL=2054.935893, loss: 38.091586,  ess_rws: 1.151987,  inckl_eta: 743.753898,  inckl_z: 8.185691
TrueKL=1989.967755, loss: 38.680684,  ess_rws: 1.164767,  inckl_eta: 686.262263,  inckl_z: 7.293772
TrueKL=1895.591349, loss: 39.392270,  ess_rws: 1.171634,  inckl_eta: 626.108986,  inckl_z: 6.745743
TrueKL=1732.829806, loss: 39.533191,  ess_rws: 1.191813,  inckl_eta: 532.731093,  inckl_z: 6.202425
TrueKL=1512.555459, loss: 40.299086,  ess_rws: 1.219981,  inckl_eta: 391.697077,  inckl_z: 5.211622
TrueKL=1342.923541, loss: 40.791917,  ess_rws: 1.220239,  inckl_eta: 296.398956,  inckl_z: 4.774090
TrueKL=1214.052950, loss: 40.271397,  ess_rws: 1.222237,  inckl_eta: 241.280139,  inckl_z: 4.368673
TrueKL=1132.029266, loss: 40.896068,  ess_rws: 1.257756,  inckl_eta: 164.187260,  inckl_z: 3.650022
TrueKL=1144.014235, loss: 36.521060,  ess_rws: 1.321550,  inckl_eta: 121.733931,  inckl_z: 2.610775
TrueKL=1250.131618, loss: 28.917320,  ess_rws: 1.341918,  inckl_eta: 109.972786,  inckl_z: 1.995025
TrueKL=1394.437150, loss: 23.557321,  ess_rws: 1.375980,  inckl_eta: 92.795533,  inckl_z: 1.852369
TrueKL=1460.951164, loss: 20.517519,  ess_rws: 1.425530,  inckl_eta: 78.507769,  inckl_z: 1.674149
TrueKL=1387.327381, loss: 18.524498,  ess_rws: 1.502559,  inckl_eta: 58.137642,  inckl_z: 1.417759
TrueKL=1215.505909, loss: 16.695326,  ess_rws: 1.581902,  inckl_eta: 40.796659,  inckl_z: 1.134923
TrueKL=974.485052, loss: 14.823668,  ess_rws: 1.784641,  inckl_eta: 25.260421,  inckl_z: 0.899546
TrueKL=665.991196, loss: 12.486678,  ess_rws: 2.298998,  inckl_eta: 10.856117,  inckl_z: 0.695778
TrueKL=344.291185, loss: 10.770867,  ess_rws: 3.354790,  inckl_eta: 2.872388,  inckl_z: 0.554363
TrueKL=185.237999, loss: 10.337173,  ess_rws: 4.294814,  inckl_eta: 0.807661,  inckl_z: 0.480451
TrueKL=117.835641, loss: 10.255835,  ess_rws: 5.204455,  inckl_eta: 0.244741,  inckl_z: 0.449487
TrueKL=84.723234, loss: 10.254914,  ess_rws: 5.855454,  inckl_eta: 0.061726,  inckl_z: 0.404758
TrueKL=66.816894, loss: 10.179718,  ess_rws: 6.229502,  inckl_eta: 0.020140,  inckl_z: 0.386667
TrueKL=58.609154, loss: 10.208127,  ess_rws: 6.462851,  inckl_eta: 0.008841,  inckl_z: 0.368735
TrueKL=51.506403, loss: 10.167983,  ess_rws: 6.600736,  inckl_eta: 0.004763,  inckl_z: 0.351045
TrueKL=48.198294, loss: 10.151322,  ess_rws: 6.739568,  inckl_eta: 0.003122,  inckl_z: 0.332900
TrueKL=47.400714, loss: 10.171413,  ess_rws: 6.809121,  inckl_eta: 0.002729,  inckl_z: 0.322668
TrueKL=42.681265, loss: 10.187915,  ess_rws: 6.908786,  inckl_eta: 0.002349,  inckl_z: 0.320028
TrueKL=40.562853, loss: 10.193619,  ess_rws: 6.987535,  inckl_eta: 0.002075,  inckl_z: 0.310958
TrueKL=40.100455, loss: 10.194167,  ess_rws: 7.037198,  inckl_eta: 0.002265,  inckl_z: 0.305609
TrueKL=40.680367, loss: 10.175802,  ess_rws: 7.126672,  inckl_eta: 0.002040,  inckl_z: 0.289625
TrueKL=37.021422, loss: 10.172655,  ess_rws: 7.183980,  inckl_eta: 0.001747,  inckl_z: 0.278705
TrueKL=36.456289, loss: 10.177356,  ess_rws: 7.246773,  inckl_eta: 0.001977,  inckl_z: 0.266380
TrueKL=37.072830, loss: 10.138872,  ess_rws: 7.333946,  inckl_eta: 0.002477,  inckl_z: 0.253887
TrueKL=36.479088, loss: 10.171158,  ess_rws: 7.358712,  inckl_eta: 0.001783,  inckl_z: 0.251337
TrueKL=36.281627, loss: 10.178063,  ess_rws: 7.429692,  inckl_eta: 0.001937,  inckl_z: 0.241355
TrueKL=34.375167, loss: 10.157064,  ess_rws: 7.461808,  inckl_eta: 0.081007,  inckl_z: 0.230754
TrueKL=33.212987, loss: 10.152931,  ess_rws: 7.535318,  inckl_eta: 0.004610,  inckl_z: 0.222827
TrueKL=33.204492, loss: 10.185382,  ess_rws: 7.572401,  inckl_eta: 0.001712,  inckl_z: 0.215068
TrueKL=28.390530, loss: 10.198871,  ess_rws: 7.610760,  inckl_eta: 0.001707,  inckl_z: 0.206118
TrueKL=30.190053, loss: 10.155691,  ess_rws: 7.670283,  inckl_eta: 0.001699,  inckl_z: 0.209613
TrueKL=26.880613, loss: 10.147470,  ess_rws: 7.709024,  inckl_eta: 0.033304,  inckl_z: 0.187719
TrueKL=27.143204, loss: 10.185062,  ess_rws: 7.715415,  inckl_eta: 0.001794,  inckl_z: 0.183969
TrueKL=23.429128, loss: 10.150758,  ess_rws: 7.752234,  inckl_eta: 0.001644,  inckl_z: 0.181941
TrueKL=23.555197, loss: 10.195742,  ess_rws: 7.779242,  inckl_eta: 0.004116,  inckl_z: 0.179167
TrueKL=26.147872, loss: 10.172098,  ess_rws: 7.816854,  inckl_eta: 0.001737,  inckl_z: 0.183363
TrueKL=29.924866, loss: 10.170096,  ess_rws: 7.822272,  inckl_eta: 0.001630,  inckl_z: 0.174481
TrueKL=32.535071, loss: 10.190497,  ess_rws: 7.867604,  inckl_eta: 0.001662,  inckl_z: 0.166296
TrueKL=26.686312, loss: 10.180263,  ess_rws: 7.869083,  inckl_eta: 0.001742,  inckl_z: 0.163463
TrueKL=23.199075, loss: 10.149541,  ess_rws: 7.900831,  inckl_eta: 0.001693,  inckl_z: 0.161610
TrueKL=22.038102, loss: 10.183879,  ess_rws: 7.917475,  inckl_eta: 0.001666,  inckl_z: 0.158602
TrueKL=24.822511, loss: 10.192381,  ess_rws: 7.916695,  inckl_eta: 0.001772,  inckl_z: 0.157821
TrueKL=26.496145, loss: 10.159491,  ess_rws: 7.947027,  inckl_eta: 0.001831,  inckl_z: 0.147088
TrueKL=27.814621, loss: 10.194156,  ess_rws: 7.969356,  inckl_eta: 0.001511,  inckl_z: 0.150352
TrueKL=29.502393, loss: 10.182233,  ess_rws: 7.993879,  inckl_eta: 0.001842,  inckl_z: 0.144516
TrueKL=27.521679, loss: 10.141993,  ess_rws: 7.997131,  inckl_eta: 0.001373,  inckl_z: 0.141546
TrueKL=26.713679, loss: 10.181999,  ess_rws: 8.039658,  inckl_eta: 0.001302,  inckl_z: 0.138682
TrueKL=25.695277, loss: 10.192392,  ess_rws: 8.053361,  inckl_eta: 0.001550,  inckl_z: 0.138289
TrueKL=26.212272, loss: 10.169296,  ess_rws: 8.047761,  inckl_eta: 0.001721,  inckl_z: 0.135128
TrueKL=21.564946, loss: 10.203282,  ess_rws: 8.054197,  inckl_eta: 0.001576,  inckl_z: 0.134254
TrueKL=24.911294, loss: 10.166495,  ess_rws: 8.105245,  inckl_eta: 0.001682,  inckl_z: 0.129877
TrueKL=26.319515, loss: 10.224721,  ess_rws: 8.112176,  inckl_eta: 0.001522,  inckl_z: 0.126341
TrueKL=26.221398, loss: 10.160180,  ess_rws: 8.134408,  inckl_eta: 0.001418,  inckl_z: 0.128455
