TrueKL=1107.164923, loss: 63.014109,  ess_rws: 1.082280,  inckl_eta: 198.576778,  inckl_z: 24.153611
TrueKL=1889.255781, loss: 58.630521,  ess_rws: 1.180058,  inckl_eta: 287.726729,  inckl_z: 12.846551
TrueKL=2153.753563, loss: 56.408044,  ess_rws: 1.178051,  inckl_eta: 341.217708,  inckl_z: 11.968264
TrueKL=2109.886530, loss: 54.505255,  ess_rws: 1.177818,  inckl_eta: 356.437201,  inckl_z: 12.189060
TrueKL=2040.173339, loss: 52.675022,  ess_rws: 1.176248,  inckl_eta: 364.865067,  inckl_z: 12.203238
TrueKL=1943.636098, loss: 51.030077,  ess_rws: 1.167761,  inckl_eta: 382.795915,  inckl_z: 12.274384
TrueKL=1880.577599, loss: 48.993302,  ess_rws: 1.167011,  inckl_eta: 402.152448,  inckl_z: 12.083323
TrueKL=1807.497082, loss: 47.030397,  ess_rws: 1.164086,  inckl_eta: 442.813514,  inckl_z: 12.021027
TrueKL=1769.961500, loss: 45.654548,  ess_rws: 1.163726,  inckl_eta: 461.706091,  inckl_z: 11.702148
TrueKL=1726.571907, loss: 44.672159,  ess_rws: 1.156601,  inckl_eta: 479.024634,  inckl_z: 11.267228
TrueKL=1691.416042, loss: 43.907705,  ess_rws: 1.158665,  inckl_eta: 494.740390,  inckl_z: 10.969484
TrueKL=1682.347957, loss: 42.900045,  ess_rws: 1.155080,  inckl_eta: 536.829602,  inckl_z: 10.670691
TrueKL=1663.137054, loss: 42.682744,  ess_rws: 1.158538,  inckl_eta: 540.921493,  inckl_z: 10.083616
TrueKL=1619.701012, loss: 42.031961,  ess_rws: 1.153873,  inckl_eta: 550.800653,  inckl_z: 9.907253
TrueKL=1600.618457, loss: 41.636048,  ess_rws: 1.154342,  inckl_eta: 577.322800,  inckl_z: 9.551005
TrueKL=1564.582086, loss: 40.684214,  ess_rws: 1.149451,  inckl_eta: 562.541100,  inckl_z: 9.289842
TrueKL=1545.273323, loss: 40.083970,  ess_rws: 1.156520,  inckl_eta: 569.848578,  inckl_z: 8.917452
TrueKL=1499.438406, loss: 39.470600,  ess_rws: 1.156467,  inckl_eta: 561.552381,  inckl_z: 8.725500
TrueKL=1461.331687, loss: 39.372176,  ess_rws: 1.162292,  inckl_eta: 529.877485,  inckl_z: 8.258697
TrueKL=1420.965534, loss: 38.821329,  ess_rws: 1.156228,  inckl_eta: 515.134574,  inckl_z: 8.151751
TrueKL=1387.666480, loss: 41.274237,  ess_rws: 1.168897,  inckl_eta: 438.409303,  inckl_z: 7.045283
TrueKL=1436.927589, loss: 45.822453,  ess_rws: 1.202583,  inckl_eta: 318.087572,  inckl_z: 5.240167
TrueKL=1524.505113, loss: 46.603502,  ess_rws: 1.197646,  inckl_eta: 247.763119,  inckl_z: 4.557381
TrueKL=1474.137235, loss: 46.451299,  ess_rws: 1.189444,  inckl_eta: 218.864351,  inckl_z: 4.246073
TrueKL=1384.161660, loss: 46.201025,  ess_rws: 1.196032,  inckl_eta: 191.054107,  inckl_z: 3.983824
TrueKL=1282.165901, loss: 45.537425,  ess_rws: 1.204478,  inckl_eta: 170.070982,  inckl_z: 4.027505
TrueKL=1217.367635, loss: 43.534241,  ess_rws: 1.243244,  inckl_eta: 140.021970,  inckl_z: 3.965232
TrueKL=1253.572580, loss: 40.484720,  ess_rws: 1.300654,  inckl_eta: 119.564873,  inckl_z: 3.532196
TrueKL=1286.598414, loss: 36.725382,  ess_rws: 1.338522,  inckl_eta: 111.066094,  inckl_z: 4.613081
TrueKL=1245.971540, loss: 33.164251,  ess_rws: 1.397870,  inckl_eta: 91.653440,  inckl_z: 5.334732
TrueKL=1141.604530, loss: 29.743689,  ess_rws: 1.482528,  inckl_eta: 77.209057,  inckl_z: 4.819521
TrueKL=953.042252, loss: 27.682106,  ess_rws: 1.576882,  inckl_eta: 65.291658,  inckl_z: 4.276514
TrueKL=694.950504, loss: 24.761330,  ess_rws: 1.686896,  inckl_eta: 49.905842,  inckl_z: 3.553114
TrueKL=353.902712, loss: 22.006358,  ess_rws: 1.853491,  inckl_eta: 33.831347,  inckl_z: 3.215962
TrueKL=77.447490, loss: 17.781488,  ess_rws: 2.314071,  inckl_eta: 14.342296,  inckl_z: 2.822515
TrueKL=17.352762, loss: 15.890729,  ess_rws: 3.344920,  inckl_eta: 3.569890,  inckl_z: 2.127179
TrueKL=5.972736, loss: 15.375174,  ess_rws: 4.397138,  inckl_eta: 0.948922,  inckl_z: 1.597072
TrueKL=2.370009, loss: 15.230186,  ess_rws: 5.448265,  inckl_eta: 0.290656,  inckl_z: 1.251004
TrueKL=1.291315, loss: 14.971680,  ess_rws: 6.361753,  inckl_eta: 0.088407,  inckl_z: 1.003153
TrueKL=0.272426, loss: 14.825903,  ess_rws: 7.011534,  inckl_eta: 0.041581,  inckl_z: 0.849589
TrueKL=0.120401, loss: 14.722259,  ess_rws: 7.445390,  inckl_eta: 0.023609,  inckl_z: 0.753636
TrueKL=0.115634, loss: 14.641111,  ess_rws: 7.797291,  inckl_eta: 0.020933,  inckl_z: 0.704716
TrueKL=0.086772, loss: 14.580906,  ess_rws: 7.953273,  inckl_eta: 0.018165,  inckl_z: 0.653356
TrueKL=0.025105, loss: 14.490866,  ess_rws: 8.254594,  inckl_eta: 0.016347,  inckl_z: 0.619126
TrueKL=0.042487, loss: 14.475532,  ess_rws: 8.377923,  inckl_eta: 0.015987,  inckl_z: 0.594406
TrueKL=0.016905, loss: 14.385909,  ess_rws: 8.651243,  inckl_eta: 0.014998,  inckl_z: 0.554357
