TrueKL=948.868199, loss: 63.603289,  ess_rws: 1.123255,  inckl_eta: 160.327126,  inckl_z: 26.688806
TrueKL=1461.038507, loss: 60.932882,  ess_rws: 1.377080,  inckl_eta: 161.406635,  inckl_z: 9.210787
TrueKL=1539.179722, loss: 58.750950,  ess_rws: 1.410154,  inckl_eta: 146.305313,  inckl_z: 7.643704
TrueKL=1527.144367, loss: 56.441528,  ess_rws: 1.330266,  inckl_eta: 156.548336,  inckl_z: 8.524335
TrueKL=1539.811276, loss: 54.080214,  ess_rws: 1.277218,  inckl_eta: 185.488062,  inckl_z: 10.022261
TrueKL=1563.334334, loss: 51.442408,  ess_rws: 1.239579,  inckl_eta: 221.040863,  inckl_z: 11.458842
TrueKL=1567.167585, loss: 49.930439,  ess_rws: 1.219757,  inckl_eta: 250.146340,  inckl_z: 12.096127
TrueKL=1573.229790, loss: 48.680143,  ess_rws: 1.202937,  inckl_eta: 264.293837,  inckl_z: 12.438552
TrueKL=1579.928023, loss: 47.242485,  ess_rws: 1.188195,  inckl_eta: 271.265243,  inckl_z: 12.703926
TrueKL=1581.551767, loss: 46.259971,  ess_rws: 1.180833,  inckl_eta: 279.127537,  inckl_z: 12.594351
TrueKL=1603.205709, loss: 45.748767,  ess_rws: 1.175290,  inckl_eta: 300.790268,  inckl_z: 12.293742
TrueKL=1583.513456, loss: 44.920231,  ess_rws: 1.166613,  inckl_eta: 303.086809,  inckl_z: 12.102798
TrueKL=1599.500458, loss: 44.671050,  ess_rws: 1.160365,  inckl_eta: 308.490256,  inckl_z: 11.683316
TrueKL=1600.360473, loss: 44.562006,  ess_rws: 1.158334,  inckl_eta: 317.244797,  inckl_z: 11.114280
TrueKL=1617.505073, loss: 44.083139,  ess_rws: 1.154922,  inckl_eta: 317.674890,  inckl_z: 10.865695
TrueKL=1624.322421, loss: 43.840231,  ess_rws: 1.151730,  inckl_eta: 309.200556,  inckl_z: 10.358810
TrueKL=1651.104397, loss: 43.797594,  ess_rws: 1.151300,  inckl_eta: 314.949583,  inckl_z: 10.077668
TrueKL=1657.546352, loss: 43.767243,  ess_rws: 1.146698,  inckl_eta: 305.870071,  inckl_z: 9.690667
TrueKL=1660.791163, loss: 43.280583,  ess_rws: 1.144397,  inckl_eta: 313.248534,  inckl_z: 9.684902
TrueKL=1665.097395, loss: 42.941417,  ess_rws: 1.142248,  inckl_eta: 322.275187,  inckl_z: 9.487319
TrueKL=1646.743899, loss: 42.870321,  ess_rws: 1.134850,  inckl_eta: 307.167752,  inckl_z: 9.325239
TrueKL=1652.086881, loss: 43.013060,  ess_rws: 1.139109,  inckl_eta: 304.778905,  inckl_z: 9.056750
TrueKL=1645.223117, loss: 43.037267,  ess_rws: 1.133189,  inckl_eta: 299.247297,  inckl_z: 8.827493
TrueKL=1657.809041, loss: 43.249531,  ess_rws: 1.131311,  inckl_eta: 281.498134,  inckl_z: 8.512747
TrueKL=1659.544244, loss: 42.883814,  ess_rws: 1.130255,  inckl_eta: 303.542208,  inckl_z: 8.422606
TrueKL=1640.101613, loss: 42.713460,  ess_rws: 1.130959,  inckl_eta: 284.517012,  inckl_z: 8.479848
TrueKL=1640.674722, loss: 42.844051,  ess_rws: 1.131973,  inckl_eta: 276.845129,  inckl_z: 8.328633
TrueKL=1611.136222, loss: 42.778752,  ess_rws: 1.127811,  inckl_eta: 275.572583,  inckl_z: 8.107154
TrueKL=1593.383342, loss: 42.946786,  ess_rws: 1.128451,  inckl_eta: 259.212083,  inckl_z: 7.776192
TrueKL=1597.462495, loss: 42.347181,  ess_rws: 1.126755,  inckl_eta: 293.551000,  inckl_z: 7.878036
TrueKL=1567.211660, loss: 42.203306,  ess_rws: 1.127421,  inckl_eta: 260.955358,  inckl_z: 7.756248
TrueKL=1553.406708, loss: 42.616225,  ess_rws: 1.132159,  inckl_eta: 279.866067,  inckl_z: 7.296962
TrueKL=1522.259364, loss: 42.260369,  ess_rws: 1.132380,  inckl_eta: 243.155959,  inckl_z: 7.141362
TrueKL=1522.234675, loss: 42.010035,  ess_rws: 1.128989,  inckl_eta: 271.326024,  inckl_z: 7.156999
TrueKL=1508.584042, loss: 42.029715,  ess_rws: 1.126526,  inckl_eta: 274.780364,  inckl_z: 7.009403
TrueKL=1500.863275, loss: 41.795225,  ess_rws: 1.126624,  inckl_eta: 246.217572,  inckl_z: 6.844722
TrueKL=1481.410907, loss: 41.666614,  ess_rws: 1.131720,  inckl_eta: 257.545080,  inckl_z: 6.543153
TrueKL=1435.432718, loss: 41.884450,  ess_rws: 1.132406,  inckl_eta: 231.778521,  inckl_z: 6.156886
TrueKL=1402.752909, loss: 41.840214,  ess_rws: 1.136484,  inckl_eta: 226.432042,  inckl_z: 5.993689
TrueKL=1384.724346, loss: 41.549171,  ess_rws: 1.138515,  inckl_eta: 235.952586,  inckl_z: 5.813375
TrueKL=1354.794783, loss: 41.035105,  ess_rws: 1.134882,  inckl_eta: 218.545975,  inckl_z: 5.798108
TrueKL=1323.298581, loss: 40.777236,  ess_rws: 1.143021,  inckl_eta: 222.499616,  inckl_z: 5.626859
TrueKL=1271.448888, loss: 40.450068,  ess_rws: 1.147571,  inckl_eta: 202.766315,  inckl_z: 5.406648
TrueKL=1215.642947, loss: 39.683616,  ess_rws: 1.160576,  inckl_eta: 193.299383,  inckl_z: 5.349074
TrueKL=1182.191077, loss: 38.786747,  ess_rws: 1.175450,  inckl_eta: 181.725421,  inckl_z: 4.919206
TrueKL=1162.012778, loss: 38.077532,  ess_rws: 1.184264,  inckl_eta: 155.844526,  inckl_z: 4.407189
