TrueKL=948.831139, loss: 62.248411,  ess_rws: 1.115658,  ess_eta: 1.146070,  ess_z: 1.682943,  inckl_eta: 122.058058,  inckl_z: 21.423076
TrueKL=1434.008164, loss: 59.118769,  ess_rws: 1.347675,  ess_eta: 1.455888,  ess_z: 3.142849,  inckl_eta: 127.752664,  inckl_z: 6.480004
TrueKL=1130.410880, loss: 62.086256,  ess_rws: 1.118233,  ess_eta: 1.149756,  ess_z: 1.881177,  inckl_eta: 165.411632,  inckl_z: 19.141509
TrueKL=1567.775181, loss: 58.894669,  ess_rws: 1.320749,  ess_eta: 1.382952,  ess_z: 3.438916,  inckl_eta: 165.508134,  inckl_z: 6.073537
TrueKL=1600.449578, loss: 58.366838,  ess_rws: 1.428308,  ess_eta: 1.472504,  ess_z: 3.856504,  inckl_eta: 144.480426,  inckl_z: 4.831456
TrueKL=1521.871199, loss: 57.565258,  ess_rws: 1.421320,  ess_eta: 1.480691,  ess_z: 4.294415,  inckl_eta: 135.005155,  inckl_z: 4.061164
TrueKL=1469.408766, loss: 56.699377,  ess_rws: 1.363591,  ess_eta: 1.465334,  ess_z: 4.895872,  inckl_eta: 129.683601,  inckl_z: 3.267780
TrueKL=1412.641310, loss: 56.015342,  ess_rws: 1.316176,  ess_eta: 1.452809,  ess_z: 5.437844,  inckl_eta: 123.363033,  inckl_z: 2.707056
TrueKL=1351.999925, loss: 55.473515,  ess_rws: 1.278048,  ess_eta: 1.434274,  ess_z: 5.889048,  inckl_eta: 120.140287,  inckl_z: 2.315584
TrueKL=1276.584244, loss: 54.985442,  ess_rws: 1.245440,  ess_eta: 1.425374,  ess_z: 6.426485,  inckl_eta: 127.690180,  inckl_z: 2.007032
TrueKL=1185.019811, loss: 54.880330,  ess_rws: 1.223863,  ess_eta: 1.406839,  ess_z: 7.009808,  inckl_eta: 110.485590,  inckl_z: 1.766741
TrueKL=1054.467590, loss: 54.202143,  ess_rws: 1.213905,  ess_eta: 1.402412,  ess_z: 7.540994,  inckl_eta: 114.063622,  inckl_z: 1.545252
TrueKL=895.173132, loss: 52.677812,  ess_rws: 1.205020,  ess_eta: 1.438586,  ess_z: 8.196755,  inckl_eta: 94.123676,  inckl_z: 1.224423
TrueKL=791.863659, loss: 48.640553,  ess_rws: 1.186283,  ess_eta: 1.515581,  ess_z: 8.027782,  inckl_eta: 79.827914,  inckl_z: 1.112438
TrueKL=918.111270, loss: 37.683962,  ess_rws: 1.178650,  ess_eta: 1.574659,  ess_z: 7.224547,  inckl_eta: 69.383683,  inckl_z: 1.403115
TrueKL=895.895046, loss: 32.746023,  ess_rws: 1.169689,  ess_eta: 1.633279,  ess_z: 7.137712,  inckl_eta: 61.879951,  inckl_z: 1.392971
TrueKL=763.201845, loss: 29.756898,  ess_rws: 1.158144,  ess_eta: 1.768367,  ess_z: 7.554459,  inckl_eta: 52.645026,  inckl_z: 1.183524
TrueKL=603.633158, loss: 27.186277,  ess_rws: 1.157975,  ess_eta: 1.913712,  ess_z: 7.992278,  inckl_eta: 42.389555,  inckl_z: 1.017553
TrueKL=311.039407, loss: 23.940043,  ess_rws: 1.149946,  ess_eta: 2.126018,  ess_z: 8.274834,  inckl_eta: 37.988714,  inckl_z: 0.915814
TrueKL=94.247070, loss: 19.645620,  ess_rws: 1.143372,  ess_eta: 2.487857,  ess_z: 8.725242,  inckl_eta: 23.851925,  inckl_z: 0.781981
TrueKL=30.253845, loss: 16.479125,  ess_rws: 1.140549,  ess_eta: 4.653461,  ess_z: 8.767092,  inckl_eta: 7.078043,  inckl_z: 0.640835
TrueKL=32.495726, loss: 14.998376,  ess_rws: 1.134361,  ess_eta: 10.770715,  ess_z: 8.322979,  inckl_eta: 1.527484,  inckl_z: 0.548316
TrueKL=19.852017, loss: 14.820692,  ess_rws: 1.132039,  ess_eta: 14.591876,  ess_z: 8.209006,  inckl_eta: 0.429475,  inckl_z: 0.491929
TrueKL=0.565224, loss: 14.778271,  ess_rws: 1.131342,  ess_eta: 17.267422,  ess_z: 8.176785,  inckl_eta: 0.129712,  inckl_z: 0.455820
TrueKL=0.428713, loss: 14.662656,  ess_rws: 1.130183,  ess_eta: 18.718796,  ess_z: 8.267004,  inckl_eta: 0.044981,  inckl_z: 0.429199
TrueKL=0.167427, loss: 14.596810,  ess_rws: 1.127884,  ess_eta: 19.414682,  ess_z: 8.455227,  inckl_eta: 0.018240,  inckl_z: 0.400223
TrueKL=0.028977, loss: 14.517960,  ess_rws: 1.126489,  ess_eta: 19.705611,  ess_z: 8.590101,  inckl_eta: 0.011506,  inckl_z: 0.381185
TrueKL=0.036547, loss: 14.499894,  ess_rws: 1.125997,  ess_eta: 19.824706,  ess_z: 8.713692,  inckl_eta: 0.007585,  inckl_z: 0.367609
TrueKL=0.013094, loss: 14.374991,  ess_rws: 1.122184,  ess_eta: 19.878831,  ess_z: 8.982937,  inckl_eta: 0.006791,  inckl_z: 0.350110
TrueKL=0.007327, loss: 14.325657,  ess_rws: 1.123193,  ess_eta: 19.900871,  ess_z: 9.079133,  inckl_eta: 0.007549,  inckl_z: 0.337501
TrueKL=0.162201, loss: 14.316455,  ess_rws: 1.122522,  ess_eta: 19.925040,  ess_z: 9.239335,  inckl_eta: 0.251880,  inckl_z: 0.335969
TrueKL=0.001636, loss: 14.184585,  ess_rws: 1.123480,  ess_eta: 19.932668,  ess_z: 9.380949,  inckl_eta: 0.005451,  inckl_z: 0.312137
TrueKL=0.001853, loss: 14.231770,  ess_rws: 1.124986,  ess_eta: 19.934795,  ess_z: 9.490831,  inckl_eta: 0.005591,  inckl_z: 0.306533
TrueKL=0.020785, loss: 14.218041,  ess_rws: 1.122065,  ess_eta: 19.942364,  ess_z: 9.563555,  inckl_eta: 0.005666,  inckl_z: 0.299913
TrueKL=0.000800, loss: 14.181730,  ess_rws: 1.123657,  ess_eta: 19.946907,  ess_z: 9.763897,  inckl_eta: 0.007235,  inckl_z: 0.290688
TrueKL=0.000880, loss: 14.169188,  ess_rws: 1.125307,  ess_eta: 19.941271,  ess_z: 9.803249,  inckl_eta: 0.005301,  inckl_z: 0.280060
TrueKL=0.000753, loss: 14.156130,  ess_rws: 1.125849,  ess_eta: 19.947727,  ess_z: 9.868985,  inckl_eta: 0.006393,  inckl_z: 0.275595
TrueKL=0.001799, loss: 14.061011,  ess_rws: 1.122781,  ess_eta: 19.945205,  ess_z: 10.061514,  inckl_eta: 0.006164,  inckl_z: 0.268474
TrueKL=0.001123, loss: 14.080116,  ess_rws: 1.120524,  ess_eta: 19.948840,  ess_z: 10.108930,  inckl_eta: 0.005953,  inckl_z: 0.259028
TrueKL=0.000623, loss: 14.067685,  ess_rws: 1.123633,  ess_eta: 19.951136,  ess_z: 10.227606,  inckl_eta: 0.007005,  inckl_z: 0.257742
TrueKL=0.000657, loss: 13.965842,  ess_rws: 1.121368,  ess_eta: 19.947404,  ess_z: 10.310412,  inckl_eta: 0.005900,  inckl_z: 0.250132
TrueKL=0.000638, loss: 14.052062,  ess_rws: 1.120643,  ess_eta: 19.947958,  ess_z: 10.345575,  inckl_eta: 0.006420,  inckl_z: 0.241397
TrueKL=0.000627, loss: 14.081148,  ess_rws: 1.123168,  ess_eta: 19.948247,  ess_z: 10.383829,  inckl_eta: 0.005722,  inckl_z: 0.241885
TrueKL=0.000629, loss: 14.062326,  ess_rws: 1.123901,  ess_eta: 19.948162,  ess_z: 10.489718,  inckl_eta: 0.014897,  inckl_z: 0.234096
TrueKL=0.000660, loss: 14.065606,  ess_rws: 1.118808,  ess_eta: 19.945936,  ess_z: 10.477059,  inckl_eta: 0.006932,  inckl_z: 0.232845
TrueKL=0.000663, loss: 14.026138,  ess_rws: 1.127684,  ess_eta: 19.947777,  ess_z: 10.575035,  inckl_eta: 0.006292,  inckl_z: 0.228957
TrueKL=0.001125, loss: 14.049886,  ess_rws: 1.122670,  ess_eta: 19.946510,  ess_z: 10.608165,  inckl_eta: 0.005947,  inckl_z: 0.221622
TrueKL=0.001066, loss: 13.999530,  ess_rws: 1.122347,  ess_eta: 19.951759,  ess_z: 10.726891,  inckl_eta: 0.007013,  inckl_z: 0.217920
TrueKL=0.000808, loss: 13.994596,  ess_rws: 1.125241,  ess_eta: 19.948816,  ess_z: 10.820320,  inckl_eta: 0.006589,  inckl_z: 0.215029
TrueKL=0.000666, loss: 14.049476,  ess_rws: 1.127765,  ess_eta: 19.946553,  ess_z: 10.768376,  inckl_eta: 0.006777,  inckl_z: 0.213829
TrueKL=0.000604, loss: 14.030579,  ess_rws: 1.126930,  ess_eta: 19.948719,  ess_z: 10.834155,  inckl_eta: 0.006718,  inckl_z: 0.209908
TrueKL=0.000747, loss: 14.049201,  ess_rws: 1.125146,  ess_eta: 19.946569,  ess_z: 10.859429,  inckl_eta: 0.006046,  inckl_z: 0.206526
TrueKL=0.006422, loss: 13.943752,  ess_rws: 1.124685,  ess_eta: 19.950009,  ess_z: 10.918909,  inckl_eta: 0.006550,  inckl_z: 0.205381
TrueKL=0.053362, loss: 13.988255,  ess_rws: 1.126192,  ess_eta: 19.947969,  ess_z: 10.970220,  inckl_eta: 0.007001,  inckl_z: 0.203705
TrueKL=0.003946, loss: 13.952175,  ess_rws: 1.124415,  ess_eta: 19.952618,  ess_z: 10.993590,  inckl_eta: 0.006174,  inckl_z: 0.201510
TrueKL=0.000708, loss: 14.002165,  ess_rws: 1.130245,  ess_eta: 19.944497,  ess_z: 11.080753,  inckl_eta: 0.006356,  inckl_z: 0.200882
TrueKL=0.000853, loss: 13.994205,  ess_rws: 1.126326,  ess_eta: 19.947867,  ess_z: 11.071245,  inckl_eta: 0.006503,  inckl_z: 0.201078
