TrueKL=1274.368811, loss: 62.994484,  ess_rws: 1.079584,  inckl_eta: 201.402754,  inckl_z: 25.352197
TrueKL=2110.038145, loss: 58.942616,  ess_rws: 1.170136,  inckl_eta: 289.684504,  inckl_z: 10.422724
TrueKL=2292.998602, loss: 55.780829,  ess_rws: 1.181750,  inckl_eta: 326.819269,  inckl_z: 9.296284
TrueKL=2124.955476, loss: 52.723984,  ess_rws: 1.179472,  inckl_eta: 348.634273,  inckl_z: 9.432570
TrueKL=1987.140127, loss: 49.619365,  ess_rws: 1.170769,  inckl_eta: 369.195361,  inckl_z: 9.546929
TrueKL=1860.538874, loss: 46.188643,  ess_rws: 1.168558,  inckl_eta: 409.138135,  inckl_z: 9.668934
TrueKL=1801.879304, loss: 41.831890,  ess_rws: 1.166517,  inckl_eta: 474.362004,  inckl_z: 9.958296
TrueKL=1808.650970, loss: 38.432414,  ess_rws: 1.152867,  inckl_eta: 531.050024,  inckl_z: 10.017378
TrueKL=1820.396026, loss: 35.934746,  ess_rws: 1.154708,  inckl_eta: 581.329480,  inckl_z: 9.929722
TrueKL=1848.481782, loss: 34.317275,  ess_rws: 1.151611,  inckl_eta: 606.186216,  inckl_z: 9.591695
TrueKL=1898.429952, loss: 33.349853,  ess_rws: 1.148630,  inckl_eta: 624.204241,  inckl_z: 9.356963
TrueKL=1929.693794, loss: 33.283917,  ess_rws: 1.151141,  inckl_eta: 618.903635,  inckl_z: 8.926321
TrueKL=1953.453047, loss: 33.041079,  ess_rws: 1.149504,  inckl_eta: 626.329154,  inckl_z: 8.761079
TrueKL=1959.756389, loss: 33.118451,  ess_rws: 1.149341,  inckl_eta: 612.198839,  inckl_z: 8.382185
TrueKL=1969.149120, loss: 32.759431,  ess_rws: 1.147362,  inckl_eta: 609.624559,  inckl_z: 8.227621
TrueKL=1973.516298, loss: 33.443564,  ess_rws: 1.158172,  inckl_eta: 585.743270,  inckl_z: 7.601335
TrueKL=1934.503824, loss: 35.061047,  ess_rws: 1.174790,  inckl_eta: 524.074677,  inckl_z: 6.731770
TrueKL=1770.150043, loss: 39.146001,  ess_rws: 1.221531,  inckl_eta: 387.048852,  inckl_z: 5.606302
TrueKL=1531.847771, loss: 42.813478,  ess_rws: 1.252196,  inckl_eta: 270.141372,  inckl_z: 4.690535
TrueKL=1345.511454, loss: 44.419151,  ess_rws: 1.274922,  inckl_eta: 153.267043,  inckl_z: 3.722165
TrueKL=1433.101214, loss: 37.318008,  ess_rws: 1.294804,  inckl_eta: 129.449028,  inckl_z: 3.084097
TrueKL=1492.957580, loss: 31.491859,  ess_rws: 1.309787,  inckl_eta: 115.149098,  inckl_z: 3.291318
TrueKL=1375.072981, loss: 27.620120,  ess_rws: 1.346567,  inckl_eta: 88.782723,  inckl_z: 3.413300
TrueKL=1232.500881, loss: 24.128857,  ess_rws: 1.391794,  inckl_eta: 68.720748,  inckl_z: 3.208278
TrueKL=1040.797511, loss: 20.759094,  ess_rws: 1.483257,  inckl_eta: 50.869702,  inckl_z: 2.849552
TrueKL=715.273825, loss: 17.970669,  ess_rws: 1.622938,  inckl_eta: 36.058509,  inckl_z: 2.315955
TrueKL=188.684600, loss: 17.477975,  ess_rws: 1.711912,  inckl_eta: 38.011085,  inckl_z: 1.788470
TrueKL=25.529915, loss: 14.167689,  ess_rws: 1.995646,  inckl_eta: 15.492314,  inckl_z: 1.649751
TrueKL=5.896046, loss: 12.709256,  ess_rws: 2.483752,  inckl_eta: 4.545323,  inckl_z: 1.413616
TrueKL=1.540245, loss: 12.109499,  ess_rws: 3.162381,  inckl_eta: 1.203408,  inckl_z: 1.212062
