snr: 37.961414, var: 3.743006
snr: 31.090849, var: 3.537016
snr: 43.335381, var: 3.562510
snr: 38.631229, var: 2.894616
snr: 40.163940, var: 2.845002
snr: 46.888054, var: 2.972379
snr: 42.313961, var: 2.852449
snr: 37.389587, var: 2.719663
snr: 52.349957, var: 3.185716
snr: 54.371891, var: 2.929400
snr: 44.474827, var: 3.086000
snr: 55.151394, var: 3.563841
snr: 57.691257, var: 3.266303
snr: 52.873821, var: 3.745931
snr: 49.820004, var: 4.021848
snr: 46.612919, var: 3.843987
snr: 50.781536, var: 4.051097
snr: 50.737972, var: 4.265456
snr: 52.874958, var: 4.110236
snr: 49.436028, var: 4.531158
snr: 48.489849, var: 4.314248
snr: 43.455059, var: 4.508071
snr: 46.403084, var: 5.453394
snr: 52.069035, var: 4.516398
snr: 48.901028, var: 5.399878
snr: 59.734493, var: 6.874528
snr: 52.561714, var: 5.102406
snr: 49.581936, var: 5.423655
snr: 68.901314, var: 5.585473
snr: 62.478394, var: 5.616964
snr: 74.193863, var: 5.733484
snr: 67.986786, var: 5.727682
snr: 78.468216, var: 6.218470
snr: 93.895576, var: 6.615207
snr: 111.219452, var: 5.652194
snr: 155.865463, var: 4.650370
snr: 155.819016, var: 3.892213
snr: 144.593918, var: 3.948271
snr: 148.772675, var: 3.963667
snr: 137.848465, var: 3.842519
snr: 180.797684, var: 3.843763
snr: 203.760849, var: 3.818192
snr: 194.573929, var: 4.106201
snr: 173.531921, var: 5.233734
snr: 147.198547, var: 4.552084
snr: 200.835327, var: 4.631753
snr: 191.256149, var: 4.889556
snr: 209.850327, var: 4.690031
snr: 230.562393, var: 4.760284
snr: 205.242432, var: 4.390919
snr: 218.860123, var: 4.472284
snr: 215.493301, var: 4.523666
snr: 206.755508, var: 6.098812
snr: 211.431824, var: 5.751208
snr: 274.666504, var: 4.768697
snr: 245.729462, var: 5.170120
snr: 247.906296, var: 4.819833
snr: 213.851013, var: 5.422269
snr: 243.593933, var: 4.446340
snr: 274.662628, var: 4.634371
snr: 198.700439, var: 4.760561
snr: 245.729095, var: 5.166954
snr: 208.296021, var: 5.150467
snr: 299.679321, var: 5.056429
snr: 232.474777, var: 4.948689
snr: 239.442673, var: 5.382917
snr: 283.039154, var: 6.120163
snr: 258.201294, var: 5.837366
snr: 235.419937, var: 5.030511
snr: 251.283325, var: 5.614042
snr: 198.714813, var: 5.265340
snr: 211.444336, var: 5.726586
snr: 232.483734, var: 5.350636
snr: 217.258102, var: 6.449091
snr: 248.007736, var: 5.433662
snr: 269.567352, var: 5.849733
snr: 263.101593, var: 5.638466
snr: 299.756622, var: 6.084715
snr: 284.694611, var: 5.319435
snr: 212.327652, var: 5.657434
snr: 198.850739, var: 7.529777
snr: 287.929443, var: 5.592879
snr: 243.881775, var: 6.146046
snr: 305.603088, var: 6.596352
snr: 290.492004, var: 6.509331
snr: 231.297134, var: 6.667039
snr: 270.137604, var: 5.807252
snr: 287.611938, var: 6.580476
snr: 276.132172, var: 7.506036
snr: 276.301971, var: 7.040780
snr: 243.567261, var: 6.245463
snr: 256.260376, var: 6.859553
snr: 261.537628, var: 6.201765
snr: 240.847366, var: 8.271722
snr: 261.942535, var: 6.027834
snr: 322.045258, var: 6.112165
snr: 268.034943, var: 8.646692
snr: 379.032074, var: 6.785516
snr: 280.801392, var: 6.118959
snr: 348.647919, var: 6.159363
