symKL_DB_eta: 345.084,  symKL_DB_z: 389.030,  loss: -1471.152,  ess: 3.020,  kl_eta_ex: 993.368,  kl_eta_in: 160.669,  kl_z_ex: 275.248,  kl_z_in: 36.137
symKL_DB_eta: 194.762,  symKL_DB_z: 193.710,  loss: -1031.986,  ess: 3.375,  kl_eta_ex: 494.740,  kl_eta_in: 124.321,  kl_z_ex: 123.027,  kl_z_in: 25.824
symKL_DB_eta: 123.486,  symKL_DB_z: 114.452,  loss: -826.956,  ess: 3.681,  kl_eta_ex: 280.960,  kl_eta_in: 103.071,  kl_z_ex: 64.205,  kl_z_in: 19.236
symKL_DB_eta: 82.680,  symKL_DB_z: 81.932,  loss: -721.374,  ess: 3.978,  kl_eta_ex: 181.547,  kl_eta_in: 94.379,  kl_z_ex: 42.632,  kl_z_in: 14.919
symKL_DB_eta: 60.220,  symKL_DB_z: 63.654,  loss: -654.154,  ess: 4.283,  kl_eta_ex: 126.288,  kl_eta_in: 84.717,  kl_z_ex: 31.531,  kl_z_in: 11.577
symKL_DB_eta: 44.235,  symKL_DB_z: 51.018,  loss: -597.720,  ess: 4.548,  kl_eta_ex: 86.827,  kl_eta_in: 71.730,  kl_z_ex: 24.817,  kl_z_in: 9.317
symKL_DB_eta: 32.392,  symKL_DB_z: 43.082,  loss: -550.876,  ess: 4.777,  kl_eta_ex: 57.917,  kl_eta_in: 58.135,  kl_z_ex: 20.444,  kl_z_in: 7.693
symKL_DB_eta: 22.967,  symKL_DB_z: 35.479,  loss: -510.660,  ess: 5.042,  kl_eta_ex: 37.536,  kl_eta_in: 48.328,  kl_z_ex: 17.042,  kl_z_in: 5.921
symKL_DB_eta: 17.263,  symKL_DB_z: 29.699,  loss: -480.418,  ess: 5.337,  kl_eta_ex: 26.766,  kl_eta_in: 40.456,  kl_z_ex: 14.629,  kl_z_in: 4.267
symKL_DB_eta: 14.893,  symKL_DB_z: 26.195,  loss: -464.068,  ess: 5.564,  kl_eta_ex: 22.834,  kl_eta_in: 34.256,  kl_z_ex: 13.019,  kl_z_in: 3.358
symKL_DB_eta: 13.894,  symKL_DB_z: 22.633,  loss: -456.662,  ess: 5.722,  kl_eta_ex: 20.839,  kl_eta_in: 30.710,  kl_z_ex: 11.295,  kl_z_in: 2.887
symKL_DB_eta: 13.268,  symKL_DB_z: 19.023,  loss: -452.498,  ess: 5.843,  kl_eta_ex: 18.599,  kl_eta_in: 28.703,  kl_z_ex: 9.259,  kl_z_in: 2.509
symKL_DB_eta: 12.398,  symKL_DB_z: 16.808,  loss: -448.449,  ess: 5.944,  kl_eta_ex: 16.530,  kl_eta_in: 26.794,  kl_z_ex: 7.726,  kl_z_in: 2.258
symKL_DB_eta: 11.367,  symKL_DB_z: 15.145,  loss: -444.793,  ess: 6.051,  kl_eta_ex: 14.255,  kl_eta_in: 24.862,  kl_z_ex: 6.690,  kl_z_in: 2.099
symKL_DB_eta: 10.345,  symKL_DB_z: 14.086,  loss: -441.701,  ess: 6.163,  kl_eta_ex: 12.490,  kl_eta_in: 22.568,  kl_z_ex: 6.087,  kl_z_in: 1.981
symKL_DB_eta: 9.602,  symKL_DB_z: 13.542,  loss: -440.320,  ess: 6.261,  kl_eta_ex: 11.335,  kl_eta_in: 21.427,  kl_z_ex: 5.681,  kl_z_in: 1.900
symKL_DB_eta: 9.201,  symKL_DB_z: 13.483,  loss: -441.244,  ess: 6.313,  kl_eta_ex: 10.902,  kl_eta_in: 22.810,  kl_z_ex: 5.452,  kl_z_in: 1.867
symKL_DB_eta: 9.484,  symKL_DB_z: 13.095,  loss: -445.466,  ess: 6.284,  kl_eta_ex: 12.128,  kl_eta_in: 30.031,  kl_z_ex: 5.302,  kl_z_in: 1.995
symKL_DB_eta: 9.124,  symKL_DB_z: 11.574,  loss: -441.993,  ess: 6.377,  kl_eta_ex: 11.859,  kl_eta_in: 30.130,  kl_z_ex: 4.546,  kl_z_in: 1.823
symKL_DB_eta: 7.752,  symKL_DB_z: 10.094,  loss: -434.322,  ess: 6.620,  kl_eta_ex: 8.571,  kl_eta_in: 19.312,  kl_z_ex: 3.937,  kl_z_in: 1.540
symKL_DB_eta: 6.719,  symKL_DB_z: 8.918,  loss: -429.950,  ess: 6.848,  kl_eta_ex: 6.341,  kl_eta_in: 12.841,  kl_z_ex: 3.388,  kl_z_in: 1.304
symKL_DB_eta: 6.091,  symKL_DB_z: 7.713,  loss: -427.812,  ess: 7.021,  kl_eta_ex: 4.859,  kl_eta_in: 9.286,  kl_z_ex: 2.918,  kl_z_in: 1.126
symKL_DB_eta: 5.547,  symKL_DB_z: 7.175,  loss: -426.382,  ess: 7.154,  kl_eta_ex: 4.106,  kl_eta_in: 7.364,  kl_z_ex: 2.601,  kl_z_in: 1.010
symKL_DB_eta: 5.170,  symKL_DB_z: 6.353,  loss: -425.353,  ess: 7.264,  kl_eta_ex: 3.291,  kl_eta_in: 5.888,  kl_z_ex: 2.325,  kl_z_in: 0.918
symKL_DB_eta: 4.793,  symKL_DB_z: 5.870,  loss: -424.445,  ess: 7.368,  kl_eta_ex: 2.663,  kl_eta_in: 4.554,  kl_z_ex: 2.097,  kl_z_in: 0.831
symKL_DB_eta: 4.517,  symKL_DB_z: 5.374,  loss: -423.671,  ess: 7.464,  kl_eta_ex: 2.188,  kl_eta_in: 3.629,  kl_z_ex: 1.900,  kl_z_in: 0.751
symKL_DB_eta: 4.246,  symKL_DB_z: 4.985,  loss: -423.020,  ess: 7.550,  kl_eta_ex: 1.741,  kl_eta_in: 2.691,  kl_z_ex: 1.705,  kl_z_in: 0.671
symKL_DB_eta: 3.966,  symKL_DB_z: 4.621,  loss: -422.750,  ess: 7.640,  kl_eta_ex: 1.405,  kl_eta_in: 2.055,  kl_z_ex: 1.547,  kl_z_in: 0.605
symKL_DB_eta: 3.757,  symKL_DB_z: 4.398,  loss: -422.480,  ess: 7.720,  kl_eta_ex: 1.102,  kl_eta_in: 1.559,  kl_z_ex: 1.410,  kl_z_in: 0.552
symKL_DB_eta: 3.537,  symKL_DB_z: 3.945,  loss: -422.212,  ess: 7.802,  kl_eta_ex: 0.843,  kl_eta_in: 1.120,  kl_z_ex: 1.284,  kl_z_in: 0.503
symKL_DB_eta: 3.367,  symKL_DB_z: 3.724,  loss: -422.039,  ess: 7.871,  kl_eta_ex: 0.670,  kl_eta_in: 0.868,  kl_z_ex: 1.201,  kl_z_in: 0.469
symKL_DB_eta: 3.222,  symKL_DB_z: 3.566,  loss: -421.947,  ess: 7.933,  kl_eta_ex: 0.499,  kl_eta_in: 0.656,  kl_z_ex: 1.124,  kl_z_in: 0.442
symKL_DB_eta: 3.097,  symKL_DB_z: 3.459,  loss: -421.907,  ess: 7.991,  kl_eta_ex: 0.394,  kl_eta_in: 0.460,  kl_z_ex: 1.060,  kl_z_in: 0.413
symKL_DB_eta: 2.950,  symKL_DB_z: 3.205,  loss: -421.946,  ess: 8.046,  kl_eta_ex: 0.300,  kl_eta_in: 0.349,  kl_z_ex: 0.979,  kl_z_in: 0.394
symKL_DB_eta: 2.844,  symKL_DB_z: 3.232,  loss: -421.792,  ess: 8.089,  kl_eta_ex: 0.233,  kl_eta_in: 0.264,  kl_z_ex: 0.949,  kl_z_in: 0.375
symKL_DB_eta: 2.748,  symKL_DB_z: 2.978,  loss: -421.623,  ess: 8.133,  kl_eta_ex: 0.177,  kl_eta_in: 0.188,  kl_z_ex: 0.904,  kl_z_in: 0.359
symKL_DB_eta: 2.649,  symKL_DB_z: 2.883,  loss: -421.747,  ess: 8.165,  kl_eta_ex: 0.129,  kl_eta_in: 0.141,  kl_z_ex: 0.857,  kl_z_in: 0.341
symKL_DB_eta: 2.558,  symKL_DB_z: 2.844,  loss: -421.910,  ess: 8.190,  kl_eta_ex: 0.110,  kl_eta_in: 0.112,  kl_z_ex: 0.837,  kl_z_in: 0.331
symKL_DB_eta: 2.506,  symKL_DB_z: 2.703,  loss: -421.907,  ess: 8.230,  kl_eta_ex: 0.083,  kl_eta_in: 0.091,  kl_z_ex: 0.788,  kl_z_in: 0.314
symKL_DB_eta: 2.475,  symKL_DB_z: 2.680,  loss: -421.945,  ess: 8.243,  kl_eta_ex: 0.061,  kl_eta_in: 0.064,  kl_z_ex: 0.759,  kl_z_in: 0.303
symKL_DB_eta: 2.386,  symKL_DB_z: 2.514,  loss: -421.871,  ess: 8.273,  kl_eta_ex: 0.055,  kl_eta_in: 0.053,  kl_z_ex: 0.736,  kl_z_in: 0.292
symKL_DB_eta: 2.386,  symKL_DB_z: 2.469,  loss: -421.935,  ess: 8.282,  kl_eta_ex: 0.040,  kl_eta_in: 0.042,  kl_z_ex: 0.713,  kl_z_in: 0.283
symKL_DB_eta: 2.336,  symKL_DB_z: 2.468,  loss: -421.942,  ess: 8.299,  kl_eta_ex: 0.033,  kl_eta_in: 0.033,  kl_z_ex: 0.709,  kl_z_in: 0.276
symKL_DB_eta: 2.317,  symKL_DB_z: 2.386,  loss: -421.889,  ess: 8.313,  kl_eta_ex: 0.032,  kl_eta_in: 0.113,  kl_z_ex: 0.688,  kl_z_in: 0.267
symKL_DB_eta: 2.302,  symKL_DB_z: 2.288,  loss: -421.894,  ess: 8.325,  kl_eta_ex: 0.025,  kl_eta_in: 0.125,  kl_z_ex: 0.665,  kl_z_in: 0.263
symKL_DB_eta: 2.297,  symKL_DB_z: 2.258,  loss: -422.050,  ess: 8.326,  kl_eta_ex: 0.021,  kl_eta_in: 0.018,  kl_z_ex: 0.652,  kl_z_in: 0.255
symKL_DB_eta: 2.255,  symKL_DB_z: 2.259,  loss: -421.881,  ess: 8.343,  kl_eta_ex: 0.016,  kl_eta_in: 0.015,  kl_z_ex: 0.633,  kl_z_in: 0.244
symKL_DB_eta: 2.241,  symKL_DB_z: 2.124,  loss: -421.996,  ess: 8.347,  kl_eta_ex: 0.016,  kl_eta_in: 0.013,  kl_z_ex: 0.611,  kl_z_in: 0.238
