symKL_DB_eta: 308.354,  symKL_DB_z: 433.543,  loss: -1252.872,  ess: 3.005,  kl_eta_ex: 891.020,  kl_eta_in: 150.277,  kl_z_ex: 303.076,  kl_z_in: 37.317
symKL_DB_eta: 209.135,  symKL_DB_z: 247.950,  loss: -989.160,  ess: 3.354,  kl_eta_ex: 527.947,  kl_eta_in: 130.426,  kl_z_ex: 163.052,  kl_z_in: 27.892
symKL_DB_eta: 149.661,  symKL_DB_z: 149.874,  loss: -858.273,  ess: 3.670,  kl_eta_ex: 338.887,  kl_eta_in: 120.987,  kl_z_ex: 90.196,  kl_z_in: 20.998
symKL_DB_eta: 110.861,  symKL_DB_z: 100.895,  loss: -781.330,  ess: 3.969,  kl_eta_ex: 237.975,  kl_eta_in: 120.578,  kl_z_ex: 55.606,  kl_z_in: 16.084
symKL_DB_eta: 87.755,  symKL_DB_z: 74.379,  loss: -732.990,  ess: 4.239,  kl_eta_ex: 183.393,  kl_eta_in: 131.037,  kl_z_ex: 38.556,  kl_z_in: 12.692
symKL_DB_eta: 75.029,  symKL_DB_z: 60.644,  loss: -704.494,  ess: 4.438,  kl_eta_ex: 155.413,  kl_eta_in: 151.404,  kl_z_ex: 30.286,  kl_z_in: 10.661
symKL_DB_eta: 67.445,  symKL_DB_z: 52.988,  loss: -688.170,  ess: 4.558,  kl_eta_ex: 141.564,  kl_eta_in: 176.609,  kl_z_ex: 26.229,  kl_z_in: 9.563
symKL_DB_eta: 63.231,  symKL_DB_z: 49.292,  loss: -678.446,  ess: 4.624,  kl_eta_ex: 134.344,  kl_eta_in: 201.703,  kl_z_ex: 23.956,  kl_z_in: 8.887
symKL_DB_eta: 60.953,  symKL_DB_z: 45.925,  loss: -673.212,  ess: 4.676,  kl_eta_ex: 130.133,  kl_eta_in: 220.821,  kl_z_ex: 22.324,  kl_z_in: 8.440
symKL_DB_eta: 58.968,  symKL_DB_z: 43.414,  loss: -667.681,  ess: 4.715,  kl_eta_ex: 126.857,  kl_eta_in: 235.537,  kl_z_ex: 21.240,  kl_z_in: 8.104
symKL_DB_eta: 58.289,  symKL_DB_z: 41.824,  loss: -662.724,  ess: 4.747,  kl_eta_ex: 124.411,  kl_eta_in: 245.251,  kl_z_ex: 20.197,  kl_z_in: 7.766
symKL_DB_eta: 56.939,  symKL_DB_z: 40.299,  loss: -659.273,  ess: 4.781,  kl_eta_ex: 121.465,  kl_eta_in: 250.702,  kl_z_ex: 19.231,  kl_z_in: 7.428
symKL_DB_eta: 56.189,  symKL_DB_z: 38.466,  loss: -655.138,  ess: 4.813,  kl_eta_ex: 118.591,  kl_eta_in: 251.658,  kl_z_ex: 18.305,  kl_z_in: 7.051
symKL_DB_eta: 55.690,  symKL_DB_z: 36.687,  loss: -651.743,  ess: 4.855,  kl_eta_ex: 115.494,  kl_eta_in: 248.932,  kl_z_ex: 17.280,  kl_z_in: 6.677
symKL_DB_eta: 54.479,  symKL_DB_z: 34.451,  loss: -647.779,  ess: 4.901,  kl_eta_ex: 112.796,  kl_eta_in: 245.835,  kl_z_ex: 16.252,  kl_z_in: 6.266
symKL_DB_eta: 53.937,  symKL_DB_z: 32.710,  loss: -642.952,  ess: 4.949,  kl_eta_ex: 109.881,  kl_eta_in: 240.348,  kl_z_ex: 15.115,  kl_z_in: 5.836
symKL_DB_eta: 53.086,  symKL_DB_z: 30.152,  loss: -638.048,  ess: 4.996,  kl_eta_ex: 106.934,  kl_eta_in: 233.477,  kl_z_ex: 14.018,  kl_z_in: 5.382
symKL_DB_eta: 52.542,  symKL_DB_z: 27.522,  loss: -631.275,  ess: 5.052,  kl_eta_ex: 103.727,  kl_eta_in: 225.077,  kl_z_ex: 12.740,  kl_z_in: 4.897
symKL_DB_eta: 51.403,  symKL_DB_z: 25.492,  loss: -624.809,  ess: 5.105,  kl_eta_ex: 100.040,  kl_eta_in: 211.932,  kl_z_ex: 11.485,  kl_z_in: 4.424
symKL_DB_eta: 49.609,  symKL_DB_z: 22.851,  loss: -615.307,  ess: 5.172,  kl_eta_ex: 96.050,  kl_eta_in: 196.552,  kl_z_ex: 10.265,  kl_z_in: 3.983
symKL_DB_eta: 46.149,  symKL_DB_z: 19.902,  loss: -601.329,  ess: 5.246,  kl_eta_ex: 90.129,  kl_eta_in: 179.198,  kl_z_ex: 8.919,  kl_z_in: 3.551
symKL_DB_eta: 41.887,  symKL_DB_z: 17.432,  loss: -579.803,  ess: 5.327,  kl_eta_ex: 82.308,  kl_eta_in: 159.134,  kl_z_ex: 7.799,  kl_z_in: 3.136
symKL_DB_eta: 36.641,  symKL_DB_z: 14.160,  loss: -552.509,  ess: 5.432,  kl_eta_ex: 71.217,  kl_eta_in: 137.200,  kl_z_ex: 6.564,  kl_z_in: 2.603
symKL_DB_eta: 30.615,  symKL_DB_z: 11.689,  loss: -524.743,  ess: 5.538,  kl_eta_ex: 57.701,  kl_eta_in: 110.624,  kl_z_ex: 5.334,  kl_z_in: 2.041
symKL_DB_eta: 25.946,  symKL_DB_z: 10.194,  loss: -502.572,  ess: 5.633,  kl_eta_ex: 45.569,  kl_eta_in: 85.999,  kl_z_ex: 4.380,  kl_z_in: 1.665
symKL_DB_eta: 22.639,  symKL_DB_z: 8.854,  loss: -486.935,  ess: 5.710,  kl_eta_ex: 37.233,  kl_eta_in: 66.888,  kl_z_ex: 3.685,  kl_z_in: 1.434
symKL_DB_eta: 20.507,  symKL_DB_z: 7.993,  loss: -475.564,  ess: 5.770,  kl_eta_ex: 31.441,  kl_eta_in: 52.573,  kl_z_ex: 3.160,  kl_z_in: 1.284
symKL_DB_eta: 19.263,  symKL_DB_z: 7.203,  loss: -468.477,  ess: 5.817,  kl_eta_ex: 27.576,  kl_eta_in: 43.327,  kl_z_ex: 2.813,  kl_z_in: 1.188
