symKL_DB_eta: 340.342,  symKL_DB_z: 439.348,  loss: -1420.640,  ess: 2.945,  kl_eta_ex: 1022.028,  kl_eta_in: 210.836,  kl_z_ex: 323.180,  kl_z_in: 39.814
symKL_DB_eta: 245.131,  symKL_DB_z: 258.451,  loss: -1169.949,  ess: 3.302,  kl_eta_ex: 666.289,  kl_eta_in: 204.196,  kl_z_ex: 177.694,  kl_z_in: 29.940
symKL_DB_eta: 186.616,  symKL_DB_z: 154.373,  loss: -1019.643,  ess: 3.647,  kl_eta_ex: 456.164,  kl_eta_in: 211.615,  kl_z_ex: 96.919,  kl_z_in: 22.455
symKL_DB_eta: 154.315,  symKL_DB_z: 102.943,  loss: -938.577,  ess: 3.920,  kl_eta_ex: 349.335,  kl_eta_in: 233.461,  kl_z_ex: 58.730,  kl_z_in: 17.523
symKL_DB_eta: 133.620,  symKL_DB_z: 80.156,  loss: -893.580,  ess: 4.091,  kl_eta_ex: 296.271,  kl_eta_in: 263.888,  kl_z_ex: 42.298,  kl_z_in: 14.766
symKL_DB_eta: 120.640,  symKL_DB_z: 67.014,  loss: -864.618,  ess: 4.222,  kl_eta_ex: 267.874,  kl_eta_in: 300.222,  kl_z_ex: 34.830,  kl_z_in: 13.265
symKL_DB_eta: 113.278,  symKL_DB_z: 60.116,  loss: -846.102,  ess: 4.328,  kl_eta_ex: 251.288,  kl_eta_in: 340.116,  kl_z_ex: 30.496,  kl_z_in: 12.102
symKL_DB_eta: 109.334,  symKL_DB_z: 55.628,  loss: -835.773,  ess: 4.409,  kl_eta_ex: 243.279,  kl_eta_in: 385.547,  kl_z_ex: 28.556,  kl_z_in: 11.432
symKL_DB_eta: 109.194,  symKL_DB_z: 53.681,  loss: -829.773,  ess: 4.454,  kl_eta_ex: 240.217,  kl_eta_in: 435.318,  kl_z_ex: 28.166,  kl_z_in: 11.215
symKL_DB_eta: 111.307,  symKL_DB_z: 53.047,  loss: -823.386,  ess: 4.484,  kl_eta_ex: 241.120,  kl_eta_in: 476.692,  kl_z_ex: 28.975,  kl_z_in: 11.207
symKL_DB_eta: 113.114,  symKL_DB_z: 51.529,  loss: -821.838,  ess: 4.524,  kl_eta_ex: 242.181,  kl_eta_in: 500.818,  kl_z_ex: 29.437,  kl_z_in: 11.047
symKL_DB_eta: 114.341,  symKL_DB_z: 51.048,  loss: -820.025,  ess: 4.550,  kl_eta_ex: 243.169,  kl_eta_in: 515.283,  kl_z_ex: 29.539,  kl_z_in: 10.820
symKL_DB_eta: 116.908,  symKL_DB_z: 50.236,  loss: -817.567,  ess: 4.583,  kl_eta_ex: 244.097,  kl_eta_in: 523.178,  kl_z_ex: 29.482,  kl_z_in: 10.544
symKL_DB_eta: 119.508,  symKL_DB_z: 49.317,  loss: -816.342,  ess: 4.610,  kl_eta_ex: 245.459,  kl_eta_in: 529.915,  kl_z_ex: 29.365,  kl_z_in: 10.244
