symKL_DB_eta: 393.563,  symKL_DB_z: 354.903,  loss: -1595.628,  ess: 3.274,  kl_eta_ex: 989.988,  kl_eta_in: 178.836,  kl_z_ex: 213.094,  kl_z_in: 31.273
symKL_DB_eta: 202.276,  symKL_DB_z: 105.502,  loss: -1089.497,  ess: 3.990,  kl_eta_ex: 403.691,  kl_eta_in: 193.555,  kl_z_ex: 61.400,  kl_z_in: 16.906
symKL_DB_eta: 137.108,  symKL_DB_z: 64.256,  loss: -942.674,  ess: 4.332,  kl_eta_ex: 270.029,  kl_eta_in: 259.964,  kl_z_ex: 34.484,  kl_z_in: 12.208
symKL_DB_eta: 114.544,  symKL_DB_z: 54.008,  loss: -879.372,  ess: 4.496,  kl_eta_ex: 228.485,  kl_eta_in: 398.500,  kl_z_ex: 30.122,  kl_z_in: 10.977
symKL_DB_eta: 111.179,  symKL_DB_z: 49.520,  loss: -852.854,  ess: 4.579,  kl_eta_ex: 216.826,  kl_eta_in: 491.080,  kl_z_ex: 29.421,  kl_z_in: 10.510
symKL_DB_eta: 113.187,  symKL_DB_z: 48.709,  loss: -842.372,  ess: 4.603,  kl_eta_ex: 215.968,  kl_eta_in: 520.009,  kl_z_ex: 29.260,  kl_z_in: 10.162
symKL_DB_eta: 116.117,  symKL_DB_z: 46.074,  loss: -835.556,  ess: 4.649,  kl_eta_ex: 213.907,  kl_eta_in: 530.161,  kl_z_ex: 28.286,  kl_z_in: 9.705
symKL_DB_eta: 120.327,  symKL_DB_z: 44.456,  loss: -834.279,  ess: 4.689,  kl_eta_ex: 213.766,  kl_eta_in: 523.773,  kl_z_ex: 26.812,  kl_z_in: 9.108
symKL_DB_eta: 122.727,  symKL_DB_z: 40.599,  loss: -832.201,  ess: 4.759,  kl_eta_ex: 213.775,  kl_eta_in: 522.108,  kl_z_ex: 24.919,  kl_z_in: 8.442
symKL_DB_eta: 124.643,  symKL_DB_z: 38.186,  loss: -830.415,  ess: 4.819,  kl_eta_ex: 213.749,  kl_eta_in: 520.372,  kl_z_ex: 22.796,  kl_z_in: 7.786
symKL_DB_eta: 128.134,  symKL_DB_z: 35.381,  loss: -829.994,  ess: 4.886,  kl_eta_ex: 214.985,  kl_eta_in: 519.783,  kl_z_ex: 20.952,  kl_z_in: 7.132
symKL_DB_eta: 131.139,  symKL_DB_z: 32.424,  loss: -828.990,  ess: 4.962,  kl_eta_ex: 216.619,  kl_eta_in: 521.088,  kl_z_ex: 19.299,  kl_z_in: 6.495
symKL_DB_eta: 136.217,  symKL_DB_z: 30.147,  loss: -828.280,  ess: 5.021,  kl_eta_ex: 220.294,  kl_eta_in: 518.502,  kl_z_ex: 17.883,  kl_z_in: 5.892
symKL_DB_eta: 137.957,  symKL_DB_z: 28.415,  loss: -829.863,  ess: 5.075,  kl_eta_ex: 222.354,  kl_eta_in: 503.198,  kl_z_ex: 16.188,  kl_z_in: 5.340
symKL_DB_eta: 139.891,  symKL_DB_z: 26.206,  loss: -826.300,  ess: 5.118,  kl_eta_ex: 222.840,  kl_eta_in: 490.745,  kl_z_ex: 14.333,  kl_z_in: 4.936
symKL_DB_eta: 126.475,  symKL_DB_z: 23.424,  loss: -807.227,  ess: 5.159,  kl_eta_ex: 202.513,  kl_eta_in: 452.133,  kl_z_ex: 12.688,  kl_z_in: 4.574
symKL_DB_eta: 109.212,  symKL_DB_z: 19.856,  loss: -783.339,  ess: 5.188,  kl_eta_ex: 172.972,  kl_eta_in: 389.859,  kl_z_ex: 10.206,  kl_z_in: 4.084
symKL_DB_eta: 96.329,  symKL_DB_z: 17.063,  loss: -765.844,  ess: 5.226,  kl_eta_ex: 149.725,  kl_eta_in: 319.182,  kl_z_ex: 7.966,  kl_z_in: 3.634
symKL_DB_eta: 94.341,  symKL_DB_z: 15.370,  loss: -751.727,  ess: 5.250,  kl_eta_ex: 140.853,  kl_eta_in: 272.667,  kl_z_ex: 7.188,  kl_z_in: 3.514
symKL_DB_eta: 88.550,  symKL_DB_z: 14.169,  loss: -736.796,  ess: 5.269,  kl_eta_ex: 127.301,  kl_eta_in: 228.647,  kl_z_ex: 6.193,  kl_z_in: 3.148
symKL_DB_eta: 84.994,  symKL_DB_z: 12.319,  loss: -728.731,  ess: 5.312,  kl_eta_ex: 119.752,  kl_eta_in: 204.674,  kl_z_ex: 5.363,  kl_z_in: 2.735
symKL_DB_eta: 82.091,  symKL_DB_z: 11.541,  loss: -724.775,  ess: 5.344,  kl_eta_ex: 116.891,  kl_eta_in: 194.016,  kl_z_ex: 4.892,  kl_z_in: 2.473
symKL_DB_eta: 78.570,  symKL_DB_z: 10.979,  loss: -722.477,  ess: 5.373,  kl_eta_ex: 112.650,  kl_eta_in: 182.051,  kl_z_ex: 4.425,  kl_z_in: 2.201
symKL_DB_eta: 75.982,  symKL_DB_z: 10.390,  loss: -718.745,  ess: 5.399,  kl_eta_ex: 110.008,  kl_eta_in: 172.756,  kl_z_ex: 4.141,  kl_z_in: 2.012
symKL_DB_eta: 73.157,  symKL_DB_z: 10.310,  loss: -714.940,  ess: 5.435,  kl_eta_ex: 107.416,  kl_eta_in: 164.210,  kl_z_ex: 3.968,  kl_z_in: 1.854
symKL_DB_eta: 70.998,  symKL_DB_z: 9.531,  loss: -711.590,  ess: 5.468,  kl_eta_ex: 104.694,  kl_eta_in: 155.379,  kl_z_ex: 3.804,  kl_z_in: 1.728
symKL_DB_eta: 69.104,  symKL_DB_z: 9.369,  loss: -706.973,  ess: 5.497,  kl_eta_ex: 103.402,  kl_eta_in: 147.843,  kl_z_ex: 3.696,  kl_z_in: 1.622
symKL_DB_eta: 68.111,  symKL_DB_z: 9.167,  loss: -702.377,  ess: 5.530,  kl_eta_ex: 103.221,  kl_eta_in: 143.045,  kl_z_ex: 3.805,  kl_z_in: 1.519
symKL_DB_eta: 67.359,  symKL_DB_z: 8.776,  loss: -698.598,  ess: 5.560,  kl_eta_ex: 104.197,  kl_eta_in: 138.096,  kl_z_ex: 3.904,  kl_z_in: 1.414
symKL_DB_eta: 72.160,  symKL_DB_z: 9.525,  loss: -696.601,  ess: 5.595,  kl_eta_ex: 112.953,  kl_eta_in: 137.930,  kl_z_ex: 5.172,  kl_z_in: 1.718
symKL_DB_eta: 106.395,  symKL_DB_z: 15.129,  loss: -725.925,  ess: 5.612,  kl_eta_ex: 157.133,  kl_eta_in: 136.415,  kl_z_ex: 6.339,  kl_z_in: 2.371
symKL_DB_eta: 66.768,  symKL_DB_z: 10.426,  loss: -663.466,  ess: 5.641,  kl_eta_ex: 108.326,  kl_eta_in: 122.780,  kl_z_ex: 4.567,  kl_z_in: 2.493
symKL_DB_eta: 47.142,  symKL_DB_z: 7.090,  loss: -612.303,  ess: 5.679,  kl_eta_ex: 74.825,  kl_eta_in: 111.054,  kl_z_ex: 3.912,  kl_z_in: 2.223
symKL_DB_eta: 40.759,  symKL_DB_z: 6.444,  loss: -578.818,  ess: 5.713,  kl_eta_ex: 61.597,  kl_eta_in: 103.195,  kl_z_ex: 3.754,  kl_z_in: 2.083
symKL_DB_eta: 33.346,  symKL_DB_z: 5.556,  loss: -554.900,  ess: 5.764,  kl_eta_ex: 50.787,  kl_eta_in: 95.685,  kl_z_ex: 2.829,  kl_z_in: 1.659
symKL_DB_eta: 28.110,  symKL_DB_z: 5.052,  loss: -541.100,  ess: 5.814,  kl_eta_ex: 43.146,  kl_eta_in: 92.322,  kl_z_ex: 2.004,  kl_z_in: 1.119
symKL_DB_eta: 25.643,  symKL_DB_z: 4.767,  loss: -534.354,  ess: 5.839,  kl_eta_ex: 39.273,  kl_eta_in: 89.874,  kl_z_ex: 1.687,  kl_z_in: 0.930
symKL_DB_eta: 24.480,  symKL_DB_z: 4.651,  loss: -528.223,  ess: 5.864,  kl_eta_ex: 37.270,  kl_eta_in: 82.004,  kl_z_ex: 1.585,  kl_z_in: 0.852
symKL_DB_eta: 23.069,  symKL_DB_z: 4.433,  loss: -522.805,  ess: 5.902,  kl_eta_ex: 34.230,  kl_eta_in: 73.294,  kl_z_ex: 1.507,  kl_z_in: 0.770
symKL_DB_eta: 21.375,  symKL_DB_z: 4.148,  loss: -517.449,  ess: 5.951,  kl_eta_ex: 31.371,  kl_eta_in: 65.571,  kl_z_ex: 1.421,  kl_z_in: 0.676
symKL_DB_eta: 19.457,  symKL_DB_z: 3.914,  loss: -511.137,  ess: 6.017,  kl_eta_ex: 28.506,  kl_eta_in: 58.783,  kl_z_ex: 1.320,  kl_z_in: 0.626
symKL_DB_eta: 16.708,  symKL_DB_z: 3.655,  loss: -505.088,  ess: 6.150,  kl_eta_ex: 24.991,  kl_eta_in: 57.376,  kl_z_ex: 1.148,  kl_z_in: 0.533
symKL_DB_eta: 12.696,  symKL_DB_z: 3.782,  loss: -501.245,  ess: 6.425,  kl_eta_ex: 20.476,  kl_eta_in: 62.791,  kl_z_ex: 1.061,  kl_z_in: 0.446
symKL_DB_eta: 10.927,  symKL_DB_z: 3.934,  loss: -498.465,  ess: 6.632,  kl_eta_ex: 18.215,  kl_eta_in: 61.396,  kl_z_ex: 1.054,  kl_z_in: 0.430
symKL_DB_eta: 10.225,  symKL_DB_z: 3.801,  loss: -493.756,  ess: 6.779,  kl_eta_ex: 16.608,  kl_eta_in: 52.916,  kl_z_ex: 0.988,  kl_z_in: 0.396
