EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-470.394	-555.991	4.425	284.156	257.281	125.800	991.140
-412.830	-477.466	4.563	213.748	270.665	113.626	988.086
-385.506	-442.884	4.693	190.188	256.949	127.996	892.280
-375.701	-434.040	4.801	195.958	236.567	155.990	749.664
-367.303	-430.049	4.883	202.691	215.787	173.953	615.681
-353.329	-419.182	4.957	201.319	198.693	176.557	523.868
-341.243	-408.425	5.011	193.320	186.447	171.747	464.964
-335.277	-404.528	5.045	191.360	177.435	169.297	420.730
-325.898	-393.001	5.082	180.682	166.126	160.729	385.520
-315.619	-381.400	5.118	168.112	152.291	151.079	354.747
-305.989	-368.586	5.140	156.009	138.209	140.370	330.122
-295.883	-354.525	5.154	142.902	127.722	128.070	307.823
-288.166	-343.619	5.164	132.358	118.125	118.661	288.428
-278.476	-329.907	5.175	117.947	103.600	107.005	268.792
-269.408	-318.330	5.177	106.022	91.924	96.459	254.249
-262.394	-307.560	5.172	95.042	86.508	87.024	244.848
-255.924	-298.610	5.166	85.167	83.548	79.632	240.007
-251.139	-290.869	5.160	76.392	83.016	73.736	238.386
-248.738	-287.565	5.152	71.095	84.755	69.713	241.385
-244.720	-281.932	5.156	64.727	85.756	65.447	239.762
-243.671	-280.450	5.154	61.775	88.037	64.649	247.911
-242.442	-279.779	5.163	60.745	91.285	64.629	254.028
-243.085	-282.136	5.168	63.001	98.163	67.625	263.007
-243.277	-283.416	5.183	65.042	101.236	70.102	269.234
-243.541	-285.599	5.196	67.275	106.664	74.634	282.164
-244.584	-288.960	5.214	71.701	113.175	78.885	292.093
-246.339	-293.574	5.242	77.559	119.580	85.267	299.243
-247.984	-297.954	5.260	82.990	126.637	92.281	315.214
-249.507	-303.014	5.296	90.179	133.113	99.178	318.666
-252.308	-309.486	5.327	98.984	142.982	108.296	329.978
-253.972	-315.630	5.368	107.689	150.160	116.254	339.850
-256.477	-321.159	5.407	115.530	158.674	124.111	346.490
-258.173	-327.522	5.446	125.422	164.714	133.059	354.837
-260.490	-333.457	5.492	134.892	169.335	141.551	360.192
-261.781	-339.065	5.531	144.021	169.784	149.126	364.733
-263.602	-343.459	5.560	152.828	177.308	154.943	371.267
-264.115	-346.953	5.597	159.024	176.948	160.449	374.653
-265.836	-351.318	5.625	166.726	180.245	166.228	378.254
-267.188	-355.516	5.636	174.475	184.065	170.953	382.321
-268.900	-359.728	5.660	183.285	186.736	178.183	387.497
-267.618	-359.561	5.685	183.899	182.195	177.286	387.341
-267.974	-361.463	5.691	189.380	184.971	180.821	384.133
-269.733	-364.004	5.703	195.059	185.506	184.499	391.080
-268.257	-363.089	5.708	196.688	186.424	184.363	392.525
-270.051	-365.360	5.710	199.492	189.833	186.399	392.180
-270.944	-367.117	5.721	203.774	189.464	188.828	391.464
-269.578	-365.378	5.719	203.539	188.890	187.823	396.648
-270.475	-367.369	5.728	206.768	184.312	190.035	394.644
-270.425	-366.844	5.723	206.749	184.797	190.065	395.080
-270.845	-369.084	5.723	210.533	187.546	191.855	398.124
-270.978	-368.754	5.718	211.731	191.429	192.308	400.101
-272.443	-371.614	5.723	215.456	189.805	194.915	401.777
-270.600	-367.796	5.722	210.979	188.083	191.753	399.010
-271.095	-369.548	5.718	214.813	189.476	193.608	404.104
-270.571	-367.960	5.728	212.867	187.403	192.398	397.544
-270.607	-369.056	5.718	215.196	188.185	194.886	404.869
-271.540	-369.499	5.719	217.461	188.701	195.290	404.069
-271.013	-369.137	5.722	215.402	187.158	195.297	403.913
-270.673	-368.747	5.718	214.662	186.402	195.374	404.024
-271.582	-369.657	5.721	215.375	186.523	195.314	402.649
-271.977	-370.237	5.718	219.064	188.637	194.922	405.162
-270.403	-367.698	5.723	214.253	187.534	193.051	399.773
-270.249	-368.197	5.723	215.006	185.036	194.436	402.308
-270.847	-369.324	5.716	217.883	187.596	194.621	401.726
-270.246	-369.536	5.713	217.871	187.792	196.196	409.868
-270.353	-368.386	5.718	215.706	184.623	194.831	407.238
-271.092	-369.825	5.717	218.663	186.779	196.358	405.010
-271.412	-369.272	5.724	216.983	187.282	193.961	400.593
-272.706	-371.520	5.713	219.362	189.096	196.602	405.473
-271.138	-367.941	5.718	216.444	185.951	194.010	402.387
-271.266	-370.155	5.720	218.056	184.684	194.618	401.500
-270.019	-367.718	5.718	215.749	183.735	193.582	406.533
-269.958	-368.413	5.717	215.797	184.457	194.065	405.353
-271.762	-370.039	5.718	219.345	185.196	195.854	406.312
-269.261	-366.678	5.718	215.131	185.187	193.671	404.346
-270.954	-369.303	5.715	217.728	186.805	195.469	407.001
-270.334	-368.811	5.723	216.385	183.617	193.828	402.250
-271.569	-369.703	5.721	218.098	186.077	194.302	406.124
-268.835	-367.103	5.724	214.787	185.604	192.997	402.093
-270.935	-368.824	5.722	217.603	183.116	195.174	402.960
-271.282	-369.061	5.721	216.995	182.716	194.677	403.296
-270.627	-368.443	5.723	217.059	184.496	194.643	405.414
-270.265	-368.100	5.717	216.893	183.853	193.364	405.485
-269.904	-367.334	5.720	215.570	183.411	192.290	399.436
-271.707	-369.334	5.721	217.734	186.522	192.774	402.462
-270.335	-368.817	5.717	217.463	184.331	196.288	402.590
-270.029	-368.537	5.721	217.135	186.091	195.071	404.125
-269.987	-367.611	5.724	217.136	183.681	193.952	402.751
-270.234	-366.297	5.733	215.385	180.864	191.728	401.020
-270.578	-368.825	5.722	216.594	184.037	195.173	405.342
-268.329	-364.716	5.731	212.937	180.956	189.634	395.783
-270.564	-369.042	5.723	217.057	183.634	193.902	403.093
-270.000	-367.313	5.735	216.134	182.768	192.228	398.005
-271.141	-368.873	5.731	216.892	182.411	194.646	404.733
-269.357	-366.248	5.733	213.432	182.647	191.953	399.736
-269.860	-367.882	5.735	217.419	182.964	195.355	402.893
-269.948	-367.848	5.733	217.350	182.847	194.023	399.516
-269.970	-367.146	5.737	216.256	181.891	193.617	399.260
-271.332	-368.842	5.737	217.317	184.001	193.073	400.022
-269.716	-365.126	5.745	212.787	181.416	189.433	396.686
-270.242	-367.738	5.733	215.261	182.320	192.201	400.548
-270.617	-369.270	5.742	218.427	180.830	194.617	397.614
-269.336	-366.819	5.744	214.927	183.101	191.668	396.932
-269.781	-366.206	5.742	214.134	183.831	191.526	401.810
-269.536	-365.750	5.746	212.692	180.938	190.168	397.237
-269.951	-366.550	5.745	215.159	181.096	192.391	398.710
-268.855	-365.232	5.748	212.863	182.059	189.855	393.746
-269.259	-365.702	5.745	213.053	181.424	191.413	400.999
-270.151	-368.606	5.745	216.878	182.959	192.281	400.736
-269.431	-365.471	5.755	212.758	178.940	188.967	392.695
-268.468	-365.082	5.750	213.027	180.454	190.192	392.810
-269.453	-365.366	5.754	213.731	181.714	190.465	393.058
-269.740	-367.149	5.746	214.308	182.886	191.229	397.936
-268.342	-364.433	5.756	212.075	180.856	189.964	395.712
-268.686	-363.125	5.756	209.912	179.849	187.109	391.919
-267.817	-363.159	5.761	210.531	181.337	188.199	390.836
-270.529	-366.724	5.761	214.859	183.142	190.210	393.795
-267.315	-363.603	5.764	208.941	176.059	187.275	389.384
-269.554	-365.579	5.774	212.079	178.167	187.831	385.574
-269.995	-366.740	5.764	214.458	180.587	188.861	387.934
-269.269	-364.963	5.771	211.201	179.150	187.279	389.379
-269.343	-364.494	5.774	211.557	180.205	187.493	387.713
-269.040	-364.508	5.769	211.235	180.501	187.950	390.199
-270.408	-366.697	5.771	213.594	180.790	189.005	389.804
-267.945	-362.798	5.767	210.195	179.611	186.254	386.302
-269.100	-364.275	5.773	212.909	181.841	187.465	386.847
-267.917	-363.742	5.775	211.355	179.674	188.992	390.861
-269.165	-364.399	5.779	211.553	178.811	187.347	384.814
-269.489	-364.203	5.780	211.065	181.993	187.125	386.419
-268.946	-364.286	5.778	210.907	180.232	186.238	385.513
-269.028	-363.975	5.788	211.320	178.241	186.369	384.391
-269.916	-366.639	5.782	215.620	182.706	190.592	388.333
-269.399	-363.271	5.783	210.275	179.069	185.500	383.544
-268.850	-364.096	5.783	210.677	181.075	186.890	384.309
-268.477	-364.249	5.780	212.004	179.874	188.707	386.451
-268.805	-365.151	5.788	214.290	181.175	187.870	384.870
