EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-201.993	-213.344	12.758	1.607	1.636	2.307	3.187
-210.708	-219.293	13.910	1.290	1.148	1.457	2.927
-207.258	-216.463	12.777	1.101	1.104	1.495	2.130
-210.009	-218.849	14.209	0.953	0.953	1.181	1.614
-213.193	-222.663	13.177	1.255	1.283	1.591	2.216
-213.208	-224.633	12.690	1.464	1.467	1.942	2.504
-212.307	-222.002	12.976	1.122	1.121	1.526	2.156
-203.886	-214.781	13.372	1.490	1.536	1.706	2.143
-211.733	-223.086	12.318	1.453	1.499	1.929	2.785
-211.906	-223.755	11.845	1.600	1.576	2.181	2.939
-210.340	-220.480	13.015	1.349	1.350	1.654	2.178
-212.884	-224.791	12.223	1.565	1.638	2.212	3.335
-199.876	-212.769	12.503	1.558	1.592	1.807	2.405
-204.529	-213.013	13.508	1.158	1.133	1.252	1.611
-205.466	-216.869	12.783	1.548	1.594	1.824	2.371
-205.324	-215.878	12.473	1.359	1.353	1.823	2.590
-207.726	-216.818	13.771	1.023	1.015	1.267	1.717
-224.668	-233.761	13.380	0.971	1.014	1.291	2.094
-214.367	-225.043	12.748	1.417	1.452	1.854	2.419
-220.581	-230.181	12.751	1.282	1.271	1.562	2.120
-203.362	-214.783	12.615	1.452	1.468	1.841	2.306
-211.740	-220.413	13.523	1.044	1.078	1.370	2.035
-210.724	-221.232	13.104	1.190	1.183	1.488	1.943
-198.492	-209.264	12.669	1.600	1.587	2.013	2.498
-210.159	-220.550	13.206	1.283	1.266	1.588	2.158
-218.445	-227.832	14.262	1.205	1.223	1.381	1.662
-201.498	-213.554	12.038	1.595	1.609	2.306	3.221
-216.680	-227.930	12.997	1.321	1.463	1.607	2.301
-209.240	-219.345	13.247	1.217	1.208	1.615	1.980
-205.616	-215.508	13.024	1.325	1.380	1.564	2.145
-213.213	-223.564	12.458	1.416	1.575	2.147	4.366
-211.020	-220.875	13.340	1.182	1.227	1.605	2.244
-209.331	-221.709	12.626	1.739	1.709	2.148	2.854
-201.998	-212.290	12.963	1.259	1.238	1.512	2.011
-210.438	-220.093	12.879	1.230	1.225	1.401	1.624
-213.104	-223.837	12.678	1.301	1.259	1.854	2.428
-211.415	-221.791	13.188	1.288	1.303	1.584	1.969
-210.502	-218.666	14.003	0.934	0.905	1.038	1.336
-214.674	-224.741	13.075	1.200	1.173	1.477	2.082
-207.610	-217.248	12.705	1.425	1.400	1.920	2.912
-209.175	-220.409	12.471	1.603	1.666	2.109	2.658
-211.580	-221.527	13.393	1.257	1.296	1.643	2.400
-199.715	-211.623	13.051	1.732	1.716	1.971	2.512
-213.785	-222.977	12.982	1.016	1.013	1.526	2.233
-208.927	-220.682	12.522	1.701	1.739	2.122	2.800
-203.991	-216.508	11.995	1.636	1.637	2.228	2.867
-198.834	-211.710	12.641	1.547	1.554	2.003	2.575
-202.878	-215.680	12.453	1.705	1.728	2.082	2.525
-206.302	-216.074	12.507	1.189	1.194	1.526	1.923
-201.761	-213.872	12.342	1.572	1.510	1.934	2.300
-203.329	-214.364	12.151	1.391	1.383	1.747	2.228
-208.711	-219.487	13.049	1.346	1.311	1.434	1.535
-210.804	-223.170	12.609	1.681	1.729	2.033	2.663
-200.551	-211.652	12.523	1.615	1.611	1.949	2.808
-205.851	-218.597	12.395	1.950	2.010	2.397	3.057
-197.564	-210.024	12.291	1.576	1.552	2.149	2.937
-209.631	-220.470	12.644	1.137	1.148	1.568	2.253
-210.911	-221.448	13.116	1.226	1.168	1.721	2.169
-203.130	-214.806	12.691	1.678	1.742	1.836	2.343
-209.867	-218.417	13.477	1.034	1.043	1.192	1.556
-212.393	-222.147	13.047	1.256	1.227	1.420	1.976
-197.345	-209.695	12.544	1.358	1.339	1.975	2.750
-206.282	-215.627	12.849	1.091	1.084	1.484	2.184
-198.366	-211.309	12.200	1.630	1.597	1.935	2.819
-203.718	-215.307	12.079	1.587	1.584	1.821	2.446
-214.257	-225.460	12.803	1.528	1.520	2.085	2.671
-209.621	-220.706	12.698	1.658	1.703	2.098	2.815
-216.890	-226.587	12.820	1.197	1.165	1.430	1.883
-207.288	-218.092	12.536	1.476	1.491	1.914	2.431
-208.825	-220.920	12.654	1.583	1.575	1.945	2.266
-200.913	-211.641	12.468	1.594	1.590	2.093	2.878
-199.289	-211.863	12.105	2.038	2.071	2.193	2.798
-207.399	-215.978	13.211	1.490	1.725	1.940	3.141
-200.623	-212.113	12.298	1.514	1.483	1.949	2.544
-211.498	-221.797	13.085	1.325	1.345	1.669	2.020
-214.381	-223.254	13.942	1.055	1.064	1.258	1.520
-216.035	-225.278	13.554	1.091	1.152	1.312	1.768
-204.201	-214.231	13.149	1.258	1.252	1.605	2.207
-203.959	-214.716	12.537	1.540	1.481	1.808	2.185
-204.837	-216.420	12.985	1.457	1.431	1.673	1.963
-211.715	-222.055	13.583	1.428	1.496	1.942	2.792
-212.784	-220.721	13.851	1.088	1.056	1.378	1.737
-212.135	-222.553	13.146	1.132	1.148	1.552	2.139
-213.816	-223.546	12.896	1.324	1.352	1.589	1.917
-214.318	-222.974	13.284	1.150	1.161	1.531	2.163
-200.942	-214.594	11.905	2.016	2.057	2.490	3.502
-215.548	-226.321	12.893	1.315	1.312	1.769	2.417
-195.785	-211.457	11.098	2.398	2.377	2.876	3.532
-204.465	-215.056	12.956	1.540	1.617	1.954	2.384
-206.367	-217.546	13.037	1.597	1.624	1.821	2.191
-205.432	-216.390	12.070	1.299	1.309	1.729	2.206
-212.943	-222.943	12.910	1.280	1.299	1.609	2.313
-204.356	-213.838	12.736	1.085	1.065	1.476	1.882
-210.232	-221.137	12.681	1.359	1.368	1.678	2.178
-207.509	-217.548	13.130	1.241	1.247	1.552	2.085
-203.837	-214.539	12.282	1.621	1.675	1.994	3.794
-203.409	-215.197	12.241	1.633	1.679	1.995	2.666
-216.581	-226.801	12.492	1.296	1.291	1.846	2.388
-204.035	-215.123	12.935	1.425	1.412	1.593	1.985
-208.876	-221.318	12.906	1.491	1.439	1.815	2.291
-218.364	-230.136	12.559	1.616	1.535	2.109	2.858
-202.908	-214.065	12.909	1.454	1.482	1.796	2.168
-211.365	-220.663	13.728	0.943	0.946	1.348	1.740
-206.554	-217.956	12.433	1.649	1.637	1.971	2.354
-202.878	-214.301	12.488	1.410	1.407	1.772	2.421
-211.537	-221.707	13.114	1.385	1.380	1.671	2.266
-220.729	-230.138	12.754	1.129	1.109	1.578	2.130
-214.384	-225.749	13.101	1.227	1.244	1.676	1.958
-205.563	-217.020	12.589	1.555	1.554	2.023	2.657
-205.188	-214.839	13.586	1.171	1.142	1.554	2.461
-198.476	-210.000	13.468	1.440	1.437	1.690	2.100
-207.803	-216.635	13.130	1.311	1.243	1.577	2.219
-207.790	-217.577	13.013	1.279	1.317	1.588	2.029
-202.157	-212.540	13.120	1.075	1.063	1.544	2.149
-210.087	-220.843	12.424	1.493	1.528	1.850	2.388
-212.916	-223.317	13.273	1.059	1.043	1.496	1.863
-203.471	-215.298	12.380	1.673	1.662	2.148	2.639
-209.511	-220.848	12.645	1.421	1.443	1.703	2.145
-208.328	-220.159	12.836	1.639	1.667	1.950	2.425
-207.397	-217.982	12.903	1.302	1.298	1.634	2.050
-201.769	-215.589	12.252	2.263	2.254	2.802	3.281
-205.247	-217.535	11.762	1.576	1.621	1.982	2.621
-215.009	-224.166	14.002	1.069	1.047	1.428	2.006
-216.145	-227.157	13.143	1.552	1.557	1.839	2.157
-210.795	-219.440	13.683	1.045	1.030	1.240	1.548
-202.477	-214.213	12.108	1.580	1.601	2.101	2.959
-217.533	-227.565	13.190	1.164	1.152	1.452	2.070
-209.298	-221.202	12.372	1.486	1.483	1.733	2.101
-212.551	-223.040	12.707	1.364	1.378	1.830	2.560
-196.900	-207.365	13.495	1.263	1.269	1.557	1.923
-197.807	-211.628	12.214	2.426	2.376	2.783	3.376
-215.303	-225.665	13.183	1.694	1.635	1.942	2.008
-206.138	-215.651	12.741	1.044	1.037	1.264	1.778
-209.598	-220.405	12.961	1.364	1.355	1.586	2.003
-206.297	-217.515	12.479	1.598	1.536	2.020	3.115
-207.079	-217.287	12.767	1.133	1.128	1.595	2.472
-206.216	-215.741	13.088	1.134	1.155	1.539	2.193
-213.666	-224.267	12.991	1.548	1.460	1.709	2.122
-216.482	-227.928	12.270	1.530	1.562	2.008	2.836
-204.565	-216.164	12.436	1.427	1.476	1.783	2.417
-210.789	-221.599	12.896	1.348	1.385	1.745	2.346
-212.031	-223.780	12.722	1.675	1.706	1.975	2.667
-205.638	-217.759	12.086	1.675	1.704	2.088	2.624
-215.952	-225.103	13.755	1.035	1.015	1.448	1.820
-211.719	-222.941	13.580	1.158	1.167	1.494	2.072
-207.878	-219.144	12.846	1.735	1.877	2.346	3.313
-207.055	-220.120	11.916	1.898	1.905	2.342	2.743
-204.493	-214.832	13.113	1.234	1.262	1.570	2.208
-213.671	-223.760	12.732	1.427	1.440	1.824	2.377
-214.556	-223.915	13.391	1.177	1.189	1.446	1.771
-204.083	-214.675	12.993	1.534	1.609	2.034	2.569
-200.782	-212.540	12.686	1.711	1.756	2.022	2.413
-207.763	-220.791	12.024	1.689	1.694	2.076	2.721
-201.536	-211.722	13.106	1.182	1.206	1.485	1.705
-203.230	-214.430	12.575	1.421	1.435	1.616	2.032
-197.025	-209.250	12.173	1.691	1.683	2.219	2.851
-215.918	-226.110	13.052	1.180	1.176	1.341	1.657
-209.347	-219.069	13.103	1.359	1.309	2.005	2.803
-207.670	-219.664	12.139	1.862	1.846	2.209	2.709
-201.810	-212.091	12.964	1.409	1.438	1.805	2.444
-205.134	-217.528	12.421	1.582	1.577	1.867	2.094
-216.085	-226.109	13.264	1.304	1.194	1.389	1.721
-212.882	-223.896	12.674	1.427	1.365	1.850	2.341
-207.372	-217.571	13.303	1.286	1.281	1.652	2.034
-216.680	-225.682	13.111	1.071	1.077	1.415	2.006
-205.807	-216.543	12.538	1.433	1.413	1.853	2.236
-202.790	-214.466	12.153	1.669	1.624	1.819	2.405
-218.275	-226.706	14.010	0.922	0.933	1.214	1.719
-199.158	-212.178	12.157	2.048	2.062	2.776	3.659
-207.280	-218.018	12.594	1.550	1.554	1.865	2.605
-210.224	-220.059	13.133	1.429	1.401	1.582	1.932
-206.890	-218.650	12.641	1.826	1.928	2.064	3.078
-207.567	-217.959	13.106	1.430	1.390	1.644	2.237
-204.598	-215.129	12.642	1.278	1.287	1.489	2.081
-211.632	-222.058	13.065	1.420	1.432	1.684	2.119
-205.150	-217.116	12.686	1.642	1.634	1.820	2.452
-213.368	-222.975	12.909	1.242	1.294	1.567	1.926
-204.481	-216.286	11.844	1.535	1.529	2.149	2.848
-221.280	-231.424	12.646	1.908	7.417	3.167	12.347
-205.962	-218.353	12.087	1.743	1.733	1.993	2.655
-212.560	-224.561	12.506	1.652	1.790	1.856	2.557
-213.490	-222.798	13.660	1.285	1.305	1.662	2.240
-202.828	-214.959	12.099	1.797	1.750	2.143	2.713
-212.490	-225.392	12.171	1.881	2.024	2.315	3.087
-207.069	-215.530	14.319	0.946	0.964	1.168	1.670
-207.671	-217.143	13.202	1.086	1.089	1.256	1.598
-210.607	-220.290	13.373	1.140	1.134	1.521	2.240
-200.585	-212.074	12.660	1.695	1.698	2.101	2.742
-203.047	-216.415	11.762	1.995	1.922	2.285	2.967
-210.983	-220.643	13.565	1.105	1.076	1.278	1.727
-205.805	-216.113	12.463	1.455	1.506	1.897	2.526
-216.543	-229.056	12.066	1.763	1.857	2.421	3.691
-219.732	-230.644	12.566	1.550	1.645	2.220	3.561
-229.190	-239.913	12.472	1.380	1.410	1.663	2.271
-202.951	-214.869	12.139	1.662	1.646	1.864	2.186
-209.142	-219.643	12.585	1.462	1.440	1.843	2.480
-209.131	-218.099	13.314	1.554	2.488	2.017	6.840
-203.063	-214.842	12.221	1.511	1.513	1.748	2.289
-208.580	-218.260	12.943	1.274	1.319	1.651	2.302
-211.172	-220.291	12.940	1.073	1.055	1.446	1.774
-204.704	-216.821	12.477	1.565	1.547	1.958	2.570
-206.074	-216.681	12.394	1.502	1.469	1.634	2.103
-210.294	-221.170	12.533	1.469	1.477	2.021	2.673
-204.872	-217.504	12.087	1.688	1.699	2.220	2.832
