EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-892.485	-1440.947	2.943	1534.230	182.901	460.639	43.950
-865.464	-1393.184	2.985	1453.264	180.762	436.035	42.704
-834.439	-1334.917	3.031	1375.859	178.152	413.964	41.764
-809.998	-1285.635	3.078	1302.501	175.962	389.794	40.626
-782.627	-1236.907	3.132	1234.616	174.156	370.748	39.633
-759.877	-1189.138	3.179	1169.883	172.072	350.391	38.451
-737.437	-1145.590	3.236	1107.813	170.131	329.320	37.368
-714.492	-1102.950	3.286	1051.091	168.575	312.794	36.350
-693.516	-1065.177	3.342	993.134	166.955	292.660	35.431
-677.245	-1023.284	3.403	939.656	165.748	276.579	34.509
-655.985	-987.287	3.459	891.768	164.302	258.592	33.579
-642.955	-955.978	3.522	845.359	164.101	242.493	32.644
-624.934	-919.940	3.580	799.581	163.564	225.451	31.767
-610.777	-891.260	3.641	757.985	163.685	211.269	31.123
-599.841	-866.237	3.697	721.353	164.323	199.428	30.599
-588.180	-839.208	3.756	685.038	163.366	185.828	29.930
-579.668	-818.101	3.814	653.668	165.411	174.219	29.414
-564.589	-793.010	3.867	622.287	166.279	165.672	29.166
-553.461	-770.518	3.919	593.629	166.220	155.296	28.593
-544.389	-750.707	3.967	568.440	168.657	146.144	28.351
-535.745	-729.217	4.017	542.631	168.641	137.880	27.986
-523.738	-712.526	4.060	522.232	171.184	132.864	28.010
-517.449	-698.504	4.103	503.127	174.549	126.804	27.695
-509.729	-683.108	4.141	484.137	172.544	120.556	27.531
-502.503	-668.999	4.179	464.287	173.928	115.404	27.375
-497.373	-658.510	4.216	450.247	174.899	111.963	27.453
-490.697	-645.917	4.253	433.025	176.840	106.109	26.796
-482.973	-633.649	4.292	418.402	177.463	101.913	26.881
-478.455	-624.274	4.328	405.877	178.782	98.219	26.267
-472.807	-612.710	4.353	391.647	177.641	95.699	26.421
-466.997	-604.009	4.387	381.264	178.606	90.789	26.186
-462.630	-593.914	4.419	368.830	179.849	88.253	25.959
-457.556	-584.599	4.444	358.307	179.285	84.960	25.350
-452.384	-576.917	4.476	347.559	181.837	82.998	25.386
-449.592	-568.316	4.506	337.494	182.157	79.103	25.155
-446.005	-563.206	4.534	327.577	182.399	77.827	24.735
-440.763	-553.941	4.563	318.552	181.472	74.592	24.579
-436.519	-545.280	4.589	310.281	184.085	71.790	24.346
-432.756	-540.770	4.615	301.803	186.287	69.161	23.726
-430.619	-533.945	4.640	294.085	187.848	67.267	23.915
-426.858	-529.518	4.660	286.696	183.354	65.870	23.360
-422.664	-522.750	4.689	279.581	187.612	62.591	23.669
-419.954	-517.891	4.712	274.442	186.948	62.752	23.410
-415.644	-511.285	4.733	266.518	187.639	58.912	22.908
-414.941	-506.811	4.755	260.389	188.571	57.135	22.298
-410.611	-501.941	4.774	254.819	191.516	55.956	22.512
-408.807	-496.886	4.798	248.595	193.208	55.132	22.570
-405.834	-494.003	4.816	245.098	193.307	54.511	22.796
-401.707	-487.415	4.833	238.121	191.559	51.491	22.038
-398.579	-482.707	4.849	232.956	193.394	49.685	21.764
-397.661	-480.377	4.868	227.484	194.208	48.882	22.048
-396.204	-476.104	4.883	223.725	199.313	48.209	21.519
-394.084	-471.923	4.901	217.368	198.785	44.725	21.239
-390.559	-468.042	4.916	215.130	202.070	45.604	21.422
-389.470	-467.003	4.928	211.241	200.192	44.060	21.276
-386.555	-461.196	4.942	205.560	202.635	41.399	20.720
-384.637	-458.166	4.953	202.205	205.465	41.830	21.338
-383.076	-455.730	4.964	198.352	207.784	40.320	20.859
-380.833	-453.732	4.977	195.793	208.896	40.658	20.522
-378.518	-450.026	4.985	191.893	210.743	39.468	20.966
-378.309	-448.098	4.996	187.693	210.517	37.659	20.042
-376.495	-445.231	5.008	186.416	214.194	37.139	20.416
-374.854	-442.848	5.012	181.790	214.180	36.559	20.011
-371.944	-439.764	5.019	179.360	217.037	35.030	19.966
-370.118	-436.904	5.026	177.464	217.066	35.644	20.314
-368.557	-433.935	5.035	174.630	218.322	34.500	20.109
-367.874	-431.471	5.041	172.177	220.746	33.190	19.965
-365.574	-430.192	5.049	169.832	224.173	33.379	20.006
-363.843	-427.289	5.054	166.887	225.288	30.994	19.516
-363.465	-427.176	5.057	165.118	225.795	32.371	19.511
-361.104	-424.008	5.062	162.252	227.953	30.694	19.182
-361.777	-423.538	5.067	161.070	232.923	30.988	19.585
-359.550	-421.332	5.077	159.086	234.968	30.994	19.352
-358.289	-419.178	5.079	157.913	235.186	29.504	19.171
-357.074	-418.006	5.081	156.044	236.843	29.194	19.043
-356.481	-416.737	5.084	154.437	235.486	28.352	18.830
-356.133	-416.097	5.090	153.294	238.155	28.284	18.802
-354.194	-413.301	5.093	151.985	244.092	28.089	18.859
-353.868	-412.270	5.096	149.935	246.999	27.636	18.944
-352.987	-411.766	5.099	150.205	246.415	28.167	19.227
-351.916	-409.957	5.102	147.875	249.038	26.708	18.839
-352.229	-410.291	5.101	148.131	253.747	27.205	18.648
-351.337	-409.044	5.108	146.519	251.740	26.872	18.588
-349.906	-407.449	5.108	145.353	256.334	26.440	18.590
-350.192	-406.899	5.110	144.546	254.924	26.418	18.869
-348.408	-405.309	5.112	142.583	254.817	25.768	18.685
-347.957	-404.935	5.115	143.406	259.155	25.815	18.495
-347.420	-403.871	5.117	142.651	263.606	26.174	18.789
-346.810	-403.157	5.120	142.102	265.734	25.569	18.940
-346.636	-403.345	5.120	140.639	265.744	25.569	18.303
-346.343	-401.893	5.125	139.977	268.712	24.579	18.243
-346.295	-401.889	5.124	139.286	270.888	24.659	18.165
-345.320	-400.457	5.127	138.217	267.041	25.108	18.665
-345.468	-400.692	5.128	139.449	269.337	25.515	18.696
-344.264	-399.344	5.126	137.708	271.824	25.488	18.501
-344.474	-399.313	5.130	137.929	273.640	24.796	18.535
-343.066	-397.925	5.134	136.553	273.399	24.314	18.306
-343.222	-398.621	5.132	136.761	270.979	24.997	18.656
-343.259	-398.168	5.135	136.188	271.938	24.710	18.550
-342.750	-397.281	5.134	135.833	275.559	25.351	18.622
-342.919	-396.757	5.136	135.109	274.273	23.869	18.149
-342.148	-396.574	5.136	134.814	275.595	24.596	18.446
-341.454	-395.630	5.141	134.653	278.056	24.320	18.798
-341.511	-394.966	5.139	133.492	273.145	24.580	18.200
-341.082	-394.447	5.143	133.459	281.836	23.389	18.057
-340.312	-393.615	5.143	131.446	277.007	22.588	17.578
-339.765	-392.647	5.146	131.849	279.056	22.838	17.843
-339.723	-392.994	5.144	132.337	280.465	23.349	18.414
-338.763	-391.779	5.145	130.595	282.576	22.536	18.020
-339.327	-391.953	5.148	132.006	287.399	22.667	18.030
-338.880	-391.825	5.148	130.586	283.542	23.190	17.914
-338.306	-390.889	5.152	129.896	284.758	22.457	18.070
-337.122	-389.703	5.151	128.677	280.647	22.524	17.939
-337.567	-389.758	5.154	128.918	287.505	22.510	17.665
-336.788	-388.467	5.155	128.974	290.918	21.365	17.514
-336.823	-388.887	5.157	127.728	287.061	22.441	17.894
-337.101	-388.930	5.156	128.068	287.093	22.465	17.572
-336.413	-387.618	5.158	126.701	290.450	21.604	17.419
-335.952	-387.174	5.158	126.944	293.675	21.734	17.514
-336.637	-387.788	5.161	127.588	296.506	21.740	17.326
-335.508	-386.686	5.160	126.291	295.893	21.935	17.933
-335.103	-386.232	5.162	125.728	299.216	21.617	17.303
-334.156	-384.304	5.164	124.844	298.227	21.397	17.807
-335.244	-386.005	5.165	126.143	303.258	21.832	17.564
-334.472	-384.849	5.165	124.831	303.946	20.767	17.090
-334.135	-384.480	5.166	124.783	299.867	22.087	18.036
-333.366	-383.381	5.168	124.427	303.393	21.115	17.799
-333.771	-383.216	5.167	124.249	302.494	21.087	17.440
-333.073	-383.189	5.168	123.490	304.110	21.041	17.353
-331.774	-381.756	5.169	123.286	309.235	20.718	17.591
-332.705	-382.218	5.169	123.580	307.912	21.219	17.165
-333.159	-382.128	5.172	122.777	308.547	20.403	16.885
-332.197	-381.569	5.172	123.043	309.685	21.155	17.488
-331.509	-380.390	5.175	122.413	307.144	20.777	17.620
-331.748	-380.767	5.174	122.286	311.969	20.519	16.987
-332.098	-380.818	5.176	122.730	311.462	20.720	16.980
-331.168	-379.501	5.176	121.138	308.619	19.759	16.765
-330.874	-379.316	5.179	120.953	311.970	19.574	16.712
-330.427	-378.668	5.178	121.337	311.375	20.156	17.246
-330.511	-378.543	5.179	121.220	311.181	19.887	17.117
-329.554	-378.073	5.180	121.051	311.021	20.214	17.045
-329.978	-377.565	5.181	120.903	311.368	20.629	17.491
-328.794	-376.529	5.180	119.853	313.513	20.252	17.518
-329.807	-377.511	5.184	120.962	311.987	19.543	17.120
-329.311	-377.702	5.184	121.003	314.228	20.628	17.428
-328.930	-376.356	5.183	119.411	309.460	20.273	17.376
-329.321	-376.540	5.185	119.733	308.290	19.487	17.253
-328.728	-376.662	5.184	119.643	312.356	20.169	17.477
-327.874	-375.787	5.183	119.428	313.142	19.683	16.948
-327.968	-375.441	5.184	118.258	308.469	19.729	16.733
-328.406	-376.405	5.184	119.771	314.266	20.121	17.312
-327.770	-375.110	5.184	117.950	308.216	20.250	17.112
-327.528	-374.459	5.184	118.279	311.984	19.727	16.889
-327.095	-374.952	5.185	117.996	309.722	20.891	17.057
-327.442	-374.148	5.188	117.787	311.214	19.655	16.813
-326.854	-373.333	5.188	116.967	308.900	19.259	17.231
-326.539	-373.014	5.187	117.020	310.182	19.533	16.860
-326.225	-372.949	5.188	116.128	310.706	19.226	16.714
-326.220	-372.814	5.188	117.035	307.505	19.302	17.088
-325.703	-372.696	5.189	116.980	307.954	19.885	17.055
-325.828	-372.306	5.189	115.569	304.392	19.266	16.850
-325.912	-372.318	5.190	116.198	301.764	20.107	17.176
-325.851	-372.596	5.190	116.541	305.211	19.936	17.138
-325.137	-371.935	5.191	115.466	301.921	19.760	16.423
-325.082	-371.746	5.189	115.563	299.517	19.612	17.085
-324.072	-370.732	5.191	115.262	304.239	20.192	16.906
-323.609	-370.062	5.192	114.141	304.165	19.278	16.521
-324.774	-371.046	5.189	114.843	301.703	19.504	16.806
-324.133	-370.731	5.190	115.512	299.456	20.000	17.338
-324.429	-370.176	5.190	114.155	299.815	19.982	17.300
-324.035	-370.159	5.192	114.208	298.739	20.392	17.070
