EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-981.423	-1590.955	2.999	1769.567	177.893	500.075	45.421
-947.756	-1538.164	3.031	1692.429	175.608	483.855	44.497
-917.761	-1478.933	3.085	1609.181	173.045	460.950	43.365
-889.566	-1427.828	3.142	1529.401	170.758	439.193	42.372
-866.008	-1371.767	3.175	1445.793	168.085	418.002	41.316
-836.022	-1322.969	3.229	1367.815	165.567	397.510	40.256
-812.209	-1273.764	3.285	1293.376	163.019	374.646	39.178
-788.301	-1224.375	3.350	1224.148	160.485	353.428	38.042
-761.089	-1175.795	3.408	1153.044	157.628	332.264	36.998
-739.868	-1128.449	3.479	1088.461	155.521	309.607	35.898
-717.400	-1086.296	3.534	1030.160	153.199	291.970	34.824
-697.388	-1047.807	3.614	973.837	151.187	272.434	33.890
-679.648	-1013.275	3.683	919.611	149.286	254.254	33.025
-661.609	-973.738	3.749	869.706	147.370	237.301	32.119
-644.087	-938.654	3.816	821.576	146.332	219.577	31.459
-630.421	-912.680	3.874	779.537	144.727	208.271	30.947
-616.432	-880.066	3.933	737.798	144.547	193.415	30.253
-602.950	-851.901	3.995	700.602	144.013	180.105	29.892
-590.476	-823.607	4.071	664.785	144.104	170.262	29.298
-574.570	-799.517	4.117	631.667	145.313	160.437	29.112
-559.852	-776.790	4.172	600.129	144.600	150.678	29.071
-551.778	-754.073	4.207	574.769	145.770	142.537	28.715
-540.802	-731.976	4.265	547.771	146.910	135.249	28.718
-530.055	-714.807	4.313	522.615	148.089	129.710	28.740
-522.287	-695.145	4.346	499.589	147.096	120.756	28.480
-513.443	-680.942	4.404	478.367	148.597	116.710	28.610
-503.556	-664.322	4.405	459.017	149.419	109.525	28.140
-495.315	-650.141	4.469	441.160	148.925	105.735	28.169
-487.690	-636.433	4.486	424.391	150.901	102.007	27.924
-480.995	-625.911	4.514	408.656	150.785	99.034	28.129
-472.044	-611.981	4.549	392.749	151.221	94.638	27.856
-466.353	-600.015	4.591	378.573	151.211	89.827	27.506
-460.139	-590.391	4.616	364.248	150.724	86.177	27.273
-454.252	-580.868	4.649	352.809	151.564	84.583	27.174
-449.541	-572.249	4.667	341.412	151.008	81.886	26.621
-442.803	-561.408	4.682	330.043	150.841	78.935	26.463
-437.470	-552.934	4.704	318.915	152.786	75.281	26.253
-434.397	-545.075	4.748	308.633	151.949	73.033	25.942
-428.686	-536.887	4.769	299.007	151.645	70.017	25.295
-426.936	-531.938	4.777	290.365	150.162	67.928	25.071
-419.937	-521.878	4.821	281.239	152.149	64.877	24.540
-414.454	-514.660	4.857	273.219	152.936	63.602	24.539
-412.415	-509.939	4.867	265.486	154.632	60.882	23.673
-410.002	-506.013	4.887	258.484	154.878	59.950	23.491
-406.131	-498.719	4.919	250.978	155.427	57.079	23.506
-403.796	-493.777	4.919	245.805	156.062	55.792	22.799
-398.774	-487.932	4.955	238.255	157.156	53.899	22.606
-396.294	-482.213	4.977	232.367	157.204	51.741	21.983
-394.785	-479.807	4.999	228.490	160.413	51.805	22.547
-390.916	-474.654	5.015	223.376	162.474	49.814	21.909
-388.562	-470.227	5.036	218.109	164.254	48.633	21.947
-385.083	-465.197	5.064	213.826	165.717	46.901	21.143
-383.670	-462.629	5.081	209.336	166.857	45.105	20.736
-381.889	-459.785	5.087	205.208	168.547	45.009	20.705
-379.979	-456.180	5.104	201.399	172.638	43.251	20.776
-377.181	-452.669	5.134	198.161	175.043	42.904	20.642
-376.281	-449.525	5.151	193.992	177.530	41.344	20.300
-374.509	-447.030	5.171	190.612	181.545	39.993	20.319
-373.992	-445.484	5.173	188.106	182.429	40.035	19.996
-369.799	-441.008	5.194	185.642	186.433	39.211	19.966
-370.451	-439.489	5.215	183.620	189.959	38.582	20.089
-367.629	-435.960	5.237	180.385	193.266	36.448	19.773
-366.585	-434.296	5.235	178.402	195.176	37.316	19.790
-366.219	-433.015	5.255	175.517	200.596	36.119	20.189
-364.420	-430.283	5.265	173.907	201.385	35.645	19.692
-363.347	-427.569	5.283	171.387	207.291	34.351	19.467
-361.483	-426.540	5.283	169.274	207.977	34.633	19.494
-360.640	-424.287	5.302	168.496	212.938	33.959	19.518
-359.835	-424.191	5.304	166.272	216.567	33.454	18.909
-358.873	-421.603	5.318	164.903	220.787	33.396	19.461
-358.675	-420.780	5.320	163.302	222.851	32.679	19.174
-356.996	-417.615	5.337	161.638	224.960	31.886	19.083
-355.933	-417.450	5.350	160.404	229.594	32.086	19.663
-355.124	-415.728	5.350	159.226	231.786	30.887	19.260
-354.028	-413.992	5.351	158.145	237.862	30.489	19.144
-354.159	-413.359	5.356	156.586	238.846	29.770	18.928
