EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-699.168	-1093.916	3.022	1029.180	207.951	342.754	43.980
-685.174	-1059.628	3.076	978.145	206.994	320.312	42.462
-670.594	-1029.144	3.135	930.136	205.826	302.097	41.034
-654.231	-993.904	3.194	884.660	204.927	283.687	39.758
-640.509	-964.402	3.255	841.435	204.064	264.357	38.290
-629.102	-938.726	3.320	803.157	203.565	246.682	37.012
-612.576	-910.066	3.381	762.700	203.007	230.820	35.732
-606.660	-889.431	3.452	728.341	202.915	214.222	34.494
-595.389	-864.394	3.518	695.030	202.595	200.050	33.230
-583.956	-842.384	3.590	663.126	203.387	186.106	32.098
-574.299	-819.972	3.654	636.368	204.121	176.002	31.051
-569.512	-804.168	3.726	609.733	204.598	164.892	30.255
-560.405	-784.688	3.797	585.559	206.665	154.321	29.145
-552.687	-767.576	3.864	563.497	208.309	144.505	28.538
-546.382	-755.302	3.928	543.693	210.468	136.753	28.084
-539.410	-737.858	3.987	524.831	213.831	129.065	27.476
-534.851	-724.799	4.047	505.866	215.565	122.395	26.918
-527.255	-712.102	4.100	491.115	218.815	118.181	26.677
-520.225	-698.554	4.154	475.279	223.215	111.366	26.273
-517.137	-688.103	4.203	462.275	227.908	106.738	25.947
-512.379	-679.118	4.246	449.292	231.933	101.891	25.913
-506.590	-668.007	4.288	437.332	235.627	97.876	25.728
-505.229	-662.504	4.331	427.599	238.920	95.108	25.680
-497.362	-652.753	4.365	418.519	244.889	92.707	25.880
-493.586	-643.122	4.403	409.139	252.332	89.939	25.451
-488.307	-634.392	4.440	400.770	254.755	88.355	25.704
-489.981	-632.485	4.465	393.540	258.025	85.491	25.419
-484.641	-624.885	4.498	385.244	262.496	83.184	25.633
-479.556	-615.151	4.523	378.020	270.360	80.617	25.592
-476.062	-609.684	4.551	371.843	271.584	79.814	25.504
-474.948	-606.757	4.577	365.126	280.109	77.584	25.303
-471.966	-598.090	4.599	359.039	285.849	75.478	25.608
-468.175	-595.204	4.630	354.281	292.384	74.999	25.593
-465.751	-591.335	4.649	348.309	297.036	72.337	25.300
-464.141	-585.292	4.667	344.765	300.866	71.734	25.104
-462.902	-582.337	4.692	339.496	305.735	71.058	25.201
-460.980	-578.513	4.718	336.971	311.272	69.059	24.942
-458.695	-573.289	4.739	329.363	315.201	66.808	24.445
-455.398	-570.665	4.755	326.352	321.547	66.221	24.554
-455.286	-567.339	4.777	321.597	322.756	64.693	24.504
-452.428	-564.503	4.793	318.343	329.906	64.854	24.613
-450.139	-560.274	4.819	315.384	331.337	63.345	24.348
-448.469	-557.368	4.835	311.694	341.134	61.785	24.328
-447.316	-553.090	4.852	309.382	347.364	62.656	24.420
-445.356	-551.923	4.867	307.321	351.392	61.255	24.184
-445.020	-550.914	4.887	305.568	360.797	60.260	24.152
-443.762	-546.940	4.906	301.667	360.753	58.769	24.008
-439.693	-542.538	4.922	298.928	371.226	58.296	24.154
-440.619	-542.296	4.940	296.214	370.880	59.202	24.375
-439.707	-539.466	4.963	293.367	377.767	56.789	23.984
-438.601	-537.613	4.975	292.053	381.595	56.112	23.609
-438.278	-536.705	4.993	290.502	386.646	55.551	23.642
-437.580	-535.063	5.007	287.039	392.397	55.236	23.604
-437.159	-533.938	5.024	287.068	399.957	55.740	23.899
-432.935	-531.297	5.032	285.591	401.879	56.025	23.962
-433.484	-528.125	5.051	283.160	404.561	54.305	24.045
-433.444	-528.755	5.064	283.186	417.539	53.956	23.809
-431.041	-526.466	5.075	281.147	421.336	54.289	24.018
-432.470	-525.176	5.089	279.011	424.403	52.468	23.871
-430.180	-522.898	5.099	278.082	437.710	51.693	24.002
-430.181	-522.882	5.110	277.819	435.196	52.538	24.164
-429.960	-521.685	5.123	275.052	444.661	51.477	24.028
-429.036	-520.480	5.130	273.230	449.695	51.117	23.567
-429.554	-519.265	5.144	273.581	454.307	50.961	23.873
-428.506	-518.044	5.151	273.863	458.968	51.852	24.329
-427.151	-515.999	5.164	270.480	463.756	49.758	24.030
-427.006	-515.961	5.171	271.310	470.388	50.482	24.301
-426.023	-514.687	5.178	269.913	475.341	49.700	24.339
-424.284	-513.473	5.183	268.860	480.152	49.789	24.373
-425.084	-513.036	5.199	268.206	479.919	49.580	24.439
-424.210	-510.365	5.205	266.755	487.867	48.624	24.484
-424.705	-511.630	5.208	265.828	494.546	48.776	24.559
-423.978	-510.289	5.220	265.430	493.421	48.713	24.577
-423.741	-509.764	5.229	265.023	501.304	47.379	24.467
-424.699	-509.984	5.234	265.529	507.443	48.118	24.425
-422.702	-506.723	5.237	262.335	502.223	47.201	24.815
-421.395	-507.488	5.250	264.200	510.539	48.967	24.924
-421.998	-507.247	5.256	262.429	512.552	46.972	24.823
-424.270	-508.789	5.258	265.330	515.980	48.607	24.869
-422.103	-506.967	5.268	263.934	522.256	48.246	25.285
-420.095	-504.458	5.272	261.703	526.338	47.220	25.026
-420.918	-504.869	5.275	261.641	533.402	45.730	24.953
-420.039	-503.028	5.285	261.500	533.864	47.395	25.245
-419.980	-503.126	5.284	261.633	537.128	47.267	25.297
-418.658	-501.596	5.295	261.463	538.618	46.804	25.720
-420.223	-503.625	5.301	261.722	539.039	47.510	25.438
-420.839	-503.391	5.301	260.728	544.529	46.688	25.830
-419.301	-501.264	5.306	259.249	552.946	45.703	24.959
-419.859	-501.815	5.311	259.948	549.117	46.367	25.501
-420.302	-502.670	5.320	259.585	550.608	46.395	25.073
-418.709	-501.619	5.323	259.333	549.202	46.799	26.012
-419.095	-499.893	5.324	259.658	561.706	46.845	25.959
-418.445	-500.210	5.331	258.747	564.964	45.309	26.025
-420.077	-500.716	5.333	258.263	558.603	45.181	25.957
-419.394	-499.911	5.338	258.157	571.932	46.146	26.252
-419.432	-499.654	5.340	257.200	567.057	44.984	25.627
-419.213	-499.870	5.347	258.444	568.658	45.668	25.472
-417.183	-497.980	5.347	258.088	570.567	45.823	26.390
-418.557	-498.251	5.350	257.168	568.434	45.672	26.223
-416.351	-496.123	5.355	257.009	575.799	45.619	26.866
-417.977	-497.498	5.361	258.612	581.626	46.169	26.679
-417.813	-498.744	5.365	257.804	579.600	45.847	27.484
-417.061	-496.354	5.367	257.288	577.257	45.792	26.466
-417.034	-496.455	5.370	256.362	579.243	45.174	26.608
-416.568	-495.288	5.372	255.750	584.208	45.428	26.850
-417.307	-495.389	5.377	255.858	589.745	44.571	27.291
-416.060	-495.009	5.381	256.011	591.087	45.397	27.259
-417.132	-495.946	5.385	257.150	592.458	45.253	27.752
-418.841	-497.528	5.384	256.707	587.563	45.234	27.094
-417.154	-496.208	5.385	255.936	591.277	45.087	27.274
-414.932	-493.978	5.391	255.699	595.100	44.981	27.421
-416.964	-495.660	5.392	255.210	592.198	45.883	27.589
-416.243	-494.538	5.397	254.920	595.780	45.016	27.377
-415.402	-494.447	5.400	256.492	590.918	45.348	27.694
-417.600	-495.534	5.399	256.860	594.858	45.222	27.670
-416.749	-494.799	5.403	255.705	605.345	45.759	27.116
-414.458	-493.403	5.407	256.355	602.331	45.511	28.263
-415.116	-492.878	5.407	255.032	600.998	44.377	27.513
-414.811	-492.542	5.407	255.417	600.678	43.724	27.481
-414.528	-493.335	5.414	257.096	606.728	44.945	28.212
-414.761	-491.562	5.415	254.417	600.853	43.921	28.357
-414.911	-492.282	5.414	254.366	602.807	43.491	27.736
-414.130	-491.360	5.421	254.271	606.873	44.460	28.446
-414.857	-492.724	5.420	252.704	599.803	44.581	27.565
-414.535	-491.864	5.422	254.013	604.604	44.352	28.486
-414.894	-492.691	5.427	254.897	607.160	44.497	28.534
-414.260	-490.721	5.424	253.059	605.901	42.768	27.793
-414.170	-492.147	5.428	253.525	601.083	45.081	28.413
-413.657	-491.686	5.433	255.244	605.099	45.130	29.045
-415.430	-492.886	5.430	255.215	608.012	45.146	29.139
-414.993	-492.564	5.431	252.493	600.975	44.259	29.144
-413.719	-490.063	5.434	251.224	604.231	42.008	28.074
-413.598	-489.435	5.434	252.712	600.690	42.746	28.340
-412.142	-488.525	5.436	251.562	604.991	43.120	29.365
-412.292	-489.507	5.441	251.732	601.050	43.560	29.016
-412.582	-490.095	5.440	251.890	604.388	43.945	29.236
-413.223	-490.031	5.440	253.840	605.320	44.544	29.592
-414.080	-491.080	5.442	251.709	602.487	43.955	29.902
-416.025	-492.831	5.445	252.459	605.301	43.717	28.924
-413.827	-490.640	5.446	252.576	608.930	44.506	30.188
-412.710	-489.207	5.449	251.977	603.245	44.544	29.911
-414.375	-491.056	5.449	252.555	606.075	43.737	29.628
-410.705	-487.620	5.451	251.088	612.918	42.787	29.690
-413.350	-489.738	5.454	251.823	604.118	43.707	29.403
-413.032	-489.161	5.452	252.117	604.530	44.262	29.838
-409.914	-485.870	5.453	249.964	605.455	43.176	30.385
-412.765	-489.123	5.453	252.308	609.789	44.661	30.138
-412.534	-488.976	5.455	251.192	606.846	43.166	30.184
-411.741	-487.800	5.460	250.176	603.313	42.607	29.909
-414.261	-490.240	5.459	250.981	606.997	43.091	30.152
-413.344	-489.927	5.457	252.553	605.779	44.460	31.345
