EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-533.024	-804.903	3.261	665.656	154.530	250.226	38.048
-522.887	-781.010	3.318	627.583	152.534	232.569	36.881
-512.186	-758.795	3.375	595.116	150.666	216.131	35.509
-506.839	-739.733	3.426	562.742	148.481	200.972	34.303
-498.137	-718.415	3.486	533.316	146.876	186.018	33.064
-490.284	-700.698	3.543	506.232	144.716	172.880	31.905
-483.844	-683.808	3.607	479.312	143.161	160.198	30.733
-476.023	-664.452	3.675	453.619	142.020	145.799	29.268
-468.982	-648.331	3.748	428.820	140.500	134.567	28.020
-463.609	-632.686	3.819	406.570	138.571	122.760	26.756
-458.247	-619.509	3.891	387.179	138.175	113.071	25.696
-452.797	-606.574	3.959	369.419	137.460	104.739	24.634
-447.389	-592.185	4.039	350.628	136.747	96.332	23.760
-443.374	-581.807	4.108	336.073	136.468	88.702	22.767
-438.849	-570.983	4.177	320.063	135.961	81.387	21.990
-435.534	-561.991	4.247	308.422	137.093	75.723	21.108
-432.667	-553.036	4.307	297.659	137.338	71.116	20.576
-427.921	-543.823	4.374	285.374	138.801	65.668	19.993
-422.202	-534.771	4.430	275.036	139.812	61.847	19.616
-421.479	-528.928	4.479	266.710	141.323	58.997	19.322
-416.943	-521.600	4.527	259.650	143.618	56.137	19.160
-414.453	-515.415	4.574	250.838	144.997	52.851	18.705
-410.635	-508.967	4.610	243.886	147.883	50.327	18.651
-406.522	-503.222	4.647	237.373	150.405	49.699	18.683
-404.082	-497.998	4.682	232.158	152.324	47.587	18.490
-402.014	-493.814	4.717	227.100	154.989	45.464	18.269
-399.973	-488.570	4.744	220.104	157.704	43.680	18.060
-396.132	-483.673	4.772	214.918	157.841	42.745	18.206
-393.228	-479.587	4.797	209.881	160.301	41.500	18.179
-389.555	-473.921	4.824	205.274	160.461	39.530	17.828
-387.781	-470.008	4.848	200.887	163.866	38.850	17.793
-385.668	-464.985	4.866	196.148	163.798	37.283	17.563
-382.591	-461.409	4.891	192.136	164.845	36.701	17.558
-380.037	-457.420	4.915	188.860	165.193	36.041	17.632
-377.539	-453.895	4.933	184.804	170.899	35.141	17.433
-375.909	-451.467	4.960	181.536	172.303	34.488	17.351
-374.240	-447.692	4.974	178.614	175.545	33.729	17.210
-371.930	-445.276	4.993	174.225	173.670	32.166	16.868
-370.452	-441.997	5.012	171.865	176.677	31.787	16.980
-367.735	-438.214	5.033	168.760	179.375	31.241	16.753
-366.253	-436.186	5.049	166.237	183.452	31.520	16.845
-365.262	-434.134	5.070	164.120	186.037	30.225	16.597
-362.494	-430.798	5.086	160.933	187.693	30.138	16.734
-362.536	-430.079	5.104	159.645	186.878	28.949	16.268
-359.755	-426.420	5.125	156.601	189.075	28.980	16.456
-357.953	-423.836	5.136	154.932	196.585	28.735	16.313
-357.550	-422.171	5.153	152.601	196.421	27.286	15.930
-355.962	-420.761	5.168	151.558	198.934	27.592	16.217
-353.956	-418.024	5.187	148.885	201.727	27.208	16.158
-352.981	-415.951	5.199	147.096	206.637	26.065	15.877
-351.208	-413.474	5.215	144.932	206.666	26.082	15.939
-351.685	-413.838	5.223	143.263	208.899	26.157	15.586
-349.537	-410.957	5.237	143.011	214.722	26.304	15.802
-348.970	-409.992	5.247	141.618	218.567	25.556	16.055
-348.146	-408.175	5.263	139.996	220.276	24.590	15.711
-346.487	-406.123	5.274	139.165	221.673	24.960	15.924
-347.818	-406.736	5.283	138.377	226.252	24.224	15.583
-345.687	-404.589	5.291	138.055	232.894	24.356	16.015
-346.541	-404.965	5.301	135.927	230.160	24.041	15.643
-345.047	-403.372	5.309	136.049	235.891	24.249	15.900
-343.935	-402.083	5.314	135.017	238.149	23.932	15.707
-344.123	-400.580	5.322	134.026	244.188	23.142	15.635
-343.649	-400.778	5.329	134.208	243.598	23.220	15.812
-343.027	-399.984	5.334	133.283	248.449	23.125	15.783
-342.275	-398.718	5.343	131.605	245.737	22.240	15.604
-341.953	-398.368	5.345	132.935	253.147	23.135	15.824
-342.800	-398.644	5.350	132.277	252.045	23.418	15.760
-341.531	-397.198	5.355	132.138	256.963	23.070	15.730
-341.536	-397.076	5.357	131.851	263.135	22.783	15.691
-341.056	-396.725	5.364	132.135	259.889	22.829	15.994
-340.843	-395.696	5.368	130.297	261.068	21.991	15.679
-340.059	-395.221	5.375	130.550	263.083	22.979	15.918
-340.074	-395.026	5.377	129.585	266.019	22.000	15.689
-340.191	-394.607	5.383	130.457	268.510	22.117	15.733
-339.343	-393.913	5.385	129.993	266.459	22.396	15.800
-339.437	-393.435	5.388	129.258	269.148	22.116	15.959
-338.345	-392.624	5.390	129.122	274.415	22.095	15.829
-338.473	-392.194	5.396	128.079	271.643	21.455	15.718
-338.358	-392.108	5.400	128.346	274.786	21.427	15.810
-338.137	-391.910	5.398	128.604	272.829	21.102	15.457
-338.377	-391.871	5.403	128.507	274.131	21.450	15.782
-337.882	-390.865	5.407	128.616	274.342	21.228	15.752
-338.117	-391.375	5.408	128.375	274.987	21.986	16.324
-338.577	-392.066	5.411	128.467	277.162	21.799	15.844
-337.419	-390.997	5.412	128.409	281.043	21.374	15.879
-337.690	-390.816	5.418	127.667	276.094	21.272	15.750
-338.218	-390.870	5.420	128.202	280.382	20.686	15.696
-337.428	-390.337	5.421	128.026	284.994	21.233	15.929
-336.791	-389.393	5.424	126.881	277.964	21.222	16.060
-336.603	-389.410	5.424	128.621	281.132	20.809	16.197
-337.752	-390.250	5.429	128.314	283.479	21.237	16.041
-337.240	-389.662	5.432	127.945	278.269	21.339	15.801
-337.047	-389.397	5.432	128.331	282.106	20.575	15.756
-337.180	-389.252	5.436	127.410	283.015	20.927	15.939
-337.271	-389.240	5.437	127.193	278.091	21.449	16.237
-337.003	-388.803	5.441	127.049	280.489	20.841	15.874
-336.775	-388.813	5.439	127.291	282.863	20.663	15.825
-336.973	-389.414	5.442	128.063	286.264	20.985	16.378
-336.602	-388.333	5.445	127.493	283.879	20.817	16.108
-337.591	-389.340	5.446	127.393	283.124	20.811	16.471
-336.393	-387.826	5.449	126.508	279.613	20.322	15.757
-336.098	-387.797	5.450	126.840	281.411	20.432	16.106
-336.880	-388.420	5.451	128.145	279.829	20.901	16.022
-335.909	-387.293	5.455	126.037	280.645	20.213	16.228
-335.263	-386.938	5.453	126.549	280.153	20.479	16.111
-334.415	-386.296	5.455	125.790	277.959	20.448	15.934
-335.689	-387.560	5.456	127.116	282.799	20.847	16.191
-336.040	-387.451	5.458	127.594	286.090	20.338	16.155
-336.132	-387.247	5.458	127.081	282.991	20.102	16.131
-335.634	-387.399	5.462	127.187	276.919	20.777	16.332
-336.480	-387.249	5.461	126.292	281.100	20.120	16.283
-334.400	-385.847	5.465	125.907	277.877	19.734	16.304
-335.852	-387.166	5.466	126.425	280.351	19.746	15.978
-334.751	-386.489	5.467	126.759	280.709	20.335	16.705
-334.248	-386.002	5.468	127.048	281.059	20.623	16.647
-335.612	-386.414	5.470	125.890	277.082	20.744	16.379
-335.508	-386.640	5.470	126.922	278.898	20.284	16.662
-334.946	-386.257	5.470	126.158	279.869	20.534	16.476
-334.463	-385.461	5.472	125.265	278.814	20.283	16.384
-335.021	-385.664	5.472	124.963	279.305	20.008	16.401
-334.221	-385.130	5.475	125.514	277.614	20.780	16.641
-333.696	-384.295	5.475	125.607	274.678	19.920	16.582
-334.203	-384.967	5.477	126.513	277.943	20.359	16.638
-333.999	-384.575	5.475	125.235	279.376	20.428	16.588
-334.381	-385.002	5.475	124.870	276.326	20.093	16.841
-334.436	-384.929	5.481	124.320	279.588	19.479	16.699
-333.539	-384.333	5.481	124.489	274.805	20.801	16.834
-333.810	-384.768	5.483	125.757	274.089	20.438	16.803
-333.501	-384.279	5.483	126.178	271.395	20.679	17.013
-333.609	-384.114	5.483	125.379	271.112	19.897	16.397
-334.371	-384.541	5.486	125.289	270.977	19.602	16.390
-334.019	-384.354	5.483	125.371	271.701	20.766	16.900
-333.338	-383.794	5.487	125.407	273.928	19.698	16.673
-333.406	-383.990	5.487	125.511	271.010	20.986	17.230
-332.968	-382.846	5.489	124.419	270.873	20.028	16.680
-332.953	-383.334	5.489	124.210	274.255	19.758	16.638
-333.506	-384.045	5.488	124.651	267.971	20.050	16.653
-332.269	-382.486	5.492	124.331	277.124	20.525	17.322
-332.394	-382.758	5.491	124.211	273.663	19.904	16.493
-332.364	-382.870	5.490	125.333	273.929	20.248	16.940
