SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
13393.713	6302.468	-7497.438	1.215	1130.011	201.495	0.000	-0.000
10959.183	5203.762	-6163.640	1.217	938.021	199.964	0.000	-0.000
9137.110	4379.717	-5162.762	1.220	788.050	198.907	0.000	-0.000
7814.494	3817.742	-4405.618	1.227	666.871	199.211	0.000	-0.000
6742.078	3353.655	-3796.033	1.241	569.881	201.178	0.000	-0.000
5923.580	3004.624	-3330.532	1.252	490.715	204.296	0.000	-0.000
5250.435	2696.971	-2961.977	1.269	426.609	206.195	0.000	-0.000
4732.467	2469.796	-2673.611	1.287	374.554	211.975	0.000	-0.000
4309.627	2261.822	-2457.777	1.306	332.166	217.634	0.000	-0.000
3974.181	2103.369	-2282.754	1.328	297.294	225.896	0.000	-0.000
3689.424	1948.831	-2151.652	1.350	268.956	232.251	0.000	-0.000
3456.713	1805.229	-2058.920	1.371	245.564	241.941	0.000	-0.000
3249.216	1664.817	-1988.189	1.389	226.353	252.945	0.000	-0.000
3096.481	1567.770	-1938.836	1.405	210.623	264.642	0.000	-0.000
2969.981	1469.950	-1910.829	1.416	197.144	278.034	0.000	-0.000
2839.548	1352.457	-1894.131	1.431	185.985	289.874	0.000	-0.000
2728.684	1251.582	-1881.669	1.440	176.754	303.325	0.000	-0.000
2650.155	1176.731	-1881.677	1.451	168.886	315.321	0.000	-0.000
2575.824	1110.303	-1877.273	1.460	161.391	328.252	0.000	-0.000
2495.634	1022.777	-1879.834	1.469	154.605	337.513	0.000	-0.000
2440.156	970.366	-1877.154	1.478	148.309	346.985	0.000	-0.000
2373.659	910.995	-1868.622	1.489	142.438	354.582	0.000	-0.000
2299.273	837.924	-1868.029	1.500	136.688	364.808	0.000	-0.000
2276.146	815.374	-1868.485	1.510	131.315	370.115	0.000	-0.000
2223.829	764.634	-1865.752	1.516	126.772	378.722	0.000	-0.000
2188.386	735.970	-1863.215	1.532	123.342	387.042	0.000	-0.000
2146.249	679.985	-1871.769	1.541	119.780	395.545	0.000	-0.000
2123.266	651.592	-1876.623	1.552	117.234	409.389	0.000	-0.000
2113.320	636.355	-1887.086	1.553	115.000	413.320	0.000	-0.000
2084.369	598.148	-1897.783	1.563	113.256	422.328	0.000	-0.000
2069.495	583.278	-1897.562	1.567	111.857	433.525	0.000	-0.000
2053.081	568.779	-1894.992	1.572	110.833	443.154	0.000	-0.000
2027.598	543.759	-1891.583	1.575	109.961	453.563	0.000	-0.000
2034.935	557.826	-1884.448	1.576	109.502	463.430	0.000	-0.000
2020.099	546.309	-1879.281	1.577	109.045	473.608	0.000	-0.000
2013.603	529.962	-1888.917	1.572	108.794	489.221	0.000	-0.000
2024.839	537.981	-1891.532	1.574	109.140	498.395	0.000	-0.000
2014.060	516.730	-1903.535	1.572	109.068	508.732	0.000	-0.000
2011.492	526.858	-1894.440	1.568	109.205	517.523	0.000	-0.000
2028.679	532.887	-1906.871	1.566	109.031	522.191	0.000	-0.000
2024.086	526.547	-1907.148	1.566	108.831	528.235	0.000	-0.000
2010.017	507.470	-1909.131	1.564	108.819	535.113	0.000	-0.000
2023.332	521.018	-1913.748	1.563	108.799	539.457	0.000	-0.000
2012.503	507.201	-1913.129	1.562	108.721	544.895	0.000	-0.000
2013.797	510.072	-1910.443	1.563	108.426	546.744	0.000	-0.000
2026.754	520.625	-1914.037	1.560	108.341	547.758	0.000	-0.000
2006.230	503.387	-1908.401	1.564	108.165	555.618	0.000	-0.000
2013.476	511.478	-1910.210	1.563	108.074	554.848	0.000	-0.000
2017.524	508.481	-1919.157	1.562	107.872	557.718	0.000	-0.000
2011.748	515.089	-1907.553	1.564	107.917	559.198	0.000	-0.000
2027.187	519.645	-1915.065	1.558	107.699	564.183	0.000	-0.000
2021.699	508.028	-1921.863	1.561	107.503	560.391	0.000	-0.000
2006.512	503.070	-1907.736	1.562	107.255	561.038	0.000	-0.000
2014.332	517.060	-1905.800	1.561	106.923	565.255	0.000	-0.000
2006.922	508.451	-1905.639	1.562	106.907	565.547	0.000	-0.000
2010.774	514.119	-1905.951	1.564	106.677	564.935	0.000	-0.000
2005.644	501.599	-1906.667	1.563	106.490	566.349	0.000	-0.000
2011.870	520.466	-1901.297	1.566	106.420	564.897	0.000	-0.000
2009.854	520.938	-1898.475	1.564	106.227	565.685	0.000	-0.000
2013.826	528.836	-1894.990	1.563	106.285	568.605	0.000	-0.000
2012.744	538.012	-1883.937	1.566	106.034	564.263	0.000	-0.000
2017.560	529.423	-1899.400	1.565	105.798	566.096	0.000	-0.000
2011.270	526.946	-1893.059	1.564	105.347	564.122	0.000	-0.000
2019.632	539.405	-1891.276	1.567	105.512	565.226	0.000	-0.000
2006.246	524.877	-1888.422	1.567	105.313	567.140	0.000	-0.000
2002.535	525.147	-1887.494	1.567	104.940	566.501	0.000	-0.000
2015.527	537.917	-1885.819	1.566	104.797	564.992	0.000	-0.000
2008.195	529.884	-1887.307	1.570	104.647	559.636	0.000	-0.000
2019.670	547.146	-1881.344	1.568	104.068	561.034	0.000	-0.000
2006.376	538.068	-1876.116	1.567	104.378	556.136	0.000	-0.000
2010.294	542.443	-1874.925	1.571	104.101	562.652	0.000	-0.000
2009.245	544.245	-1874.685	1.572	103.960	563.163	0.000	-0.000
2008.926	542.920	-1871.247	1.569	103.486	555.841	0.000	-0.000
2006.357	546.016	-1865.716	1.569	103.261	559.045	0.000	-0.000
1999.951	552.136	-1857.773	1.574	103.346	558.043	0.000	-0.000
2009.541	561.349	-1856.241	1.570	102.898	558.444	0.000	-0.000
2013.877	565.694	-1855.960	1.571	102.923	554.257	0.000	-0.000
1991.650	549.079	-1848.022	1.575	102.866	554.360	0.000	-0.000
2006.699	568.672	-1843.466	1.575	102.685	558.574	0.000	-0.000
1988.142	553.466	-1840.749	1.575	102.491	555.159	0.000	-0.000
1991.245	563.001	-1834.056	1.570	102.419	551.119	0.000	-0.000
1996.005	573.218	-1831.257	1.578	102.062	552.927	0.000	-0.000
2003.064	591.925	-1823.498	1.571	101.666	551.089	0.000	-0.000
1988.891	580.818	-1813.560	1.575	101.566	556.915	0.000	-0.000
1982.543	585.655	-1805.945	1.574	100.981	553.373	0.000	-0.000
1982.115	586.172	-1808.407	1.575	100.924	557.366	0.000	-0.000
1984.036	595.505	-1795.859	1.572	100.665	553.213	0.000	-0.000
1965.738	593.463	-1778.429	1.576	100.253	553.367	0.000	-0.000
1980.639	613.222	-1781.212	1.574	99.902	549.726	0.000	-0.000
1954.346	601.516	-1762.790	1.579	99.159	547.295	0.000	-0.000
1944.185	596.569	-1756.822	1.580	98.881	549.770	0.000	-0.000
1957.947	614.973	-1749.331	1.580	98.543	549.108	0.000	-0.000
1939.011	611.299	-1734.501	1.584	97.509	539.439	0.000	-0.000
1932.718	611.147	-1727.323	1.585	97.217	538.951	0.000	-0.000
1942.228	627.216	-1722.623	1.584	96.733	535.630	0.000	-0.000
1924.018	624.886	-1711.718	1.582	95.811	536.190	0.000	-0.000
1918.256	628.961	-1699.607	1.584	95.104	530.760	0.000	-0.000
1903.881	621.729	-1688.195	1.588	94.252	526.482	0.000	-0.000
1890.658	623.625	-1674.621	1.587	93.680	525.458	0.000	-0.000
1899.890	642.899	-1666.918	1.592	93.109	516.361	0.000	-0.000
1875.887	634.735	-1649.568	1.590	92.290	515.788	0.000	-0.000
1867.136	626.261	-1649.122	1.594	91.654	507.431	0.000	-0.000
1848.864	630.814	-1625.101	1.596	91.092	502.095	0.000	-0.000
