SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
4934.680	-454.564	-5794.157	1.462	925.080	204.382	126.957	116.621
4733.295	-419.706	-5558.474	1.466	883.202	209.533	121.443	109.136
4531.756	-369.129	-5311.625	1.469	846.315	207.042	118.006	106.052
4351.998	-333.916	-5099.287	1.463	810.455	211.373	117.603	104.887
4179.925	-301.908	-4886.255	1.465	773.960	213.686	111.821	100.112
4015.907	-252.485	-4676.986	1.469	742.652	214.573	108.660	101.839
3866.208	-216.303	-4491.900	1.473	711.975	215.262	103.732	95.201
3720.849	-160.381	-4290.178	1.474	684.531	215.122	102.620	91.177
3580.876	-142.154	-4130.970	1.469	657.917	218.030	101.071	91.500
3455.957	-95.831	-3960.770	1.470	629.995	220.841	93.605	87.177
3349.579	-66.219	-3823.564	1.473	607.052	218.052	95.493	84.636
3265.777	-25.844	-3699.597	1.472	585.619	220.391	92.759	83.968
3187.412	17.414	-3577.540	1.469	564.172	220.606	90.466	82.321
3086.505	40.641	-3452.981	1.468	542.585	220.588	86.107	78.850
3011.685	62.419	-3357.715	1.472	524.451	221.579	87.226	75.759
2949.072	104.057	-3252.129	1.468	505.985	219.114	85.005	75.463
2854.794	114.964	-3145.997	1.464	490.148	217.796	81.274	71.918
2829.353	157.770	-3080.299	1.465	475.139	219.862	80.278	69.933
2749.088	165.272	-2991.848	1.464	460.728	218.919	77.706	69.287
2727.367	199.280	-2939.913	1.458	447.691	220.779	78.105	67.830
2659.820	209.923	-2858.939	1.464	433.806	219.894	74.739	65.229
2611.412	229.141	-2791.911	1.461	420.334	218.475	72.659	61.818
2551.897	229.873	-2729.312	1.462	408.458	218.640	72.555	61.086
2517.889	244.700	-2682.199	1.462	396.994	215.301	71.355	59.085
2479.462	260.303	-2626.930	1.457	386.048	219.146	69.441	57.496
2450.926	279.422	-2582.202	1.464	375.323	217.038	67.376	56.497
2408.102	279.945	-2536.603	1.464	365.134	218.909	65.585	54.282
2381.509	296.220	-2492.516	1.471	355.539	220.028	62.541	51.239
2350.171	308.478	-2447.695	1.468	347.200	221.796	62.457	51.877
2313.285	317.915	-2404.767	1.472	336.877	221.407	59.544	48.593
2292.427	330.679	-2371.130	1.471	328.933	221.487	59.762	49.327
2258.030	331.101	-2337.683	1.477	321.286	223.346	57.104	47.574
2231.509	336.395	-2303.723	1.480	314.131	226.909	56.111	47.233
2193.234	326.209	-2273.527	1.483	305.841	227.999	54.275	45.196
2175.883	336.317	-2247.268	1.489	299.099	230.828	52.959	43.868
2142.227	340.226	-2208.999	1.492	292.271	230.518	52.253	42.144
2118.652	328.844	-2198.850	1.500	286.811	232.590	49.674	41.429
