SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
791.424	-13101.371	-21807.031	1.213	1255.868	223.467	168.994	151.441
490.024	-10693.399	-16083.660	1.223	804.962	233.962	136.187	114.123
339.578	-9499.909	-13235.269	1.237	561.170	242.116	100.905	81.674
258.607	-8847.775	-11692.450	1.282	423.727	261.328	75.967	62.998
206.936	-8454.682	-10730.974	1.327	338.841	291.681	58.503	48.895
174.788	-8234.794	-10157.459	1.367	286.991	329.945	45.943	38.975
152.936	-8101.444	-9783.745	1.392	253.485	374.660	38.301	33.228
136.540	-8053.713	-9555.655	1.407	232.781	426.389	32.116	28.014
125.913	-8024.183	-9409.223	1.414	218.953	481.738	28.553	24.285
117.487	-8027.054	-9319.417	1.424	210.661	544.323	24.806	21.902
111.618	-8032.430	-9260.227	1.422	205.088	610.485	22.978	19.726
107.028	-8060.068	-9237.371	1.426	202.385	673.152	20.639	18.558
103.869	-8080.258	-9222.822	1.431	200.377	734.794	19.420	16.984
100.340	-8121.075	-9224.817	1.429	199.596	797.229	18.278	16.110
97.435	-8157.896	-9229.684	1.429	199.235	858.222	17.252	14.677
96.776	-8182.652	-9247.193	1.430	199.663	916.994	16.555	14.868
94.832	-8222.589	-9265.739	1.429	199.584	981.671	15.751	13.406
93.072	-8265.043	-9288.830	1.431	200.107	1028.208	15.034	13.428
91.782	-8299.815	-9309.415	1.433	200.718	1075.644	14.627	12.725
90.913	-8333.380	-9333.419	1.431	201.254	1128.655	13.827	12.151
89.593	-8371.501	-9357.023	1.432	200.699	1184.459	13.651	11.967
88.734	-8405.212	-9381.286	1.432	201.807	1237.937	13.376	11.523
87.865	-8440.219	-9406.734	1.434	202.265	1276.170	12.882	11.328
87.139	-8474.369	-9432.899	1.432	202.406	1315.666	12.875	10.806
86.240	-8506.417	-9455.060	1.431	202.192	1367.244	12.162	11.379
85.521	-8537.814	-9478.542	1.435	203.015	1395.818	12.156	10.580
84.618	-8572.822	-9503.617	1.434	202.791	1440.031	11.767	10.367
84.437	-8599.119	-9527.923	1.434	203.181	1478.730	11.626	10.536
83.437	-8636.392	-9554.203	1.436	203.886	1513.879	11.338	10.147
83.092	-8658.574	-9572.591	1.438	203.751	1565.511	11.289	9.765
82.599	-8678.330	-9586.922	1.437	203.731	1599.307	10.694	9.416
82.039	-8704.886	-9607.315	1.436	203.684	1628.461	10.635	9.298
81.394	-8728.662	-9623.998	1.436	204.295	1662.332	10.364	9.480
81.193	-8752.552	-9645.678	1.436	204.070	1697.041	10.313	9.330
80.592	-8774.745	-9661.260	1.438	203.907	1726.983	10.216	8.667
80.158	-8795.588	-9677.326	1.436	204.469	1757.009	10.041	8.577
79.414	-8811.768	-9685.319	1.438	204.603	1783.804	10.109	8.997
79.542	-8831.685	-9706.652	1.438	203.820	1817.290	9.810	8.357
78.512	-8851.896	-9715.531	1.440	204.259	1853.867	9.574	8.752
78.619	-8866.690	-9731.503	1.439	203.732	1878.977	9.097	8.063
78.396	-8876.789	-9739.143	1.439	203.904	1897.232	9.485	8.391
77.809	-8891.320	-9747.214	1.438	203.337	1925.849	9.144	8.036
77.540	-8905.442	-9758.383	1.440	203.390	1952.269	9.182	8.095
77.249	-8921.509	-9771.252	1.442	202.974	1960.486	9.053	7.697
76.815	-8933.163	-9778.131	1.443	202.392	1992.086	8.880	7.896
76.627	-8947.439	-9790.337	1.440	202.585	1980.820	8.902	7.571
76.121	-8953.094	-9790.427	1.442	200.476	1992.765	8.414	7.241
75.972	-8969.655	-9805.348	1.438	200.820	2005.069	8.524	7.750
75.664	-8984.851	-9817.158	1.438	199.560	2018.131	8.391	7.477
75.498	-8988.231	-9818.707	1.440	199.752	2039.184	8.465	7.732
75.124	-8996.829	-9823.195	1.442	198.110	2037.800	8.264	7.297
74.739	-9006.717	-9828.845	1.440	197.164	2041.728	8.093	7.248
74.543	-9008.676	-9828.648	1.444	195.970	2031.406	7.989	7.634
74.267	-9015.645	-9832.582	1.442	194.863	2037.619	8.082	7.063
73.561	-9023.645	-9832.821	1.446	194.413	2024.598	8.046	7.256
73.101	-9025.647	-9829.753	1.443	191.584	2002.751	7.622	6.790
73.173	-9032.413	-9837.312	1.449	191.272	1991.712	7.744	6.967
72.596	-9038.447	-9837.002	1.450	190.537	1975.076	7.985	6.954
71.998	-9041.501	-9833.482	1.447	187.634	1953.276	7.503	6.682
71.378	-9049.172	-9834.332	1.445	186.509	1931.920	7.292	6.594
71.666	-9048.946	-9837.276	1.447	185.005	1907.492	7.222	6.515
71.058	-9051.692	-9833.326	1.444	182.293	1885.274	7.050	6.353
71.242	-9051.455	-9835.117	1.450	182.107	1865.986	7.299	6.616
70.503	-9058.034	-9833.562	1.449	179.850	1845.946	7.052	6.548
70.489	-9064.474	-9839.857	1.450	179.069	1817.116	7.114	6.432
69.809	-9063.396	-9831.300	1.452	177.282	1802.126	7.076	6.703
69.553	-9070.181	-9835.259	1.455	175.704	1769.420	7.159	6.643
69.560	-9069.349	-9834.509	1.450	174.381	1767.243	6.790	6.080
68.989	-9069.533	-9828.410	1.451	171.609	1730.801	6.475	5.702
68.325	-9072.528	-9824.100	1.455	169.254	1702.874	6.426	6.446
67.697	-9072.962	-9817.632	1.457	167.769	1685.143	6.370	6.008
68.076	-9065.809	-9814.643	1.460	164.925	1643.497	6.174	5.579
67.410	-9062.202	-9803.708	1.457	163.197	1610.863	5.946	5.505
66.956	-9062.058	-9798.579	1.460	162.311	1604.148	5.926	5.450
67.346	-9058.081	-9798.892	1.462	162.194	1584.919	6.306	6.122
66.556	-9056.213	-9788.329	1.456	160.817	1565.771	6.141	5.970
66.334	-9051.127	-9780.799	1.464	159.857	1527.369	6.020	5.961
66.361	-9043.725	-9773.697	1.463	159.040	1529.083	5.959	5.449
65.866	-9035.045	-9759.574	1.467	158.054	1508.327	5.814	5.665
64.738	-9023.504	-9735.628	1.465	154.354	1481.239	5.469	5.015
65.223	-9013.878	-9731.332	1.466	154.505	1464.493	5.723	5.639
65.148	-9002.661	-9719.285	1.469	154.486	1462.358	5.921	6.193
64.218	-8994.062	-9700.461	1.469	150.929	1441.378	5.427	4.855
64.140	-8982.454	-9687.997	1.469	150.953	1415.672	5.574	4.950
