symKL: 820120.583,  eubo: -2749755.970,  elbo: -3569876.563,  ess: 283.010,  kl_eta_ex: 111483.017,  kl_eta_in: 34490.817,  kl_z_ex: 17082.536,  kl_z_in: 13754.964
symKL: 601854.834,  eubo: -2517496.749,  elbo: -3119351.574,  ess: 293.695,  kl_eta_ex: 60380.580,  kl_eta_in: 27058.612,  kl_z_ex: 10047.935,  kl_z_in: 8784.224
symKL: 461585.110,  eubo: -2403845.562,  elbo: -2865430.659,  ess: 308.112,  kl_eta_ex: 36836.148,  kl_eta_in: 23387.073,  kl_z_ex: 6552.718,  kl_z_in: 6143.283
symKL: 376627.161,  eubo: -2370426.511,  elbo: -2747053.667,  ess: 328.351,  kl_eta_ex: 24772.352,  kl_eta_in: 20638.161,  kl_z_ex: 4933.536,  kl_z_in: 4810.717
symKL: 322154.707,  eubo: -2357958.489,  elbo: -2680113.204,  ess: 350.382,  kl_eta_ex: 17947.037,  kl_eta_in: 19112.157,  kl_z_ex: 3879.869,  kl_z_in: 3921.634
symKL: 1981710.840,  eubo: -4040872.782,  elbo: -6022583.611,  ess: 276.111,  kl_eta_ex: 217293.510,  kl_eta_in: 49808.298,  kl_z_ex: 34260.074,  kl_z_in: 28168.273
symKL: 3423.655,  eubo: -10531.084,  elbo: -13954.739,  ess: 1.174,  kl_eta_ex: 836.147,  kl_eta_in: 241.519,  kl_z_ex: 122.363,  kl_z_in: 104.886
symKL: 2395.830,  eubo: -9535.280,  elbo: -11931.110,  ess: 1.195,  kl_eta_ex: 578.691,  kl_eta_in: 270.916,  kl_z_ex: 94.494,  kl_z_in: 81.246
symKL: 1846.045,  eubo: -8912.995,  elbo: -10759.040,  ess: 1.215,  kl_eta_ex: 448.368,  kl_eta_in: 277.480,  kl_z_ex: 78.810,  kl_z_in: 68.023
symKL: 3186.875,  eubo: -11277.983,  elbo: -14464.858,  ess: 1.135,  kl_eta_ex: 540.297,  kl_eta_in: 150.120,  kl_z_ex: 84.075,  kl_z_in: 68.895
symKL: 2363.861,  eubo: -10305.554,  elbo: -12669.415,  ess: 1.163,  kl_eta_ex: 317.608,  kl_eta_in: 126.757,  kl_z_ex: 54.446,  kl_z_in: 45.270
