EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-484.541	-737.847	3.189	603.544	114.933	242.944	35.199
-379.313	-510.476	3.690	269.893	80.786	101.894	23.906
-329.553	-415.798	4.053	146.962	65.121	55.085	17.222
-300.101	-366.741	4.298	94.702	57.346	38.664	13.475
-278.628	-332.497	4.492	66.345	51.301	30.145	10.901
-260.533	-304.415	4.666	49.526	49.135	24.616	8.571
-245.604	-281.488	4.819	37.842	44.566	20.530	6.752
-235.471	-265.386	4.929	29.211	38.303	16.725	5.680
-230.031	-256.365	5.007	24.409	33.157	14.489	5.158
-227.471	-251.368	5.065	21.930	30.439	12.818	4.851
-225.543	-247.856	5.109	19.959	28.589	11.340	4.548
-223.857	-244.746	5.144	17.780	27.219	10.026	4.251
-222.371	-242.147	5.166	15.852	26.134	8.880	4.032
-220.969	-240.011	5.177	14.532	25.122	8.040	3.794
-219.811	-238.370	5.174	13.496	24.173	7.368	3.624
-219.071	-237.254	5.167	12.605	23.018	6.898	3.436
-218.547	-236.756	5.154	12.550	23.389	6.695	3.310
-218.550	-236.994	5.133	12.635	24.195	6.658	3.318
-221.376	-241.122	5.115	14.802	33.407	6.877	3.777
-221.233	-240.019	5.189	15.974	36.889	5.957	3.430
-218.140	-235.157	5.289	13.461	27.945	5.266	2.991
-216.106	-231.878	5.385	11.122	21.775	4.869	2.733
-214.418	-229.216	5.465	9.314	16.890	4.519	2.551
-213.330	-227.339	5.535	8.121	13.740	4.255	2.440
-212.421	-225.750	5.600	7.081	11.092	3.976	2.365
-211.668	-224.444	5.666	6.279	9.309	3.767	2.314
-211.220	-223.513	5.734	5.597	7.766	3.581	2.277
-210.815	-222.674	5.804	4.953	6.485	3.434	2.267
-210.555	-222.048	5.871	4.449	5.466	3.282	2.232
-210.245	-221.502	5.937	4.096	4.745	3.181	2.230
-210.257	-221.238	6.001	3.751	4.168	3.075	2.202
-210.164	-220.980	6.060	3.528	3.739	3.040	2.210
-210.190	-220.801	6.120	3.285	3.451	2.933	2.205
-210.213	-220.672	6.178	3.161	3.177	2.875	2.183
-210.258	-220.646	6.231	3.074	3.079	2.873	2.203
-210.313	-220.530	6.279	2.952	2.924	2.788	2.194
-210.397	-220.548	6.318	2.905	2.810	2.778	2.216
-210.486	-220.588	6.349	2.804	2.733	2.726	2.232
-210.585	-220.579	6.378	2.784	2.696	2.695	2.212
-210.782	-220.745	6.395	2.790	2.655	2.718	2.234
-210.858	-220.805	6.408	2.787	2.682	2.702	2.256
-211.019	-220.977	6.420	2.755	2.624	2.731	2.280
-211.205	-221.149	6.430	2.781	2.652	2.738	2.314
-211.403	-221.347	6.440	2.784	2.667	2.725	2.323
-211.731	-221.631	6.448	2.797	2.694	2.743	2.344
-211.676	-221.501	6.469	2.742	2.644	2.666	2.333
-211.674	-221.467	6.483	2.750	2.639	2.659	2.347
-211.452	-221.210	6.499	2.686	2.528	2.606	2.327
-211.333	-221.006	6.515	2.599	2.477	2.545	2.305
-211.256	-220.916	6.519	2.598	2.466	2.550	2.326
-211.147	-220.754	6.530	2.585	2.465	2.528	2.344
-211.154	-220.724	6.534	2.552	2.435	2.496	2.323
-211.125	-220.681	6.540	2.516	2.417	2.474	2.341
-211.190	-220.810	6.542	2.541	2.416	2.477	2.327
-211.117	-220.635	6.547	2.536	2.426	2.476	2.353
-211.107	-220.626	6.546	2.517	2.381	2.456	2.335
-211.199	-220.719	6.547	2.510	2.412	2.449	2.353
-211.089	-220.620	6.549	2.490	2.390	2.440	2.336
-211.201	-220.696	6.550	2.508	2.391	2.448	2.368
-211.120	-220.661	6.552	2.549	2.396	2.468	2.366
-211.110	-220.614	6.552	2.475	2.386	2.417	2.350
-211.036	-220.579	6.555	2.487	2.363	2.430	2.354
-211.124	-220.623	6.556	2.464	2.378	2.414	2.378
-211.117	-220.632	6.555	2.486	2.366	2.398	2.365
-211.214	-220.740	6.554	2.523	2.430	2.422	2.377
-211.199	-220.721	6.553	2.492	2.376	2.431	2.383
-211.174	-220.655	6.554	2.463	2.350	2.401	2.393
-211.172	-220.649	6.558	2.440	2.341	2.391	2.380
