EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-1785.902	-2250.256	1.014	2027.169	202.205	186.742	32.418
-1712.689	-2159.331	1.013	1927.755	198.411	174.378	31.392
-1635.858	-2061.322	1.014	1818.639	193.981	157.992	30.182
-1556.079	-1958.006	1.016	1703.408	189.435	142.910	28.947
-1478.172	-1858.467	1.015	1594.613	185.045	128.290	27.577
-1398.830	-1757.204	1.017	1483.297	180.101	115.574	26.314
-1324.077	-1662.324	1.018	1379.173	175.509	104.239	24.937
-1256.824	-1574.457	1.019	1281.755	170.614	93.261	23.645
-1188.309	-1487.789	1.019	1184.750	165.841	82.565	22.313
-1124.671	-1407.056	1.021	1094.652	161.176	74.217	20.976
-1065.578	-1332.001	1.023	1013.955	156.893	65.852	19.699
-1013.606	-1263.682	1.023	936.600	152.216	59.462	18.527
-962.263	-1198.993	1.025	864.947	147.881	52.745	17.334
-917.485	-1139.959	1.027	800.653	143.976	46.446	16.185
-876.333	-1086.504	1.029	740.909	139.864	42.004	15.202
-839.171	-1038.524	1.030	688.278	136.359	37.313	14.182
-805.385	-995.015	1.032	640.756	132.921	33.609	13.335
-775.161	-955.022	1.033	596.619	129.606	29.944	12.401
-746.660	-919.143	1.034	555.600	126.402	26.922	11.668
-720.658	-886.332	1.037	519.535	123.547	24.054	10.840
-698.676	-857.241	1.039	488.399	120.841	21.994	10.234
-677.634	-830.035	1.041	459.760	118.581	20.170	9.627
-658.718	-806.051	1.043	431.598	116.279	18.672	9.077
-641.354	-782.667	1.045	407.879	114.131	17.170	8.606
-626.156	-762.249	1.048	384.685	112.258	15.740	8.031
-610.373	-742.560	1.050	363.583	110.400	14.546	7.616
-596.297	-724.438	1.053	344.122	108.685	13.641	7.222
-583.959	-707.595	1.056	324.849	107.098	12.414	6.785
-571.996	-692.068	1.059	308.303	105.701	11.437	6.371
-560.790	-677.416	1.063	292.517	104.285	10.731	6.077
-550.389	-663.835	1.065	277.539	103.090	9.908	5.679
-541.543	-651.200	1.070	263.431	101.992	9.158	5.390
-532.018	-639.192	1.072	250.889	101.232	8.465	5.052
-523.362	-627.940	1.071	239.449	100.465	7.937	4.787
-515.552	-617.134	1.079	227.032	99.590	7.387	4.564
-508.948	-607.931	1.082	216.877	98.765	6.873	4.301
-502.356	-598.039	1.092	206.409	98.483	6.358	4.047
-495.010	-589.231	1.090	198.109	98.090	5.996	3.853
-489.641	-581.517	1.100	188.226	97.715	5.569	3.658
-483.641	-574.540	1.102	180.809	97.358	5.213	3.471
-478.954	-566.707	1.108	172.932	97.251	4.879	3.297
-473.407	-560.159	1.112	165.465	97.359	4.545	3.121
-469.605	-554.581	1.115	159.843	96.973	4.316	2.998
-464.589	-548.085	1.121	153.504	97.466	4.139	2.883
-460.726	-542.054	1.127	147.268	97.231	3.755	2.710
-456.920	-537.295	1.127	141.848	97.303	3.668	2.645
-453.458	-532.695	1.134	137.096	97.228	3.469	2.525
-450.145	-527.797	1.143	132.550	97.299	3.281	2.432
-446.755	-523.899	1.146	127.850	97.467	3.139	2.357
-444.307	-519.767	1.151	124.045	97.007	3.028	2.298
-440.613	-515.219	1.160	119.551	96.699	2.853	2.218
-438.429	-512.322	1.163	116.038	96.331	2.712	2.139
-435.276	-508.282	1.166	112.297	95.231	2.643	2.098
-433.204	-505.095	1.169	108.858	94.991	2.527	2.037
-431.453	-502.534	1.181	105.904	93.933	2.448	2.001
-428.288	-498.607	1.181	102.932	92.355	2.420	1.976
-426.729	-496.553	1.186	99.126	91.129	2.302	1.916
-424.470	-492.755	1.191	96.671	89.670	2.248	1.882
-421.969	-490.255	1.195	93.701	88.447	2.167	1.838
-419.640	-487.261	1.201	90.607	86.063	2.116	1.812
-417.265	-483.796	1.208	87.759	84.223	2.046	1.775
-415.625	-481.968	1.207	84.678	82.088	1.980	1.735
-412.612	-478.698	1.216	82.159	80.273	1.968	1.729
-410.982	-475.913	1.222	79.336	78.388	1.902	1.691
-408.835	-472.824	1.226	76.259	75.610	1.847	1.660
-407.249	-470.619	1.236	73.682	73.990	1.796	1.623
-404.299	-467.573	1.237	71.460	71.972	1.762	1.608
-402.778	-465.686	1.244	68.909	70.034	1.732	1.587
-400.685	-462.664	1.256	66.297	67.675	1.695	1.565
-399.490	-460.306	1.260	63.402	65.543	1.649	1.536
-396.670	-457.523	1.262	60.796	63.589	1.591	1.497
-395.116	-455.345	1.277	58.934	61.412	1.591	1.505
-393.172	-453.145	1.285	56.340	60.094	1.554	1.485
-392.286	-451.177	1.290	53.986	57.747	1.523	1.456
-390.478	-448.636	1.297	51.653	56.048	1.484	1.436
-388.699	-446.414	1.304	49.735	54.257	1.475	1.431
-386.752	-444.644	1.312	47.494	52.811	1.446	1.409
-385.450	-442.576	1.330	45.102	51.063	1.418	1.396
-384.334	-440.276	1.342	43.148	49.341	1.413	1.400
-382.447	-438.706	1.350	41.684	48.225	1.414	1.399
-381.247	-436.671	1.356	40.021	46.936	1.402	1.403
-379.669	-434.882	1.363	38.281	45.810	1.415	1.425
-378.255	-433.204	1.376	36.582	44.708	1.458	1.484
-377.108	-431.114	1.378	35.652	44.703	1.532	1.577
-375.969	-430.567	1.378	34.689	44.962	1.643	1.712
-374.301	-428.535	1.387	33.969	45.766	1.800	1.907
-373.209	-426.912	1.398	33.402	46.685	2.000	2.158
-371.699	-425.415	1.397	32.889	47.811	2.207	2.426
-369.830	-423.804	1.395	32.800	50.160	2.451	2.742
-368.814	-422.551	1.387	32.555	52.183	2.732	3.110
-366.488	-421.086	1.390	32.689	54.835	3.022	3.503
-365.393	-418.811	1.395	32.570	56.275	3.300	3.880
-363.322	-417.171	1.392	32.795	58.556	3.602	4.296
-361.309	-415.394	1.386	32.576	59.531	3.871	4.669
-359.915	-413.973	1.388	32.604	61.395	4.174	5.097
-358.172	-412.453	1.389	32.471	62.306	4.419	5.449
-356.387	-410.535	1.393	32.642	63.148	4.690	5.835
-353.799	-408.551	1.388	32.221	63.130	4.930	6.185
-353.029	-407.126	1.387	32.139	63.107	5.156	6.505
-350.875	-405.006	1.386	32.250	63.884	5.372	6.810
-349.150	-403.870	1.387	31.654	62.597	5.582	7.119
-347.895	-401.919	1.390	31.606	63.104	5.787	7.436
-345.850	-400.389	1.385	31.227	62.255	5.935	7.656
-344.526	-399.138	1.386	30.890	60.764	6.100	7.892
-342.771	-397.541	1.395	30.544	59.741	6.199	8.069
-341.763	-396.088	1.393	30.225	59.031	6.346	8.282
-339.833	-394.359	1.386	29.799	57.624	6.485	8.518
-338.909	-393.690	1.400	29.175	55.997	6.535	8.613
-337.463	-392.254	1.402	29.050	55.537	6.643	8.784
-336.490	-390.609	1.399	28.625	54.266	6.744	8.957
-333.976	-388.824	1.396	28.035	52.406	6.811	9.074
-333.339	-387.555	1.406	27.875	51.798	6.843	9.157
-332.259	-386.784	1.408	27.260	50.591	6.885	9.254
-330.663	-385.480	1.402	26.896	49.423	6.922	9.370
-329.784	-384.582	1.411	26.348	48.314	6.928	9.419
-328.457	-383.080	1.425	25.908	46.858	6.929	9.475
-326.801	-382.067	1.422	25.442	45.605	6.945	9.502
-326.742	-381.572	1.419	25.241	44.752	6.988	9.610
-325.087	-379.952	1.425	24.540	42.921	6.977	9.634
-324.023	-378.529	1.427	24.051	42.574	6.993	9.721
-324.091	-377.951	1.437	23.711	41.576	7.001	9.767
-322.056	-377.164	1.437	23.203	40.362	6.985	9.764
-321.859	-376.118	1.442	22.739	39.593	6.969	9.799
-320.826	-374.833	1.440	22.464	38.703	6.995	9.883
-319.289	-374.295	1.449	21.827	37.493	6.937	9.870
-319.319	-372.963	1.459	21.269	36.653	6.965	9.979
-317.844	-371.855	1.464	20.969	35.492	6.947	9.929
-317.204	-371.127	1.467	20.515	34.993	6.930	9.991
-317.091	-370.836	1.469	20.199	34.567	6.909	10.054
-316.625	-369.806	1.485	19.803	33.525	6.892	10.077
-314.937	-368.470	1.484	19.449	32.658	6.868	10.068
-314.706	-368.433	1.495	19.273	33.157	6.854	10.125
-314.094	-367.805	1.505	18.865	32.003	6.824	10.146
-313.844	-367.217	1.502	18.586	31.370	6.821	10.231
-313.287	-366.869	1.517	18.446	30.954	6.842	10.330
-312.939	-365.790	1.514	18.097	30.122	6.818	10.310
-312.689	-365.573	1.527	17.991	29.991	6.793	10.334
-312.497	-365.370	1.525	17.910	29.945	6.747	10.349
-311.819	-364.312	1.531	17.738	29.751	6.777	10.459
-311.412	-364.468	1.550	17.482	29.192	6.741	10.448
-310.655	-363.690	1.548	17.441	29.107	6.745	10.534
-310.432	-363.197	1.547	17.294	28.949	6.741	10.568
-310.363	-362.630	1.559	17.241	28.652	6.678	10.555
-310.287	-362.972	1.558	17.298	28.688	6.731	10.692
-309.925	-362.112	1.579	17.067	28.164	6.686	10.673
-309.656	-362.107	1.572	16.918	28.074	6.695	10.753
-309.299	-361.549	1.572	16.747	28.094	6.686	10.835
-308.911	-360.847	1.587	16.662	27.596	6.669	10.837
-309.132	-361.079	1.596	16.399	27.521	6.666	10.888
-309.290	-360.878	1.600	16.396	27.528	6.606	10.853
-308.796	-360.118	1.608	16.228	27.067	6.623	10.944
-308.164	-359.924	1.611	16.104	27.070	6.588	10.933
-307.642	-360.222	1.616	16.114	26.970	6.584	10.984
-307.941	-359.444	1.629	16.010	26.612	6.541	10.962
-307.165	-358.680	1.623	15.652	26.136	6.543	11.015
-307.442	-359.155	1.633	15.780	26.109	6.486	10.984
-307.010	-358.999	1.640	15.557	26.073	6.509	11.111
-307.252	-358.137	1.646	15.416	25.788	6.489	11.099
-307.491	-358.052	1.656	15.345	25.321	6.449	11.094
-306.410	-357.699	1.656	15.287	25.443	6.468	11.182
-305.515	-356.614	1.655	15.210	26.021	6.448	11.206
-306.192	-357.098	1.671	14.918	25.322	6.451	11.255
-305.721	-356.670	1.672	14.946	25.447	6.443	11.288
-305.578	-356.246	1.692	14.853	24.681	6.425	11.307
-305.498	-356.533	1.691	14.761	24.878	6.421	11.366
-305.714	-356.506	1.698	14.754	25.166	6.425	11.404
-305.426	-355.654	1.703	14.588	24.443	6.365	11.371
-305.813	-355.974	1.717	14.357	24.184	6.399	11.453
-304.853	-355.539	1.724	14.391	24.585	6.387	11.512
-304.735	-355.678	1.725	14.134	24.601	6.377	11.557
-305.017	-355.589	1.727	14.107	24.098	6.338	11.494
-305.099	-355.091	1.731	14.180	23.957	6.317	11.523
-304.440	-354.679	1.743	13.916	23.918	6.321	11.590
-304.811	-354.795	1.744	13.693	23.603	6.313	11.562
-303.323	-353.757	1.757	13.853	23.346	6.287	11.548
-304.102	-354.092	1.754	13.776	23.562	6.269	11.601
-303.828	-353.965	1.775	13.653	23.230	6.228	11.554
-304.536	-353.807	1.776	13.458	23.356	6.280	11.723
-303.422	-353.766	1.780	13.469	23.343	6.276	11.708
-303.559	-353.648	1.785	13.262	22.894	6.265	11.737
-304.239	-353.693	1.796	13.180	22.782	6.229	11.744
-303.311	-352.909	1.803	13.078	22.647	6.227	11.726
-302.955	-352.939	1.800	13.017	22.667	6.216	11.766
-303.732	-353.281	1.820	12.948	21.963	6.152	11.651
-303.036	-352.766	1.818	12.867	22.485	6.195	11.770
-303.827	-352.943	1.818	12.817	22.012	6.166	11.772
-302.872	-352.789	1.815	12.753	21.818	6.162	11.800
-302.802	-352.352	1.825	12.645	22.033	6.141	11.789
-303.084	-352.504	1.841	12.619	21.659	6.124	11.781
-302.162	-352.226	1.850	12.641	21.630	6.149	11.841
-302.423	-351.820	1.845	12.350	21.631	6.094	11.756
-302.493	-351.974	1.850	12.403	21.464	6.109	11.824
-302.366	-351.987	1.874	12.267	21.325	6.094	11.833
-302.496	-351.613	1.848	12.166	21.236	6.091	11.835
-302.152	-351.138	1.872	12.157	21.413	6.037	11.760
-301.653	-350.895	1.877	12.162	21.202	6.050	11.804
-302.313	-351.168	1.878	11.994	21.250	6.016	11.769
-301.659	-350.768	1.894	11.947	20.722	6.006	11.785
-301.931	-351.248	1.882	11.922	20.730	6.023	11.850
-301.808	-350.912	1.904	11.741	20.643	6.008	11.853
-301.012	-350.665	1.904	11.826	20.452	6.012	11.886
-301.318	-350.754	1.901	11.755	20.692	5.985	11.847
-301.785	-351.210	1.902	11.527	20.120	5.974	11.844
-301.710	-350.507	1.918	11.612	20.273	5.964	11.907
-301.496	-350.788	1.923	11.280	19.779	5.921	11.776
-301.553	-350.064	1.926	11.319	19.833	5.924	11.821
-300.934	-349.818	1.925	11.359	19.865	5.951	11.923
-301.114	-350.125	1.938	11.206	19.681	5.891	11.828
-301.495	-349.844	1.940	11.107	19.526	5.889	11.802
-300.791	-349.708	1.940	10.995	19.363	5.870	11.791
-301.221	-349.690	1.950	10.892	18.986	5.842	11.761
-301.114	-349.720	1.949	10.888	19.567	5.855	11.822
-300.915	-349.546	1.941	10.851	19.227	5.847	11.814
-300.178	-349.224	1.964	10.784	19.326	5.887	11.950
-301.218	-349.463	1.966	10.756	18.830	5.846	11.816
-300.533	-349.283	1.968	10.666	18.815	5.839	11.864
-299.951	-348.601	1.982	10.590	18.985	5.841	11.925
-300.886	-349.292	1.979	10.524	18.836	5.851	11.934
-300.626	-349.142	1.981	10.424	18.412	5.819	11.872
-301.294	-349.165	1.988	10.369	18.455	5.807	11.910
-299.884	-348.222	1.994	10.403	18.463	5.792	11.876
-300.125	-348.674	2.007	10.256	18.118	5.808	11.926
-300.049	-348.972	1.998	10.302	18.554	5.827	11.992
-300.055	-348.719	2.003	10.024	17.958	5.741	11.791
-300.062	-348.126	2.020	9.995	18.291	5.742	11.828
-299.986	-348.421	2.027	9.839	17.212	5.738	11.843
-299.849	-348.165	2.037	9.797	17.364	5.752	11.873
-299.903	-348.014	2.041	9.745	17.013	5.699	11.777
-299.863	-348.334	2.032	9.875	18.022	5.755	11.938
-299.149	-347.751	2.056	9.622	17.198	5.680	11.742
-300.253	-347.941	2.050	9.792	17.832	5.726	11.901
-299.626	-347.801	2.058	9.461	17.039	5.658	11.788
-299.726	-347.565	2.071	9.442	16.918	5.654	11.769
-298.672	-347.711	2.053	9.380	16.721	5.658	11.783
-299.252	-347.988	2.067	9.317	16.550	5.636	11.776
-298.949	-347.991	2.082	9.197	16.793	5.641	11.761
-299.368	-347.249	2.088	9.348	17.163	5.637	11.814
-299.383	-347.118	2.082	9.138	16.184	5.594	11.709
-299.361	-346.932	2.093	9.025	16.040	5.593	11.724
-299.208	-347.207	2.080	9.051	16.039	5.635	11.853
-299.040	-346.956	2.095	9.078	16.247	5.663	11.912
-299.073	-347.118	2.106	8.894	15.961	5.594	11.811
-299.328	-347.027	2.114	8.640	15.326	5.625	11.858
-299.183	-346.680	2.115	8.770	15.820	5.586	11.815
-299.252	-346.949	2.125	8.836	16.041	5.596	11.863
-298.971	-347.069	2.111	8.663	15.753	5.606	11.904
-297.917	-346.436	2.116	8.758	16.120	5.586	11.843
-298.773	-346.800	2.134	8.637	15.850	5.564	11.797
-299.329	-346.599	2.127	8.523	15.480	5.580	11.856
-298.772	-346.466	2.136	8.464	15.520	5.552	11.836
-299.098	-347.065	2.146	8.362	15.195	5.545	11.841
-298.916	-346.768	2.151	8.359	15.317	5.569	11.898
-298.602	-346.491	2.150	8.205	14.838	5.547	11.809
-298.779	-346.539	2.157	8.169	15.285	5.539	11.852
-299.089	-346.209	2.157	8.257	15.036	5.543	11.889
-298.780	-346.324	2.166	8.177	14.974	5.521	11.832
-298.987	-346.701	2.176	8.008	14.380	5.514	11.831
-298.531	-346.550	2.168	8.072	14.410	5.522	11.834
-297.840	-345.921	2.180	8.038	14.371	5.521	11.843
-298.923	-346.394	2.197	7.911	14.084	5.503	11.806
-299.045	-346.033	2.194	7.894	14.341	5.519	11.900
-298.359	-345.819	2.206	7.777	14.369	5.478	11.782
-298.735	-346.273	2.189	8.001	14.573	5.512	11.892
-298.135	-345.842	2.213	7.759	14.091	5.483	11.845
-298.695	-346.288	2.200	7.833	14.606	5.441	11.763
-298.053	-346.012	2.194	7.698	14.388	5.471	11.824
-298.150	-345.643	2.219	7.631	14.014	5.443	11.805
-298.195	-345.924	2.214	7.721	14.777	5.490	11.922
-297.815	-345.565	2.229	7.598	14.085	5.406	11.710
-298.484	-346.079	2.232	7.382	13.503	5.420	11.788
-297.928	-346.163	2.229	7.402	14.153	5.405	11.743
-298.727	-346.313	2.219	7.540	13.859	5.432	11.794
-297.957	-345.605	2.221	7.421	13.631	5.421	11.820
-298.507	-345.759	2.239	7.264	13.543	5.434	11.855
-298.276	-346.139	2.221	7.415	13.718	5.435	11.897
-298.564	-345.927	2.225	7.349	13.421	5.428	11.831
